gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	lobby	mnc	dmnc	geokpath	laplacian	leverage	lincent	semilocal	topocoefficient	clusterrank	ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity	zi	pc	gc	prestige	stresscent	gilschmidt
A1CF	5.32359321168815	1	0.000128	3	0	2e-06	0	0	5.3e-05	0	1398.457612	6.39095106973785e-06	1398.45761183261	195.414306640625	1	4	1	1	0	33	8	-0.5	1361.93868795091	699	1	NA	2	1	1.249841557219e-05	1	12	1	119913296899.931	NA	-0.577350269189626	0	0.000181570517955087	1	0	0.185521041633424
A2M	4.28212326145209	11	0.001404	8.727273	14433.731412	2.2e-05	0	0	0.000248	34505.86347	1768.225397	2.63817935535946e-05	1768.2253968254	412.5166015625	0	107	7	1	3	723	324	0.211647531212749	1693.18048809559	15456	0.097813578826237	0	12	5	0.000140203768149307	0.0909090909090909	10	11	14999796680789.3	0	0.0810252209268035	0.793388429752066	0.793467851891897	11	93723	0.234574873550725
AAAS	4.31708561949726	5	0.000638	22	129.619545	0.000119	0.6	6	6.6e-05	339.416829	1753.650794	2.27819218252975e-05	1753.65079365079	404.73046875	1	115	5	5	0.068033073723357	790	250	-0.547705627705628	1679.46809328171	35868	0.360655737704918	69	6	5	0.000743438158023424	0.252572782206142	10	11	422026102712555	0.6	-0.566378514940828	0	1.43662394782584e-05	5	3493	0.232641389446903
AAGAB	4.57279571264514	1	0.000128	21	0	8e-06	0	0	3.2e-05	0	1646.455195	1.04268144781189e-05	1646.45519480519	336.86474609375	0	22	1	1	0	440	44	-0.909090909090909	1585.55247370037	6349	1	NA	2	1	4.59093487190312e-05	1	11	1	1805035881267.61	NA	-0.536227775263626	0	3.37114330672961e-07	1	0	0.218420694455456
AAK1	3.82072221513334	16	0.002042	25.1875	891.380846	0.00082	0.475	57	0.000201	1843.691334	1999.061508	2.8908124726061e-05	1999.06150793651	570.1806640625	3.83305183247975	419	15	16	0.0975258241329384	2094	1078	-0.154802991622336	1897.65367531643	193688	0.144755747126437	199.025	17	11	0.00513833021462242	0.110194190937122	10	73	20146491444284364	0.475	1.36581653607569	0.21875	0.219263925479114	16	19827	0.265197865207794
AAMP	4.7385479137425	1	0.000128	15	0	6.2e-05	0	0	3.1e-05	0	1582.921898	1.02485482693611e-05	1582.9218975469	297.4755859375	0	16	1	1	0	233	32	-0.875	1530.09058595433	4563	1	NA	2	1	0.000389680929542915	1	11	1	115869204963985	NA	-0.536227775263626	0	1.18451574770972e-07	1	0	0.209992292059826
AAR2	5.01811917825699	1	0.000128	6	0	3e-06	0	0	3.6e-05	0	1487.981385	9.47991925191888e-06	1487.94805194805	242.60009765625	0	7	1	1	0	117	14	-0.714285714285714	1444.84562768581	1917	1	NA	2	1	1.66068241401039e-05	1	11	1	210450039121.955	NA	-0.536227775263626	0	5.12651345818682e-08	1	0	0.197392949316555
AARS	4.63047084343499	1	0.000128	8	0	6.6e-05	0	0	3.2e-05	0	1622.466703	9.83589280129137e-06	1622.4667027417	321.53857421875	0	9	1	1	0	358	18	-0.777777777777778	1565.80352172835	5570	1	NA	2	1	0.00041265272108677	1	11	1	129934483448579	NA	-0.536227775263626	0	5.53332862862632e-08	1	0	0.215238352711826
AASDHPPT	4.93900727319127	1	0.000128	25	0	2e-06	0	0	4.2e-05	0	1514.852417	1.02360154945888e-05	1514.85241702742	257.95849609375	0	26	1	1	0	136	52	-0.923076923076923	1467.98883922805	2856	1	NA	2	1	1.03874943521753e-05	1	11	1	82409091225.3136	NA	-0.330289129537908	0	0.000206164431833966	1	0	0.200962114224933
AASS	3.79405384713538	2	0.000255	96.5	958.502967	0.00044	0	0	4.4e-05	1498.143168	2010.115079	1.62193664328124e-05	2010.06507936508	579.794921875	0	195	2	1	0	2241	392	-0.957734391761424	1910.99226474743	81726	0.505291005291005	0	3	2	0.00275366455968092	0.5	10	2	5786214319311245	0	-0.547680114565817	0.5	0.500011142538314	2	15637	0.266657612014449
