prestige	stresscent	gilschmidt
1	4	8296	0.207308793694452
2	8	187063	0.226471280480965
3	15	97508	0.266639923856673
4	11	31544	0.25667017271221
5	4	6938	0.210627481654289
6	15	234705	0.253249624700923
7	19	65506	0.276258491368577
8	16	245072	0.258119500925931
9	27	1013963	0.279665304257347
10	16	114699	0.279550225945134
11	4	6669	0.247764242699888
12	35	413777	0.285071458051665
13	6	5987	0.260611420653855
14	17	213513	0.282330372672614
15	47	483482	0.284721959005563
16	25	338793	0.272940540415314
17	6	16015	0.283462467413756
18	13	177859	0.259877993825972
19	2	1115	0.227064254913153
20	2	0	0.215326951430699
21	53	31770	0.238802448546407
22	16	211617	0.282907185603499
23	3	69769	0.256688018799966
24	25	8748	0.24824624499935
25	9	101874	0.232749734199054
26	8	42272	0.271623246450765
27	5	113794	0.252603001933047
28	34	228708	0.255571669199274
29	3	0	0.237612446145869
30	2	59164	0.226975598765198
31	1	0	0.195331072924619
32	4	19783	0.241125124764675
33	12	191567	0.257804583759728
34	1	0	1
35	57	419068	0.311946086916214
36	44	1157348	0.31159453478037
37	44	433912	0.282428499833621
38	18	28096	0.242217741796532
39	39	1240239	0.298443336828823
40	35	157879	0.270572854152695
41	3	26536	0.268523291513453
42	70	1982329	0.304445465724958
43	13	286126	0.249285582198807
44	32	668498	0.29851614254968
45	18	260056	0.294992303545607
46	14	115903	0.280204845712913
47	13	3786	0.229224311109428
48	3	727	0.240917451626516
49	29	15938	0.251402949442866
50	9	18900	0.26008725104969
51	21	736268	0.267025588868233
52	24	249279	0.288464109885548
53	5	4539	0.259769548572927
54	41	1476159	0.297852994562971
55	32	99186	0.270879238314213
56	76	2755808	0.322133518216675
57	11	298174	0.281473813103531
58	28	430689	0.281024818169924
59	4	73807	0.210742559966502
60	12	165494	0.240132539625102
61	111	5766287	0.335886376749319
62	12	60708	0.264223279300204
63	27	91956	0.269943819041701
64	6	184728	0.231359108080383
65	27	695525	0.298963610826811
66	35	250153	0.266463831928789
67	13	135877	0.265501143413037
68	58	672199	0.3097567036012
69	86	1257235	0.321591502524752
70	26	985716	0.263594875909131
71	11	122740	0.257348113473727
72	7	8	0.199870923348654
73	33	3299810	0.292873672861706
74	35	121292	0.270427558570944
75	7	4204	0.261130694428633
76	17	166943	0.232721833235893
77	3	9666	0.191735055133858
78	4	34808	0.266713887730715
79	10	314656	0.239070302578519
80	8	103621	0.270572433006081
81	84	1782323	0.321461368221097
82	5	25984	0.216218571455378
83	9	222871	0.267873041141792
84	6	13302	0.274525841556199
85	5	6799	0.267073125792262
86	3	1323	0.211541527736151
87	59	73358	0.242524963465523
88	77	562048	0.310420325377849
89	54	234755	0.286068627946421
90	44	904844	0.28984073287931
91	10	141202	0.280853148281487
92	29	304230	0.286400754694707
93	36	32100	0.260260868741216
94	24	98997	0.261825428411374
95	2	77	0.242021066327901
96	13	371009	0.234064180638203
97	28	259662	0.288804922782742
98	7	90201	0.266942833558625
99	3	0	0.218915752299943
100	50	879199	0.291753791372363
101	3	640	0.260574780898456
102	29	18068	0.253438508957199
103	3	6345	0.201263286697106
104	11	317748	0.236431393110877
105	30	269551	0.286705085766481
106	11	164884	0.29227038033748
107	12	134187	0.292494430336006
108	12	256686	0.280524180132806
109	6	43	0.226969075778441
110	32	380341	0.285267607087028
111	12	79049	0.267327708920286
112	40	188571	0.27718117095602
113	5	18353	0.233064067502906
114	5	123487	0.25738338450263
115	6	44194	0.262851183632537
116	82	1168871	0.323095311795874
117	4	4008	0.259200053064456
118	3	1649	0.248825426879935
119	94	3029953	0.312941519581188
120	26	243909	0.27717717006319
121	2	3972	0.251185264501115
122	16	440830	0.283971001949883
123	13	120376	0.260531560727217
124	10	40785	0.265302472283747
125	38	194464	0.277451547082062
126	38	108206	0.27493730179785
127	6	3984	0.244233186774298
128	1	0	0.204416990470998
129	8	204066	0.26623278036781
130	24	448282	0.246656627105674
131	49	951059	0.30209157201394
132	12	127149	0.268453907608836
133	9	0	0.245996848291872
134	3	0	0.225433680511287
135	28	12379	0.213489862043865
136	23	63318	0.275916888821481
137	6	4	0.199804592756985
138	3	10107	0.200329130864436
139	19	28949	0.266869922551117
140	77	612504	0.306154636613619
141	16	231780	0.278616228042444
142	14	81308	0.262430142305422
143	193	15108764	0.366525108761101
144	29	708494	0.304389611155306
145	17	424388	0.296763330343166
146	4	240	0.250383453991824
147	24	118494	0.287942625091045
148	34	565256	0.301686165754859
149	5	13840	0.258812808753093
150	2	5982	0.217291284523977
151	49	1515773	0.314989555563956
152	7	94836	0.231523197329774
153	30	220287	0.285241390710321
154	7	9847	0.22994958300742
155	11	577674	0.247985134098811
156	4	4151	0.221041700406257
157	31	2892791	0.297276760708679
158	4	1710	0.252661278095729
159	19	51835	0.246139459063963
160	40	607602	0.264099620125735
161	52	675856	0.302956186012011
162	32	150892	0.222653797000445
163	3	132427	0.225149248617012
164	26	8197	0.211725468305474
165	78	1894015	0.259351349985456
166	12	122489	0.276559979700711
167	36	394703	0.282661920344304
168	19	252342	0.285475758800883
169	24	15840	0.235272818776396
170	5	139314	0.231850428248674
171	36	539598	0.303271572182398
172	32	614891	0.308280374146628
173	6	54211	0.277082885865031
174	55	172133	0.292720480780947
175	9	150521	0.273917021482667
176	2	74	0.233295329637193
177	3	0	0.224480568295241
178	48	190448	0.283916358176746
179	12	58089	0.280317765648732
180	9	293	0.2590768150366
181	15	103638	0.272195321482244
182	5	0	0.222410843261867
183	2	829	0.201776611775965
184	9	234949	0.23500744855215
185	1	0	0.217202843735086
186	10	15186	0.266686671130802
187	2	878	0.204978852697094
188	5	15186	0.226443484804455
189	12	30352	0.231295668085931
190	15	175830	0.272836148698424
191	1	0	0.200656524499072
192	55	1107611	0.296614402371871
193	29	965489	0.311512411190685
194	2	0	0.221442679840136
195	28	153819	0.270478885814497
196	65	458246	0.303676399364885
197	66	266944	0.291190297203138
198	27	50530	0.253077165162583
199	3	2905	0.245389918592346
200	3	39422	0.228009724275311
201	36	675511	0.29350302383266
202	7	770	0.215299418970824
203	4	39515	0.209653211606658
204	50	41882	0.240076627626369
205	2	1426	0.212597974016795
206	3	117	0.225905891151977
207	20	152869	0.252341627815877
208	49	616620	0.294550626034414
209	59	350065	0.300624244568235
210	55	407041	0.307374171920446
211	59	204319	0.296564180638179
212	1	0	0.233921416721889
213	37	232320	0.279482842486931
214	4	52387	0.254196994008599
215	4	41492	0.176330837656793
216	8	99765	0.263074338694512
217	16	371564	0.23533968058709
218	15	263098	0.247778872758959
219	11	287530	0.266551382566885
220	27	810846	0.320127491608633
221	62	329238	0.306533826495993
222	11	185875	0.227762511213031
223	18	165998	0.275605135040637
224	16	396028	0.299436769047382
225	3	24894	0.226080978070896
226	6	32420	0.219656491764482
227	5	76554	0.286014142103263
228	9	962	0.220938883203416
229	2	592	0.199583653500493
230	11	199550	0.267015691922808
231	27	707284	0.275731005234829
232	9	0	0.245996848291872
233	34	110050	0.263216054530044
234	56	344693	0.308791119702477
235	63	576192	0.306312882453743
236	48	46066	0.240707031463856
237	4	22960	0.179329927980112
238	18	82849	0.27767170147441
239	38	231677	0.28330774867652
240	71	300792	0.296834082974279
241	6	30803	0.267440786786083
242	40	142907	0.275356132105246
243	34	622162	0.298097049025652
244	55	60636	0.241783482208654
245	7	46199	0.246493380149509
246	25	6846	0.207274264457882
247	79	2844312	0.27906527561938
248	23	63654	0.274475303962545
249	17	47834	0.27730193474752
250	94	2351237	0.263643570986353
251	2	0	0.206311839158761
252	41	1479804	0.288936636386198
253	5	32841	0.238781501288126
254	6	44301	0.278420236937061
255	88	2928717	0.267820187241768
256	1	0	0.223883966259266
257	4	66163	0.248828848696173
258	11	207105	0.281391531583864
259	5	98396	0.256035083618643
260	9	134920	0.294199021255242
261	7	19254	0.249279839290438
262	11	109708	0.263671366662857
263	41	6930	0.228101902740403
264	76	2088955	0.324965834480937
265	11	106190	0.276525708895012
266	4	16216	0.24965550206992
267	39	53870	0.27911723458285
268	9	0	0.245996848291872
269	3	495	0.235005553392387
270	26	793239	0.283896827502532
271	4	18464	0.206791573009415
272	46	2221165	0.315843325036723
273	28	12379	0.213489862043865
274	29	54449	0.256219914338762
275	21	237934	0.270823173171255
276	5	19264	0.253291260786603
277	66	1273838	0.26964491023258
278	21	100845	0.283118022127017
279	5	1714	0.221994223974195
280	55	70161	0.288212685357126
281	25	73203	0.256666856182626
282	22	368560	0.272797297923304
283	37	358588	0.304097124832042
284	29	15437	0.213556192635534
285	5	121864	0.249815068778971
286	21	357748	0.286044148799495
287	6	116422	0.219142697681438
288	10	155713	0.283643349884369
289	56	49924	0.241984685003382
290	2	90868	0.152925094421506
