name	Gene2
ACAN	ADAMTS1
ACAN	CTSB
AES	RELA
AES	CTNNB1
AJAP1	CTNNB1
AP2B1	EPHB1
AP2B1	GRB2
AP2B1	BUB1B
AP2B1	SMAD4
AP2B1	EPS15
AP2B1	TERF2IP
AP2B1	AP2M1
AP2B1	HIP1
AP2B1	AP2A1
APC	TCF7L2
APC	JUP
APC	MAD2L1
APC	DDB1
APC	PTK2
APC	CTNNB1
APC	CSNK2B
APC	CSNK2A2
APP	ABL1
ARID1A	MLLT1
ARID1A	RELB
ARID1A	SMARCE1
ARID1A	BCL6
ARID1A	SMARCA4
ARID1A	SMARCD3
ARID1A	GATA1
ARID1A	SMARCD1
ARID1A	SMARCB1
ARID1A	SMARCC2
ARID1A	ING1
ARID1A	SMARCA2
ARID1A	PBRM1
ARID1A	SMARCC1
ARID1A	CREBBP
ARID1A	KLF1
ARID2	SMARCB1
ARID2	CCNA1
ARID2	SMARCE1
ARID2	PBRM1
ARID2	SMARCA2
ARID2	SMARCA4
ATN1	ATRX
ATN1	AES
ATN1	RUNX1T1
ATN1	CASP8
ATN1	PDCD6IP
ATN1	VIM
AXIN1	DVL3
AXIN1	SH3GL1
AXIN1	SMAD2
AXIN1	PPP2CA
AXIN1	SUMO1
AXIN1	EEF1A1
AXIN1	BTRC
AXIN1	SMAD3
AXIN1	TSC2
AXIN1	GSK3B
AXIN1	DVL2
AXIN1	UBA52
AXIN1	CTNNB1
AXIN1	APC
AXIN1	JUP
AXIN1	TSC1
AXIN1	RPS27A
AXIN1	PIAS1
BACH2	MAFG
BACH2	MAFB
BACH2	PATZ1
BACH2	ARRB1
BACH2	ATF7
BACH2	CREB5
BACH2	JUN
BCL2	BAX
BCL2	APAF1
C8B	C9
C8B	C8A
C8B	CLU
C8B	C5
CASP8	FAS
CASP8	BCL2L1
CASP8	BID
CASP8	RHOA
CASP8	APP
CASP8	APAF1
CASP8	BCL2
CASP8	BIRC2
CASP8	ARHGDIA
CCL2	CCR10
CCL2	MMP3
CCL2	CCR1
CCL2	MMP8
CCL2	CCR5
CCL2	ACKR2
CCL2	VCAN
CCL2	MMP1
CCL2	ACKR4
CCL5	PF4
CCL5	ACKR4
CCL5	SDC4
CCL5	ACKR2
CCL5	DPP4
CCL5	VCAN
CCL5	CCR1
CCL5	CCR3
CCL5	IGFBP7
CCL5	CXCL8
CCL5	CCR4
CCL5	CCR5
CCL5	GRB2
CCND1	CTNNB1
CCND1	PRKACA
CCND1	GSK3B
CCND1	THRB
CCND1	ESR1
CCND1	ZNF8
CCND1	NCOA3
CCND1	STAT3
CCND1	EP300
CCND1	MCM10
CCND1	CDK4
CCND1	HDAC3
CCND1	RB1
CCND1	ORC4
CCND1	BRCA1
CCND1	RBL1
CCND1	CDK6
CCND1	UBA52
CCND1	AR
CCND1	CUL3
CCND1	PCNA
CCND1	RPS27A
CCND1	CDKN1A
CCND1	CDKN2A
CCND1	TSC2
CCND1	CDKN1B
CCND1	NCOA1
CCND1	RBL2
CCND1	SP1
CCND1	CDKN2D
CCND1	PIN1
CCND1	RUNX1
CCND1	THRA
CCND1	CDK2
CCND1	TAF1
CCND1	KLF6
CD44	ERBB4
CD44	LCK
CD44	EGFR
CD44	CD4
CD44	PKN1
CD44	NF2
CDK5R1	CDKN1A
CDK5R1	PAK1
CDK5R1	CDK16
CDK5R1	AMPH
CDK5R1	PKN1
CDK5R1	CTNNB1
CDK5R1	CHN1
CDK5R1	CAPN1
CDK5RAP3	SMNDC1
CDK5RAP3	CREBBP
CDK5RAP3	RELA
CDK5RAP3	SRPRB
CDK5RAP3	CDK5R1
CDK5RAP3	CRMP1
CDK5RAP3	MME
CDK5RAP3	FHL5
CLU	BAX
CLU	APP
CREBBP	CDKN1A
CREBBP	CHUK
CREBBP	CEBPB
CREBBP	BRCA1
CRMP1	FUBP1
CRMP1	ROCK1
CRMP1	HNRNPH1
CRMP1	AXIN1
CRMP1	PAFAH1B3
CRMP1	TRIP13
CRMP1	EEF1D
CRMP1	PMF1
CRMP1	CCT7
CRMP1	ZNF24
CRMP1	HTT
CRMP1	CCL18
CRMP1	VIM
CRMP1	SAT1
CRMP1	SERPINB9
CRMP1	BTBD2
CRMP1	EIF2S2
CRMP1	TFG
CRMP1	ALDH2
CRMP1	CDK5RAP2
CRMP1	CCDC106
CRMP1	HMGB1
CRMP1	NAT9
CRMP1	PPP1R8
CRMP1	PSMD11
CRMP1	UBE2B
CRMP1	FXR1
CRMP1	RPA2
CRMP1	KLHL20
CRMP1	ARL15
CRMP1	LSM2
CRMP1	EPN1
CRMP1	RGL2
CRMP1	RTN4
CRMP1	RHOA
CRMP1	TK1
CRMP1	FAS
CSNK2A1	ARNT
CSNK2A1	AKT1
CSNK2A1	CSNK2B
CSNK2A1	MYC
CSNK2A1	PAK1
CSNK2A1	CTNNB1
CSNK2A1	CREBBP
CSNK2A1	MAPK14
CSNK2A1	CHEK1
CSNK2A1	TCF7L2
CSNK2A1	RELA
CSNK2A1	CDC25B
CSNK2A1	ARRB1
CSNK2A1	NOL3
CSNK2A1	CDH1
CSNK2A1	BID
CSNK2A1	ZFP36L1
CSNK2A1	ARRB2
CSNK2A1	TOP1
CSNK2A1	ATF2
CSNK2A1	ATF1
CSNK2A1	CDKN1A
CSNK2A1	RANGAP1
CSNK2A1	APC
CSNK2A1	SP1
CSNK2A1	NFKBIA
CSNK2A1	PML
CSNK2A1	CDK1
CSNK2A1	HDAC2
CSNK2A1	CAV1
CSNK2A1	CREM
CSNK2A1	CASP2
CSNK2A1	BRCA1
CSNK2A1	HDAC1
CSNK2A1	GTF2A1
CSNK2A1	CDC37
CSNK2A1	HSPB8
CSNK2A2	CREBBP
CSNK2A2	BRCA1
CSNK2A2	BID
CSNK2B	ARAF
CSNK2B	CSNK2A2
CSNK2B	BRCA1
CSNK2B	CDKN1A
CSNK2B	BID
CSNK2B	CDK1
CTNNB1	CDK6
CTNNB1	CREBBP
CTNNB1	CDC42
CTNNB1	CSNK2B
CTNNB1	CASP8
CTNNB1	CHUK
CTNNB1	ABL1
CX3CL1	CX3CR1
DAB2	SMAD2
DAB2	AP2A2
DAB2	TGFBR1
DAB2	CFTR
DAB2	CDK1
DAB2	LDLR
DAB2	AXIN1
DAB2	SRC
DAB2	AP2M1
DAB2	EPS15
DAB2	APP
DAB2	NCK1
DAB2	PRKCD
DAB2	DVL3
DAB2	DVL2
DAB2	SMAD3
DAB2	GRB2
DAB2	CSK
DAB2	APLP1
DAB2	INPP5D
DAB2	ITGB3
DAB2	PIK3R1
DAB2	PIN1
DCTN1	CASP2
DCTN1	VIM
DCTN1	CASP3
DCTN1	TP53BP1
DCTN1	BBS4
DCTN1	GRB2
DCTN1	ZNF8
DCTN1	DST
DCTN1	MAP2K6
DCTN1	APEX1
DCTN1	CASP7
DCTN1	PAFAH1B1
DCTN1	DYNC1I1
DCTN1	PLK1
DCTN1	VHL
DDOST	RPN1
DDOST	TMBIM4
DDOST	STT3A
DDOST	GSTK1
DDOST	MCC
DDOST	RPN2
DDOST	TUSC3
DDOST	MAGT1
DDOST	DAD1
DDOST	PGRMC1
DDOST	TNFRSF1B
DDOST	SMYD3
DDOST	PTP4A3
DDOST	STT3B
DDOST	RFXANK
DDOST	SAP18
DDOST	STYXL1
DLG1	LCK
DLG1	CDH1
DLG1	ERBB4
DLG1	ATP2B2
DLG1	APBA1
DLG1	CTNNB1
DLG1	CTNNA1
DLG1	ATP2B4
DLG1	BTRC
DLG1	APC
DLG3	CUL2
DLG3	ADGRL1
DLG3	GRIN1
DLG3	CALM1
DLG3	ERBB4
DLG3	DLGAP1
DLG3	DLG4
DLG3	CAMK2A
DLG3	GRIK2
DLG3	DLG1
DLG3	ATP2B4
DLG3	ABCA1
DLG3	APC
DLG3	PTK2B
DLG3	KIF1B
ECM1	RERE
ECM1	FBLN1
ECM1	ATN1
EGFR	FAS
EGFR	CTNNB1
EGFR	CDK1
EGFR	CRK
EGFR	RHOA
EGFR	CBL
EGFR	CBLB
EGFR	CEBPB
EGFR	CDC42
EGFR	EGF
ELANE	SERPINA3
ELANE	SERPINA1
