"SUID","2","name","selected","shared name"
"5737",,"PXN","false","PXN"
"5738",,"TGFBR1","false","TGFBR1"
"5739",,"PRKCD","false","PRKCD"
"5740",,"AES","false","AES"
"5741",,"TGFB1","false","TGFB1"
"5742",,"GRB2","false","GRB2"
"5743",,"TGM2","false","TGM2"
"5744",,"RAC1","false","RAC1"
"5745",,"CREBBP","false","CREBBP"
"5746",,"CRMP1","false","CRMP1"
"5747",,"TIAM1","false","TIAM1"
"5748",,"CDK5R1","false","CDK5R1"
"5749",,"RELA","false","RELA"
"5750",,"MAPK9","false","MAPK9"
"5751",,"TGFB1I1","false","TGFB1I1"
"5752",,"KRT9","false","KRT9"
"5753",,"AP2B1","false","AP2B1"
"5754",,"MAPK8","false","MAPK8"
"5755",,"SMAD3","false","SMAD3"
"5756",,"EGFR","false","EGFR"
"5757",,"ABL1","false","ABL1"
"5758",,"SMAD2","false","SMAD2"
"5759",,"PRKCA","false","PRKCA"
"5760",,"IKBKG","false","IKBKG"
"5761",,"PDPK1","false","PDPK1"
"5762",,"FN1","false","FN1"
"5763",,"SMYD3","false","SMYD3"
"5764",,"TRAF1","false","TRAF1"
"5765",,"ELANE","false","ELANE"
"5766",,"HSPA5","false","HSPA5"
"5767",,"GIPC1","false","GIPC1"
"5768",,"CLU","false","CLU"
"5769",,"WNT3A","false","WNT3A"
"5770",,"DLG3","false","DLG3"
"5771",,"ATN1","false","ATN1"
"5772",,"DLG1","false","DLG1"
"5773",,"APP","false","APP"
"5774",,"ITGB1","false","ITGB1"
"5775",,"BCL2","false","BCL2"
"5776",,"EZR","false","EZR"
"5777",,"SMAD4","false","SMAD4"
"5778",,"FASN","false","FASN"
"5779",,"CSNK2A1","false","CSNK2A1"
"5780",,"CSNK2B","false","CSNK2B"
"5781",,"DAB2","false","DAB2"
"5782",,"KRT1","false","KRT1"
"5783",,"FGFR4","false","FGFR4"
"5784",,"CSNK2A2","false","CSNK2A2"
"5785",,"GAK","false","GAK"
"5786",,"FGFR1","false","FGFR1"
"5787",,"SDCBP","false","SDCBP"
"5788",,"DCTN1","false","DCTN1"
"5789",,"CD44","false","CD44"
"5790",,"GRIN1","false","GRIN1"
"5791",,"CCND1","false","CCND1"
"5792",,"FGFR2","false","FGFR2"
"5793",,"MAGI1","false","MAGI1"
"5794",,"SMC1A","false","SMC1A"
