gene_select	Gene2
ACAN	CTSB
ACAN	ADAMTS1
AJAP1	CTNNB1
APC	TCF7L2
APC	MAD2L1
APC	JUP
APC	CSNK2B
APC	CSNK2A2
APC	PTK2
APC	CTNNB1
APC	DDB1
ARID1A	SMARCC2
ARID1A	SMARCE1
ARID1A	MLLT1
ARID1A	RELB
ARID1A	SMARCB1
ARID1A	PBRM1
ARID1A	GATA1
ARID1A	KLF1
ARID1A	SMARCA2
ARID1A	ING1
ARID1A	SMARCA4
ARID1A	SMARCD1
ARID1A	SMARCC1
ARID1A	BCL6
ARID1A	CREBBP
ARID1A	SMARCD3
ARID2	PBRM1
ARID2	SMARCE1
ARID2	SMARCB1
ARID2	CCNA1
ARID2	SMARCA4
ARID2	SMARCA2
AXIN1	PIAS1
AXIN1	TSC2
AXIN1	DVL2
AXIN1	GSK3B
AXIN1	SMAD3
AXIN1	PPP2CA
AXIN1	UBA52
AXIN1	EEF1A1
AXIN1	DVL3
AXIN1	SUMO1
AXIN1	TSC1
AXIN1	SH3GL1
AXIN1	APC
AXIN1	CTNNB1
AXIN1	SMAD2
AXIN1	JUP
AXIN1	BTRC
AXIN1	RPS27A
BACH2	MAFB
BACH2	MAFG
BACH2	ATF7
BACH2	PATZ1
BACH2	JUN
BACH2	CREB5
BACH2	ARRB1
C8B	C5
C8B	C8A
C8B	CLU
C8B	C9
CASP8	APAF1
CASP8	APP
CASP8	FAS
CASP8	BCL2L1
CASP8	BCL2
CASP8	RHOA
CASP8	ARHGDIA
CASP8	BIRC2
CASP8	BID
CCL2	CCR10
CCL2	VCAN
CCL2	CCR1
CCL2	CCR5
CCL2	MMP8
CCL2	ACKR2
CCL2	ACKR4
CCL2	MMP1
CCL2	MMP3
CCL5	SDC4
CCL5	CCR3
CCL5	CXCL8
CCL5	IGFBP7
CCL5	ACKR4
CCL5	CCR4
CCL5	DPP4
CCL5	CCR1
CCL5	GRB2
CCL5	VCAN
CCL5	ACKR2
CCL5	PF4
CCL5	CCR5
CDK5RAP3	SMNDC1
CDK5RAP3	CRMP1
CDK5RAP3	MME
CDK5RAP3	FHL5
CDK5RAP3	CDK5R1
CDK5RAP3	SRPRB
CDK5RAP3	RELA
CDK5RAP3	CREBBP
CTNNB1	CDC42
CTNNB1	CDK6
CTNNB1	CHUK
CTNNB1	CASP8
CTNNB1	ABL1
CTNNB1	CSNK2B
CTNNB1	CREBBP
CX3CL1	CX3CR1
DDOST	GSTK1
DDOST	MAGT1
DDOST	MCC
DDOST	PTP4A3
DDOST	PGRMC1
DDOST	TNFRSF1B
DDOST	STT3A
DDOST	DAD1
DDOST	SMYD3
DDOST	RFXANK
DDOST	RPN1
DDOST	TMBIM4
DDOST	RPN2
DDOST	SAP18
DDOST	STYXL1
DDOST	STT3B
DDOST	TUSC3
ECM1	FBLN1
ECM1	ATN1
ECM1	RERE
F12	GP1BA
F12	APP
F12	SERPING1
FGF13	RPS19
FGF13	CSNK2A1
FGF13	GPC3
FGF13	PF4
FGF13	SDC4
FGF13	GPC4
FGF13	FGFR4
FGF13	CSNK2A2
FGF13	FGFBP1
FGF13	CSNK2B
FGF13	FGFR1
FGF13	CD44
FGF13	SDC1
FGF13	SDC2
FGF13	SCN8A
FGF13	RPL6
FGF13	FGFR2
FGF13	CXCL13
FGF13	SDC3
FGF13	MAPK8IP2
GPC3	FGF2
HACD3	NEK6
HACD3	SERINC3
HACD3	TNFRSF1B
HACD3	RAC1
HACD3	TSC22D1
HACD3	BRF2
HACD3	PTP4A3
HACD3	CASP4
HRAS	ABL2
HRAS	EPHB1
HRAS	GRB2
HRAS	BCL2
HRAS	BRAF
HRAS	ARAF
IGF1R	GRB2
IGF1R	CRK
IGF1R	EGFR
IGF1R	CTNNB1
IGF1R	CRKL
IGHG1	ELN
IGHG1	FGFR1
IGHG1	TTN
IGHG1	ADRA1B
IGHG1	ALB
IGHG1	CLU
IGHG1	FCGR3B
IGHG1	APOA1
IGHG1	TF
IGHG1	IKBKG
IGHG1	PDPK1
IGHG1	FN1
IGHG1	TRAF1
IGHG1	EGFR
IGHG1	SERPIND1
LDLR	HSPA5
LRP2	APBB1
LRP2	DLG2
LRP2	DLG4
LRP2	ABL1
LRP2	GIPC1
LRP2	GC
LRP2	DLG3
LRP2	CLU
LRP2	DLG1
LRP2	LCN2
LRP2	APBA2
LRP2	APOE
LRP2	DAB1
LRP2	TLN1
LRP2	LPA
LRP2	ALB
LRP2	ATN1
LRP2	LPL
LRP2	DAB2
LRP2	MAPK8IP1
LRP2	GAK
LRP2	LLGL1
LRP2	GPRASP1
LRP8	APBA2
LRP8	MAPK8IP1
LRP8	GIPC1
LRP8	GRIN1
LRP8	DLG4
LRP8	APOE
LRP8	LLGL1
LRP8	LRPAP1
LRP8	CLU
LRP8	DAB1
LTBP1	ITGB5
LTBP1	ATN1
LTBP1	FBN1
LTBP1	FN1
LTBP1	FBN2
LTBP1	TGFB1
LTBP1	TGM2
MAPK8IP2	LRP1
MAPK8IP2	MAP3K10
MAPK8IP2	LRP8
MAPK8IP2	LRP2
MAPK8IP2	MAP2K7
MAPK8IP2	MAPK13
MAPK8IP2	TIAM1
MAPK8IP2	MAPK8IP1
MAPK8IP2	MAP3K11
MAPK8IP2	MAPK8IP3
MAPK8IP2	MAPK9
MAPK8IP2	PRSS23
MAPK8IP2	MAPK8
MET	CTNNB1
MET	INPP5D
MET	HGS
MET	STAT3
MET	EGFR
MET	SRC
MET	DAPK3
MET	CDH1
MET	GAB1
MET	CRK
MET	FAS
MET	CTTN
MET	NCK1
MET	IL6
MET	RAC1
MET	SOS1
MET	CBL
MET	HGF
MET	BAG1
MET	GRB2
MET	CRKL
MET	PLXNB1
MET	SHC1
MFAP5	FBN2
MFAP5	FBLN1
MFAP5	FBN1
MFAP5	FBLN2
NAGPA	FURIN
NAGPA	AP2A1
NAGPA	EPS15
NRAS	ARAF
NRAS	BCL2
NRAS	MAPK3
NRAS	CSK
NRAS	SMAD4
NRAS	CNKSR1
NRAS	MAP2K2
NRAS	RASA1
NRAS	MAP2K1
NRAS	RAF1
NRAS	BRAF
PBX2	PBX1
PBX2	MEIS1
PCDH9	BCL6
PF4	LDLR
PF4	FGF2
PF4	CXCL8
PF4	CXCR3
PF4	THBD
PIK3CA	JAK2
PIK3CA	LCK
PIK3CA	EPHA2
PIK3CA	IL3
PIK3CA	PRKCD
PIK3CA	PIK3R1
PIK3CA	RASGRP3
PIK3CA	NOTCH1
PIK3CA	AXL
PIK3CA	FGFR1
PIK3CA	YWHAZ
PIK3CA	ATR
PIK3CA	RHOA
PIK3CA	RAC2
PIK3CA	SLC9A3R1
PIK3CA	NFKB1
PIK3CA	EGFR
PIK3CA	HRAS
PIK3CA	PDGFRA
PIK3CA	GSN
PIK3CA	NFKBIA
PIK3CA	GNAQ
PIK3CA	GRB2
PIK3CA	RAC1
PIK3CA	YWHAH
PIK3CA	KRAS
PIK3CA	CBL
PIK3CA	JAK3
PIK3CA	RET
PIK3CA	FGFR4
PIK3CA	TEK
PIK3CA	GRIN2B
PIK3CA	IRS1
PIK3CA	RHOG
PIK3CA	NRAS
PIK3CA	FGFR2
PIK3CA	FYN
PIK3CA	SRC
PIK3CA	IRS4
PIK3CA	KDR
PIK3CA	LYN
PIK3CA	SYK
PIK3CA	KIT
PIK3CA	JAK1
PIK3CA	FGFR3
PIK3CA	SH3KBP1
PIK3CA	YWHAQ
PIK3CA	GNA11
PIK3CA	SHC1
PIK3CA	CDC42
PIK3CA	HCK
PIK3CA	SLC9A3R2
PIK3CA	SOS1
PIK3CA	GNA15
PIK3CA	PDGFRB
PIK3CA	ERBB2
PON1	ALB
PON1	CLU
PON1	APOA1
PSMB9	PSMB10
PSMB9	PSMA2
PTEN	UBE2L3
PTEN	MAGI3
PTEN	ESR1
PTEN	AR
PTEN	UBE2I
PTEN	HSPA5
PTEN	CSNK2A2
PTEN	DLG1
PTEN	AKT1
PTEN	ROCK1
PTEN	CSNK2A1
PTEN	STK11
PTEN	CAV1
PTEN	CHGB
PTEN	PTK2
PTEN	PXN
RB1	E2F4
RB1	CEBPB
RB1	PML
RB1	RAF1
RB1	PAX5
RB1	HDAC2
RB1	CCND3
RB1	MYC
RB1	CASP8
RB1	CDK1
RB1	CCNA2
RB1	EP300
RB1	PRMT2
RB1	HDAC1
