gene_select	Gene2
ACAN	CTSB
ACAN	ADAMTS1
ACTL6A	ARHGDIA
ACTL6A	MYC
ACTL6A	NOL3
ACTL6A	RELA
ACTL6B	PRMT5
ACTL6B	SMARCA4
ACTL6B	SMARCA2
ACTL6B	SMARCB1
ACTL6B	CTBP1
AKT2	CHUK
AKT2	CDC37
AKT2	AKT1
AKT2	TSC2
AKT3	PDPK1
AKT3	TCL1A
AKT3	TRIB3
AKT3	TSC2
AKT3	CDC37
AKT3	PRKCD
APC	MAD2L1
APC	CTNNB1
APC	CSNK2A2
APC	TCF7L2
APC	DDB1
APC	PTK2
APC	CSNK2B
APC	JUP
APC2	CDC23
APC2	FZR1
APC2	AXIN2
APC2	ANAPC5
APC2	AXIN1
APC2	CDC27
APC2	CDH1
APC2	ACTA1
APC2	CTNNB1
ARID1A	SMARCA2
ARID1A	SMARCD3
ARID1A	CREBBP
ARID1A	ING1
ARID1A	SMARCD1
ARID1A	GATA1
ARID1A	SMARCC1
ARID1A	SMARCA4
ARID1A	RELB
ARID1A	BCL6
ARID1A	KLF1
ARID1A	MLLT1
ARID1A	SMARCB1
ARID1A	PBRM1
ARID1A	SMARCC2
ARID1A	SMARCE1
ARID2	SMARCE1
ARID2	CCNA1
ARID2	PBRM1
ARID2	SMARCB1
ARID2	SMARCA4
ARID2	SMARCA2
AXIN1	JUP
AXIN1	CTNNB1
AXIN1	APC
AXIN1	BTRC
AXIN1	SH3GL1
AXIN1	SUMO1
AXIN1	PIAS1
AXIN1	TSC2
AXIN1	UBA52
AXIN1	RPS27A
AXIN1	EEF1A1
AXIN1	DVL2
AXIN1	GSK3B
AXIN1	SMAD2
AXIN1	SMAD3
AXIN1	DVL3
AXIN1	TSC1
AXIN1	PPP2CA
AXIN2	SMAD3
AXIN2	CSNK1E
AXIN2	GSK3A
AXIN2	CTNNB1
AXIN2	APC
AXIN2	GSK3B
BAK1	BAX
BAK1	BCL2L1
BAK1	BID
BAK1	BCL2
BCL2L1	BAX
BCL2L1	APAF1
BCL2L1	BCL2
BRAF	AKT1
BRAF	ARAF
BRD7	SERPINB9
BRD7	HAP1
BRD7	LAMA4
BRD7	LRIF1
BRD7	CEP126
BRD7	PTPN13
BRD7	HIST2H2BE
BRD7	HNRNPUL1
BRD7	BRD3
BRD7	IRF2
BRD7	HIST1H2AL
BRD7	NEFL
BRD7	EP300
BRD7	PSMD11
BRD7	BHLHE40
BRD7	HIST3H3
BRD7	FTH1
BRD7	BARD1
BRD7	PAFAH1B3
BRD7	BTBD2
BRD7	DVL1
C8B	C9
C8B	C5
C8B	C8A
C8B	CLU
CCL2	CCR5
CCL2	VCAN
CCL2	ACKR2
CCL2	MMP3
CCL2	MMP1
CCL2	CCR1
CCL2	MMP8
CCL2	ACKR4
CCL2	CCR10
CCL5	IGFBP7
CCL5	CXCL8
CCL5	SDC4
CCL5	CCR5
CCL5	DPP4
CCL5	ACKR2
CCL5	GRB2
CCL5	ACKR4
CCL5	CCR3
CCL5	CCR4
CCL5	CCR1
CCL5	VCAN
CCL5	PF4
CCND1	ZNF8
CCND1	NCOA3
CCND1	CTNNB1
CCND1	PCNA
CCND1	ORC4
CCND1	KLF6
CCND1	UBA52
CCND1	RBL1
CCND1	CDKN2D
CCND1	EP300
CCND1	TAF1
CCND1	MCM10
CCND1	STAT3
CCND1	RBL2
CCND1	HDAC3
CCND1	AR
CCND1	CDK6
CCND1	CDKN2A
CCND1	RB1
CCND1	TSC2
CCND1	NCOA1
CCND1	SP1
CCND1	CDK4
CCND1	CUL3
CCND1	THRA
CCND1	BRCA1
CCND1	GSK3B
CCND1	PIN1
CCND1	CDKN1A
CCND1	CDKN1B
CCND1	RPS27A
CCND1	CDK2
CCND1	ESR1
CCND1	PRKACA
CCND1	THRB
CCND1	RUNX1
CDK4	CCNE1
CDK4	BRCA1
CDK4	CCND3
CDK4	CCND2
CDK4	CDK1
CDK4	CDK2
CDK5RAP3	SRPRB
CDK5RAP3	SMNDC1
CDK5RAP3	MME
CDK5RAP3	FHL5
CDK5RAP3	RELA
CDK5RAP3	CRMP1
CDK5RAP3	CDK5R1
CDK5RAP3	CREBBP
CDK6	CCND3
CDK6	CDK1
CDK6	CDK2
CDK6	CCND2
CDK6	CDK4
CDKN1A	CCND3
CDKN1A	CCND2
CDKN1A	CDC5L
CDKN1A	CCNE1
CDKN1A	CDK6
CDKN1A	CDK2
CDKN1A	CCNA2
CDKN1A	AKT1
CDKN1A	CDK1
CDKN1A	CDK4
CDKN2A	CDK6
CDKN2A	CDK4
CDKN2A	CCND2
CDKN2A	CDC5L
CSNK1A1	TNFRSF1B
CSNK1A1	ACTA1
CSNK1A1	KPNB1
CSNK1A1	FADD
CSNK1A1	PSEN2
CSNK1A1	UBA52
CSNK1A1	PPP2R1A
CSNK1A1	UBC
CSNK1A1	BTRC
CSNK1A1	BID
CSNK1A1	PPP2CA
CSNK1A1	YWHAZ
CSNK1A1	TGFBR1
CSNK1A1	GSK3B
CSNK1A1	CTNNB1
CSNK1A1	HMGB1
CSNK1A1	AXIN1
CSNK1A1	HNRNPC
CSNK1A1	YWHAQ
CSNK1A1	RPS27A
CSNK1A1	CREM
CSNK1A1	PPP2R1B
CSNK1A1L	ARRB2
CSNK1A1L	CEACAM3
CTNNB1	CHUK
CTNNB1	CREBBP
CTNNB1	CDC42
CTNNB1	CSNK2B
CTNNB1	CDK6
CTNNB1	ABL1
CTNNB1	CASP8
DDB2	DDB1
DDB2	SUMO3
DDB2	E2F1
DDB2	ABL1
DDB2	HDAC1
DDB2	CUL4A
DDB2	CUL4B
DDB2	XPC
DDOST	RPN1
DDOST	STT3B
DDOST	TNFRSF1B
DDOST	TUSC3
DDOST	RFXANK
DDOST	STT3A
DDOST	PTP4A3
DDOST	STYXL1
DDOST	MCC
DDOST	GSTK1
DDOST	TMBIM4
DDOST	SMYD3
DDOST	RPN2
DDOST	PGRMC1
DDOST	MAGT1
DDOST	SAP18
DDOST	DAD1
DPF1	RPN1
DVL1	CTNNB1
DVL1	SMAD7
DVL1	CSNK1E
DVL1	ARRB1
DVL1	DVL3
DVL1	FZD1
DVL1	RHOA
DVL1	APC
DVL1	AXIN1
DVL1	RAC1
DVL1	CSNK1D
DVL1	NOTCH1
DVL1	SMAD4
DVL1	DAB2
DVL1	DYNLT1
DVL1	CSNK2A2
DVL1	RAC2
DVL1	SMAD3
DVL1	GSK3B
DVL1	SMAD2
DVL1	SMAD1
DVL1	CSNK2A1
DVL1	EPS8
DVL2	RAC1
DVL2	CTNNB1
DVL2	TRAF2
DVL2	AP2M1
DVL2	ARRB2
DVL2	CSNK2A2
DVL2	AP2S1
DVL2	PARD6A
DVL2	CSNK2A1
DVL2	APC
DVL2	ATN1
DVL2	RHOA
DVL2	ARRB1
DVL3	RAC1
DVL3	CSNK1D
DVL3	DVL2
DVL3	RHOA
DVL3	APC
DVL3	CTNNB1
DVL3	CSNK2A1
DVL3	CSNK2A2
E2F1	CREBBP
E2F1	CCNA2
E2F1	CDK2
E2F1	ATR
E2F1	BRCA1
E2F1	CDK1
E2F1	CDKN2A
E2F2	RB1
E2F2	HDAC1
E2F2	RBBP4
E2F2	SP1
E2F3	E2F1
E2F3	CCNA1
E2F3	RB1
E2F3	CCNA2
E2F3	CREBBP
E2F3	HDAC1
E2F3	RBBP4
E2F3	BCL6
E2F3	CDK2
E2F3	SP1
ECM1	FBLN1
ECM1	ATN1
ECM1	RERE
EGFR	CDK1
EGFR	CTNNB1
EGFR	EGF
EGFR	CRK
EGFR	RHOA
EGFR	CDC42
EGFR	FAS
EGFR	CBLB
EGFR	CEBPB
EGFR	CBL
ELK1	MAPK11
ELK1	MAPK8
ELK1	FOS
ELK1	CREBBP
ELK1	MAPK1
ELK1	EWSR1
ELK1	PIAS2
ELK1	MAPK14
ELK1	ID1
ELK1	BRCA1
ELK1	MAPK3
ELK1	GRB2
ELK1	MAP2K1
ELK1	GRB10
ELK1	EP300
ELK1	SNCA
ELK1	MAPK9
ELK1	CEBPB
F12	GP1BA
F12	APP
F12	SERPING1
FGF13	MAPK8IP2
FGF13	CSNK2A1
FGF13	FGFR2
FGF13	SDC4
FGF13	CD44
FGF13	RPS19
FGF13	SDC2
FGF13	FGFR1
FGF13	FGFBP1
FGF13	CXCL13
FGF13	GPC3
