ACTA1	TPM3
ACTA1	PAK1
ACTA1	FHOD1
ACTA1	CSK
ACTA1	ABL1
ACTA1	CCT5
ACTA1	TNNI3K
ACTA1	TES
ACTA1	CTTN
ACTA1	PXN
ACTA1	SPTAN1
ACTA1	GRB2
ACTA1	ARRB1
ACTA1	EGFR
ACTA1	TJP1
ACTA1	TRAF3
ACTA1	VAV1
ACTA1	XPO6
ACTA1	GC
ACTA1	RAC1
ACTA1	IQGAP1
ACTA1	MARK4
ACTA1	S100A1
ACTA2	PRKCD
ACTA2	CREBBP
ACTA2	MYL6
ACTA2	SNTA1
ACTA2	GC
ACTA2	TPM1
ACTA2	MINK1
ACTA2	TPM3
ACTA2	PXN
ACTA2	CCT5
ACTA2	EP300
ACTA2	TLN1
ACTA2	TTN
ACTBL2	ARRB2
ACTBL2	ARRB1
ACTC1	LASP1
ACTC1	DYNLL1
ACTC1	PPP1R9B
ACTC1	GC
ACTC1	TNNI3K
ACTC1	WIPF1
ACTC1	TLN1
ACTC1	ARRB2
ACTC1	CAPN1
ACTC1	DMD
ACTC1	ACTR2
ACTC1	GRB2
ACTG2	MYL10
ACTG2	ARRB2
ACTG2	TPM1
ACTG2	TPM3
ACTG2	PXN
ACTG2	SHBG
ACTG2	TLN1
ACTG2	LMOD1
ACTG2	GRB2
ACTG2	MYL6
ACTG2	EMD
ACTG2	MYL7
ACTG2	TPM2
ACTG2	MYL12A
ACTG2	VCL
ACTG2	MYL9
ACTL6A	NOL3
ACTL6A	RELA
ACTL6A	ARHGDIA
ACTL6A	MYC
ACTL6B	SMARCA4
ACTL6B	PRMT5
ACTL6B	CTBP1
ACTL6B	SMARCA2
ACTL6B	SMARCB1
ACTL7A	TES
ACTN2	NCOA2
ACTN2	PDLIM1
ACTN2	ACTA1
ACTN2	ITGB1
ACTN2	TNNT2
ACTN2	CSK
ACTN2	MYOZ2
ACTN2	DLG1
ACTN2	TPM1
ACTN2	TTN
ACTN2	NCOA1
ACTN2	DISC1
ACTN2	LDB3
ACTN2	CAPN1
ACTN2	LRRC7
ACTN2	NR1I2
ACTN2	PTK2
ACTN2	DLG4
ACTN2	MYOZ1
ACTN2	SNW1
ACTN2	DMD
ACTN2	PXN
ACTN2	MYOZ3
ACTN2	GRIN1
ACTN2	ACTA2
ACTN2	TPM3
ACTN2	NCOR1
ACTN3	MYPN
ACTN3	NRAP
ACTN3	ACTN2
ACTR10	ACTA1
ACTR10	DCTN2
ACTR1A	SPTBN2
ACTR1A	DCTN1
ACTR1A	PRKACA
ACTR1A	PLK1
ACTR1A	CDK1
ACTR1A	PRKAR2B
ACTR1A	MARK4
ACTR1A	TUBA4A
ACTR1A	CSNK1E
ACTR1A	HSP90AA1
ACTR1A	RAB11A
ACTR1A	DYNC1I2
ACTR1A	TUBG1
ACTR1A	CKAP5
ACTR1A	CSNK1D
ACTR1A	PPP2R1A
ACTR1A	YWHAG
ACTR1A	CETN2
ACTR1A	IQCB1
ACTR1A	SPTBN1
ACTR1A	PAFAH1B1
ACTR1B	DCTN1
ACTR1B	ACTA1
ACTR1B	CHD3
ACTR2	RAB5A
ACTR2	CDC42
ACTR2	DNM1
ACTR2	AMPH
ACTR2	BMP2
ACTR2	MYH9
ACTR2	EPHB3
ACTR2	CD44
ACTR2	RAC1
ACTR2	WASF1
ACTR2	RPS27A
ACTR2	EPHB6
ACTR2	DNM2
ACTR2	WASL
ACTR2	EPHB2
ACTR2	UBA52
ACTR2	CFTR
ACTR2	CLTC
ACTR2	UBC
ACTR2	EPHB1
ACTR2	BAK1
ACTR2	EPS15
ACTR2	ARPC1B
ACTR2	WIPF1
ACTR2	NCKAP1
ACTR2	GRB2
ACTR2	HSPA8
ACTR3	HIP1R
ACTR3	WASF3
ACTR3	ITSN1
ACTR3	DNM2
ACTR3	CTTN
ACTR3	DNM1
ACTR3	SYNJ2
ACTR3	EPHB3
ACTR3	MYH9
ACTR3	RAB5B
ACTR3	NCKIPSD
ACTR3	RAC1
ACTR3	EPHB2
ACTR3	WAS
ACTR3	CYFIP1
ACTR3	WASF2
ACTR3	WASL
ACTR3	MYO10
ACTR3	ABI2
ACTR3	MYO5A
ACTR3	TRIP10
ACTR3	CLTCL1
ACTR3	WIPF1
