gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	lobby	mnc	dmnc	geokpath	laplacian	leverage	lincent	semilocal	topocoefficient	clusterrank	ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity	zi	pc	gc	prestige	stresscent	gilschmidt
A1CF	4.4321500652974	4	0.000475	5	3654.13627	7e-05	0.166667	1	8.5e-05	8523.216806	1858.303571	1.89615982548061e-05	1858.30357142857	405.01171875	3.03809523809524	24	3	2	0	556	60	0.00238095238095237	1798.06195756991	10346	0.28125	4	5	2	0.000406309739619905	0.376736111111111	8	5	3796083544632698	0.166666666666667	0	0.625	0.625125617331026	4	36874	0.22681601018291
A2M	3.83307610115161	13	0.001544	14.769231	32561.107941	0.000163	0.025641	2	0.000239	71848.876023	2172.505952	3.87117425056143e-05	2172.50595238095	616.47265625	0	205	8	3	0.319328367152189	2084	566	0.154525260461415	2079.08223378554	67658	0.0823529411764706	5.25641025641026	14	5	0.00094966590720252	0.0812798383543947	8	15	20657430431476196	0.0256410256410256	0.0799815964758371	0.840236686390533	0.840322006936839	13	273735	0.265166111605129
AAAS	4.74225335391191	2	0.000237	14	0	3.4e-05	1	1	3.4e-05	0	1733.021429	1.65569779038971e-05	1733.02142857143	328.5859375	0	30	2	2	0	268	62	-0.75	1680.48390246345	8787	0.636363636363636	30	3	2	0.00019650480888598	0.573979591836735	8	3	927765859804178	1	-0.960666294775329	0	2.9147465718804e-07	2	0	0.211524646475225
AAGAB	4.22367327555503	1	0.000119	54	0	5.4e-05	0	0	2.9e-05	0	1954.692857	1.02790409756853e-05	1954.69285714286	468.0703125	0	55	1	1	0	911	110	-0.963636363636364	1886.81271081628	23760	1	NA	2	1	0.000318370368394201	1	8	1	2318955886752906	NA	-0.536665852888486	0	2.35527412072445e-05	1	0	0.238580844274722
AAK1	3.69440816811112	22	0.002612	30.772727	1312.015098	0.002046	0.510823	118	0.00021	2624.264376	2264.236905	4.61903843312127e-05	2264.2369047619	681.73828125	3.88015174175263	699	17	22	0.200549769597684	2824	1860	-0.0928306727239555	2157.11964136513	449678	0.138615888615889	357.064935064935	23	13	0.0119734930163516	0.0855019075157534	8	140	3278646626505358848	0.510822510822511	1.58111367125409	0.165289256198347	0.166026032193028	22	31122	0.276362370897323
AAMP	4.67268194230084	1	0.000119	8	0	1.4e-05	0	0	3.2e-05	0	1753.503571	9.24281505392383e-06	1753.50357142857	339.09765625	0	9	1	1	0	217	18	-0.777777777777778	1705.50457340312	4678	1	NA	2	1	8.40757317460812e-05	1	8	1	161705506876140	NA	0	0	-Inf	1	0	0.214024602884005
AAR2	4.90478451858008	1	0.000119	4	0	5e-06	0	0	3.5e-05	0	1667.182143	8.16850122191696e-06	1667.18214285714	288.611328125	0	5	1	1	0	135	10	-0.6	1624.7972551013	2162	1	NA	2	1	2.80050263808767e-05	1	9	1	17937408405391.6	NA	0	0	0.00027131677792791	1	0	0.203488605255374
AATF	3.56321975543156	10	0.001187	41.9	4763.547346	0.001248	0.022222	1	0.000116	10865.613596	2356.866667	3.85206046534888e-05	2356.86666666667	751.2890625	0	429	10	2	0	3573	948	-0.454438952914696	2236.53913304235	271485	0.110483870967742	9.53333333333333	11	8	0.00726558241482918	0.100398516510374	8	11	1212759162255351808	0.0222222222222222	0.141291620935353	0.48	0.480024931413166	10	66050	0.287668334757293
AATK	4.75210732518105	1	0.000119	11	0	6e-06	0	0	3.2e-05	0	1724.828571	9.42617231319886e-06	1724.82857142857	322.544921875	0	12	1	1	0	201	24	-0.833333333333333	1676.99925050591	4124	1	NA	2	1	3.43052135412588e-05	1	9	1	27102490484593.4	NA	-0.5	0	0.000281439235819803	1	0	0.210524663911714
ABAT	4.03941588507658	2	0.000237	53	8192	8.7e-05	0	0	6.9e-05	16384	2051.615476	1.03792757298499e-05	2051.61547619048	533.66796875	2.75	108	2	1	0	1393	218	-0.314641744548287	1972.87940865272	65399	0.5	0	3	1	0.000505772361084664	0.5	8	2	5854816841164790	0	0	0.5	0.504828942124054	2	76780	0.250410774586886
