GeneID	gene	cluster1	Symbol	HCCDB.1.S1	HCCDB.1.S2	HCCDB.1.S3	HCCDB.1.S4	HCCDB.1.S5	HCCDB.1.S6	HCCDB.1.S7	HCCDB.1.S8	HCCDB.1.S9	HCCDB.1.S10	HCCDB.1.S11	HCCDB.1.S12	HCCDB.1.S13	HCCDB.1.S14	HCCDB.1.S15	HCCDB.1.S16	HCCDB.1.S17	HCCDB.1.S18	HCCDB.1.S19	HCCDB.1.S20	HCCDB.1.S21	HCCDB.1.S22	HCCDB.1.S23	HCCDB.1.S24	HCCDB.1.S25	HCCDB.1.S26	HCCDB.1.S27	HCCDB.1.S28	HCCDB.1.S29	HCCDB.1.S30	HCCDB.1.S31	HCCDB.1.S32	HCCDB.1.S33	HCCDB.1.S34	HCCDB.1.S35	HCCDB.1.S36	HCCDB.1.S37	HCCDB.1.S38	HCCDB.1.S39	HCCDB.1.S40	HCCDB.1.S41	HCCDB.1.S42	HCCDB.1.S43	HCCDB.1.S44	HCCDB.1.S45	HCCDB.1.S46	HCCDB.1.S47	HCCDB.1.S48	HCCDB.1.S49	HCCDB.1.S50	HCCDB.1.S51	HCCDB.1.S52	HCCDB.1.S53	HCCDB.1.S54	HCCDB.1.S55	HCCDB.1.S56	HCCDB.1.S57	HCCDB.1.S58	HCCDB.1.S59	HCCDB.1.S60	HCCDB.1.S61	HCCDB.1.S62	HCCDB.1.S63	HCCDB.1.S64	HCCDB.1.S65	HCCDB.1.S66	HCCDB.1.S67	HCCDB.1.S68	HCCDB.1.S69	HCCDB.1.S70	HCCDB.1.S71	HCCDB.1.S72	HCCDB.1.S73	HCCDB.1.S74	HCCDB.1.S75	HCCDB.1.S76	HCCDB.1.S77	HCCDB.1.S78	HCCDB.1.S79	HCCDB.1.S80	HCCDB.1.S81	HCCDB.1.S82	HCCDB.1.S83	HCCDB.1.S84	HCCDB.1.S85	HCCDB.1.S86	HCCDB.1.S87	HCCDB.1.S88	HCCDB.1.S89	HCCDB.1.S90	HCCDB.1.S91	HCCDB.1.S92	HCCDB.1.S93	HCCDB.1.S94	HCCDB.1.S95	HCCDB.1.S96	HCCDB.1.S97	HCCDB.1.S98	HCCDB.1.S99	HCCDB.1.S100	HCCDB.1.S101	HCCDB.1.S102	HCCDB.1.S103	HCCDB.1.S104	HCCDB.1.S105	HCCDB.1.S106	HCCDB.1.S107	HCCDB.1.S108	HCCDB.1.S109	HCCDB.1.S110	HCCDB.1.S111	HCCDB.1.S112	HCCDB.1.S113	HCCDB.1.S114	HCCDB.1.S115	HCCDB.1.S116	HCCDB.1.S117	HCCDB.1.S118	HCCDB.1.S119	HCCDB.1.S120	HCCDB.1.S121	HCCDB.1.S122	HCCDB.1.S123	HCCDB.1.S124	HCCDB.1.S125	HCCDB.1.S126	HCCDB.1.S127	HCCDB.1.S128	HCCDB.1.S129	HCCDB.1.S130	HCCDB.1.S131	HCCDB.1.S132	HCCDB.1.S133	HCCDB.1.S134	HCCDB.1.S135	HCCDB.1.S136	HCCDB.1.S137	HCCDB.1.S138	HCCDB.1.S139	HCCDB.1.S140	HCCDB.1.S141	HCCDB.1.S142	HCCDB.1.S143	HCCDB.1.S144	HCCDB.1.S145	HCCDB.1.S146	HCCDB.1.S147	HCCDB.1.S148	HCCDB.1.S149	HCCDB.1.S150	HCCDB.1.S151	HCCDB.1.S152	HCCDB.1.S153	HCCDB.1.S154	HCCDB.1.S155	HCCDB.1.S156	HCCDB.1.S157	HCCDB.1.S158	HCCDB.1.S159	HCCDB.1.S160	HCCDB.1.S161	HCCDB.1.S162	HCCDB.1.S163	HCCDB.1.S164	HCCDB.1.S165	HCCDB.1.S166	HCCDB.1.S167	HCCDB.1.S168	HCCDB.1.S169	HCCDB.1.S170	HCCDB.1.S171	HCCDB.1.S172	HCCDB.1.S173	HCCDB.1.S174	HCCDB.1.S175	HCCDB.1.S176	HCCDB.1.S177	HCCDB.1.S178	HCCDB.1.S179	HCCDB.1.S180	HCCDB.1.S181	HCCDB.1.S182	HCCDB.1.S183	HCCDB.1.S184	HCCDB.1.S185	HCCDB.1.S186	HCCDB.1.S187	HCCDB.1.S188	HCCDB.1.S189	HCCDB.1.S190	HCCDB.1.S191	HCCDB.1.S192	HCCDB.1.S193	HCCDB.1.S194	HCCDB.1.S195	HCCDB.1.S196	HCCDB.1.S197
72	ACTG2	8	ACTG2	5.4213	7.4235	7.3655	5.654	7.391	8.5087	6.2939	6.212	5.8671	8.8315	4.9485	6.7879	6.4431	6.2872	5.6621	9.251	4.8611	8.6419	7.0301	8.3289	7.0588	8.6675	5.5928	5.27	6.1881	5.8351	6.1456	7.2194	8.595	6.7043	6.2927	7.1663	5.09	6.2758	5.3787	6.2587	5.809	6.8017	5.9651	6.0873	5.7029	7.0022	5.5026	8.7146	7.1978	7.1231	6.8471	6.3781	4.9626	6.981	5.1691	8.0715	5.5797	5.8646	6.0347	6.3908	5.2244	7.0629	5.8552	5.9265	5.0749	5.7056	6.2768	6.6683	6.4125	7.0264	5.5652	5.5007	7.4965	6.1176	5.2931	5.5173	8.4965	5.9877	6.4328	8.1515	5.7388	5.6065	6.7225	5.4292	6.587	5.86	5.6529	6.6269	7.2414	6.9484	4.8424	5.0985	6.1353	4.9342	7.2339	6.393	6.3817	7.2994	6.4	6.4255	7.5472	5.7955	6.924	7.8965	5.2258	5.6316	5.4794	6.8086	4.7065	7.1713	5.9153	5.1435	6.7311	5.0722	6.2138	5.7585	7.0453	6.7482	5.7183	6.3741	6.1885	7.8958	6.0528	6.993	5.0764	5.1831	8.3207	4.6454	6.8702	5.2699	7.8856	6.0644	7.5231	6.1004	5.7341	6.4116	7.5436	6.8234	6.9584	5.0941	5.5331	6.0782	5.8492	6.1131	6.3168	7.1934	6.0231	6.4527	6.1987	6.6762	6.7641	6.6145	4.812	5.7311	5.2901	6.4646	4.6646	5.702	5.9478	7.3729	4.8188	6.9183	5.4753	5.7035	5.5412	7.0398	6.2692	4.5184	5.743	7.2684	6.8358	7.6901	4.8434	6.1733	8.3779	10.0444	7.3246	6.0566	7.3054	7.0327	6.2492	7.5444	4.67	5.3058	7.8274	6.495	7.9431	6.2634	7.69	4.8276	7.8962	5.4057	8.2406	7.1333	5.5628	6.1031	6.6147	5.7652	6.8671	5.7013	6.5727
88	ACTN2	8	ACTN2	4.21505	3.81345	2.88935	4.62695	7.4275	3.96365	3.889	3.31025	4.2751	5.05915	3.6965	5.97	3.19065	4.2878	4.31955	4.9842	3.5093	3.63855	4.05325	3.56465	3.7933	5.95185	3.6738	4.0683	3.47945	4.35425	3.56725	5.0789	3.80115	7.2964	3.4376	4.7352	3.32045	3.1237	4.0852	7.98935	3.28305	9.8735	4.74845	7.94245	5.0616	3.0402	3.27915	3.3021	3.61935	4.77055	3.9347	5.1503	4.29225	6.3887	3.6128	5.67445	4.76885	7.36975	3.442	3.72765	4.1506	3.6552	3.7528	4.25695	4.59635	4.9457	4.02575	7.1094	4.383	7.216	2.8349	3.4005	3.50655	2.79575	2.9405	3.19155	3.8258	3.96185	4.2369	3.5546	4.23215	3.8514	3.329	3.6073	4.9165	3.187	9.69345	3.4853	8.75465	3.44435	3.7795	4.0315	4.0749	5.0238	5.49985	4.21035	4.96545	3.73405	4.80455	4.3709	11.14975	4.31965	2.9081	3.4316	4.74595	3.7336	5.04465	3.85175	3.83185	3.8196	8.95075	4.174	5.22065	3.25935	6.5296	3.28425	7.05555	5.61975	4.1072	7.95835	3.4148	4.34995	3.4195	7.06125	3.37525	3.2973	3.38085	3.7905	4.2057	3.73735	2.8885	4.18135	3.5256	3.7034	3.7531	3.589	3.3352	3.52195	7.2387	3.43895	6.1227	3.7348	3.8051	3.73245	3.0969	3.66075	4.6	3.5915	7.9696	3.80485	5.60335	3.8706	3.6025	4.1848	3.50505	3.74775	3.09955	3.61655	3.6131	4.1002	3.2276	3.72815	3.5344	3.26555	3.5492	7.69845	3.3056	4.1928	4.1047	5.0506	4.00415	9.81705	4.10625	3.4218	5.1257	4.08755	3.4774	3.66995	3.82075	3.80255	4.39745	4.03515	3.59315	3.96825	7.1313	3.50255	6.0072	3.4711	4.1	3.86685	7.05315	3.3402	4.1278	3.3882	3.617	4.09815	4.10885	3.9507	3.8611	4.08255	3.51295
119	ADD2	9	ADD2	3.90715	4.40195	4.22725	4.18275	3.82895	4.12335	3.9864	3.8856	3.9622	3.55065	3.8491	3.8244	3.88315	3.6372	3.86655	3.62925	3.9488	3.73015	4.0212	3.9132	3.9834	3.56475	3.74465	3.8474	3.99625	3.8737	3.9109	3.7996	3.8339	3.8114	3.8447	4.098	4.16075	4.102	3.9598	4.168	4.0265	4.1298	4.0332	3.50645	3.65685	4.364	3.6337	3.9996	3.9799	3.5673	4.06965	3.8687	3.79835	3.62895	4.2045	3.8381	4.4949	3.97205	4.2163	3.64875	3.74255	3.74825	4.1026	3.98685	4.1007	3.5386	4.40645	3.6974	3.9982	3.9647	3.6736	3.70735	3.7656	3.9196	4.1092	3.996	3.79635	3.7797	3.5171	3.99875	3.9364	3.73355	4.04345	3.79575	3.616	3.92965	3.93445	4.31515	4.0109	3.64425	3.7688	4.1423	3.645	3.8279	3.52505	3.77595	3.53465	4.12795	3.932	3.8248	4.02185	3.9383	3.7813	4.1342	4.0841	3.84045	4.6441	4.0794	3.6507	4.0541	3.5799	4.6653	3.6338	4.06325	3.71545	3.759	3.9738	3.65645	4.003	4.1953	4.18025	3.94565	3.9702	4.00025	4.25385	4.0823	4.49975	4.2142	4.1588	3.68705	4.0145	3.789	3.9494	4.27585	3.99655	4.0654	4.09735	4.29345	3.77125	4.1249	4.064	4.1954	4.6157	3.88485	3.91115	4.11345	4.21865	3.74685	3.7437	4.39255	4.22945	3.7346	3.90835	3.8988	4.03755	4.3443	3.89435	4.05855	4.09345	3.66235	3.96015	3.7728	3.5069	4.04055	4.4205	4.2583	3.90795	4.64375	3.77705	3.5998	4.3313	3.70795	3.70585	4.73235	3.56065	3.8518	3.9594	3.83585	3.94815	4.2345	3.8325	4.56605	3.9412	4.26065	3.7549	3.85435	3.5827	3.86625	4.0993	4.55375	3.8462	3.92195	4.52665	4.69695	3.70635	4.4271	4.6795	4.0456	4.12765	3.81785	4.08485
154	ADRB2	20	ADRB2	11.1446	10.2209	11.4155	10.3893	10.6002	10.239	10.4532	8.1375	10.4184	8.9873	9.7717	8.0544	10.035	6.773	11.0713	7.5858	10.6146	9.231	9.9002	9.8647	10.7502	8.0738	10.4139	8.0393	9.7959	10.4462	9.8575	10.0723	10.2556	10.3687	10.9996	9.1644	9.695	8.396	10.3529	7.9341	10.0287	10.1606	10.4093	8.8557	10.4623	9.5767	10.156	7.293	11.0647	8.8238	10.3606	9.781	10.5234	10.1606	10.082	10.1722	9.4374	8.0779	10.0173	6.9286	10.405	11.6678	10.2836	9.38	10.4485	11.5178	11.3759	9.9884	10.0307	10.5711	9.8681	10.72	9.714	9.8682	7.5336	10.3574	7.7928	10.7517	11.1213	11.2147	7.157	9.9395	10.3394	9.966	9.467	11.588	11.1296	10.0743	10.714	10.3097	9.8421	9.9513	9.1601	10.3386	8.8065	10.6819	7.2097	9.4533	7.7682	10.8138	10.9436	9.9086	8.7365	10.3686	6.5716	10.8297	7.943	11.2602	8.5987	8.9589	7.3062	9.2277	11.1275	10.2243	8.6953	10.259	10.5969	9.6875	9.4207	10.7016	9.3249	9.1823	10.6938	10.8134	5.7772	10.6161	10.5103	10.2887	10.1077	10.4582	9.3875	9.7977	8.1921	10.1135	6.6855	9.5273	10.5738	10.5665	10.7588	10.9848	11.3178	10.8687	9.5363	10.4706	10.5446	10.7563	10.5565	10.5436	9.4071	10.164	9.0339	7.8684	9.9247	7.7953	10.6694	10.6763	9.9517	8.9836	9.9196	9.5788	10.3592	9.8987	8.8732	9.4918	10.6403	10.7648	9.284	10.2878	9.7673	10.1843	10.4043	11.0706	9.0524	9.2021	10.5646	10.303	10.0829	10.3055	9.3423	10.7077	9.3438	9.1769	8.9356	10.477	10.1793	8.6618	7.374	9.5675	7.1602	9.9668	10.6979	9.466	9.5236	9.8135	7.6991	10.3552	7.883	10.0568	11.2922	8.9906	10.8199
166	AES	3	AES	10.3818	10.3382	10.07505	10.4787	10.18565	10.2771	10.73335	10.5727	10.1198	11.27505	10.4525	10.79345	10.3499	10.65615	10.09605	10.53095	9.9889	10.2089	10.435	9.85165	10.39835	10.1914	9.7758	10.0461	10.4723	10.448	9.7501	10.2758	10.3057	9.7552	10.58665	10.35665	10.0897	10.1816	9.89745	10.82675	10.19825	9.77565	10.1544	10.0325	10.50135	9.8127	10.08005	10.6511	10.70045	9.65765	10.1048	10.10075	10.4633	9.60965	10.47275	9.8613	10.382	10.385	10.26645	10.55015	10.62185	10.2724	10.44565	9.8813	10.176	9.73955	10.432	9.34965	9.72045	10.14885	10.6933	10.20715	10.1745	10.5069	10.35075	10.1417	9.99365	10.35345	10.6273	10.13445	10.4579	10.0955	10.98035	10.0289	10.02605	10.29715	9.43705	10.53825	9.57385	10.1842	10.4581	10.52175	10.36895	10.5486	9.72565	10.2263	10.9229	10.68245	9.8961	10.44135	9.80605	10.27425	9.9497	10.6566	10.10365	10.56945	9.7776	10.27785	9.6669	10.35195	10.3295	10.3637	9.84785	9.95465	10.24435	10.3743	10.14795	10.5707	10.4305	10.1478	10.2258	10.375	10.1822	10.14555	10.45995	10.2581	10.50915	10.35925	10.56775	10.6809	10.0371	10.466	10.11445	10.3229	10.86865	9.9155	10.2947	10.1403	9.88525	9.67205	9.84995	10.3159	9.8373	9.4961	10.27685	10.18545	9.78485	10.01335	9.3389	10.3669	9.9131	10.5739	10.128	10.8492	10.152	9.86845	10.15205	9.96965	10.3027	9.90685	10.02805	10.6477	10.23705	9.32375	10.2791	10.05785	10.3551	9.78415	10.14955	9.8433	10.14905	9.94955	9.97775	10.2062	9.09255	10.0635	9.77355	10.4498	9.71075	10.18935	10.39275	10.143	10.2449	10.358	10.56085	9.9588	10.45625	10.406	9.4603	10.11845	10.1672	10.0103	10.43975	10.32285	10.27585	10.30225	10.36305	10.3716	10.08375	10.1743	10.2696
176	ACAN	3	ACAN	5.2164	5.4162	5.0372	5.1852	4.9798	6.4428	5.3918	5.6038	5.0864	5.5139	5.1188	4.6742	5.0524	5.2174	5.1245	5.6202	5.3086	5.6049	4.9865	4.9521	5.0358	6.5445	4.5941	5.0562	5.275	5.3301	4.8363	5.6732	5.5552	5.0572	5.2141	6.2804	4.868	5.5455	4.9732	7.0222	5.657	5.089	4.8258	4.7389	4.9899	5.3048	4.9925	7.1625	5.0979	6.3229	4.9926	5.2965	5.3174	5.266	4.9301	5.1823	5.3001	5.5725	5.5281	6.9804	5.2744	5.0706	5.4477	5.8387	5.2075	5.0238	5.0884	5.4225	5.4261	5.3044	4.5958	5.269	5.4486	4.8763	5.7935	4.7921	7.5285	4.9008	5.1092	5.157	5.6685	5.0553	5.1145	4.6271	5.7513	5.5489	4.8408	5.1973	5.3898	5.0359	4.8325	4.6864	5.6194	5.0032	7.177	4.691	5.5235	5.3757	6.2573	5.2098	4.9618	4.9496	6.0871	4.9369	5.5981	4.8283	5.3288	5.1103	4.9645	5.1625	5.2236	4.9696	5.3688	4.8253	5.4786	5.273	5.2217	4.8954	4.9662	4.8191	5.0796	5.7803	5.2573	4.9325	5.2234	5.0416	5.6074	5.2092	5.4083	5.9205	5.555	5.6045	5.7242	4.7386	5.1632	5.2079	5.3401	5.836	5.3055	4.9711	4.8148	5.4521	5.6574	5.2608	5.1303	5.3388	5.4199	5.1573	5.3123	5.3001	7.06	5.1134	5.0121	4.8295	5.6829	5.5387	5.0177	5.7926	4.9384	6.1534	5.6446	5.0311	4.8195	4.3653	5.2516	4.8413	4.7006	5.3566	5.2588	6.4487	5.3697	4.9141	5.0041	5.4143	6.3864	5.3921	5.1892	4.6382	5.4418	5.0022	5.7806	5.3145	5.6198	5.0171	5.3703	6.4546	6.164	4.7641	7.252	5.0218	5.3563	5.2204	6.304	5.6557	5.0697	5.4452	5.5073	5.2555	4.7752	4.8969	5.1264
185	AGTR1	20	AGTR1	13.1215	13.4881	12.3847	13.0045	12.3049	12.2991	13.1499	12.7185	13.3604	11.9879	13.0854	12.6418	12.9887	11.7698	12.9005	11.9924	13.3471	11.233	13.0508	13.2744	13.3004	11.4444	12.9703	12.1254	12.9927	11.0029	13.0451	12.414	12.7717	12.4846	13.2768	12.5733	12.9741	13.1056	12.8838	13.06	12.9906	11.7613	13.1921	11.3025	13.0574	12.7079	12.7149	12.0055	13.3673	12.5009	13.3185	12.2015	13.1635	12.5055	13.1858	11.8499	12.9351	10.1112	13.0115	12.4684	12.9578	12.5785	12.7527	12.4992	13.0031	12.8115	13.5437	11.8809	13.224	12.3221	12.9521	13.453	11.6419	13.2164	10.0225	13.1174	12.5231	13.367	12.4812	13.2474	12.6621	13.1847	12.247	13.201	11.8698	13.214	12.8293	13.1357	11.9412	13.4517	12.6238	13.2165	12.6012	13.3404	11.0347	13.4604	12.8885	13.1758	12.6512	13.3608	12.2692	13.5239	12.6932	13.1139	11.9608	13.283	12.5483	13.4158	11.8021	13.2403	12.0643	13.1239	12.2561	13.0474	12.99	13.3465	12.3	11.5655	12.9897	10.6639	13.1281	11.7314	13.2906	12.3217	8.7996	13.0911	12.7692	13.5018	12.9656	13.2117	12.4043	13.0595	12.0242	13.271	12.9265	13.0173	13.1007	13.2092	12.3503	13.2077	11.9418	12.8241	12.4024	11.7194	12.9098	13.3418	12.8502	12.8322	11.1422	12.8486	12.318	12.5007	12.907	12.1895	13.0178	12.6103	12.9406	11.7718	13.2162	12.3349	13.0051	12.5393	12.713	12.6782	12.9642	11.9666	12.9313	12.8111	13.3028	12.2255	13.4771	12.4466	10.531	12.8993	11.2916	13.2377	12.6121	13.2301	11.7809	12.7658	11.72	13.0932	12.6903	13.1349	11.9954	13.214	13.0269	13.0679	11.6672	12.7481	9.7979	12.923	10.2148	12.9651	13.0358	13.1364	11.8655	12.9229	12.0357	13.0637	12.9156
196	AHR	2	AHR	10.7083	10.7247	10.7083	9.8473	11.5401	11.039	10.5023	8.809	10.3406	8.9363	10.5623	11.1595	10.8988	9.3273	10.8351	10.4874	11.0527	10.7808	10.0421	10.8025	11.2837	9.9659	10.6892	10.2841	10.7998	11.2893	10.7735	10.1389	10.5663	10.7377	11.0001	10.4589	10.8538	10.9316	10.645	9.4272	10.6841	11.4107	10.8638	10.0346	10.8834	10.6242	11.1018	10.2452	10.9923	9.9779	10.8614	10.8689	11.1513	10.8963	10.9287	9.825	10.5682	8.744	10.7278	9.8667	10.2936	9.8867	10.5733	10.2998	10.8317	10.9512	11.0982	11.4358	10.6019	11.5462	9.9375	10.5546	10.9849	10.3637	11.5836	10.8437	11.1902	11.2187	10.2907	10.997	11.4187	10.5656	10.4108	10.9033	10.1185	10.7834	11.4333	11.019	11.8121	10.9521	10.922	10.8835	10.1885	10.414	10.1568	10.2783	10.6808	10.0953	10.4117	10.9248	11.1737	10.8686	10.9898	10.7559	10.6802	11.2453	10.8528	10.8611	8.6512	10.6961	10.1133	10.321	11.4219	11.1835	9.5329	10.8354	11.5018	9.3773	10.2226	11.9084	10.879	10.0125	11.0781	11.8396	10.4351	10.9062	10.9352	10.3664	10.6009	10.5076	10.5261	10.5553	10.4563	10.6668	10.4297	11.0732	11.0564	10.1143	11.7205	10.8147	11.0157	11.4214	11.194	9.5677	10.942	11.2502	10.666	10.8033	10.1471	10.7098	9.7949	10.1062	9.6964	9.7588	11.1419	11.1882	10.7616	10.2147	10.6032	10.6049	10.8638	10.9926	10.5909	10.8767	11.0517	10.9662	10.4471	11.763	10.9654	10.8853	11.1271	11.1902	10.1654	10.7765	11.4151	10.9194	10.8048	11.0655	10.6433	11.2598	9.2331	10.6426	10.5262	11.2955	11.328	10.7229	9.8655	10.6544	10.6316	10.1283	10.9559	10.9252	9.8759	10.372	10.1792	10.5117	11.0542	11.2066	11.4867	10.6622	11.0996
208	AKT2	2	AKT2	8.0106	7.831	8.3593	7.9932	8.5155	8.0797	8.0522	8.4192	7.4883	7.9894	7.7693	8.9997	8.051	9.0196	7.9995	9.3846	7.7045	7.8745	7.7725	7.3376	7.476	8.3155	8.122	8.2971	7.8767	9.107	7.9642	9.6226	8.5874	8.2263	7.9262	9.4795	7.8859	8.0131	8.0218	8.706	8.0078	8.7581	7.5664	9.5043	7.8104	9.3196	8.425	8.9674	7.7932	8.6533	7.9206	7.7245	7.8208	7.6182	7.4873	8.0218	7.7831	8.3442	7.3896	9.3919	8.5213	8.9897	7.8019	7.8022	7.4702	7.1893	7.7465	8.217	7.9852	8.354	8.7679	7.731	7.738	7.2699	8.4529	7.475	8.9165	7.2975	9.3862	7.6123	8.8511	7.7166	9.6923	7.9882	7.0333	7.8498	8.2891	8.2682	8.4935	7.4713	8.0891	7.463	8.2461	7.2778	7.6708	7.7436	8.2296	7.9469	7.7101	7.4149	8.1725	7.3857	9.4977	7.9034	7.8687	7.6103	8.6104	7.5378	8.6449	8.0418	7.9804	7.6247	7.6011	8.3396	9.1716	7.6865	8.4885	8.7481	7.5729	7.7395	7.7593	7.7415	7.2646	8.7275	10.4256	7.9389	7.8674	7.7439	7.5602	8.4176	8.0299	7.8596	9.636	8.8163	9.5505	8.3151	8.6972	7.8325	8.3337	7.4094	7.8957	7.3515	7.1687	8.5791	7.2394	7.6491	7.0776	7.0714	7.0727	7.4983	7.6603	8.9496	8.0682	9.6101	7.4219	6.9675	7.751	7.9207	7.5724	7.0226	7.7156	8.1928	7.8126	8.2343	7.3925	7.0244	7.3459	7.6441	7.5533	7.2456	7.6283	7.8127	8.6427	6.5728	7.7838	7.0018	8.3358	7.5954	8.3124	7.7112	7.651	7.4057	6.914	7.231	8.0245	7.7244	8.3352	7.5449	8.0984	7.5	8.3207	7.4311	8.2344	7.3019	8.3437	7.4565	8.0382	7.8166	7.6178	7.6667	7.1475
274	BIN1	15	BIN1	8.7958	8.1663	9.4421	8.6056	9.7449	9.4425	9.0253	9.4478	8.3043	9.2222	8.692	9.4921	8.3789	10.3681	9.1033	8.9591	8.3537	8.6194	9.1608	8.8353	8.5467	8.8845	8.992	9.3448	8.9968	8.6088	8.7797	9.1357	8.9262	7.8028	8.8135	8.6503	9.1847	9.1252	8.5666	9.2866	8.4576	8.3047	8.6443	10.4124	8.6579	9.8403	9.0885	9.4169	8.8456	8.4232	8.5412	8.4727	8.8991	9.1495	8.6701	9.819	8.9345	9.9083	8.7221	9.6354	8.7585	9.9786	8.9259	9.1485	8.6633	9.6864	8.1788	8.7684	9.1203	9.8403	9.3175	8.9233	8.4177	8.8587	10.6578	8.9452	9.2785	8.9959	9.2417	8.9286	10.3745	9.0944	10.1171	9.3976	8.9881	9.5693	8.804	9.134	8.4805	8.782	8.4087	8.6156	7.559	8.8693	8.9284	8.4047	8.9114	8.9659	11.3678	8.5232	9.4464	8.658	10.4881	8.9627	8.7063	8.8932	9.2307	8.7727	8.1384	8.7774	9.7877	8.6543	9.2002	9.3052	8.9035	8.3614	9.6181	9.8698	8.7671	8.1259	8.225	9.3406	8.6123	9.7073	10.0975	9.0177	9.4479	8.7809	9.5016	8.8863	9.7021	8.948	9.1924	9.223	9.8581	8.7868	9.0822	8.6468	9.6628	8.3019	8.2797	8.8908	8.2991	9.1645	8.2088	8.482	8.5443	8.0267	9.5021	8.9003	9.5829	9.5964	8.5254	10.3712	8.9793	8.3192	8.2555	8.6924	8.6364	8.6154	8.4976	8.4439	9.2523	9.1216	8.5996	8.7647	8.4933	8.8479	8.7101	8.0745	8.3848	8.6216	8.3884	8.6423	7.4871	8.6902	8.6826	8.8728	8.7021	8.75	9.5674	8.7693	8.7847	8.4205	8.6577	8.6048	9.5208	8.7549	8.6322	8.983	8.9475	8.6467	8.8307	8.8569	9.05	8.9135	9.5823	8.9911	9.7312	8.8394	9.0618
