"SUID","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","selected","shared name"
"255","Cluster 1","Clustered","10.745098039215687","AURKB","false","AURKB"
"285","Cluster 1","Seed","12.0","NUF2","false","NUF2"
"281","Cluster 1","Clustered","10.745098039215687","CENPP","false","CENPP"
"279","Cluster 1","Clustered","10.745098039215687","SKA1","false","SKA1"
"438","Cluster 1","Clustered","11.868131868131869","BUB1","false","BUB1"
"277","Cluster 1","Clustered","10.745098039215687","CDCA8","false","CDCA8"
"275","Cluster 1","Clustered","10.85897435897436","CENPH","false","CENPH"
"269","Cluster 1","Clustered","11.3","ZWILCH","false","ZWILCH"
"300","Cluster 1","Clustered","11.0","CENPK","false","CENPK"
"298","Cluster 1","Clustered","11.2","CDCA5","false","CDCA5"
"265","Cluster 1","Clustered","9.615384615384615","CENPM","false","CENPM"
"296","Cluster 1","Clustered","11.868131868131869","SPDL1","false","SPDL1"
"293","Cluster 1","Clustered","11.029411764705882","INCENP","false","INCENP"
"261","Cluster 1","Clustered","11.3","CENPI","false","CENPI"
"291","Cluster 1","Clustered","11.3","SPC25","false","SPC25"
"418","Cluster 1","Clustered","11.029411764705882","PLK1","false","PLK1"
"289","Cluster 1","Clustered","10.745098039215687","CENPN","false","CENPN"
