ADRB2	AGTR1	CNR1	CRHR1	GALR1	GALR3	GHSR	GNA12	GNAO1	GNAS	GNB2	GNG13	GNG3	GNG7	GNGT1	GPR84	GPSM2	GRPR	HTR1A	HTR1B	HTR1E	HTR5A	HTR6	LPAR3	MCHR2	NMUR1	NPFFR1	NPY1R	NPY2R	OPRK1	PLCB3	PTGDR	PTGFR	SLC9A3R2	SSTR3	SSTR5	TAAR1	TAAR5	TAAR6	TAAR8	TSHR	UTS2R	GNAT3	RGS16	TTC1	GABRB2	HEXIM1	S1PR1	RDX	SCRIB	if_health
spl	-0.672740162623211	-0.277355944940365	0.947958110167224	-3.99829723685266	0.305930031069167	0.238917818229032	0.301673356932314	-0.357746276496305	0.254485083643805	0.353118304357676	-0.433758314654339	-0.195749420773889	-0.202681718653901	-0.166439178860153	0.172756940216275	0.366739661595596	-0.0367930465777986	0.518398880128516	0.164243591942578	0.328916071408154	0.509642293332703	0.378171872134558	0.468656602357891	0.213134534885824	0.38644198188616	0.0624482704413363	0.424995287639909	0.30921375111759	0.300092306538628	0.322105392789193	0.256066134037489	0.515966494907452	0.433387016652564	-0.228100144213951	0.38644198188616	0.313713663776548	0.329645786974469	0.376955679524031	0.390577036761951	0.304713838458631	0.135541446334105	0.424752049117803	-0.0225635930346157	-0.232964914656068	-0.00505041944300927	0.167162454207852	-0.255464477950844	-0.174101192306482	-0.0887244710473721	-0.223235373771834	1
degree_centrality	0.792609406678719	0.275932932120911	-0.461515816800523	-0.461515816800523	-0.0188153922912605	0.423885032218002	0.0551606577572846	0.0551606577572846	0.0551606577572846	-0.387539766751978	2.41488106672767	4.55382920133443	3.37368002790374	1.82480648001232	0.423885032218002	-0.0927914423398056	-0.387539766751978	-0.314141654594437	0.497283144375542	-0.240165604545892	-0.240165604545892	-0.0188153922912605	-0.0188153922912605	-0.0188153922912605	-0.166189554497346	0.202534819963371	-0.0927914423398056	0.0551606577572846	-0.0188153922912605	-0.0927914423398056	-0.166189554497346	-0.240165604545892	-0.166189554497346	0.128558769914825	-0.166189554497346	0.202534819963371	-0.314141654594437	-0.0188153922912605	-0.240165604545892	0.0551606577572846	-0.461515816800523	-0.0188153922912605	1.75140836785478	-0.0927914423398056	-0.314141654594437	-0.387539766751978	-0.314141654594437	-0.314141654594437	-0.240165604545892	-0.461515816800523	1
average_neighbor_degree	0.767051162719208	0.336599747389838	0.257860817141701	-0.99511498541982	1.56732323375313	1.42280553874094	1.51083661970322	0.0410435015583714	-0.0639416976913041	-0.912952637710868	-0.328798393113059	-0.480426582020673	-0.547786643328728	-0.448610897198509	-0.56963139320115	1.91577962499465	0.716600605543741	0.761105196859033	0.730294316468176	1.27256581134726	1.7244587237465	1.53651235336227	1.34137677755351	0.797051223981699	1.75732366283008	1.39132774657373	1.74558619632342	1.22326840272189	1.31570104389446	1.8336172772857	0.141464171581076	1.94629706256067	0.805609788174324	-0.407654199300812	1.75732366283008	0.88341506658427	1.42867427199427	1.88570233112532	2.11062175797857	1.75732366283008	-0.132410334475822	1.39786339160341	-0.115721107597441	-0.0267730126723807	-0.204302388721155	-0.529528362096149	0.637861675295604	0.586510207977509	-0.477492194853421	1.05894370730398	1
betweenness	1.76000882102806	0.373423504293239	-0.250725996394235	-0.250830074904386	-0.250011261744095	-0.244272095867559	-0.102981704265661	0.139840458564378	-0.199226183162347	-0.237230141900026	1.1698860376252	1.23249248210527	0.962530286357031	0.985668948762294	-0.156654171282558	-0.250598514097042	-0.231729765370318	-0.250645770886251	-0.195150316835916	-0.246566886086248	-0.250756998637302	-0.249542535214721	-0.22657947754597	-0.247505923570618	-0.249558118188753	-0.235129681294914	-0.249541918458833	-0.244494403692684	0.342041622212774	-0.250654930733733	-0.244049004900427	-0.250787452307173	-0.249652523759058	0.553988607563857	-0.249558118188753	0.0648515924293059	-0.250212030101269	-0.249296736534587	-0.250745122774196	-0.249848457270637	-0.246835862067119	-0.102041073529494	-0.0698921548036532	-0.0241925254968489	-0.056726646740046	-0.229552004439496	-0.189535621906565	-0.22084645697696	-0.220600637943785	-0.24085753074302	1
eigenvector	-0.0298380420595529	-0.130787012983791	-0.142232069031889	-0.142410898032641	-0.139102561518737	-0.136867199009343	-0.139281390519489	-0.134542421999573	-0.14053319352475	-0.14053319352475	-0.10843338788985	-0.123365609452603	-0.127210432968761	-0.133916520496943	-0.13946021952024	-0.139549634020616	-0.138029587514228	-0.141606167529259	-0.138297831015356	-0.140890851526253	-0.140801437025877	-0.139549634020616	-0.140264950023622	-0.139817877521743	-0.140175535523247	-0.137761344013101	-0.140175535523247	-0.139728463021368	-0.140086121022871	-0.139639048520992	-0.141427338528507	-0.140622608025125	-0.141248509527756	-0.121934977446591	-0.140175535523247	-0.139728463021368	-0.140354364523998	-0.139549634020616	-0.140264950023622	-0.138655489016859	-0.140622608025125	-0.140175535523247	-0.132754131992058	-0.12828340697327	-0.139281390519489	-0.139907292022119	-0.135794225004834	-0.138387245515731	-0.137940173013852	-0.121934977446591	1
cluster_coefficient	-0.0360535415858382	-0.107407440496186	-0.559328249783801	-0.559328249783801	1.57114765223303	1.12632132769914	1.09770903633505	-0.440967530571354	-0.204250353098263	-0.559328249783801	-0.0916632235802816	-0.266443205629939	-0.389606017525532	-0.252667548447498	-0.231563054162119	1.26679212582271	-0.559328249783801	0.860987597910154	0.252280806041316	-0.559328249783801	1.57114765223303	1.41897201950378	0.049378542085037	1.26679212582271	1.42911734574918	1.06757984612873	1.26679212582271	0.742631139649511	0.505909701224616	1.87550317864335	-0.275263375864288	1.14505247182967	0.00879723710342026	-0.559328249783801	1.42911734574918	0.292862111022933	0.150831804539079	0.962440860364196	1.57114765223303	0.979348317122602	-0.559328249783801	0.810265227634938	0.385640075603962	-0.153523721871242	-0.559328249783801	-0.559328249783801	0.150831804539079	-0.559328249783801	-0.133233069380434	-0.559328249783801	1
harmonic_centrality	1.1973824672245	0.604084664194949	-0.607379411036592	-4.01191733617739	-0.050363256320785	0.0301640219598212	-0.0364224290230118	0.696107026959963	-0.00540523968929108	-0.141843491345595	0.842605816145154	0.572771303369563	0.554768877293079	0.483182533505181	0.0633035130204477	-0.104083623275062	0.283368978145061	-0.248333774249791	0.0968271052377548	-0.0698170541204923	-0.235492074829965	-0.114846948119038	-0.190661240159575	0.0463356453011891	-0.123058923174113	0.207120112999834	-0.149789202205341	-0.0433961138928303	-0.0399980548433008	-0.0608396722446743	-0.0159462227788119	-0.243644240002549	-0.165999058088541	0.512671631682224	-0.123058923174113	-0.0438727394964087	-0.0835251772648917	-0.10967135613011	-0.130561570827326	-0.04635960219276	0.0711874592724515	-0.148219143333038	0.317378543320791	0.517689284225982	0.23408122859754	0.0460030264264137	0.547428846295092	0.440238576278606	0.324469982723786	0.483785323670697	1
markovcent	1.34260889767028	1.11118482407287	-0.298869432791785	-2.06309831640414	0.929883262245077	1.23277013205852	0.933447573105543	0.936992193110736	0.937253067332645	-0.302729652528579	1.53935148007921	1.61277416893682	1.58484665878929	1.48893279500093	1.16491988847172	0.844119125906655	0.135332001052287	0.392400652786913	1.23853419351735	0.588067983034538	0.585850045872895	0.925605562497206	0.894390652225154	0.925413795725214	0.729133730189742	1.12122182636142	0.842951360826349	1.00009704950231	0.843918039773355	0.844420402752998	0.706494132653656	0.590337230296856	0.725586580805128	0.900252963187244	0.72913373018973	0.968927095515371	0.398436056052001	0.931377351759165	0.590321105893285	1.00493916224567	-0.435392850019249	0.84306281639284	1.48193803165951	0.710285577369645	0.107473837109591	-0.00678444429051182	0.395238572457728	0.407556715989913	0.520440845204138	-0.262686049208867	1
closeness_latora	1.19741195573597	0.604113645425975	-0.607351462415917	-4.01189228997083	-0.0503348330206663	0.0301925142660209	-0.0363939927881322	0.696136087896675	-0.0053767766035035	-0.141815145392543	0.842635001373202	0.572800258496244	0.554797817965364	0.483211411786445	0.0633320325770245	-0.104055244513963	0.2833976861101	-0.248305520265192	0.096855655288068	-0.0697886461385786	-0.235463808239567	-0.114818578760663	-0.190632937021903	0.0463641506127167	-0.123030562612868	0.207148757177278	-0.14976086443834	-0.0433676838664346	-0.0399696215827853	-0.0608112571680463	-0.015917770391244	-0.243615980214384	-0.165970732808921	0.512700536456085	-0.123030562612868	-0.0438443097643059	-0.0834967807856791	-0.1096429822461	-0.130533214981744	-0.0463311754785255	0.0712159856642127	-0.148190802657101	0.31740728032486	0.517718192231949	0.234109895467001	0.0460315320048274	0.547457779138097	0.440267418388011	0.324498726036755	0.483814203363186	1
closeness_residual	1.73357786526326	0.746093842575818	-1.02052521598702	-2.24980791175368	-0.263557255456771	-0.143559128897815	-0.238430983160205	0.897642388994959	-0.200652798806812	-0.413198464931772	1.12205174471605	0.669870309465442	0.644711755020314	0.540784758086593	-0.108307022669313	-0.337580222106913	0.235826061347965	-0.540987350010092	-0.0502637195568167	-0.287521370405145	-0.52154542603929	-0.353656732090241	-0.457110257511736	-0.118040090460425	-0.363965498197355	0.121638721529971	-0.39732371837695	-0.248728988551131	-0.246065711294857	-0.274307210927551	-0.217372261582311	-0.534253831856098	-0.42518052240596	0.592183318953638	-0.363965498197355	-0.249417674387097	-0.313314807105304	-0.344359473304702	-0.375845328867765	-0.257186911474087	-0.100898269574587	-0.395257660869053	0.280509935314343	0.602820286904454	0.151596555394486	-0.134657326432147	0.655386385477785	0.479341068659015	0.29093168894142	0.545497951776484	1
