TNFRSF8	HSBP1	TRIB3	HIST1H4D	TOMM34	EIF2AK3	CRY1	NR5A1	CDC37	ZFAND5	MARK2	ERBB2	CRTC2	HSPA1L	CAD	CHRM4	CNTN2	YBX3	NPAS2	BID	NFKB2	HSF1	CASP14	ARID3A	AKT2	SUB1
spl	0.0960151864919254	0.956228219918815	-0.0690221507568087	0.934944849234566	1.113117066677	0.528006801751687	0.602194550993931	1.87348068677949	-0.2344243457887	0.408090210353566	-0.439352800662772	-0.489095078433397	-0.149169243790643	-0.135912744335881	-0.385353848755303	-0.41612352180168	-0.240748547363449	-0.366624482553161	-0.047495541550454	-0.134331693942196	-0.80895373500242	-0.321990213746758	0.263971386005923	0.0147735201086066	0.0262057306475781	-0.231870341306594
degree_centrality	-0.314141654594437	-0.534913928958064	-0.314141654594437	-0.461515816800523	-0.534913928958064	-0.461515816800523	-0.387539766751978	-0.461515816800523	-0.0927914423398056	-0.461515816800523	-0.0188153922912605	0.497283144375542	-0.461515816800523	-0.387539766751978	-0.240165604545892	-0.461515816800523	-0.166189554497346	-0.240165604545892	-0.314141654594437	-0.166189554497346	2.26750690452159	-0.0188153922912605	-0.461515816800523	-0.240165604545892	-0.240165604545892	-0.0927914423398056
average_neighbor_degree	-0.337816203748203	-0.78970911614744	-0.142680627939441	-0.769168529220202	-0.871871463856392	-0.748627942292964	-0.94034010064091	-0.99511498541982	-0.296735029893727	-0.687006181511249	0.530023593927605	-0.162536514942047	1.42867427199427	0.456419810411277	0.993213829136823	3.93462587711731	-0.235113269112012	0.771375490322652	-0.214572682184774	-0.495294023163303	0.0477147966241214	-0.0656534269622986	-0.502140899166107	-0.502140899166107	-0.444627255769841	0.0671268015432293
betweenness	-0.10245606319373	-0.250839860020807	-0.219508627796952	-0.25062153002164	-0.250839860020807	-0.248445745429921	-0.24725282304091	-0.250392510585162	-0.0678310394471417	-0.250500587724427	-0.0772260580526882	0.335705580008168	-0.243220917015388	-0.239351445488073	-0.229758294009469	-0.24409418507266	0.0311515712376136	-0.227662725903857	-0.17896925409947	-0.125038657296577	1.50637657754535	-0.211503288587825	-0.250839860020807	-0.228062435658687	-0.229137065325171	-0.163367383519871
eigenvector	-0.127210432968761	-0.142321483532265	-0.134810665500701	-0.142232069031889	-0.142410898032641	-0.140890851526253	-0.141695582029635	-0.142410898032641	-0.0851856177921513	-0.13820841651498	-0.102263787363922	-0.120236101939451	-0.133827105996567	-0.106555683381959	-0.0901034153128183	-0.0464691391294452	-0.131144670985294	0.0483102312688654	-0.132128230489428	-0.137314271511222	0.372258966130261	-0.122292635448094	-0.140801437025877	-0.138566074516483	-0.139102561518737	-0.122024391946966
cluster_coefficient	0.150831804539079	-0.559328249783801	0.150831804539079	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.153523721871242	-0.559328249783801	-0.102797090644222	-0.478165639820568	-0.559328249783801	-0.559328249783801	0.292862111022933	-0.559328249783801	-0.275263375864288	-0.559328249783801	0.150831804539079	-0.275263375864288	-0.375319046126607	-0.25497272337348	3.70162355424987	-0.559328249783801	-0.133233069380434	0.252280806041316
harmonic_centrality	0.121456664592917	-0.645524487156417	0.307734906296256	-0.628024856450965	-0.756008061789718	-0.307867103154724	-0.364206020054894	-1.18568305362838	0.507507254635036	-0.194833031275342	0.807544870199589	0.876518186729199	0.408010281571158	0.401082391439292	0.724697081051651	0.759551487901114	0.519035983944663	0.684828759187314	0.294778082979525	0.378379213818736	1.45074256029702	0.640754921308906	-0.0580049814980433	0.21395455077908	0.204035217421108	0.536731025942833
markovcent	0.0970091125519673	-1.05215179668801	0.343645507073913	-0.475976129999195	-1.15471864860927	-0.500387808761192	-0.290426663855567	-1.05524686198001	0.678986223104162	-0.373182840032915	0.915479507888012	1.23724855902778	-0.267799852022636	0.102668875521899	0.60414905666119	-0.315306419266131	0.493685913557872	0.581342719472607	0.191242291988514	0.681548913168744	1.57402653320184	0.906515415106574	-0.328501420969398	0.516366881596836	0.48346107327174	0.741451188262176
closeness_latora	0.121367480207075	-0.645496572175228	0.307763634617943	-0.627996925238571	-0.75598023946352	-0.307838898591398	-0.3641778638812	-1.18569765298137	0.507418400034934	-0.194804730509118	0.807574026501364	0.876547401287218	0.407921342012891	0.401111199036791	0.724726165284433	0.759580602267212	0.518947139399984	0.684740056134564	0.294806801720375	0.378408003728122	1.450772264637	0.64078393362359	-0.0579765649964748	0.213983198728547	0.204063857649314	0.53675994909235
closeness_residual	-0.02214058780218	-1.09222117776173	0.267422214251945	-1.07075892932682	-1.2260158875619	-0.653334607360115	-0.726230388989672	-1.65804384648384	0.582799974438603	-0.490455026796098	1.08149998576547	1.18912866906751	0.429825633124689	0.424246201781747	0.94637767260573	1.00191372884666	0.60423532108304	0.873075673940115	0.254533566439006	0.374539763535102	2.1555916326837	0.80864050541256	-0.292299128392158	0.122375830588779	0.107238193092764	0.643250987797934
