ABI1	ADAM12	ADAM15	ADAM17	ATF7IP	BIN1	CLTB	DNAJC6	DOCK1	DOCK3	EPS8	F13A1	FGB	FLNB	ITGA3	ITGB3	LAMA2	LAMA4	LAMC1	LAPTM5	MAD2L2	NCKAP1	PICALM	PSEN2	RAB5B	SH3GL1	SH3GL2	SH3GL3	SHB	SNX4	USP13	WASF2	SH3D19	MCAM	DPEP1	ASAP2	EPN2	USP6NL	FGA	NPHP1	LAMB2	UBAC1	PACSIN1	LEPROT	FNBP1L	if_health
spl	-0.418069429978524	-0.609984623919939	-0.150750294184338	-0.258869817260328	0.272241495757516	-0.378056693092133	-0.110494318775832	-0.180182155359126	-0.187965788066507	-0.0472523030283492	-0.146128762264326	0.187959347847889	-0.214600406237084	-0.0314417990914714	-0.0862920858263188	0.118271511264595	0.240012391578516	0.0809343981213638	0.471940322406323	-0.176290339005431	0.0075979837064889	-0.262761633614014	-0.254613143123475	-0.326125268622559	-0.0206176848577721	-0.574228561170392	-3.99951342946319	-0.278328899028787	-0.550634424526142	-0.153790775710655	0.27199825723541	-0.561580158020903	-0.0336309457904292	-0.144912569653799	0.165946261597315	-0.338043956205742	-0.295233976315129	0.558168378492801	-0.187844168805455	-0.189303599938087	1.01217308000313	0.0774074395508354	0.0654887519676534	1.11834669490228	-0.0546710779525725	1
degree_centrality	0.349908982169457	-0.0188153922912605	-0.461515816800523	-0.0188153922912605	-0.314141654594437	0.128558769914825	-0.0927914423398056	-0.166189554497346	-0.314141654594437	-0.534913928958064	-0.314141654594437	-0.314141654594437	-0.0188153922912605	-0.387539766751978	-0.0927914423398056	-0.387539766751978	-0.387539766751978	-0.314141654594437	-0.314141654594437	0.202534819963371	-0.166189554497346	-0.314141654594437	0.423885032218002	0.0551606577572846	-0.0188153922912605	0.423885032218002	-0.534913928958064	-0.0188153922912605	-0.0927914423398056	-0.0188153922912605	-0.240165604545892	0.202534819963371	-0.0927914423398056	-0.534913928958064	-0.461515816800523	-0.240165604545892	0.497283144375542	-0.534913928958064	0.349908982169457	-0.240165604545892	-0.461515816800523	-0.387539766751978	-0.461515816800523	-0.534913928958064	-0.240165604545892	1
average_neighbor_degree	-0.246173594630027	1.66489102165751	1.81894542361179	-0.235113269112012	-0.830790290001916	-0.115977864934032	-0.273260055799237	0.0524549478693201	0.37083404524151	2.33246009679274	-0.163221214866679	-0.584303246875059	-0.0502479867668701	-0.0228605238368281	-0.490403432659449	-0.556915783945017	-0.365203666678245	-0.327545910284584	-0.697276474974869	-0.5245488308509	0.00452689801204007	0.730294316468176	-0.296735029893727	-0.260218426347395	-0.389167671066298	0.28133579123619	-1.0361961592743	-0.276194442966489	2.12705422752036	-0.291599883161917	-0.436411020998945	0.939434834174493	-0.813184090241929	4.42759996337102	-0.15295092140306	0.549537151508481	-0.173491508330298	-0.666465594584011	-0.375737290466271	-0.337816203748203	-0.78970911614744	-0.173491508330298	-0.132410334475822	-0.912952637710868	-0.518573368707897	1
betweenness	0.0404157566719887	0.109581866614558	-0.216070528841173	0.0386271729141023	-0.0989493930971787	-0.0611260400341722	-0.245870317113339	-0.249749611919029	-0.245446805121526	-0.250839860020807	-0.231852368221357	-0.0711483567381796	-0.0184225213366565	-0.235082900727751	-0.131294769777699	-0.24533342534939	-0.162260697988125	-0.201387835991079	-0.197961450543754	-0.106138488776298	-0.224365694548646	-0.23640544819789	-0.0339896417387558	0.193904113478214	-0.208395604578033	0.12372607378352	-0.250839860020807	-0.0963883464945964	-0.237340257239902	-0.122864017367778	-0.0869921299950976	-0.0816278019861918	0.0629579999685313	-0.250839860020807	-0.250527522666433	-0.200727792157077	-0.201890659502291	-0.250839860020807	0.219528099325413	0.168971538947339	-0.250645055711662	-0.245050218345312	-0.247972094208014	-0.250839860020807	-0.201362672252997	1
eigenvector	-0.100296668355655	-0.0230425400309948	-0.138119002014604	-0.121487904944712	-0.141874411030386	-0.119878443937948	-0.120772588941706	-0.106555683381959	-0.134631836499949	-0.13650954100784	-0.137224857010846	-0.140443779024374	-0.135168323502204	-0.134989494501452	-0.139281390519489	-0.139996706522495	-0.140801437025877	-0.14115909502738	-0.142053240031138	-0.114513573915402	-0.108522802390226	-0.123097365951475	-0.0951106273338612	-0.135973054005586	-0.124706826958239	-0.0755288517515687	-0.142410898032641	-0.124885655958991	-0.0314475030663167	-0.128641064974773	-0.133737691496191	-0.0194659600159642	-0.13820841651498	-0.13820841651498	-0.140890851526253	-0.122203220947718	-0.0811619652752419	-0.141695582029635	-0.137671929512725	-0.13418476399807	-0.142321483532265	-0.133022375493185	-0.131681157987549	-0.142410898032641	-0.134721251000325	1
cluster_coefficient	-0.395443521497058	0.049378542085037	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.369954507805329	0.658085333953875	2.28130770655591	0.860987597910154	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.505909701224616	-0.559328249783801	-0.153523721871242	0.860987597910154	-0.559328249783801	-0.559328249783801	0.860987597910154	-0.481855624082861	0.00879723710342026	0.150831804539079	0.096202141459563	-0.204250353098263	0.049378542085037	-0.0442686566640151	-0.559328249783801	-0.407152617054543	1.46969438977899	0.049378542085037	-0.559328249783801	0.292862111022933	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.133233069380434	0.617504028972258	-0.559328249783801	0.096202141459563	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	0.775302557992511	1.07030570095579	0.409538372727836	0.551673616960342	-0.0710982493474576	0.718098154693851	0.352010610770889	0.44121332239825	0.452019721850462	0.279967266349913	0.393189097832445	0.0311967951583237	0.501194389364683	0.261448027402767	0.32164293895654	0.0873488002879821	-0.029584168931619	0.141335516220853	-0.249952347989763	0.44744972494003	0.23968952139408	0.547004555516239	0.552794152612422	0.628546767183571	0.252949141072515	1.01760493988811	-4.01682377427474	0.574368466980312	0.982934642251274	0.413987725408846	-0.0464557770301872	1.00155107107992	0.256592056543242	0.399686244237039	0.0491739864383485	0.650000519750214	0.605901447075346	-0.323300506841969	0.477410776220775	0.447123478940591	-0.676260205474393	0.14980364742213	0.14755891866217	-0.757619242900097	0.292316452724543	1
markovcent	1.11689079193567	0.891459814870699	-0.337255521657021	0.902649302375289	-0.0846999504209285	1.01628262262539	0.832659192970305	0.730439145379551	0.329994793979927	-0.911821505957989	0.37293353330909	-0.00715140239668004	0.896265953654289	-0.0451994411241159	0.744088855000564	0.0234188002018682	-0.157310484175477	0.350205221010955	0.233564986141676	1.02667105188977	0.687355804725564	0.397264743922708	1.22396819581658	0.884181594718214	0.837034974792404	1.24453969833483	-2.06317627905331	0.867465570938625	0.863568070433392	0.90328385322899	0.188954112631136	1.09796511977159	0.582059549396748	-0.905444572601638	-0.287455719807918	0.57515009385969	1.26613427979311	-0.996901875396037	1.15219803534213	0.258341483714057	-0.547132517932641	0.0988362707988922	-0.332286159368522	-1.17963718766756	0.500839690185527	1
closeness_latora	0.775331686351058	1.07033508031753	0.409567188161473	0.551584798677356	-0.0710698437393009	0.718009478366757	0.352039376848681	0.441242165077195	0.452048574070814	0.279995970544147	0.393100145710166	0.0312252886714715	0.501223282883208	0.261476718010289	0.321671680269969	0.0872595872108798	-0.0295557280344819	0.141364103104239	-0.249924094236729	0.447478572814719	0.239639690442933	0.547033488632951	0.552823091451236	0.628575768713929	0.252977824058788	1.01763427442141	-4.01679873303718	0.574397422534403	0.982963945873724	0.414016546142161	-0.0464273502586146	1.00158039270833	0.256620741215467	0.399715050484251	0.0491239929775149	0.650029541481753	0.605930431201403	-0.323272317036724	0.477439650579321	0.447034571577231	-0.676232315703962	0.149832241516518	0.147509008864585	-0.757591421910458	0.292345169141963	1
closeness_residual	1.02408618454991	1.5224310922426	0.430629996659665	0.657199566155289	-0.317094508665976	0.931786141456204	0.332115639967987	0.479228081139052	0.496356451129655	0.22558454971702	0.399835517111614	-0.154575412094222	0.577804311948804	0.19445917814622	0.28220474811379	-0.0785321209799774	-0.249850793213623	0.00985640177976453	-0.569452134503665	0.487753258538176	0.167888279701553	0.649392666561645	0.657339455465719	0.776971717674318	0.176870787538623	1.43430620702944	-2.25497305552343	0.69433479771651	1.37576253061425	0.433263681946425	-0.269257744856817	1.40481646431906	0.18034111850892	0.414876308161946	-0.128007203828602	0.818981553668235	0.74316154741487	-0.664872785291589	0.537839012030411	0.486760582469928	-1.12243861390425	0.0283675238003935	0.016597990470899	-1.22531644100974	0.244633707546997	1
