AQR	CUL4A	CUL4B	DTL	ELAVL2	ERCC6	GTF2E2	GTF2H4	ISG15	NFKBIB	PAPOLA	PCF11	POLA1	POLR1E	POLR2H	POLR2J	POLR3B	PPWD1	PRPF8	RAD23A	RBBP5	RFC2	RFC4	SF3B1	SF3B3	SNRPN	TAF1A	TBCB	THOC2	THOC5	TXNL4A	UBTF	USP7	XAB2	CWC27	FIP1L1	CD3EAP	SYF2	DCAF4	COPS4	MX1	POLD3	GTF2H5	BTAF1	REV1	CRCP	RNU12-2P	DSCC1	TUBA8	if_health
spl	-0.475473721195477	-0.287936820651959	-0.525824095271356	-0.264585922529814	-0.0624547106599539	-0.305693232765679	-0.0275499827377849	-0.317611920348862	-0.487878885822861	-0.618984449237847	-0.263977826224551	-0.101859351241082	-0.515972935126079	-0.130196639066396	-0.436798796180666	-0.459906455780705	0.181513527012088	-0.158290688369614	-0.334152139852046	-0.0359417117504301	-0.275410036763513	-0.305328374982521	-0.735860559109651	-0.596120028159914	-0.346678923740492	-0.366624482553161	0.947471633123003	0.102825865110885	-0.425001727858536	-0.236613492487648	-0.0659816692304916	-0.347530258567861	-0.283072050209841	-0.376354023437395	-0.243180932584503	-0.264950780312972	-0.156466399453814	-0.0904271407021101	0.585411092968641	0.163635495637314	0.428765484732552	-0.285017958386694	0.00455750218017185	0.104650154026675	-0.144790950392746	0.447616470195746	0.29243029309229	-0.0363065695335881	0.452602859898917	1
degree_centrality	1.16133378113944	0.0551606577572846	0.0551606577572846	0.0551606577572846	-0.0927914423398056	-0.0188153922912605	-0.166189554497346	-0.0927914423398056	0.571259194424088	0.86600751883626	0.423885032218002	0.275932932120911	1.08735773109089	0.128558769914825	1.16133378113944	0.939983568884805	-0.0188153922912605	0.571259194424088	0.644657306581628	-0.314141654594437	0.644657306581628	-0.166189554497346	3.22630586569765	2.19353085447304	0.86600751883626	1.16133378113944	-0.534913928958064	-0.461515816800523	0.86600751883626	0.349908982169457	0.0551606577572846	-0.0927914423398056	0.349908982169457	1.45608210555161	0.128558769914825	1.16133378113944	0.0551606577572846	0.0551606577572846	-0.534913928958064	-0.0188153922912605	-0.534913928958064	0.571259194424088	-0.314141654594437	-0.461515816800523	-0.0927914423398056	-0.387539766751978	-0.314141654594437	-0.166189554497346	-0.461515816800523	1
average_neighbor_degree	0.5813750612457	0.223626519290028	0.794198382944549	1.09546031085032	-0.232178881944761	0.360563751777891	-0.228266393109209	0.783112956829309	-0.0271398264737273	-0.159113097481232	0.351760631357311	0.0935361217237962	0.649918096036068	-0.181707743101194	0.391374632168748	0.495544739847977	-0.435383991652583	0.399077352266462	0.766542413462194	-0.142680627939441	-0.574637093154144	0.99732194652227	0.283141555314137	0.687050958271391	0.672780673071909	0.634438257834789	-0.954033811565344	-0.419978551457155	0.604996736212024	0.12039688292385	0.675519431689265	0.38403872587238	-0.53374181161136	0.447127659697133	1.16164664194017	0.0610135120619447	-0.346945344364492	0.748552597700754	-0.666465594584011	-0.712681915170297	-0.419978551457155	0.3656988985097	0.381104338705129	0.504347860268557	-0.261522589292579	-0.529528362096149	-0.317275616820965	0.497500984265753	-0.78970911614744	1
betweenness	-0.170690164066211	-0.197586988385454	-0.13317417607024	-0.250694737781118	-0.07273197363899	-0.231840606883253	-0.241616130543597	-0.231099889285085	0.512151334869657	0.473354479752759	-0.227269145624234	-0.236470576699863	-0.146924020893934	-0.0782438366820219	0.0363659079524693	-0.139505802036532	-0.242309047554496	-0.245016825637444	-0.221980098782266	-0.192273294518261	0.166003121880992	-0.242456428531749	0.530261127871979	0.384250570772944	-0.207242580668533	-0.230711343858835	-0.250839860020807	-0.235921124486494	-0.0827443693700202	-0.165963131922337	-0.249477729093193	-0.00660086135644842	0.321258493249968	0.0620300585321988	-0.245302112976843	-0.197441136254361	-0.170479789581966	-0.231204510047247	-0.250839860020807	0.00319217993243562	-0.250839860020807	-0.24753957877402	-0.247927513354592	-0.250839860020807	-0.21524217666014	-0.250772465814267	-0.10277577298751	-0.250835056409305	-0.250140702551911	1
eigenvector	0.112956915040543	-0.0958259433368673	0.164280838256232	-0.0633684797004647	-0.0926070213233397	-0.0781218722624659	-0.118447811931936	-0.109685190895111	0.12422314208789	-0.024115514035504	-0.00542788345696919	-0.0607754591895675	-0.00623261396035106	-0.101995543862795	0.0714685868661885	0.0416935582410588	-0.120236101939451	0.00691131759488635	0.0581458263101995	-0.133827105996567	-0.122382049948469	-0.103515590369183	0.504145354184514	0.263799177174458	0.0897985594432202	0.123597240585259	-0.142321483532265	-0.137671929512725	0.227318061021146	-0.0592554126831795	-0.0348452540805958	-0.127210432968761	0.057966997309448	0.122166608579247	0.184488515341155	0.167946832771639	-0.130250525981537	-0.0214330790242311	-0.142053240031138	-0.137493100511974	-0.137224857010846	-0.0521022526531183	-0.130518769482664	-0.137493100511974	-0.116391278423293	-0.137135442510471	-0.122024391946966	-0.0988660363496433	-0.140443779024374	1
cluster_coefficient	0.613975960878518	-0.322606811358907	-0.085889633885816	3.34654565756433	-0.356425985827522	0.049378542085037	0.292862111022933	1.67260091468708	-0.346280659582118	-0.424771652764222	0.377143737706719	0.667310294609608	1.25957407346668	0.482235853001405	0.0890778300432186	0.110250499557462	0.810265227634938	0.612433496325458	0.693894372914974	-0.559328249783801	-0.0267092742795923	2.84943319344314	0.366129177293292	0.543789562762476	0.674106512737042	1.10799923494179	-0.559328249783801	-0.559328249783801	0.741382680770929	0.91561726098967	1.09770903633505	-0.356425985827522	-0.504698586704285	0.342459590021885	1.14505247182967	0.320652038688841	0.387548982012169	0.387548982012169	-0.559328249783801	0.201554174814295	-0.559328249783801	2.4943552967576	0.860987597910154	3.70162355424987	0.252280806041316	2.28130770655591	-0.559328249783801	3.41755868033036	-0.559328249783801	1
harmonic_centrality	0.892936534078661	0.626578582589688	0.957982828775346	0.580127224164256	0.307853508662072	0.641441821182379	0.281477428201369	0.652554672097003	0.888265602692571	1.08837634929861	0.571233951996396	0.375580122622575	0.967500386021207	0.415717596023396	0.847138430701484	0.879473265000369	0.0621335275297057	0.458807345137497	0.696606082447022	0.281524157910316	0.594303560528384	0.640587719292157	1.35910336607279	1.11201697311288	0.701513455515369	0.734336130359574	-0.634721827588179	0.108237232181566	0.815664327873038	0.534879576127869	0.335186580213907	0.682983938952568	0.59912588891778	0.764966326485279	0.558668796742647	0.604245408553099	0.429783655267203	0.364511196503916	-0.349918554027626	0.0668913711816433	-0.216471828025601	0.614354541022737	0.249436132402788	0.125583595941726	0.406204713632501	-0.208997135298564	-0.062896551908038	0.299012658457292	-0.247258096009579	1
markovcent	1.46160617427177	1.01482989835069	0.961638308829679	1.02953109410028	0.673879458141341	0.937863542262424	0.674776836885772	0.812633462787053	1.18029319105391	1.35067065753439	1.25583299397612	1.17285607555771	1.44361312824002	0.979604642406415	1.45620983138922	1.42054858664841	0.82739467385325	1.31706890710151	1.33983820897712	0.334767502114757	1.21555179524652	0.70887478786724	1.62237878104213	1.57515362742642	1.40215061092683	1.46144683992333	-1.24369588151484	-0.562945824314642	1.40003109564752	1.21199107380179	1.0266082471733	0.686640199476432	1.04750729588283	1.50008360590236	1.08766356190001	1.45194236588763	0.99503870461627	1.02050388984733	-1.00830165186237	0.570211780584664	-0.971523851846582	1.30573770979289	0.371655475435897	-0.320198687125931	0.76580289124231	0.0208666875777133	0.0749610160836282	0.70384790162524	-0.59238856225209	1
closeness_latora	0.89284800699451	0.626607584123872	0.95801211283971	0.580156184853425	0.307882238852064	0.641470835652864	0.281506135487937	0.652583695557997	0.888294827828946	1.08840574377102	0.571262906335449	0.375608909818785	0.967529677827868	0.41574641778326	0.847167620205918	0.879502481854032	0.0621620476858248	0.45883620263282	0.696635143248579	0.281552863517161	0.594332534353144	0.640498977605493	1.35913299200577	1.11204638830558	0.701542520875512	0.734365223148503	-0.634693901423952	0.108265790418996	0.815693488855737	0.534908499615255	0.335215332254253	0.683012988175217	0.59915486696693	0.764995446291279	0.558697739282668	0.604274389846424	0.429812489134048	0.364539974261101	-0.349890386632044	0.0669198956193124	-0.216443546272606	0.614383531684296	0.24938630773422	0.125533666330788	0.40623352559806	-0.208968845761178	-0.0628681400535316	0.298962877597775	-0.247308344121976	1
closeness_residual	1.22098576933902	0.793677729554584	1.33998852965068	0.712321334823024	0.268748472521989	0.814349065349746	0.23611122032692	0.833121134737909	1.21112357295366	1.5476165484782	0.686839958892288	0.378195716859624	1.35025963325114	0.448355586398645	1.14615574897485	1.20031981390195	-0.0981892592745183	0.51388834797727	0.90233944161057	0.2329906126327	0.729952768295369	0.81664916843471	1.99679574391264	1.58438591568906	0.902285638029635	0.955163797372388	-1.07525421851393	-0.0416739778605708	1.09161505898122	0.627795909174403	0.318731999210448	0.878547498121187	0.738781935926775	1.00834325676838	0.676762548183194	0.743306817083394	0.464862525029452	0.363733314304341	-0.70414670919497	-0.0987703379486145	-0.521924741284881	0.764661458356429	0.188476219946266	-0.00622817874070349	0.423369203412509	-0.496311546580854	-0.288471003608645	0.266755049848353	-0.573393246807141	1
