ARHGAP32	ATP2B4	BCL11B	CD80	CHN1	CNKSR1	CSF3R	CTLA4	CYCS	EPOR	GH1	IL7	KCNA2	KCNB1	KCND2	LIMS1	NAPA	NAPG	NTRK1	OXSR1	PRLR	RAB11FIP5	RALGDS	RASSF1	SEPT5	SH2B2	SMAD6	SNCA	SOCS3	SQSTM1	SRFBP1	STAT5B	STK4	STRAP	TGFBR1	VPS11	GRAP	MEGF10	CD22	RLF	CD86	EIF2AK1	RHPN2	RHOD	TXK	WDR61	SOCS2	KCNAB2	SEPT2	STX8	BET1L	NKIRAS1	SLC12A2	RAB11FIP4	MAP1B	MOAP1	ASB6	LATS1	CDK17	RHOH	ARHGAP31	KATNB1	ATG16L1	KLHL1	CDC42EP4	CDK14	FBXO3	RHOBTB1	if_health
spl	-0.209614016533914	-0.349719405266818	-0.196479136340205	0.216053397151098	0.122649804662502	-0.0315634183525331	-0.59867403264202	-0.485811358384965	-0.046522587462033	-0.285869293214063	-0.454068731250166	0.314443379342864	0.0718129535424024	-0.267626404056131	0.121920089096185	-0.318098397393072	0.553546846572789	0.181270288489982	-0.509040637246066	-0.0262121708662059	-0.163155458811721	-0.00942871284090623	-0.430961071650127	0.0274219232581056	0.644153196057174	-0.584201340576731	-0.14539904669801	-0.609254908353623	-0.472554858930203	-0.416731618106944	-0.200735810477058	-0.386205183582672	-0.108913268382147	-0.234059488005542	-0.689645239909563	0.0515025369465753	-0.354097698664715	-3.99951342946319	-0.323936121923611	0.720165234215208	0.216053397151098	0.682220024766713	-0.0468874452451911	-0.0320498953967444	-0.299247411929877	-0.237951304359238	-0.105629548333724	0.0682859949718749	0.226999130645859	0.370388239427177	0.0541781606897342	-0.100035062325291	1.32631563130267	0.348496772437665	-0.537986021376644	0.369780143121913	0.0360568907928649	0.465251263048415	1.46131301107135	0.0518673947297334	0.213499392668982	1.72948348169291	0.735489261107865	0.79386650641324	0.60900522961289	-0.079359787946306	-0.207303250573913	0.0107600844938685	1
degree_centrality	-0.166189554497346	-0.166189554497346	0.128558769914825	-0.387539766751978	-0.534913928958064	-0.166189554497346	0.128558769914825	0.275932932120911	-0.0927914423398056	-0.0188153922912605	0.128558769914825	-0.461515816800523	-0.0927914423398056	-0.166189554497346	-0.314141654594437	-0.166189554497346	-0.314141654594437	0.0551606577572846	0.0551606577572846	-0.314141654594437	-0.0927914423398056	-0.387539766751978	0.275932932120911	-0.240165604545892	-0.534913928958064	-0.0927914423398056	-0.0927914423398056	0.718633356630174	0.86600751883626	-0.0188153922912605	-0.240165604545892	0.0551606577572846	-0.314141654594437	-0.166189554497346	2.41488106672767	-0.0188153922912605	-0.0927914423398056	-0.534913928958064	0.128558769914825	-0.534913928958064	-0.387539766751978	-0.534913928958064	-0.461515816800523	-0.314141654594437	-0.0188153922912605	0.0551606577572846	-0.240165604545892	0.571259194424088	-0.461515816800523	-0.0927914423398056	0.202534819963371	-0.387539766751978	-0.534913928958064	-0.461515816800523	0.423885032218002	-0.461515816800523	-0.534913928958064	-0.387539766751978	-0.534913928958064	-0.240165604545892	-0.534913928958064	-0.534913928958064	-0.534913928958064	-0.534913928958064	-0.534913928958064	-0.387539766751978	-0.387539766751978	-0.387539766751978	1
average_neighbor_degree	0.0250674849392781	0.518041571192991	-0.485708429624317	-0.693853057514053	1.38759309813979	-0.508987775168911	1.56424214571404	0.874078424958842	-0.431716017963813	0.26299596387351	0.196239056359986	-0.584303246875059	-0.419978551457155	-0.00231993690959001	-0.307005323357346	0.196239056359986	-0.491870605702488	-0.406284840532721	0.858102408339749	0.00110348055122503	0.108207975397705	-0.0776354496969121	-0.170068090869483	-0.625384420729535	-0.666465594584011	1.88056718439351	-0.461059725311631	0.225908783903514	-0.130356275783098	0.401644925632367	-0.124194099704927	0.0593018238721241	-0.111869747548584	0.134617295578272	-0.461059725311631	-0.656195301120392	0.788981690082638	-1.0361961592743	0.4304017473305	-0.666465594584011	-0.693853057514053	-0.78970911614744	1.01786253344951	-0.204302388721155	0.26813111060532	0.0729955347965582	-0.107761630163137	-0.879574183954106	-0.399437964529917	-0.678203061090669	-0.0726559184516634	0.292095114993373	-0.871871463856392	-0.625384420729535	0.15515788250551	0.0113737740148441	2.5789471399196	-0.885565174780826	-0.99511498541982	-0.452843490540736	-0.00916681291239399	-0.99511498541982	-0.584303246875059	-0.666465594584011	-0.666465594584011	0.415338636556801	1.41498056106983	0.127770419575468	1
betweenness	-0.205553178478855	0.103873120707951	0.0270957038691157	-0.250701869506659	-0.250839860020807	-0.192756380197158	-0.165082542914942	-0.0349888321303911	-0.0649681639419821	0.0208417052275541	-0.154974564972928	-0.250839860020807	-0.0628148046256644	0.187024969307242	-0.0663778909479327	0.0137009647365327	-0.245618028787433	-0.237027155452662	-0.0244918946560007	0.0770721875940983	-0.245186338473596	-0.189539041178507	0.140672853446691	-0.162345802257305	-0.250839860020807	-0.125588976706104	-0.216108227469952	0.966774127808139	0.0042542228079646	0.312289349350446	-0.229861021899571	-0.0439273513553486	-0.0427084058601902	-0.215986753664787	3.02267604315816	0.195090701354689	-0.234380511469743	-0.250839860020807	-0.111509448706569	-0.250839860020807	-0.250701869506659	-0.250839860020807	-0.223933626646737	-0.232066231901985	-0.185525911186638	-0.0249331392749323	-0.246767294957814	0.680403097430609	-0.231127828473588	-0.190808768316223	-0.214018862051789	-0.238737402817142	-0.250839860020807	-0.24891964214083	0.16051640731126	-0.225779258455307	-0.250839860020807	-0.231401220751484	-0.250839860020807	-0.22094333158655	-0.250839860020807	-0.250839860020807	-0.250839860020807	-0.250839860020807	-0.250839860020807	-0.219069245559659	-0.248436088576806	-0.234790790657216	1
eigenvector	-0.130876427484167	-0.12828340697327	-0.131144670985294	-0.139728463021368	-0.140622608025125	-0.13883431801761	-0.03475583958022	-0.114334744914651	-0.131681157987549	-0.130697598483416	0.124580800089393	-0.140086121022871	-0.141248509527756	-0.131323499986046	-0.140980266026628	-0.100386082856031	-0.141963825530762	-0.140264950023622	-0.114513573915402	-0.132128230489428	-0.131144670985294	-0.134721251000325	-0.0470056261316998	-0.139013147018362	-0.142142654531513	-0.0312686740655652	-0.129088137476652	-0.107539242886092	-0.104320320872565	-0.106466268881583	-0.125869215463124	-0.127836334471391	-0.134274178498446	-0.110042848896614	-0.0793736752677266	-0.140264950023622	-0.123812681954482	-0.142410898032641	-0.127478676469888	-0.142232069031889	-0.139728463021368	-0.141337924028132	-0.132664717491682	-0.138476660016107	-0.126942189467633	-0.104141491871813	-0.137403686011598	-0.140980266026628	-0.141695582029635	-0.141874411030386	-0.138476660016107	-0.136777784508967	-0.142410898032641	-0.140622608025125	0.0140644776249475	-0.139907292022119	0.0520656402846475	-0.14053319352475	-0.142321483532265	-0.139907292022119	-0.13123408548567	-0.142410898032641	-0.14178499653001	-0.141963825530762	-0.142053240031138	-0.127210432968761	-0.119610200436821	-0.132128230489428	1
cluster_coefficient	-0.275263375864288	-0.275263375864288	-0.559328249783801	2.28130770655591	-0.559328249783801	-0.275263375864288	0.576926984942446	0.215389485321993	-0.356425985827522	-0.25497272337348	-0.559328249783801	3.70162355424987	0.049378542085037	-0.275263375864288	-0.559328249783801	-0.559328249783801	-0.559328249783801	1.09770903633505	0.0324710853266314	-0.559328249783801	0.455183069997596	-0.559328249783801	-0.430208627266169	-0.559328249783801	-0.559328249783801	0.658085333953875	0.049378542085037	-0.364381182845653	-0.021101861705484	-0.25497272337348	0.292862111022933	-0.204250353098263	-0.559328249783801	0.292862111022933	-0.496973481083572	0.049378542085037	0.455183069997596	-0.559328249783801	0.387548982012169	-0.559328249783801	2.28130770655591	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.353734068495358	0.0324710853266314	-0.133233069380434	-0.488310966065972	-0.559328249783801	0.252280806041316	1.06757984612873	0.860987597910154	-0.559328249783801	-0.559328249783801	-0.372033852285697	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	2.28130770655591	-0.559328249783801	1
harmonic_centrality	0.485868542668041	0.673551426385657	0.48743571419919	-0.00874535408813493	0.0847321179289846	0.261165706199293	1.05889752873723	0.890500136265048	0.294248187580228	0.593708245420634	0.838004979322483	-0.106396571946273	0.150446624854728	0.555494096846738	0.0936169777129947	0.62902058787417	-0.30728291820545	0.0461450784299671	0.909545530727519	0.265672238126524	0.429730385471484	0.23761394937612	0.778546415125755	0.194204496704442	-0.407458381114042	1.02910843675637	0.406462735010509	1.07441028720438	0.866074480659535	0.785172443866911	0.4629287537987	0.725542857696378	0.352005938271013	0.522667769256915	1.23796198878778	0.181837552946209	0.683982982542587	-4.01682377427474	0.65483406308135	-0.458153662372084	-0.00874535408813493	-0.441213747223911	0.283845688531904	0.263061078455132	0.613149978090872	0.556966963482447	0.34616672176964	0.154132527795337	-0.0226124387870516	-0.144354653867413	0.181794563121237	0.340696743447769	-0.892757522191576	-0.136736971810739	0.956173520952716	-0.154112477462769	0.206919268512956	-0.25443551506252	-0.972771727485494	0.171739635418311	-0.00810705151050386	-1.12264232352459	-0.472695327465213	-0.521296259567435	-0.377584242099145	0.326916660508145	0.490301075291533	0.223232943857877	1
markovcent	0.630694559140706	0.693647259686975	0.968769261282358	-0.0731010444033822	-0.916943708493721	0.643720474531448	1.08809041171705	1.13682855321023	0.686318880542887	0.796779888696274	1.08344111067836	-0.361609929563914	0.714892241393895	0.516781544603308	0.0523911139151182	0.644957936924725	0.321684893052491	0.952134906753769	0.933297340560165	-0.126812260481126	0.831912217126744	-0.168878727377502	1.09431716408883	0.42506955474321	-1.01536137912369	0.864189524557467	0.765553475052608	1.22641052186054	1.38860053631356	0.859130452560493	0.544918950863791	0.962840974768639	-0.0117336546825034	0.708970813668784	1.54563295157245	0.800362557904399	0.846195033506523	-2.06317627905331	1.04212986043428	-1.00108522029445	-0.0731010444034065	-1.04576223984213	-0.259478145103739	0.370059734499854	0.923983104705802	0.931897230536461	0.567072042339645	0.86106174501742	-0.326139189121597	0.647806438388758	1.08917563222555	0.128284654578954	-1.24915230322135	-0.484779850756118	1.2315308686143	-0.302281152525574	-0.908523902878889	-0.264503244523013	-1.46463587566502	0.476014954048165	-0.935397673098963	-1.65549133854726	-1.00914726429058	-1.02769646285018	-1.00730638831503	-0.0307866331674738	0.14807749543392	0.0984880657967831	1
closeness_latora	0.485897423865123	0.673580468200231	0.48746459700455	-0.00871689613094792	0.0847606571691273	0.261194395753842	1.05892689926782	0.89052936218545	0.294276905869209	0.593737219261089	0.838034159617846	-0.106368196999483	0.150475219198365	0.555523036978608	0.0936455246418502	0.62904959093005	-0.307254713266284	0.0461735852136115	0.909574772328132	0.265700931850268	0.429759219180754	0.237642619434835	0.778575546138351	0.194233129905471	-0.407430262272394	1.0291377806507	0.406491549279315	1.07443967040273	0.866103686760283	0.785201580679378	0.462957614808554	0.725571942613021	0.352034704045746	0.522696681423313	1.23799151085671	0.181748420022989	0.68401203343957	-4.01679873303718	0.654863088822543	-0.458125586115138	-0.00871689613094792	-0.441264159097356	0.283874396968035	0.263089769578386	0.613178968051468	0.556995904459081	0.346077729922856	0.154161126141925	-0.022583991037378	-0.14432630968193	0.1818231848697	0.340725501457904	-0.892729816927071	-0.13670862140115	0.956085048915374	-0.154084141700222	0.20694791161176	-0.254407266318556	-0.972744090453099	0.171768247545738	-0.00815709434108841	-1.12261481355688	-0.472745766932222	-0.52126823741701	-0.377556098642123	0.326945405645844	0.490329959755283	0.223261601167217	1
closeness_residual	0.551472839439297	0.857897683758399	0.560519911573489	-0.218913734176094	-0.0805954883088282	0.190023072898143	1.50269593875571	1.21811803847519	0.24891647258941	0.725788371131013	1.13400152004168	-0.362472448826413	0.0183439166722343	0.662956549315316	-0.0660685214564236	0.785429640597274	-0.639337605779918	-0.135324490835739	1.25029257987422	0.20415996378877	0.461220022600163	0.158195564596143	1.02354276838247	0.0881728941885059	-0.788739389319759	1.45394989442875	0.426180440516354	1.5225978833435	1.17201913033023	1.04895419965799	0.512075167299767	0.944015695402691	0.335989497795295	0.613551411121906	1.78958739301642	0.0732289495838564	0.876217803066709	-2.25497305552343	0.8277622980768	-0.847226571974969	-0.218913734176094	-0.836086540542411	0.231540606126506	0.196363824911313	0.760015519142706	0.678457360982641	0.324106976945838	0.0162563377319628	-0.241083499700292	-0.414317579415217	0.0689031416766959	0.31831771163725	-1.37901309539771	-0.405168280477249	1.32383131429595	-0.430956336819314	0.123406169163681	-0.580877324915176	-1.46223647438771	0.0552101303287811	-0.217611687517471	-1.61103565782108	-0.868625601202274	-0.933893380144796	-0.748096164281587	0.301385724717058	0.564743492676874	0.139880825645926	1
