spl	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	dmnc	geokpath	lincent	semilocal	coreness	hub_score	eccentricity	subgraph_centrality	pc	gilschmidt
ACADVL	4.13629348213226	0.000119	56	0	5.1e-05	0	1994.475	1.02957954631e-05	1994.475	493.82421875	0	57	0	1044	1926.67190011481	33768	1	0.000298901619547494	8	2054553521261126	0	0.24343647015744
ACAN	5.46598599073964	0.000119	8	0	0	0	1492.494048	9.12120879474249e-06	1491.17857142857	196.48046875	0	9	0	54	1457.97673761946	699	1	7.56103861373034e-07	10	13103799413.7318	0	0.182006416627448
ACAP1	3.82227234951917	0.000475	54.5	3803.528639	0.000238	0	2184.472619	2.45934816792544e-05	2184.47261904762	627.62109375	0	222	0	2293	2084.95881348035	110568	3	0.00138905667730268	8	44153344268445344	0.625	0.266626708049246
ACAP3	0.000118722545411374	0.000119	1	0	0	0	1	1.52913150917951e-06	1	1.5	0	2	0	1	1	1	1	0	1	1.54308063481524	0	1
ACAT1	4.02766235308085	0.000119	132	0	0.000293	0	2062.72381	1.03917511518117e-05	2062.72380952381	542.328125	1	133	0	1498	1978.63666912307	57149	1	0.00171315242131908	8	67182230351546752	0	0.251766606801378
ACAT2	3.68704737029562	0.000475	73.75	1145.831193	0.00056	0.333333	2264.497619	2.65072786538026e-05	2264.49761904762	683.9296875	2.75	299	0	2836	2161.42610123648	146738	4	0.00326485063338354	8	244105548933887648	0.375	0.276394192487181
ACBD3	4.81633622224861	0.000119	11	0	5e-06	0	1700.338492	9.60862880371205e-06	1700.33849206349	307.98828125	0	12	0	182	1654.63540228752	3414	1	2.82892098119053e-05	9	18301513737261.2	0	0.207535517156549
ACE2	5.49602279472872	0.000237	5	154.257096	0	0	1484.189286	1.34433159230643e-05	1484.18928571429	193.498046875	0	12	0	36	1450.00861901367	748	2	7.58187063760227e-07	9	13305327256.4358	0.5	0.181153336471913
ACHE	5.46646088092129	0.000119	2	0	0	0	1489.897222	5.59820838234746e-06	1489.89722222222	195.369140625	0	3	0	22	1457.85007818608	485	1	1.75286448277399e-06	9	70399819271.0814	0	0.181850021020668
ACIN1	3.80814436661522	0.000712	34	11663.059595	0.000164	0	2189.221429	3.01769735869166e-05	2189.22142857143	629.9609375	0	210	1	2285	2092.69388327722	102495	4	0.000949659970653128	8	20951373862573988	0.722222222222222	0.267206325957682
ACKR1	5.00225572836282	0.00095	5.375	8600.077162	3e-06	0.035714	1641.049603	3.07959312425779e-05	1640.9996031746	275.076171875	2.11111111111111	51	0	147	1593.13734751032	7197	5	1.50222921726397e-05	9	5167514610882.33	0.21875	0.200292884556911
ACKR2	5.2348331948237	0.000356	3	16383	1e-06	0	1559.704365	8.98224494225102e-06	1559.70436507937	230.419921875	0	12	0	59	1522.35613362665	1377	1	3.34206977499538e-06	9	255876393020.114	0.444444444444444	0.190370360683456
ACKR4	4.61617001068503	0.000356	8.666667	1163.03541	1.4e-05	0	1780.861111	2.066148739979e-05	1780.81111111111	356.619140625	0	29	0	340	1726.3836479605	6717	3	7.95765134953166e-05	9	155886469865946	0	0.217357635922272
ACLY	3.69049032411255	0.000594	58.2	3999.02961	0.001051	0.2	2264.439286	2.91025224860733e-05	2264.43928571429	684.07421875	1	296	0	2843	2159.40965095705	165288	4	0.00613587291902555	8	861640356442305280	0.32	0.27638707258808
ACOT13	3.84126795678499	0.000237	120	183.844808	0.000444	0	2171.395238	1.75159051496543e-05	2171.39523809524	618.125	1	242	0	2151	2074.64840055633	103371	2	0.00259316396621761	8	154008667937807008	0	0.265030542914084
ACOT7	4.11456725632198	0.000119	97	0	7.2e-05	0	2012.183333	1.03298407415215e-05	2012.18333333333	506.9296875	0	98	0	1158	1936.84534148945	32466	1	0.000421764125387092	8	4090665359342728	0	0.245597868098771
ACOX1	4.64786893030987	0.000237	6.5	6952.793463	5e-05	0	1768.085714	1.21398679440691e-05	1768.08571428571	349.234375	0	15	0	322	1714.60954302792	3894	2	0.000291318398103145	8	1941069187688189	0.5	0.215804432355155
ACOX3	4.37195773477383	0.000119	35	0	3.9e-05	0	1885.961905	1.01402946526878e-05	1885.9619047619	423.3671875	0	36	0	647	1822.81735234216	15175	1	0.00022329780484875	8	1184103157189203	0	0.230191859485157
ACP1	3.37077050931972	0.001425	68.333333	30690.936375	0.001071	0.121212	2497.6	4.04530992739655e-05	2497.6	853.1953125	3.18997186388491	832	0.232722044477656	4416	2364.23108622147	452152	11	0.00625568502660055	7	896104863709070464	0.680555555555556	0.304845599902335
ACP5	3.803751632435	0.00095	22.25	13034.382938	0.000405	0	2188.990476	3.43649411272403e-05	2188.99047619048	629.40625	1	186	4	2342	2095.11061518774	108401	6	0.00236318410808428	8	127936446502244048	0.8125	0.267178136969406
ACP6	4.21512525228541	0.000712	6.166667	14605.178716	4.4e-05	0	1955.663095	2.81979488405293e-05	1955.6630952381	467.12109375	0	43	1	861	1890.63905475439	17466	4	0.000259410375399177	8	1540965243187070	0.777777777777778	0.238699267086297
ACPP	4.58126558233409	0.000119	19	0	4.4e-05	0	1790.210714	9.63999424057527e-06	1790.21071428571	361.330078125	0	20	0	287	1739.53687674925	5515	1	0.000259329010285872	9	1538390114019870	0	0.218504908371265
ACSL6	5.17523447702719	0.000119	5	0	1e-06	0	1575.174603	8.40551045453474e-06	1575.1746031746	237.658203125	0	6	0	51	1539.88779793994	1010	1	4.33074994485482e-06	9	430070879276.252	0	0.192258586985818
ACTA1	3.63492817286003	0.002731	13.565217	49563.705009	0.000392	0	2305.085714	4.46389377270848e-05	2305.08571428571	711.0859375	0	335	39	3105	2192.41757846948	167895	9	0.00229216815602455	7	120207028125261440	0.75992438563327	0.281348189220745
ACTA2	3.52748426926273	0.002493	24.47619	41861.552639	0.000682	0.147619	2380.752381	4.39499263618981e-05	2380.75238095238	766.3984375	2.38775510204082	535	0.165537292508192	3628	2259.19658723748	276259	8	0.00397317289045018	7	362063401754062208	0.653061224489796	0.290583715483
ACTC1	3.95488543274368	0.000831	20.571429	16002.678943	0.000154	0.047619	2100.895238	3.06972739355551e-05	2100.89523809524	567.2890625	0	151	0	1675	2015.04710014409	69664	5	0.00090007684460449	8	18526962552145960	0.612244897959184	0.256425636286477
ACTG2	4.00866674581503	0.001069	18.555556	446.922217	0.000269	0.527778	2067.302381	3.56508907860442e-05	2067.30238095238	543.1015625	4.40430513954262	176	0.101970606068083	1440	1988.01270546424	79965	7	0.00157176358677568	8	56547607373715856	0.444444444444444	0.252325446228764
ACTL6A	3.51383117654043	0.004275	22.777778	48386.820816	0.000868	0.14127	2403.542857	4.89261450252132e-05	2403.45952380952	781.7265625	0	856	0.193081242841779	3685	2267.9747609555	418766	12	0.00504777065236312	7	587584783318794368	0.577160493827161	0.293355245186055
ACTL6B	3.97851121928054	0.000475	25.25	42.89815	0.000164	0.333333	2081.895238	2.6141907043797e-05	2081.89523809524	554.2734375	0	105	0	1671	2003.08104801408	72127	4	0.000953270025506317	8	21035805070150068	0	0.254106583436482
ACTN2	4.09545292651074	0.000356	20.666667	469.399192	5.3e-05	0	2019.021429	2.15120304158878e-05	2019.02142857143	510.96875	0	65	0	1250	1945.88500115955	30316	3	0.000308279981708868	8	2173676036709557	0.666666666666667	0.246432494638267
ACTR1A	3.57889113142586	0.001781	35.8	10040.558777	0.000798	0.228571	2347.407143	4.2902968874743e-05	2347.40714285714	743.0078125	1	552	0.141211787238757	3328	2226.74569580362	260360	10	0.00465218437480509	7	496283908625535168	0.435555555555556	0.286513748670448
ACTR2	3.30262376825359	0.004987	41.452381	43134.85824	0.00935	0.196283	2570.516667	5.04139141613077e-05	2570.51666666667	903.5703125	6.42872591460827	1784	0.204419370480517	4685	2413.01491839816	1113917	13	0.0547352329461316	7	68518616031877709824	0.658730158730159	0.313745473778407
ACTR3	3.31188412679568	0.003443	42.689655	30505.723445	0.004896	0.133005	2553.521429	4.83140072168082e-05	2553.52142857143	892.3125	1	1268	0.300852442816102	4653	2406.26788786923	759315	12	0.0286546685125464	7	18777499331343175680	0.520808561236623	0.311671112970982
ACTR3B	3.90490324112549	0.000831	22.571429	730.00723	0.000465	0.285714	2130.254762	3.27482625236356e-05	2130.25476190476	588.4921875	1	165	0.0987551639829222	1993	2040.83940895686	96917	6	0.00271840302161999	8	169037058516941632	0.408163265306122	0.260009125095157
ACTR5	3.94087617238514	0.001187	20.1	839.486972	0.000169	0.622222	2108.447619	3.65703308051929e-05	2108.31428571429	572.1171875	1	211	0.149657346265156	1749	2022.210309092	88354	7	0.000985217232542382	8	22274521694105636	0	0.257331171208855
ACTR6	3.8882820847679	0.000712	38.166667	740.729798	0.001286	0.333333	2144.945238	3.17590424557818e-05	2144.8619047619	599.125	1	235	0	1982	2049.56334157736	110897	6	0.00753142445195473	8	1297436088850740992	0.5	0.261792005951636
ACTR8	3.79829039534608	0.001781	22.666667	5188.530928	0.000286	0.409524	2199.928571	4.16064008138083e-05	2199.84523809524	636.8984375	2.33333333333333	355	0.146267361227238	2378	2098.1229956553	152000	8	0.00166793545107994	8	63888709408868992	0.24	0.268503019418418
ACVR1	4.05734298943369	0.000831	13.285714	9982.632634	8.4e-05	0.095238	2044.403571	3.12971364839962e-05	2044.40357142857	528.64453125	0	100	0	1407	1964.16237015362	55372	4	0.000488798149554741	8	5477340939662226	0.612244897959184	0.249530522571519
ACVR1B	3.86560607859432	0.001069	18.444444	13253.226485	0.00032	0.138889	2154.745238	3.45861689252922e-05	2154.74523809524	605.4921875	0	175	0.068033073723357	2107	2061.58627149877	86815	6	0.00187098281860599	7	80083905116365040	0.518518518518519	0.262998320285011
ACVR2A	4.43915469547667	0.000356	13	329.365002	3.2e-05	0.333333	1858.657143	1.99219666196277e-05	1858.65714285714	406.1875	0	42	0	570	1795.22475996898	15606	3	0.000187157387043719	8	818216042697036	0	0.226859165489705
ACVR2B	3.83996200878547	0.001781	19.066667	24310.597032	0.000302	0.114286	2176.07619	4.05341397463492e-05	2176.07619047619	619.8359375	0	301	0.150525010640445	2119	2075.35397600791	123116	6	0.00175899856679908	8	71087240306310088	0.586666666666667	0.265601878490913
ACVRL1	3.86441885314021	0.001306	24.272727	8132.872939	0.000331	0.218182	2159.520238	3.78280144379816e-05	2159.52023809524	608.54296875	2.14285714285714	278	0.178448560619146	2029	2062.21963133641	124204	6	0.00193477184904308	8	85612425704787328	0.628099173553719	0.263581134882838
ACY1	4.61070877359611	0.000119	8	0	6e-06	0	1780.306746	9.35402310769444e-06	1780.30674603175	356.125	0	9	0	341	1728.42849418066	5493	1	3.30728698095495e-05	9	25041427268975.8	0	0.217296075434128
ADA	4.64181408049389	0.000475	9.5	107.613864	5e-06	0.166667	1773.811111	2.46850823938352e-05	1773.81111111111	353.142578125	0	42	0	356	1716.84610466008	11817	4	2.85661759303968e-05	9	18703351734770.4	0.375	0.21650324803017
ADAM10	4.1868692864775	0.000712	10.666667	1128.487759	4.1e-05	0.066667	1975.496429	3.05347640271458e-05	1975.49642857143	481.59765625	4.0426183402654	70	0	1003	1903.39842908184	29906	5	0.000240522737153863	8	1323505684014815	0.5	0.241120032780588
ADAM12	3.88578891131426	0.000475	41	3435.371029	9.7e-05	0	2137.85	2.481170804567e-05	2137.85	593.0234375	0	168	0	1876	2050.87836846929	95761	3	0.000564587665226234	7	7293852011847935	0.625	0.260936165018902
ADAM15	3.62649887213582	0.00095	54.25	9105.332501	0.001031	0	2310.69881	3.49490236297504e-05	2310.69880952381	716.85546875	0	442	4	3051	2197.5135533294	261504	6	0.00602882340708073	8	831248725554855552	0.78125	0.282033297879123
ADAM17	3.81776089279354	0.001069	19.555556	7118.911266	0.000327	0.027778	2183.388095	3.61815352747914e-05	2183.3880952381	625.7265625	1	185	0	2318	2087.42261404982	92190	5	0.00190842618682449	7	83313735241587808	0.740740740740741	0.266494336047596
ADAM19	4.84851003205509	0.000237	2.5	8192	4e-06	0	1684.025397	8.11294758186832e-06	1684.0253968254	296.861328125	0	7	0	124	1643.65554984206	2163	1	2.28619541030256e-05	9	11952855870266.5	0.5	0.205544415577386
ADAM2	4.84945981241838	0.000237	8	8192	2e-06	0	1688.22619	9.7479011181398e-06	1688.22619047619	300.765625	0	18	0	160	1643.33363527309	3729	1	1.10515534943326e-05	8	2797148160549.52	0.5	0.206057145182023
ADAM23	4.31473346788555	0.000119	75	0	2e-05	0	1914.414286	1.03252965796335e-05	1914.41428571429	441.9140625	0	76	0	720	1846.99251575269	25488	1	0.000115299042927181	8	304060179371682	0	0.233664626597616
ADAM33	4.18437611302386	0.000119	83	0	6.8e-05	0	1975.613095	1.0308264277808e-05	1975.6130952381	482.02734375	0	84	0	964	1904.5325294368	25045	1	0.000397605068849143	8	3622569933949230	0	0.24113427257879
ADAM9	3.99358898254779	0.001069	17.777778	4040.370776	7.8e-05	0.027778	2081.270238	3.6569417480732e-05	2081.27023809524	553.44921875	3.4	169	0	1502	1995.51843153576	67600	6	0.00045387046055695	8	4713725283459303	0.691358024691358	0.254030298803261
ADAMTS1	4.68835331829514	0.000356	12.666667	416.679661	3e-06	0	1755.674206	2.11034430502574e-05	1755.67420634921	342.310546875	0	41	0	294	1699.80372246138	6878	3	2.0308771994239e-05	9	9433864805619.77	0.444444444444444	0.214289540626057
ADAMTS4	4.72634453282678	0.000356	7.666667	109.008294	5e-06	0	1735.5	1.96858554534019e-05	1735.5	328.669921875	0	26	0	204	1686.14039186134	5930	2	2.85803403539381e-05	9	18680211225575.1	0.444444444444444	0.21182716953498
ADAP1	3.78250029680636	0.000831	19.142857	1703.181221	0.000279	0.047619	2195.322619	3.34159463656025e-05	2195.32261904762	633.29296875	0	141	0	2408	2106.88163841808	87179	6	0.00162672450994691	8	60584323495411008	0.612244897959184	0.267951009282008
ADAR	4.74118485100321	0.000119	4	0	7e-06	0	1725.47381	8.10111686133492e-06	1725.47380952381	321.859375	0	5	0	169	1680.8626267685	3096	1	4.0520331142238e-05	8	37639372744225.9	0	0.210603418714013
ADCK1	4.43856108274961	0.000119	56	0	1.1e-05	0	1856.784524	1.02737252891541e-05	1856.78452380952	404.45703125	2.55555555555556	57	0	498	1795.46485315359	15907	1	6.66267996474867e-05	8	101719604389992	0	0.226630602198162
ADCY1	4.32886145078951	0.000594	33.8	1897.349886	3e-05	0	1914.066667	2.80855023579016e-05	1914.01666666667	442.125	0	174	1	712	1840.96453842356	47335	4	0.000171356347563265	8	684459916703767	0	0.23361609504048
ADCY10	4.98919624836757	0.000119	10	0	1e-06	0	1644.190873	9.55970853352207e-06	1644.19087301587	278.005859375	0	11	0	219	1597.30746716162	3507	1	8.33757775799016e-06	9	1597039030985.72	0	0.200682396315883
ADCY10P1	4.81075626261427	0.000119	10	0	9e-06	0	1704.838889	9.50342209917784e-06	1704.83888888889	311.51171875	1	11	0	206	1656.55460131784	3499	1	5.26313690155217e-05	9	66855875872673.2	0	0.208084814950445
ADCY3	4.29075151371245	0.000594	31.8	2552.015294	2e-05	0	1930.907143	2.69153444537636e-05	1930.90714285714	452.90625	1	164	1	765	1857.31576326056	45545	3	0.000114404224743958	8	299902717527529	0	0.235677669090335
ADCY4	4.25086073845423	0.000475	53.75	59.351404	3.4e-05	0	1949.989286	2.63062154743025e-05	1949.98928571429	465.67578125	0	219	0	853	1874.74511939673	61573	4	0.000197535939488831	8	908046595575854	0	0.238006747920694
ADCY5	4.26000237445091	0.000475	31	305.024139	2.2e-05	0.166667	1946.585714	2.59786929946302e-05	1946.58571428571	463.8359375	0	128	0	888	1870.7220612006	36524	4	0.000128597285896263	8	379493264126904	0.375	0.237591323603768
ADCY6	3.74260952154814	0.00095	74	17564.753848	0.000191	0.321429	2238.130952	3.59048554508739e-05	2238.13095238095	664.9375	0	600	0.116361022238828	2508	2129.33793300343	195350	8	0.00111405253480284	7	28562958796754124	0.40625	0.273175998093592
ADCY7	4.07111480470141	0.000475	52	440.798602	3.8e-05	0.166667	2043.602381	2.63726228600095e-05	2043.60238095238	529.1484375	2	212	0	1339	1957.51797847832	71372	4	0.000219561742598209	8	1104786257496768	0.375	0.24943273293693
ADCY8	4.0740828683367	0.000594	44	5551.782254	4.2e-05	0.1	2039.129762	2.83260436772687e-05	2039.12976190476	524.95703125	1	225	0	1197	1956.09188133815	64013	4	0.000245663147392439	8	1381095471134736	0.32	0.248886825571178
ADCYAP1	4.87759705568087	0.000119	4	0	3e-06	0	1675.379365	7.79327702447035e-06	1675.37936507937	292.78515625	0	5	0	121	1633.85378736248	2071	1	1.75392532784765e-05	9	7039489996146.2	0	0.204489120600452
ADD1	3.83260121096996	0.000475	42.5	1980.016432	0.000179	0	2169.383333	2.58289591643347e-05	2169.38333333333	615.5546875	1	174	0	2159	2079.33984883217	88936	4	0.00104424800762163	8	24949285835584320	0.625	0.264784979047137
ADD2	4.25192924136293	0.000119	55	0	1.9e-05	0	1941.304762	1.02933038837756e-05	1941.30476190476	459.203125	0	56	0	843	1874.27399899481	27636	1	0.000109806778063494	8	276360293987951	0	0.236946754779045
ADD3	4.14780956903716	0.000119	62	0	3.8e-05	0	1991.207143	1.03130286185423e-05	1991.20714285714	492.1875	0	63	0	1065	1921.32263789106	30118	1	0.000219031910808771	8	1101060134533700	0	0.243037610503729
ADGRA2	4.40876172385136	0.000237	21	17.649293	1.1e-05	0	1867.036905	1.69314696348829e-05	1867.0369047619	410.21484375	0	44	0	531	1807.60061936179	14515	2	6.41480268687938e-05	8	94171089140628.3	0	0.227881960791153
ADGRA3	4.51620562744865	0.000119	24	0	8e-06	0	1820.42619	1.00503245393653e-05	1820.42619047619	381.046875	0	25	0	423	1764.5964511041	9128	1	4.56647577366688e-05	8	47703500494199.8	0	0.222192870801444
