CHAF1B	DNMT3A	HERC2	HIST1H2AA	HIST1H2BA	HIST1H2BH	HIST1H3B	HIST1H3C	HIST1H3H	HIST1H3I	HIST1H3J	HSF2	NCAPD2	NCAPH	SETD7	SMC4	STX11	TADA2B	TAF12	TAF6L	H2AFJ	DNMT3L	HIST3H2A	NCAPG	NCAPH2	SLC38A2	if_health
spl	-0.415028948452197	-0.518891797391344	-0.32527393379519	0.1693516009068	-0.346557304479439	-0.0709680589336515	0.147338514656235	-0.515729696603974	0.1543924317973	-0.539323833248223	0.758353682185808	-0.0590493713504788	0.360780317804005	0.360658698542952	0.0375163219254972	-0.500162431189201	0.144906129435172	0.248890597635372	-0.253518569774001	-0.334881855418362	-0.319922686308863	0.0141654238033437	-0.158290688369614	0.174216371348917	-0.167898609992786	0.396536380553542	1
degree_centrality	0.349908982169457	1.16133378113944	0.128558769914825	-0.240165604545892	0.128558769914825	0.128558769914825	-0.240165604545892	0.275932932120911	-0.387539766751978	0.128558769914825	-0.534913928958064	-0.314141654594437	-0.240165604545892	-0.166189554497346	-0.240165604545892	0.939983568884805	-0.314141654594437	-0.0188153922912605	0.275932932120911	0.202534819963371	-0.0927914423398056	-0.461515816800523	0.128558769914825	-0.0927914423398056	-0.240165604545892	-0.461515816800523	1
average_neighbor_degree	0.196239056359986	0.0764189522573732	0.545429034123033	-0.461059725311631	0.220887760672672	-0.34192432113365	-0.346032438519098	0.309212284459796	-0.255653856039251	0.512564095039452	-0.666465594584011	-0.101599454084965	-0.567870777333269	-0.652771883659577	-0.378897377602679	0.0866892457209923	-0.717817061902107	-0.461059725311631	0.309212284459796	0.0729955347965582	0.413382392139025	0.874078424958842	-0.518573368707897	-0.566697047115073	0.475591038570424	-0.502140899166107	1
betweenness	-0.0334993757805701	0.250658105698761	-0.208761195765058	-0.246644647917189	-0.0415421310830253	-0.199537005506716	-0.242274858709985	0.0246849626041098	-0.248497734203581	0.052579507590502	-0.250839860020807	-0.200938983111436	-0.250839860020807	-0.103339015091468	-0.243722483628396	0.404829955137566	-0.210941460902875	-0.238762780673141	-0.166954128844589	-0.125149079086729	-0.224809983552139	-0.250839860020807	-0.0563253361597398	-0.233604463925927	-0.241685635086625	-0.243415236276311	1
eigenvector	-0.0938588243286005	-0.104409735372941	-0.0766912402564536	-0.139728463021368	-0.11308294190939	-0.135615396004083	-0.139996706522495	-0.0431608026155419	-0.140712022525501	-0.0351134975817231	-0.142142654531513	-0.133201204493937	-0.138297831015356	-0.138297831015356	-0.134631836499949	-0.0398524661016386	-0.140443779024374	-0.139013147018362	-0.0987766218492675	-0.125511557461621	-0.128730479475149	-0.138297831015356	-0.128193992472894	-0.137493100511974	-0.122918536950724	-0.141874411030386	1
cluster_coefficient	0.314712271874018	0.289772920965009	-0.275263375864288	0.292862111022933	-0.085889633885816	0.00879723710342026	-0.133233069380434	-0.171969382230904	0.860987597910154	-0.180576504875052	-0.559328249783801	-0.559328249783801	3.70162355424987	2.28130770655591	-0.559328249783801	0.110250499557462	-0.559328249783801	0.810265227634938	0.731867975392522	0.215389485321993	0.455183069997596	3.70162355424987	-0.559328249783801	1.67260091468708	2.42333801303977	-0.559328249783801	1
harmonic_centrality	0.794132068359127	0.976525430221874	0.661541398972574	0.0608382276647564	0.709683378071556	0.347618178276126	0.0861927498686962	0.927690943778549	0.0625240887000759	0.954118424092984	-0.487980051923778	0.310139442088282	-0.129987665848799	-0.128810120517027	0.195341857124222	0.944365357780767	0.0647193699764641	-0.00577812825932224	0.588777594636169	0.680176522510911	0.650346308291979	0.224257222244356	0.438634872581084	0.0630409863540009	0.456219547965488	-0.177082001706829	1
markovcent	1.17797729461452	1.43461755845911	1.08091539924262	0.53760929858951	1.0108686163155	1.05034193006694	0.551714948768938	1.11601786970628	0.09018863711226	1.02926070109493	-1.00506716393131	0.347984102078187	0.41281494433883	0.412910976042464	0.53516305183748	1.36141263153237	0.218944128840898	0.885657586222133	1.167673721908	1.10451420896262	0.845453166597066	-0.264978329717264	0.941545940217918	0.691685273299785	0.544015202387838	-0.414918951028376	1
closeness_latora	0.794161212998836	0.9764369747546	0.661570430134398	0.0608667467163087	0.709712449501404	0.347646942103566	0.0862212904019889	0.927720200628364	0.0624741059608414	0.954147704824602	-0.487952002195579	0.31016817404068	-0.129959309823067	-0.128781763487144	0.195370490136288	0.944394630569282	0.0647478918618846	-0.00574966627653796	0.588806562579594	0.680087813547073	0.650375328897844	0.224207376478298	0.438663712425758	0.0630695060129595	0.456169901286486	-0.177053686775361	1
closeness_residual	1.0627332967354	1.36590571458699	0.845103192212096	-0.104521940750548	0.931032891323116	0.343188416924376	-0.0654309490223458	1.28063779952147	-0.108382347682622	1.32432630724055	-0.886220717257488	0.279003435048168	-0.386269772673889	-0.384892401001957	0.0963456581325069	1.31176855145036	-0.110044878333509	-0.199087114601609	0.730853978276027	0.8756474851088	0.828375658899457	0.145234281948942	0.48253162100845	-0.0982645842878271	0.515244198216828	-0.460265837533563	1
