DCAF4	POLD3	REV1	CUL4A	SF3B1	TAF1A	TUBA8	GTF2E2	ELAVL2
spl	0.585411092968641	-0.285017958386694	-0.144790950392746	-0.287936820651959	-0.596120028159914	0.947471633123003	0.452602859898917	-0.0275499827377849	-0.0624547106599539
degree_centrality	-0.534913928958064	0.571259194424088	-0.0927914423398056	0.0551606577572846	2.19353085447304	-0.534913928958064	-0.461515816800523	-0.166189554497346	-0.0927914423398056
average_neighbor_degree	-0.666465594584011	0.3656988985097	-0.261522589292579	0.223626519290028	0.687050958271391	-0.954033811565344	-0.78970911614744	-0.228266393109209	-0.232178881944761
betweenness	-0.250839860020807	-0.24753957877402	-0.21524217666014	-0.197586988385454	0.384250570772944	-0.250839860020807	-0.250140702551911	-0.241616130543597	-0.07273197363899
eigenvector	-0.142053240031138	-0.0521022526531183	-0.116391278423293	-0.0958259433368673	0.263799177174458	-0.142321483532265	-0.140443779024374	-0.118447811931936	-0.0926070213233397
cluster_coefficient	-0.559328249783801	2.4943552967576	0.252280806041316	-0.322606811358907	0.543789562762476	-0.559328249783801	-0.559328249783801	0.292862111022933	-0.356425985827522
harmonic_centrality	-0.349918554027626	0.614354541022737	0.406204713632501	0.626578582589688	1.11201697311288	-0.634721827588179	-0.247258096009579	0.281477428201369	0.307853508662072
markovcent	-1.00830165186237	1.30573770979289	0.76580289124231	1.01482989835069	1.57515362742642	-1.24369588151484	-0.59238856225209	0.674776836885772	0.673879458141341
closeness_latora	-0.349890386632044	0.614383531684296	0.40623352559806	0.626607584123872	1.11204638830558	-0.634693901423952	-0.247308344121976	0.281506135487937	0.307882238852064
closeness_residual	-0.70414670919497	0.764661458356429	0.423369203412509	0.793677729554584	1.58438591568906	-1.07525421851393	-0.573393246807141	0.23611122032692	0.268748472521989
communitycent	-0.463477648784388	0.126907633049567	2.18676836911859	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.4700350129367	0.599264278843344	-0.215439943465261	0.0636716882515758	2.65865550745676	-0.483236238761145	-0.460605565919239	-0.245614173921135	-0.2060104964478
dmnc	-0.214905655225139	-0.0443216179277715	-0.095907877060657	-0.214905655225139	-0.107970679536577	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139
geokpath	-0.847259290285315	0.755428718508581	0.199355893027522	0.805980793552314	1.88442506115195	-0.974575627432493	-0.826664000452683	0.0476996678963235	0.0308489762150792
lincent	-0.313607051693407	0.581888775729999	0.410296099123565	0.5855982711745	1.01305936411211	-0.593295262505888	-0.199610719789153	0.276130248935571	0.315238496960408
semilocal	-0.393359641037567	0.683448368090237	-0.182833469565661	0.119312208980695	2.60928396688469	-0.402646463180164	-0.387441991579261	-0.162814772194431	-0.122761670353209
coreness	-0.664177921120116	1.51614700256811	0.0625970534426247	0.60767828436468	2.7880032080529	-0.664177921120116	-0.482484177479431	-0.119096690198061	0.0625970534426247
hub_score	-0.141567763996979	-0.0517705254923973	-0.115930114465406	-0.0955383095931088	0.260729223490844	-0.141827290396536	-0.139915853146332	-0.118059987850921	-0.0924403050086989
eccentricity	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562
