COG4	COG5	ERC1	FER	GOLGA1	PPFIA1	PPFIA2	RAB3A	RAB6B	SYT1	VPS51	COG8	TMF1	UNC13B	GCC2	STON2	CPLX1	SYT4	if_health
spl	0.258012042214332	0.447373231673642	-0.284288242820378	-0.236978350270816	0.548073979825409	-0.213505832887609	0.788393639665861	1.84830549974156	0.0252327765591571	-0.093346002967384	0.78656935075007	0.19343221459527	0.679666020284606	0.810771583699592	0.733056875886812	0.170932651300485	0.823298367588038	0.753732150265797	1
degree_centrality	-0.0927914423398056	-0.240165604545892	-0.240165604545892	-0.387539766751978	-0.387539766751978	-0.240165604545892	-0.534913928958064	-0.461515816800523	0.0551606577572846	-0.0927914423398056	-0.314141654594437	0.571259194424088	-0.534913928958064	-0.534913928958064	-0.461515816800523	-0.461515816800523	-0.534913928958064	-0.314141654594437	1
average_neighbor_degree	-0.337816203748203	-0.452843490540736	0.179806586818196	0.497500984265753	-0.73493423136853	-0.00916681291239399	-0.707546768438488	-0.99511498541982	-0.506705469474252	-0.461059725311631	-0.57403295341144	-0.558627513216012	-0.954033811565344	-0.830790290001916	-0.728087355365726	-0.317275616820965	-0.78970911614744	-0.707546768438488	1
betweenness	-0.214695257265445	-0.236583049626549	-0.0858082507171286	-0.0980536799594307	-0.244749809967656	-0.189018204833582	-0.250839860020807	-0.103339015091468	-0.07930026497517	0.236211442851375	-0.25004183931311	-0.0461289189460267	-0.250839860020807	-0.250839860020807	-0.250839860020807	-0.235889002375993	-0.250839860020807	-0.0833368270526382	1
eigenvector	-0.140801437025877	-0.141874411030386	-0.0835761567853875	-0.129177551977028	-0.142142654531513	-0.130965841984543	-0.142321483532265	-0.142410898032641	-0.14053319352475	-0.118268982931184	-0.142321483532265	-0.140175535523247	-0.142142654531513	-0.142142654531513	-0.141516753028883	-0.138387245515731	-0.141963825530762	-0.142232069031889	1
cluster_coefficient	0.658085333953875	0.7189572914263	-0.559328249783801	-0.559328249783801	0.860987597910154	-0.133233069380434	-0.559328249783801	-0.559328249783801	0.269188262799722	-0.153523721871242	2.28130770655591	0.150831804539079	-0.559328249783801	-0.559328249783801	3.70162355424987	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	-0.0327429813859114	-0.215255030397739	0.581551493504122	0.500480299969498	-0.316537013813872	0.483807753554176	-0.524045648930232	-1.17744567421031	0.206539837501062	0.334679114698089	-0.50482736255197	0.0376583420124478	-0.443524997874753	-0.53640146488508	-0.465987991573988	0.0294303923774018	-0.549012414876782	-0.47534760701959	1
markovcent	0.753366883618141	0.51720126011781	0.527191124884392	-0.253114112748258	-0.0439251794746061	0.536590141406342	-1.05918473434009	-1.28638092413711	0.925434699221774	0.441191832742591	0.275134878903903	1.17417321934351	-1.23418765878508	-1.07169422278318	-0.456784815349118	-0.409712310797034	-1.08660979818556	0.0224611171256349	1
closeness_latora	-0.032714542808627	-0.215226748392144	0.581580455183539	0.500391439003338	-0.316587320218839	0.483836632817195	-0.524096132784348	-1.17741821084701	0.206568480014632	0.334707865857096	-0.504799325844543	0.0376868405497064	-0.443575412381793	-0.536373455177218	-0.465959922531313	0.0294588842075238	-0.548984415698608	-0.475319546780748	1
closeness_residual	-0.25120664345318	-0.513213941531532	0.709270671784019	0.570365966884564	-0.660253747868334	0.54787068969571	-0.943279414838877	-1.65433139939934	0.105785496407523	0.307099665012337	-0.907816129555206	-0.152821415355747	-0.842303544319431	-0.954712675787529	-0.856897765648005	-0.166974447320654	-0.973936695255544	-0.866457316890601	1
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	1
diffusion_degree	-0.239956505710659	-0.33802275469225	-0.192809270623355	-0.268244846763041	-0.437974893077334	-0.236184726903675	-0.471920902340192	-0.479464459954161	-0.238070616307167	-0.279560183183994	-0.39082765799003	-0.0796559064138269	-0.483236238761145	-0.477578570550669	-0.454947897708763	-0.41723010963892	-0.475692681147176	-0.415344220235428	1
dmnc	-0.095907877060657	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.127143723936473	-0.214905655225139	-0.214905655225139	-0.00170676470218805	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1
geokpath	-0.568286728006938	-0.693730766078423	0.669302961026666	0.409053389505228	-0.845386991209621	0.414670286732309	-0.958661085289096	-1.02325540340053	-0.250932034676838	0.0636142100397208	-0.89406676717766	-0.513990054811818	-0.934321197305077	-0.955852636675555	-0.893130617639813	-0.52522384926598	-0.970831029281106	-0.873471477345028	1
lincent	-0.0197392550233859	-0.194982516072222	0.580962312576797	0.52166350512058	-0.282231432342952	0.492792786490282	-0.475618682884424	-1.13890037665608	0.218279381100751	0.350432960172837	-0.474223813359341	0.043645285088853	-0.39058517439147	-0.492642996140557	-0.432829230319252	0.0661894958663393	-0.502103940345492	-0.44893307725284	1
semilocal	-0.330692243754816	-0.356707126078159	-0.158997947195444	-0.221496493166512	-0.391757516963918	-0.221755660296072	-0.400926535865806	-0.406545750447648	-0.317133090749155	-0.215688793399534	-0.388871337566536	-0.279667733428851	-0.399815258628446	-0.400502444199252	-0.398181720357275	-0.341710773535842	-0.399183047903306	-0.391953855698434	1
coreness	0.0625970534426247	0.0625970534426247	-0.119096690198061	-0.482484177479431	-0.300790433838746	-0.119096690198061	-0.664177921120116	-0.664177921120116	0.0625970534426247	-0.119096690198061	-0.119096690198061	0.24429079708331	-0.664177921120116	-0.664177921120116	-0.482484177479431	-0.482484177479431	-0.664177921120116	-0.300790433838746	1
hub_score	-0.140284482189093	-0.141365677367577	-0.0830844893479194	-0.12868972302757	-0.141635777902605	-0.130451892011009	-0.141793647751035	-0.141894521213726	-0.139995541462659	-0.117783957302791	-0.141774136770237	-0.139650605123012	-0.141639901279826	-0.141653216720036	-0.140961558364641	-0.137901518612484	-0.141429178646781	-0.141736966225946	1
eccentricity	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	0.935165488883556	0.415385918927497	-0.104393651028562	0.935165488883556	0.415385918927497	0.415385918927497	0.415385918927497	0.415385918927497	-0.104393651028562	0.415385918927497	0.935165488883556	1
subgraph_centrality	-0.0893271932509135	-0.0893273956823273	-0.0890248411182217	-0.0893121646310969	-0.0893274143160189	-0.0893159625725197	-0.0893274193024328	-0.0893274202021925	-0.0893271042205613	-0.0892765619541373	-0.0893274189228772	-0.0893269794777257	-0.0893274145066018	-0.0893274150855631	-0.0893273439635909	-0.0893260249406976	-0.0893274012145118	-0.0893274180130832	1
pc	0.486423962084193	0.749070053753948	1.04156229220436	1.43155194347157	0.619073503331543	0.164085576853133	-1.0058833769485	0.82219311336655	0.257971974380424	1.53103909940708	-1.0058833769485	0.365173990787788	-1.0058833769485	-1.0058833769485	0.82219311336655	0.82219311336655	-1.0058833769485	1.73623135852407	1
gilschmidt	-0.266749485180412	-0.340620290231962	-0.0181169847088306	-0.0509777896473206	-0.381645420673971	-0.0576782558245538	-0.465633464051628	-0.730061959177189	-0.16990100606307	-0.118037298862074	-0.457823188245629	-0.23825491491979	-0.433043148130303	-0.470602642338309	-0.44210315472078	-0.241585134709663	-0.4757068588109	-0.445891410832602	1
spl_n	0.0578196922028571	-0.208604839917179	-0.210900439028195	-0.748745807215779	0.655215602035117	-0.475839583488155	-0.173495677042767	0.224318145372659	0.481965386774093	-0.441135526339223	1.14107240212021	-0.0479129021458383	-0.359709275518956	0.237821669555127	0.691945187811419	-0.129069082482459	0.469947250251702	0.938519539383234	0
degree_centrality_n	0.602358041254639	0.221668660570829	-0.349900086551353	0.158042205091372	-0.349900086551353	0.0944157496119145	-0.159555396209448	-0.0959289407299908	-0.349900086551353	0.348386895433277	-0.286273631071896	0.98304742193845	-0.223181851688905	-0.223181851688905	-0.477152997510267	-0.0323024852505337	-0.41352654203081	-0.540244776893258	0
average_neighbor_degree_n	-0.433356071255713	-0.135106259750993	0.170069298584898	1.05876484208052	-0.849049126459655	0.127054566483137	-0.162704059495372	-0.75805640993782	-0.867247669764022	-0.22301923678943	-0.841769709137908	-0.42684292179834	0.261062015106733	-0.570004783660332	-0.721659323329086	-0.347578147317745	-0.412284087154847	-0.849049126459655	0
betweenness_n	-0.167530515103932	-0.0615089372291523	-0.23242862318458	-0.103407251369822	-0.248394892198493	-0.0438185132330186	-0.204088111782177	-0.0113497750325784	-0.245175407390113	0.29715154024257	-0.258389184697232	0.0797339802471464	-0.119634276797893	-0.245481540719757	-0.258160315580099	-0.0349594515921861	-0.257922251315223	-0.259264592921767	0
eigenvector_n	-0.170432750537014	-0.139766872066354	-0.101084988889079	-0.0826295361924511	-0.177050614887824	-0.133242217072597	-0.159061208976465	-0.173601868676838	-0.176864196173717	-0.111151599450876	-0.177237033601932	-0.168382144681833	-0.155705672122533	-0.17211051896398	-0.177143824244878	-0.137250219425905	-0.173601868676838	-0.177423452316039	0
