COG4	COG5	ERC1	FER	GOLGA1	PPFIA1	PPFIA2	RAB3A	RAB6B	SYT1	VPS51	COG8	TMF1	UNC13B	GCC2	STON2	CPLX1	SYT4	if_health
cluster_coefficient_n	1.04097449829987	1.90255678142922	0.113777527435848	0.370021084678437	-0.590894368992731	0.0240927052032348	0.818445195841505	-0.137891309004567	-0.590894368992731	-0.107690541268967	0.254710215512395	0.66342050736418	-0.0271593886636208	0.254710215512395	-0.590894368992731	0.34866534089676	2.22778898869866	-0.590894368992731	0
harmonic_centrality_n	0.131683683000399	0.417424196966828	0.407592182474974	1.15873494761559	-0.45663253653067	0.774029110822325	0.373828063397896	-0.0626902310553415	-0.312960865907361	0.712516982441122	-0.818513724598111	0.256511118137007	0.594692722094859	-0.0774630665263624	-0.491629104221403	0.311949234174353	-0.297611783939509	-0.696673206122921	0
markovcent_n	1.31148023001234	1.09181518874496	0.0614070189818838	1.10351748375588	-0.0642355412288806	0.962761892080755	0.544025349939589	0.343138578772148	-0.126838170127209	1.12778316570381	0.150957289844282	1.4531961565422	0.432321404849332	0.386112302588568	-0.616024469020435	0.761196248549728	-0.291490051789836	-1.0951172931408	0
closeness_latora_n	0.131709925349261	0.41745186616452	0.407619802393749	1.15876631426283	-0.45660922868292	0.774058558251867	0.373855513852862	-0.0626649573516749	-0.312936841224609	0.712546123387654	-0.818492222705942	0.256537983441723	0.594721273926082	-0.0774378675265932	-0.491605971656086	0.311976375544575	-0.297587682780455	-0.69665109742851	0
closeness_residual_n	0.0326777495296669	0.453721163784233	0.444573894720556	1.59270989782659	-0.776163752340469	1.000059103869	0.393610538508638	-0.244353827827422	-0.58851021787238	0.899362276361293	-1.22263119384555	0.21304805926008	0.72491078778973	-0.264108854292675	-0.822457389261476	0.297006921737406	-0.565469092646856	-1.08881394988564	0
communitycent_n	0.873031297070531	-0.51642647910199	-0.51642647910199	0.0625142609698936	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.641455001041777	-0.51642647910199	0.0625142609698936	-0.51642647910199	0.0625142609698936	-0.51642647910199	-0.51642647910199	0
diffusion_degree_n	0.0867457896649271	0.0543491189144122	-0.288761075852405	0.590366762241113	-0.453689581491389	0.0838006377785167	-0.215132278692143	-0.365335024899076	-0.4566347333778	0.0882183656081323	-0.437491246116132	0.282598390111222	-0.154756665020729	-0.356499569239845	-0.472833068753057	-0.197461367373681	-0.415402606968054	-0.497866859787546	0
dmnc_n	-0.0138414785490892	-0.0776422106104507	-0.123265764231294	-0.0717143547046969	-0.123265764231294	-0.0783672968589281	-0.0858558417022882	-0.123265764231294	-0.123265764231294	-0.061796848354552	-0.123265764231294	-0.0109564890876745	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.0248392992695366	-0.123265764231294	-0.123265764231294	0
geokpath_n	-0.271449599961548	0.329866089183476	0.391970382716073	2.01179648579568	-0.929755111407072	1.140144460097	0.272876266882975	-0.549822962737069	-0.817236744300956	0.99766990434575	-1.05688625346203	-0.0478741432442001	0.779939557607941	-0.568088931423127	-0.951674273830342	0.142822569838244	-0.804815885594437	-1.06273136344157	0
lincent_n	0.121212848100129	0.41505804859335	0.417744774196098	1.1354165069339	-0.429452818644266	0.747896077543111	0.374313843556617	-0.0459574241424446	-0.283072151247289	0.70225830676536	-0.792864417455317	0.233714819857473	0.598107932410841	-0.0590114238158762	-0.459255600926306	0.323673054177096	-0.272547171223735	-0.649102527076488	0
semilocal_n	-0.215345831303314	-0.155475623521779	-0.213405991037218	0.640586035282464	-0.414041230439519	0.0168425943194988	-0.230241946017342	-0.361767762382699	-0.403482459170764	0.0555325341896507	-0.413639323414328	-0.139534085909855	-0.0718278527180872	-0.342060379176352	-0.417142651703279	-0.155347849612036	-0.376450146193156	-0.423970424807541	0
coreness_n	0.622091334494471	0.622091334494471	-0.215698910844319	0.789649383562229	-0.215698910844319	0.119417187291197	-0.0481408617765611	-0.215698910844319	-0.383256959912077	0.454533285426713	-0.215698910844319	0.789649383562229	-0.0481408617765611	-0.0481408617765611	-0.550815008979835	0.119417187291197	-0.383256959912077	-0.718373058047594	0
hub_score_n	-0.169861554260027	-0.139147877941743	-0.100470681167689	-0.082285116042969	-0.176520502600103	-0.132959698246463	-0.158529100335426	-0.173015812773465	-0.176290056398691	-0.110631338932264	-0.176667968260925	-0.167855969360961	-0.155289814203389	-0.171511610813676	-0.176590679008539	-0.136631195488225	-0.173063190659285	-0.176868805411962	0
eccentricity_n	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	0.186549824460118	-0.576962892462901	0.186549824460118	0.186549824460118	0.950062541383136	0.186549824460118	0.950062541383136	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.950062541383136	0.950062541383136	0
subgraph_centrality_n	-0.0942229796409267	-0.0940965965314982	-0.0936932949436573	-0.09340875163073	-0.0942277463573501	-0.0940489570696966	-0.0941962816824686	-0.0942262440843863	-0.0942277161723543	-0.0938256070489178	-0.094227760777055	-0.0942199600817282	-0.0941839998880019	-0.0942249128351832	-0.0942277536313555	-0.0940786312247764	-0.0942262793226189	-0.0942277737972706	0
pc_n	0.41258503368696	0.887240835804475	0.649598100337655	1.03763309834628	-1.09655939070115	1.27013340707045	0.328875295861139	1.19527231628728	-1.09655939070115	0.641837400377483	-1.09655939070115	0.736207511893179	1.03763309834628	-0.126471895679589	-1.09655939070115	-1.09655939070115	0.455580601333342	-1.09655939070115	0
gilschmidt_n	-0.158046647237088	-0.0356633389972694	-0.0398744131142063	0.281841729896097	-0.410023812947721	0.117071350889692	-0.0543356620306615	-0.241297433298766	-0.348488911806897	0.0907255675052531	-0.565018343599718	-0.104582774671097	0.040261170053392	-0.247624672535603	-0.425012922248425	-0.0808385045451041	-0.341914865365786	-0.512833774724165	0
