PPP5C	SPTA1	RNF138	MAP2	PRPH2	PCBP4	SGO2	METAP2	TJP1	CSE1L	SLC25A23	SET	EXOC5	CELF3	GJA3	TOP2A	RNMT	LMNB1	ESR2	SPTB	ANAPC4	CDH1	PLEC	RBFOX1	TOP2B	KPNA4	RBFOX2	CBLL1	LZTS2	CDC26	KPNA6	PRKCG	EXOC1	PTPN14	AFAP1	GZMA
spl	0.558898094059117	0.632356127735045	0.491642642696886	0.175554183220497	-3.99951342946319	0.946741917556687	0.0695021875824016	0.252539175466952	-0.082400269472623	-0.20170876456548	-0.161817646940141	-0.638808388789464	0.533966145543278	0.477413189153693	0.269809110536462	-0.659726901690554	-0.520351228523976	-0.495784137791304	-0.583958102054626	-0.149047624529591	-0.144426092609588	-0.605363091999928	-0.252059138641368	0.301551737671261	-0.174344430828587	-0.275166798241407	-0.26531563809613	0.311281278555486	-0.182979398363338	-0.366989340336319	-0.130683116110606	-0.343638442214175	0.0108817037549209	-0.428528686429064	-0.398123871165855	0.194283549422639
degree_centrality	-0.534913928958064	-0.534913928958064	-0.534913928958064	-0.314141654594437	-0.534913928958064	-0.534913928958064	-0.461515816800523	-0.387539766751978	-0.0188153922912605	-0.314141654594437	-0.166189554497346	0.571259194424088	-0.534913928958064	-0.534913928958064	-0.387539766751978	0.275932932120911	-0.166189554497346	0.202534819963371	0.128558769914825	-0.240165604545892	0.349908982169457	0.939983568884805	-0.0927914423398056	-0.387539766751978	-0.166189554497346	-0.461515816800523	-0.461515816800523	-0.534913928958064	-0.240165604545892	-0.240165604545892	-0.314141654594437	0.128558769914825	-0.0927914423398056	-0.387539766751978	-0.166189554497346	-0.534913928958064
average_neighbor_degree	-0.707546768438488	-0.748627942292964	-0.214572682184774	-0.502140899166107	-1.0361961592743	-0.954033811565344	0.278401404068939	-0.666465594584011	-0.67673588804763	0.196239056359986	-0.146104045400256	0.252725670409891	-0.748627942292964	-0.173491508330298	-0.748627942292964	1.3362416308217	1.14795293101574	0.188769759492113	0.479699155955871	-0.140626569246717	-0.243013507493619	-0.273260055799237	-0.103066627128004	-0.639078131653969	-0.15295092140306	1.96272953210246	1.57245838048494	-0.214572682184774	0.0154818914002917	0.927483950969661	-0.101599454084965	-0.276194442966489	-0.660596861330683	2.07227934274145	0.83984412710717	0.0319143609420821
betweenness	-0.250839860020807	-0.250839860020807	-0.250839860020807	-0.226045621692673	-0.250839860020807	-0.250839860020807	-0.234038699387686	-0.245380699673529	0.0380912648087674	-0.234103172873966	-0.215160563192102	0.358597305665547	-0.250839860020807	-0.250839860020807	-0.216162260882829	-0.068265623963573	-0.181167288813005	-0.0732324147874776	-0.0261853646164262	-0.206525402029006	-0.233171314846935	0.589670364742665	-0.161951453983034	-0.229489986528182	-0.215149458826715	-0.250839860020807	-0.212976928255893	-0.250839860020807	-0.127504807429134	-0.227399448109402	-0.22624321078724	-0.145053725797276	-0.147983981692391	-0.218662840006224	-0.212817973619069	-0.250839860020807
eigenvector	-0.142232069031889	-0.142232069031889	-0.140980266026628	-0.140801437025877	-0.142410898032641	-0.142232069031889	-0.13946021952024	-0.139102561518737	-0.135704810504458	-0.0874209803015454	-0.133737691496191	-0.00828914746899365	-0.142142654531513	-0.140622608025125	-0.130697598483416	-0.0626531636974586	-0.0450385071234329	-0.108969874892105	-0.102979103366928	-0.128819893975524	-0.0935011663270974	-0.0816090377771207	-0.12828340697327	-0.138029587514228	-0.131055256484919	-0.054874102164767	-0.13650954100784	-0.141248509527756	-0.128819893975524	0.143089601667176	-0.0998495958537767	-0.131144670985294	-0.13946021952024	-0.129088137476652	-0.125600971961997	-0.139996706522495
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.150831804539079	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.860987597910154	-0.25497272337348	0.150831804539079	0.00879723710342026	-0.346280659582118	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.279951427056711	-0.559328249783801	-0.404382998381921	-0.559328249783801	1.14505247182967	0.91561726098967	-0.437588595790755	0.049378542085037	-0.559328249783801	-0.275263375864288	3.70162355424987	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.7189572914263	-0.559328249783801	-0.464641378794565	0.252280806041316	-0.559328249783801	-0.275263375864288	-0.559328249783801
harmonic_centrality	-0.330074112629376	-0.393209232411869	-0.256915837672098	0.0312509999250361	-4.01682377427474	-0.640059096551159	0.144598998324595	-0.0502977518290696	0.323484021662403	0.466584751798064	0.41796240956662	1.13094087551329	-0.311427689366035	-0.255289619307833	-0.0625937555463355	1.17337923481095	0.917642556162397	0.889891738628663	1.0208403869926	0.401320703063536	0.425473467248592	1.06226474787452	0.546601759649871	-0.089844669760372	0.45192991988837	0.554090387448364	0.543461639550176	-0.112465605259867	0.456303660028537	0.705730188826269	0.375036209723648	0.656970467091149	0.21107890971599	0.775540871971846	0.744966748199749	0.00634956890367408
markovcent	-1.00573737530754	-1.06862178525722	-0.945052901397359	0.241418722636613	-2.06317627905331	-1.24450079096483	-0.287091875043279	-0.0388416609297226	0.76245290225649	0.322713485444123	0.655654099787501	1.27232837729356	-1.02488447651616	-0.948036800739366	-0.106062470466118	1.197269316445	0.697352797393704	1.09629304873144	1.0389276545478	0.511291993300099	1.18262583366941	1.35569169383969	0.72598036497796	-0.0195977657981624	0.720909633679283	-0.262177664113542	-0.25492472890522	-0.948724626089457	0.503726786551377	0.543173896629494	0.386745115248308	1.01585606916357	0.678927584347508	0.15313186067364	0.730145404716086	-0.937022576957005
closeness_latora	-0.330045927189975	-0.393181102007185	-0.256887590108657	0.0312794931853338	-4.01679873303718	-0.640031176919556	0.144627588663813	-0.0502693288197142	0.323512764620566	0.466495861179828	0.4179912323062	1.13097030557233	-0.311477992545695	-0.255261369732334	-0.0625653424242973	1.17340870169481	0.917671805228496	0.889920963245207	1.02075196852985	0.401349511985726	0.42550229572033	1.06229412105221	0.546512938387607	-0.0898162794551294	0.45195877129467	0.554001572347751	0.543490569458743	-0.112437233432425	0.456332514828118	0.705759258230806	0.375064995558841	0.656999494317712	0.211107555811379	0.775452244666401	0.744995849792263	0.00637804146284728
closeness_residual	-0.678665333264233	-0.765428987879743	-0.567141270702514	-0.163420720799909	-2.25497305552343	-1.08690807414441	0.0117072449639227	-0.284785458314609	0.289516654762834	0.519354791800249	0.439693209868137	1.62446420312742	-0.655640090803172	-0.57358424951946	-0.299231719795611	1.70093523271009	1.26428151091728	1.2183601545894	1.43795947017492	0.414712207240095	0.458007948818354	1.5012109599219	0.652615501059641	-0.336902296987134	0.504176801618533	0.659088071846101	0.644512681770855	-0.376881047800761	0.507840825480195	0.91670499772017	0.370964515581983	0.825185106550021	0.111405280436166	1.0287132925103	0.978885796206556	-0.198987577976879
