DACH1	REST	KTN1	CHMP1A	TP53BP2	CREBZF	BEX3	RFX5	VPS4B	RCOR1	MXI1	FBXO4	SAP30L	YAP1	NCOR1	KIF5B	KIF5A
spl	1.26830324378046	-0.218370603329727	0.459656777039982	-0.105386309811618	0.0658536097508114	0.901377933183968	0.185162104843669	-0.0724274900662931	1.1641971563192	-0.049198211205192	-0.212897736582346	0.236607052269031	0.661787988909832	-0.0691437700178611	-0.539931929553487	-0.31663896626044	-0.11499423143479
degree_centrality	-0.534913928958064	-0.314141654594437	-0.534913928958064	-0.314141654594437	-0.387539766751978	-0.461515816800523	-0.387539766751978	-0.387539766751978	-0.534913928958064	-0.387539766751978	-0.314141654594437	-0.461515816800523	-0.534913928958064	-0.314141654594437	0.86600751883626	-0.166189554497346	-0.166189554497346
average_neighbor_degree	-0.871871463856392	0.596780501441128	-0.419978551457155	-0.173491508330298	-0.543222073020583	-0.912952637710868	-0.419978551457155	0.0319143609420821	-0.584303246875059	-0.0639416976913041	0.596780501441128	-0.255653856039251	-0.543222073020583	-0.255653856039251	-0.159113097481232	0.257860817141701	-0.440519138384393
betweenness	-0.250839860020807	-0.24484178057045	-0.250839860020807	-0.0964815647584447	-0.101380958675117	-0.2493815451954	-0.246897593744207	-0.0752267461568794	-0.250839860020807	-0.19749746944358	-0.230021826764918	-0.247985544926897	-0.250839860020807	-0.185530239202342	0.356020606301482	-0.0644208046475938	-0.183722304887477
eigenvector	-0.142410898032641	-0.131770572487925	-0.142053240031138	-0.129624624478906	-0.134542421999573	-0.142321483532265	-0.140622608025125	-0.136420126507464	-0.142142654531513	-0.137940173013852	-0.133380033494688	-0.133380033494688	-0.142232069031889	-0.129892867980034	-0.0995813523526494	-0.0950212128334854	-0.139102561518737
cluster_coefficient	-0.559328249783801	0.860987597910154	-0.559328249783801	0.150831804539079	-0.559328249783801	-0.559328249783801	0.860987597910154	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.150831804539079	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.312640445089272	-0.275263375864288	0.576926984942446
harmonic_centrality	-0.847759318292999	0.510350185843898	-0.248628160582734	0.356874909231001	0.150856895778861	-0.60167205370638	0.0209896179092724	0.320496233537007	-0.780379425490165	0.292581018899504	0.510578304635751	-0.0145489710390377	-0.411164931134499	0.309657209013833	0.980677678795317	0.632369114656864	0.36353271285539
markovcent	-1.14162599877233	0.39397625764223	-0.965967215640396	0.102417202631403	-0.439652815929042	-0.628414658783774	0.072884669896613	-0.538356765705492	-1.01724077205987	-0.0446331548051706	0.378729529906042	-0.367617789337878	-0.980576738317384	0.129290446472584	1.37735895344735	0.667070505145966	0.659404008617302
closeness_latora	-0.847731574404801	0.510379087965274	-0.248599906849173	0.356903679728694	0.150885491294779	-0.601644100929029	0.0210181029323521	0.320524974433307	-0.780351625414763	0.292609734747289	0.510489451074243	-0.0145205173580117	-0.411136814508841	0.309685940779306	0.980589227429595	0.632398121502748	0.363561489329574
closeness_residual	-1.32066849223198	0.601862583163814	-0.570837576712737	0.3498143279165	0.0236758515428761	-1.035891518702	-0.176879686570757	0.294794786052541	-1.24574431560118	0.250743104162147	0.604254152336367	-0.217875325064052	-0.785045773488583	0.272245705282753	1.3682945935805	0.793516318811779	0.35579190575836
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.479464459954161	-0.175836265991926	-0.458719676515747	-0.317277971253837	-0.411572441428444	-0.471920902340192	-0.394599436797014	-0.332365086481774	-0.466263234129716	-0.345566312306219	-0.175836265991926	-0.411572441428444	-0.464377344726224	-0.332365086481774	0.389930555055716	-0.111716026273193	-0.304076745429392
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.187326174874209	-0.214905655225139	-0.0421713591969668
geokpath	-0.990490169575891	0.58973025030968	-0.825727850914836	0.184377500421971	-0.222847548541431	-0.968022580667565	-0.508373157584736	0.143186920756707	-0.998915515416513	0.0795287521831182	0.574751857704129	-0.445651138548994	-0.880024524109956	0.052380415585558	1.65413227484161	0.784449354181835	0.161909911513646
lincent	-0.809006687983759	0.498746909748275	-0.205836217079469	0.364301714125833	0.174781069251741	-0.559983900222141	0.0519036293728811	0.326539968670717	-0.74194858301581	0.300304145061664	0.492049596749266	0.00105543962625682	-0.376223398676911	0.322812419468631	0.929447908681473	0.622388153519349	0.37543037342127
semilocal	-0.405061429614708	-0.105703761098477	-0.387618696440325	-0.267698924172768	-0.322218263973114	-0.401790426297675	-0.351437394443755	-0.262350657044558	-0.403156943889905	-0.26274333451359	-0.153893140098033	-0.348115343055747	-0.391553324680022	-0.286853731112129	0.378153416242248	-0.142360202832575	-0.266022191380003
coreness	-0.664177921120116	-0.119096690198061	-0.664177921120116	-0.300790433838746	-0.482484177479431	-0.482484177479431	-0.300790433838746	-0.482484177479431	-0.664177921120116	-0.482484177479431	-0.119096690198061	-0.482484177479431	-0.664177921120116	-0.482484177479431	0.789372028005366	-0.119096690198061	0.0625970534426247
hub_score	-0.141867757925125	-0.131312680195811	-0.14149393748061	-0.129151167608131	-0.134036935123291	-0.141820727832624	-0.14013976596781	-0.135940436087638	-0.141656343652058	-0.137404268600431	-0.132930211700409	-0.132841954961001	-0.141695936152798	-0.129399586069179	-0.0993662067885484	-0.0945263338415692	-0.138622304744915
eccentricity	0.935165488883556	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562
subgraph_centrality	-0.089327420136274	-0.0893176136536825	-0.089327406122286	-0.0893132078366849	-0.0893220180797741	-0.0893274197187197	-0.0893271506382148	-0.0893243166796688	-0.0893274152169958	-0.0893256527475936	-0.0893203793704003	-0.0893202501641605	-0.0893274167286743	-0.0893137575691852	-0.0891685520151552	-0.0891311178389071	-0.0893264827112631
pc	-1.0058833769485	0.365173990787788	-1.0058833769485	1.73623135852407	0.619073503331543	-1.0058833769485	0.619073503331543	0.619073503331543	-1.0058833769485	1.43155194347157	0.82219311336655	0.82219311336655	-1.0058833769485	-1.0058833769485	1.29749300084846	1.63467155350657	1.43155194347157
gilschmidt	-0.59662311780824	-0.0469353440090775	-0.354127891405544	-0.109053666045712	-0.192438387556337	-0.497020574950011	-0.245001494213228	-0.123777745667181	-0.56935145638525	-0.13507628442638	-0.0468906751515532	-0.259385554078573	-0.41991380518058	-0.128164784547355	0.143379607446278	0.0024511844710896	-0.106358954459022
spl_n	-0.429522495542301	0.683573002818296	-0.325410324095494	1.33633336179866	-0.60992957862004	0.175435387832132	-0.278012954215044	0.748254883652306	0.230394731254766	0.489797430799923	0.241467621084384	0.830356310681688	-0.0444019858584038	-0.419934993372759	-0.907142145876094	-0.613845600632955	0.218511629974198
degree_centrality_n	-0.159555396209448	-0.540244776893258	-0.286273631071896	-0.477152997510267	-0.0323024852505337	-0.223181851688905	0.0307892941324573	-0.477152997510267	-0.223181851688905	-0.540244776893258	-0.41352654203081	-0.477152997510267	-0.41352654203081	0.0307892941324573	3.33241418981017	0.348386895433277	-0.477152997510267
average_neighbor_degree_n	0.648431003100104	-0.521475346981049	0.745143267002896	-1.04923310280769	0.691760861177724	-0.745924059867271	-0.172063315537202	-0.921843299677123	-0.709526973258537	-0.375887000546113	-0.472945910301766	-0.976438929590224	0.267128208340551	-0.000997008476152218	-0.0195477663876318	0.419995972097234	-0.339489913937379
betweenness_n	-0.010188892879653	-0.259264592921767	-0.207199697723466	-0.0966780936100719	-0.0484290491698782	-0.232445241481722	0.0315799022001385	-0.258485045316164	0.0705204269471301	-0.259264592921767	-0.257321952883932	-0.259033627744725	-0.252704066259013	0.239417833464308	2.18063585184951	0.262366792111505	-0.258379353552862
eigenvector_n	-0.129327424076343	-0.176864196173717	-0.152722972696815	-0.177423452316039	0.0600739894567263	-0.169221028895316	-0.13305579835849	-0.17667777745961	-0.162789583258612	-0.175652474532019	-0.174533962247375	-0.176491358745502	-0.168288935324779	-0.133894682571973	0.0686492503056644	-0.00815525990656426	-0.175559265174966
cluster_coefficient_n	-0.188225921897235	-0.590894368992731	0.254710215512395	-0.590894368992731	-0.590894368992731	0.254710215512395	0.0667999647436662	-0.590894368992731	0.536579819688411	-0.590894368992731	-0.590894368992731	-0.590894368992731	0.818445195841505	-0.590894368992731	-0.257751530835246	-0.268761302525503	-0.590894368992731
harmonic_centrality_n	0.705728867725544	-0.484526672182094	0.56017865575626	-0.958330891876592	0.953161470631587	-0.0172633446948165	0.505016256100712	-0.541745911228546	-0.0720038993052606	-0.317010205925926	-0.0852851153576676	-0.60079589843457	0.216670228347929	0.692284979749	1.51200921647246	0.98738327964357	-0.0713256395073317
markovcent_n	0.437815929490411	-1.05579612826638	0.303340014981354	-1.13150294327642	0.85355736661632	0.32234977781538	0.834698119514237	-0.677623421958741	0.231837782542128	-1.04953525225499	-0.211349117333097	-0.712745109074624	-0.192870373921147	0.689635669291845	1.8901799970996	1.213993054338	-0.576790735840122
closeness_latora_n	0.705757973919429	-0.484503504950129	0.560207035484565	-0.958310088248503	0.953191812089992	-0.017237844988468	0.505044360256925	-0.541723028066986	-0.0719786733970091	-0.316986203065507	-0.085259955276918	-0.600773311235391	0.216696894970724	0.692314019083129	1.51204234649739	0.987413790643766	-0.0713004098839324
closeness_residual_n	0.898247693156055	-0.811619028438127	0.674062733288699	-1.38685926405183	1.27624513534626	-0.178170645778462	0.588451212955331	-0.889428466334829	-0.254846283518111	-0.588491000920566	-0.272352926621074	-0.960511971096474	0.162084703048163	0.872881316760983	2.12267499496545	1.32755439669083	-0.255999300626978
communitycent_n	0.0625142609698936	-0.51642647910199	0.0625142609698936	-0.51642647910199	-0.51642647910199	0.745985967999203	0.0625142609698936	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.0625142609698936	0.0625142609698936	-0.51642647910199	-0.51642647910199
diffusion_degree_n	0.0145895684478712	-0.484613676298699	-0.114997114554188	-0.499339435730751	0.180990650030061	-0.399204271592796	-0.0914358994629048	-0.489031404128315	-0.390368815933565	-0.478723372525878	-0.42276548668408	-0.49344913195793	-0.332938354148561	-0.0222248301322593	2.48115427331662	0.479923566500721	-0.441908973945748
dmnc_n	0.0282823187973247	-0.123265764231294	0.0282823187973247	-0.123265764231294	1.80572670124689	-0.0462680124500414	-0.0858558417022882	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	3.25247105035552	-0.0251881065374195	-0.0783672968589281	-0.123265764231294
geokpath_n	1.01593587303181	-0.921718085185207	0.650616499310652	-1.1219131019844	1.56464557236099	-0.457031841811896	0.53006110598267	-0.980169184980592	-0.507445915385415	-0.786549916908379	-0.519136135344492	-1.00647217988852	-0.014995399609296	0.918760919621981	2.46771506419969	1.51569277628235	-0.527173161566358
lincent_n	0.687155957551125	-0.452498750352511	0.555423487240876	-0.92217040975094	0.931683549066211	0.00191484841518503	0.497552155568705	-0.504151692956425	-0.0518407480016144	-0.289904399460544	-0.0625235299462052	-0.567944542728432	0.229895376549619	0.674750910999152	1.38657436800092	0.937236585549128	-0.040321729400033
semilocal_n	0.0473735892620674	-0.4103729576489	-0.150074271882647	-0.426969626943506	0.187427733312264	-0.365851881170481	-0.140121845894673	-0.41836463491282	-0.359323795963616	-0.400734158530294	-0.36781030673254	-0.417760612794035	-0.287407993236318	-0.0559908573959529	2.45184160810003	0.385435476497852	-0.378257566225519
coreness_n	-0.215698910844319	-0.718373058047594	-0.0481408617765611	-0.718373058047594	0.286975236358955	-0.0481408617765611	0.454533285426713	-0.550815008979835	-0.0481408617765611	-0.718373058047594	-0.383256959912077	-0.550815008979835	-0.383256959912077	-0.0481408617765611	1.2923235307655	0.622091334494471	-0.550815008979835
hub_score_n	-0.128949234818834	-0.176277163459523	-0.152191957296458	-0.176854096791582	0.0607791628286251	-0.168650376785924	-0.132515992725828	-0.176157124675872	-0.162240974695574	-0.175050282771909	-0.173990123367326	-0.175886859018872	-0.167768448791271	-0.133570291172343	0.0668858170796574	-0.00897381047243682	-0.174998693825534
eccentricity_n	-0.576962892462901	0.186549824460118	0.186549824460118	0.950062541383136	-0.576962892462901	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	-0.576962892462901	-0.576962892462901	0.186549824460118
subgraph_centrality_n	-0.0940156546559242	-0.0942277141538336	-0.09417107685137	-0.0942277730981223	-0.0890795114074215	-0.0942212462146563	-0.0940467791177514	-0.0942276898586663	-0.0942076302980236	-0.0942273807770216	-0.0942268822451436	-0.0942276402974495	-0.0942197495170927	-0.0940542376239848	-0.0887118303653347	-0.0916163594572284	-0.0942273681297379
pc_n	0.613962233173598	-1.09655939070115	0.579751800696103	0.649598100337655	1.92149059381036	-0.126471895679589	0.928983298903863	-1.09655939070115	0.649598100337655	-1.09655939070115	-1.09655939070115	-1.09655939070115	0.455580601333342	1.76713889460249	-0.360665755039634	0.952265398784381	-1.09655939070115
gilschmidt_n	0.0878182022568152	-0.421970934888575	0.0254787175026576	-0.624902352532078	0.193794145443154	-0.221840995511148	0.00185253694807791	-0.446478063645962	-0.245286499021437	-0.350223253979205	-0.250974873676876	-0.471769307157591	-0.12164671774171	0.0820601547542341	0.433149897760259	0.208451423048148	-0.244995998675741
