BRCA1	BRCA2	BRIP1	CCNA1	CCNA2	CCNE1	CDC25A	CDC6	CDC7	CHEK1	CLSPN	CUX1	DBF4	DCLRE1C	E2F1	FANCD2	HUS1	MCM10	MDM4	MSH2	MSH4	NBN	ORC1	ORC2	ORC3	ORC5	ORC6	PAK3	PIM1	RAD1	RAD51	RAD9B	SDC3	SEMA3A	TIMELESS	TIPIN	XRCC1	LMO4	NELFB	MSH3	BAP1	FANCE	DMC1	TOP3A	INCA1	MYBL2	CABLES1	CDC25C	CDKN3	MCM8	RMI1	MGA	DCLRE1B	RRAD	PLXNA4	RAD54L	OGG1	if_health
spl	-1.06119208242605	-0.844466559229852	-0.428893544212232	-0.372705445605805	-0.694388391090627	-0.708252986850653	-0.658875566863186	-0.60682252313256	-0.438014988791193	-0.570701602599864	-0.483865450208122	-0.476811533067057	-0.349597786005766	-0.333300805024677	-0.651700030461068	-0.421353150026946	-0.125331868624288	-0.527891622709252	-0.505270440153424	-0.597822697814651	-3.99951342946319	-0.389732142153209	-0.812845551356115	-0.121683290792698	-0.656443181642132	-0.0736436826768198	-0.469027900359675	-0.540904883641908	0.289754669349131	-0.289639490306696	-0.662159286911618	-0.199397998605479	-0.509770352812382	0.371969289820861	-0.19039817328757	-0.251086184552947	-0.401772448997435	0.128852386976198	-0.667145676614788	-0.416731618106944	-0.144547711870641	-0.181641586491758	0.0265705884307362	-0.292315114049865	0.0445702390665624	-0.478149344938637	0.0322866937002223	-0.525337618227146	-0.368692009991057	-0.452852538639639	-0.0574683209567839	0.0797182055108371	-0.082400269472623	-0.107210598727409	1.28861366037628	0.254485083643805	-0.0264554093883107	1
degree_centrality	6.47142712368656	1.53005815560015	1.16133378113944	0.718633356630174	1.89878253006087	1.38268399339407	0.202534819963371	1.16133378113944	0.939983568884805	1.75140836785478	1.53005815560015	0.128558769914825	0.644657306581628	-0.0188153922912605	1.60345626775769	0.792609406678719	-0.166189554497346	1.45608210555161	-0.0927914423398056	0.939983568884805	-0.534913928958064	0.349908982169457	1.75140836785478	0.128558769914825	1.30870794334552	-0.314141654594437	1.08735773109089	0.792609406678719	-0.461515816800523	0.792609406678719	2.04615669226696	0.423885032218002	-0.0188153922912605	-0.314141654594437	0.939983568884805	0.792609406678719	-0.0927914423398056	-0.387539766751978	0.128558769914825	-0.314141654594437	-0.534913928958064	-0.0927914423398056	-0.461515816800523	0.571259194424088	-0.534913928958064	0.644657306581628	-0.461515816800523	0.275932932120911	-0.0927914423398056	1.08735773109089	-0.166189554497346	-0.314141654594437	-0.240165604545892	-0.314141654594437	-0.534913928958064	-0.534913928958064	-0.461515816800523	1
average_neighbor_degree	0.19324354040604	0.828039164231869	0.187680492167362	-0.372050501599875	0.610675592279797	0.38186512096374	1.47349009428268	0.631014799292801	0.319482577923415	0.180833616164558	0.288317536732758	0.22499587805812	0.32914873164433	0.329752871387034	0.144202889117259	-0.244843016490054	-0.159797797405864	0.190370323106658	1.14697478826627	0.454463565993501	-1.0361961592743	0.098276272968995	0.912592025447413	-0.0666804563086605	0.390584600114353	-0.142680627939441	0.373066724878153	-0.333491876144759	-0.502140899166107	0.226509390665266	0.120923584653838	0.225582763707805	0.375969191973319	-0.707546768438488	-0.0169917905834992	0.222185063061823	0.724425583214847	-0.296735029893727	1.5437015587868	2.12705422752036	2.86651535690093	-0.308472496400384	0.257860817141701	0.0165089207466536	2.37354127064722	0.130992498203223	-0.029707399839632	0.973357942134217	0.736163049721504	0.330199423746832	-0.0981760366241502	-0.419978551457155	-0.436411020998945	0.216779643287225	-0.912952637710868	0.401644925632367	1.16164664194017	1
betweenness	8.26516871624076	1.20889781423296	-0.172693787577869	0.08582169005401	0.688296203820238	0.549763868891009	-0.0223754920805053	-0.120670108666003	-0.0882136908953134	0.302504370488666	-0.142318051423775	0.303906158066426	-0.249266688085958	-0.236254742844754	0.534158511209042	0.144981665761547	-0.232719459639161	0.500691817703596	0.0499048683895024	-0.081759613649435	-0.250839860020807	-0.21056812708592	0.604920508060017	-0.212734208462641	0.33398072074461	-0.247102771959798	-0.201052511010663	0.289975008480201	-0.248814972785779	-0.232403844740471	0.941971465258006	-0.232270556777143	-0.103025030569307	-0.092701590313054	-0.0999252494696516	-0.235167434172379	-0.2274116771565	-0.238760898271155	0.00651042571360049	-0.243196599474604	-0.250839860020807	-0.228935355150542	-0.250839860020807	-0.165026478953417	-0.250839860020807	-0.0613275524711683	-0.250368955892054	0.153618450569011	-0.0884572974745255	-0.197139156837123	-0.244057943447716	-0.247417600878796	-0.159953568189663	-0.209736274396908	-0.250839860020807	-0.250839860020807	-0.241324000472284	1
eigenvector	0.184756758842282	0.0320367922004762	-0.0750817792496899	-0.112725283907887	0.502446478677374	-0.0129387014885334	0.193340550878356	-0.00372900794982964	-0.0410148546065235	-0.0388689065975052	-0.0188400585133339	-0.118268982931184	-0.059076583682428	-0.112725283907887	-0.0462903101286936	-0.112278211406008	-0.127836334471391	-0.0124022144862788	-0.0958259433368673	-0.0260826330437708	-0.142410898032641	-0.113798257912396	0.486351868609737	-0.102800274366177	-0.0334146220745835	-0.121219661443584	-0.0323416480700743	-0.0850962032917755	-0.141069680527004	-0.0778536287613386	-0.0495986466425969	-0.0918022908199579	-0.0419089996102812	-0.141337924028132	-0.0883151253053031	-0.0784795302639689	-0.112278211406008	-0.140086121022871	-0.0973459898432553	-0.112635869407511	-0.136062468505961	-0.127836334471391	-0.137224857010846	-0.105840367378953	-0.127299847469136	-0.0665874017139922	-0.138476660016107	-0.0659615002113619	-0.095915357837243	-0.0341299380775896	-0.132128230489428	-0.137671929512725	-0.137582515012349	-0.132217644989804	-0.142410898032641	-0.140622608025125	-0.121666733945463	1
cluster_coefficient	-0.347213808027201	0.122845873090185	1.57114765223303	-0.420080344827981	0.291340951228893	0.0112259796317194	0.292862111022933	2.12692490079217	2.42333801303977	0.54886435636108	1.18283433147603	-0.559328249783801	3.48230810394445	0.810265227634938	-0.0793575947702324	0.312794843562202	-0.275263375864288	1.3907900842719	-0.153523721871242	0.536345679960829	-0.559328249783801	0.533222402288472	1.08148333186529	0.671613855931682	0.686182050149673	1.57114765223303	2.3542850281036	-0.534410203633812	-0.559328249783801	1.75803299835795	0.455183069997596	2.76515156675935	-0.559328249783801	-0.559328249783801	1.55085699974223	2.081963337356	0.455183069997596	-0.559328249783801	0.482235853001405	0.860987597910154	-0.559328249783801	1.87550317864335	3.70162355424987	0.967511393010996	-0.559328249783801	0.25526347230414	-0.559328249783801	0.279951427056711	0.455183069997596	2.3542850281036	0.860987597910154	0.150831804539079	1.9972428326364	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	2.01794839158316	1.51099923881363	0.816146558592396	0.735781894611926	1.27284069546271	1.26079328334043	1.16951950262846	1.09257252266802	0.822435213530728	1.04508380097238	0.907151187767884	0.865274498752761	0.691486565166793	0.66540673862593	1.17724831199319	0.790181684026819	0.389688236720361	0.969762954592944	0.909579173197647	1.08138023454532	-4.01682377427474	0.748384432219778	1.453621938889	0.400650708030846	1.15975428640351	0.310031034909948	0.879083554017728	0.96237526127011	-0.0851568335334988	0.622053445446215	1.19128446629575	0.494658077802354	0.889045961983936	-0.157860825632322	0.493532782512043	0.572055431170747	0.759585132726333	0.0878086882622155	1.17166431666702	0.784041628244086	0.401322573005523	0.44587303648751	0.195925957290232	0.615133962988018	0.191592489200412	0.897014017943897	0.182524455174773	0.960875292251044	0.719770080657714	0.853491568022183	0.298355578741801	0.157160500832725	0.314846820857481	0.362071061161421	-0.865922486372542	-0.0446399267656931	0.263203132813776	1
markovcent	1.70226304963079	1.49043443933049	1.43842483675378	1.32044269924291	1.55153820710402	1.4893951046746	1.14469852756883	1.45161397766663	1.38988727374285	1.52437986562344	1.50397764088917	0.992414962646237	1.3246983138278	0.928799982722197	1.50452228538442	1.31218709493315	0.688427781082615	1.4896381453819	0.862225891847138	1.40903040715212	-2.06317627905331	1.21351029281759	1.53296420227454	1.02085223309127	1.47269343914258	0.333562332006074	1.42936873530374	1.34207539283819	-0.326600915629957	1.36934237401969	1.53138170969321	1.23867615695632	0.932061548094075	0.0224660907706739	1.38542054566154	1.36778985863276	0.845724877635447	0.0961854349727336	1.05946755707271	0.418170657382004	-0.907673211756154	0.789832748784639	-0.272403663035591	1.29737882384014	-0.90985405980897	1.3267548461146	-0.27832896054844	1.1393423348425	0.734196299377669	1.42456140660236	0.723881627237271	0.352655967395345	0.422610956532225	0.379798197155002	-1.16977490772468	-0.927291442914853	-0.254077475886704	1
closeness_latora	2.01797857800043	1.51102899285529	0.81617572211711	0.735810988372056	1.27287024641468	1.26082282592547	1.16943121184902	1.09260192079349	0.822464380287299	1.04511315927472	0.907180428111769	0.865303702900328	0.691515620369061	0.665435772710098	1.17727778251283	0.790210825409989	0.38971703639584	0.969792249001883	0.909608416509169	1.08140962323871	-4.01679873303718	0.748413537848193	1.45365164579651	0.400679517006998	1.1597837429397	0.310059765012932	0.879112770090491	0.962404547584824	-0.0851284386054037	0.622082441775818	1.19131394792493	0.494686966158263	0.889075185916643	-0.15783249428282	0.49356167025498	0.572084385088845	0.759614246448225	0.0878372306118763	1.17169378302304	0.783953007739086	0.401351381106886	0.445901884149347	0.195954590501316	0.615162955211401	0.19162111803306	0.897043249456387	0.182553076685854	0.960904577847409	0.719799161885243	0.853520763056404	0.298384299636187	0.157189102434291	0.314875555702624	0.362099836576106	-0.865894759356131	-0.0446114990437772	0.263153319698093	1
closeness_residual	3.09918269404451	2.26457078586721	1.09127071606323	0.963040641621248	1.85883260167955	1.83901136246315	1.69381163859432	1.55647799825816	1.10205833404067	1.47125312605739	1.2417270497894	1.17824958500248	0.887274438948817	0.851414352255752	1.69452722622076	1.04872284425997	0.402514935442168	1.34447574830065	1.25433860916052	1.54050909543671	-2.25497305552343	0.984416804326656	2.16521171295485	0.42112290390848	1.66502672279419	0.27083605146226	1.19823761531977	1.33524305381223	-0.334053397376635	0.774819574436925	1.71577964069001	0.568840635365061	1.21180149807344	-0.438262863110264	0.563995622901879	0.693403995766337	1.00595975813296	-0.0716640938736461	1.69584541395366	1.05113324468585	0.422104819260541	0.487664482629633	0.0951458382776602	0.762681486578027	0.0963106858048993	1.23405465914809	0.069807041836401	1.33929984381471	0.943187120256295	1.15485040765392	0.253070109037579	0.0445462605874974	0.275194141517982	0.3565021130267	-1.34661795931685	-0.269596707416706	0.200038609489162	1
