ACAN	ACKR2	AES	APBB1	CCL7	CLU	CTGF	DPP4	EDA	ELN	F12	FBLN1	FBN2	FURIN	GPC3	HACD3	IGHG1	LDLR	LRP1	LRP2	LRP8	MAGT1	MAP2K7	MAPK8IP2	MAPK8IP3	MMP1	MMP3	PF4	SDC4	SELPLG	SERINC3	SPP1	SRPRB	STYXL1	TFAP2A	TMBIM4	VCAN	ZNF8	TNFAIP6	CCL5	CCL13	CCL2	KRT1	PON1	VLDLR	C8B	CXCL9	ECM1	MFAP5	LTBP1	MATN2	SERPINB8	NAGPA	SORL1	RIC8B	FGF13	SCAF1	LDLRAP1	TG	DDOST	MAP3K2	SELP	SELENOP	CDK5RAP3	if_health
spl	0.36369918006927	0.448467805023116	-0.422690961898535	0.453819052509443	-0.0450631563294007	-0.261058963959277	0.224688364685849	1.58305389138526	0.445427323496799	0.287930380433341	0.0991772872792949	-0.241113405146608	0.744732324947888	-0.298760934885667	-3.99951342946319	-0.182979398363338	-0.319314590003599	0.0781371551171515	-0.303139228283573	-0.405542646090078	-0.0966297230158068	0.280268366987012	0.378293491395611	0.195742980555271	-0.303868943849889	0.104650154026675	0.854797756200723	0.459900015562087	-0.233451391700279	-0.128737207933764	0.251201363595373	-0.0363065695335881	-0.22080298855078	1.10533343396962	-3.99951342946319	0.138095450816212	-0.0411713399757049	0.613261903749744	0.655707025857189	0.0664617060560752	0.190270113807891	0.149406042094131	0.0315569781339062	0.231255804782704	-0.140655895516946	0.588694813017063	0.857230141421785	0.225418080252165	0.644639673101385	-0.0887244710473721	0.53992548933487	-0.157804211325403	-0.00322613052720955	0.592100152326548	0.127392955843566	0.0980827139298206	0.115595887521436	-3.99951342946319	0.469629556446312	0.188689063414206	0.116933699393016	0.612288949661323	0.527033847663266	-0.123994056752699	1
degree_centrality	0.423885032218002	-0.0188153922912605	0.0551606577572846	-0.461515816800523	0.0551606577572846	0.423885032218002	-0.240165604545892	-0.387539766751978	-0.387539766751978	0.275932932120911	-0.240165604545892	0.423885032218002	-0.240165604545892	0.0551606577572846	-0.534913928958064	0.128558769914825	0.571259194424088	-0.314141654594437	0.86600751883626	0.275932932120911	0.128558769914825	-0.240165604545892	-0.314141654594437	-0.461515816800523	0.349908982169457	0.0551606577572846	-0.461515816800523	-0.166189554497346	-0.166189554497346	-0.240165604545892	-0.166189554497346	0.0551606577572846	-0.314141654594437	-0.534913928958064	-0.534913928958064	-0.0927914423398056	0.571259194424088	-0.461515816800523	-0.461515816800523	0.202534819963371	-0.166189554497346	-0.0927914423398056	-0.240165604545892	-0.387539766751978	-0.0927914423398056	-0.314141654594437	-0.461515816800523	-0.461515816800523	-0.240165604545892	-0.166189554497346	-0.314141654594437	-0.166189554497346	-0.461515816800523	-0.534913928958064	-0.314141654594437	-0.387539766751978	-0.461515816800523	-0.534913928958064	-0.461515816800523	0.275932932120911	-0.314141654594437	-0.461515816800523	-0.314141654594437	-0.461515816800523	1
average_neighbor_degree	-0.733956088619054	-0.805114556342868	-0.0319897055342913	-0.604843833802297	-0.429107692073444	-0.45812533814438	-0.518573368707897	-0.99511498541982	-0.899258926786434	-0.721240479362922	-0.444627255769841	-0.352488057422112	-0.78970911614744	-0.506705469474252	-1.0361961592743	-0.506249016551555	-0.674168314681726	-0.67673588804763	-0.635654714193154	-0.125563458473018	-0.559654542562374	-0.650033125042221	-0.779438822683821	-0.317275616820965	-0.517941334848146	-0.62994899103768	-0.830790290001916	-0.755474818295768	0.0524549478693201	-0.0173830476832892	-0.707546768438488	-0.41541398114901	0.627591381831985	-0.584303246875059	-1.0361961592743	-0.572565780368401	-0.635654714193154	-0.645925007656773	-0.317275616820965	-0.595507192176869	-0.550068949023387	-0.513878365672765	-0.419978551457155	0.168851593429944	-0.554959539527241	-0.810249703074678	-0.666465594584011	0.0729955347965582	-0.707546768438488	-0.159797797405864	-0.57403295341144	-0.365203666678245	0.237320230214463	-0.707546768438488	-0.224842975648393	-0.365203666678245	0.360563751777891	-1.0361961592743	-0.604843833802297	-0.806826285613863	-0.625384420729535	-0.625384420729535	-0.728087355365726	0.935700185740556	1
betweenness	0.394815525139543	0.128285293920607	0.18129511052462	-0.246884290271756	-0.0323447316710641	0.583851515551446	-0.243150794150853	-0.0131537339519899	-0.100481508073012	0.526197199778986	-0.166938336997461	0.581641188696382	-0.231560836842607	0.597279746123722	-0.250839860020807	-0.116596826236555	1.00245770717133	-0.010417925972509	1.41151580477948	0.584964718694827	0.15348198948813	-0.250839860020807	-0.241728403051528	-0.218485061956214	0.0470228550362253	-0.103474386814908	-0.247239898643868	-0.191110875566222	0.0459087260446983	-0.136191962923837	-0.203502309333021	0.105925191152958	-0.184587694282131	-0.250839860020807	-0.250839860020807	-0.194735814764031	0.688327209155402	-0.103339015091468	-0.246638049030377	0.120344152374898	-0.0713388243815775	-0.0132692414781205	0.648388111370277	-0.244741426745294	0.149942321845852	-0.185468230312905	-0.0572797002089522	-0.250839860020807	-0.241972338860767	-0.0331358665531954	-0.248366689771746	0.149712737514603	-0.250839860020807	-0.250839860020807	-0.158128714097301	-0.237580663949053	-0.214484245476568	-0.250839860020807	-0.243082922508913	0.00276097390358072	-0.169074651619485	-0.247530317474451	-0.237209953952355	-0.234635484577181	1
eigenvector	-0.142053240031138	-0.141337924028132	-0.105035636875571	-0.141874411030386	-0.137761344013101	-0.133022375493185	-0.141248509527756	-0.142410898032641	-0.141874411030386	-0.141248509527756	-0.139907292022119	-0.13650954100784	-0.142321483532265	-0.12828340697327	-0.142410898032641	-0.129714038979282	-0.120862003442081	-0.139639048520992	-0.136330712007089	-0.129445795478155	-0.139817877521743	-0.138387245515731	-0.141695582029635	-0.14115909502738	-0.133648276995816	-0.141069680527004	-0.142410898032641	-0.142232069031889	-0.108343973389474	-0.134810665500701	-0.136867199009343	-0.140354364523998	-0.0838444002865148	-0.142321483532265	-0.142410898032641	-0.137850758513477	-0.139281390519489	-0.142321483532265	-0.142232069031889	-0.139013147018362	-0.139996706522495	-0.139817877521743	-0.13588363950521	-0.14178499653001	-0.133648276995816	-0.142142654531513	-0.142321483532265	-0.141695582029635	-0.142232069031889	-0.139191976019113	-0.141963825530762	-0.131591743487173	-0.134721251000325	-0.142232069031889	-0.141516753028883	-0.140890851526253	-0.140980266026628	-0.142410898032641	-0.140890851526253	-0.137135442510471	-0.14053319352475	-0.142232069031889	-0.142142654531513	-0.112725283907887	1
cluster_coefficient	-0.325210252911171	-0.559328249783801	-0.204250353098263	-0.559328249783801	-0.440967530571354	-0.418857451660223	0.292862111022933	-0.559328249783801	-0.559328249783801	-0.236527063013818	-0.133233069380434	-0.325210252911171	1.57114765223303	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.447197042108851	-0.559328249783801	-0.559328249783801	3.70162355424987	-0.559328249783801	-0.559328249783801	-0.340818119369346	-0.440967530571354	-0.559328249783801	0.00879723710342026	-0.559328249783801	0.7189572914263	-0.559328249783801	-0.440967530571354	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.356425985827522	-0.346280659582118	-0.559328249783801	-0.559328249783801	-0.404382998381921	-0.559328249783801	-0.559328249783801	-0.133233069380434	2.28130770655591	-0.153523721871242	0.150831804539079	-0.559328249783801	3.70162355424987	0.292862111022933	-0.275263375864288	0.150831804539079	-0.559328249783801	3.70162355424987	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.538190672091976	-0.559328249783801	-0.559328249783801	0.150831804539079	-0.559328249783801	1
harmonic_centrality	-0.114590791972836	-0.216215759017754	0.773896046036248	-0.248472091079552	0.289717442965885	0.56741066955211	-0.0134751627408133	-1.03114526608717	-0.240013389661291	-0.0519883701475292	0.125320984492015	0.548441059552103	-0.475075735353391	0.589541979347563	-4.01682377427474	0.455494330766919	0.630726158663253	0.133020821531396	0.614183516693841	0.763902798157801	0.338005211597303	-0.0707917978850454	-0.169768985953844	0.00990930728234621	0.609106986883494	0.133026429002266	-0.560854305302122	-0.232019163933876	0.520117354439008	0.386830353040876	-0.027629069221462	0.286960491406967	0.51410431340594	-0.74212237187456	-4.01682377427474	0.0936879201090526	0.30362658016369	-0.37991885760446	-0.395158724651157	0.17811044298426	0.0297855259189201	0.0787209444828131	0.190795222713173	-0.013885433664947	0.388477981534363	-0.348075603734867	-0.543601483388028	-0.0158218410205078	-0.385200991539916	0.333618473711764	-0.302826088111583	0.411284978616641	0.226166527216561	-0.372006876353198	0.0950935818775863	0.11453522976456	0.092486159735078	-4.01682377427474	-0.252446772882234	0.0375535852246429	0.0945383692536556	-0.373030217413593	-0.284132087306658	0.379976292646221	1
markovcent	1.01352494390989	0.691452808179409	0.825824706017593	-0.384676763766242	0.95657958527999	1.14656825628166	0.498397866998254	-0.931327880230364	-0.517933528041355	0.953338673898423	0.458754935471614	1.19838916314144	0.298926224049293	0.729646376542312	-2.06317627905331	1.0339852105905	1.08286723394352	0.00775363227505264	1.25777946660649	1.08810548166394	0.885057104841549	0.342083918602452	0.275641327879044	-0.420952397762915	1.14661804560184	0.93740985868202	-0.503396030702377	0.585939318237284	0.645870504328935	0.515326062559992	0.601534421382859	0.943893300409812	0.378518489038032	-1.01859599083724	-2.06317627905331	0.731917444233955	1.18324281545035	-0.961139153082424	-0.319041006294427	1.02122871531193	0.520643619374599	0.699648167677511	0.0949289226765085	0.0912366801438731	0.551447625894159	-0.142559968605887	-0.602338715924031	-0.294157515483001	0.360400494945275	0.663667403702557	0.274885790838549	0.465470649496091	-0.279618627493182	-1.01603820299579	0.349482684190779	0.0793384637467553	-0.300814552020837	-2.06317627905331	-0.364131596985511	0.851166302606528	0.144916253235281	-0.404690103790946	0.220416499552728	-0.294528568569289	1
closeness_latora	-0.11456242420059	-0.216187476672573	0.773925172672043	-0.248443835231634	0.289628401524061	0.567439618986039	-0.0134467072469246	-1.03117375272952	-0.239985127385239	-0.0521562066389434	0.125349557895737	0.548469993210699	-0.475047674610838	0.589570948177314	-4.01679873303718	0.455405430728727	0.630755163995957	0.133049402547851	0.614212507097409	0.763931916346629	0.338033966975809	-0.070763392827763	-0.169740665244998	0.00993778272753826	0.609135974004749	0.133055009911354	-0.560826317819391	-0.23199089614912	0.520146265589411	0.386741395496176	-0.0276006272926115	0.286989202434668	0.514133217831451	-0.742094538305463	-4.01679873303718	0.0937164662862036	0.303655306290373	-0.379890715941161	-0.395130595385553	0.17813906208726	0.0298140172294837	0.0787494785323746	0.190823852894794	-0.0138569793433148	0.388506780439471	-0.348047433160264	-0.543573479836985	-0.0157933888734956	-0.385172852362311	0.333647224554236	-0.302797878800933	0.411313796933039	0.226195186840613	-0.371978726036461	0.0951221303646892	0.114563794195029	0.0925147063351268	-4.01679873303718	-0.252418521395649	0.0375820848042386	0.0945669164177014	-0.373002069876005	-0.284103863437846	0.380005082806219	1
closeness_residual	-0.364742959941863	-0.517130842223587	1.02376874342239	-0.575948916901546	0.238096572463415	0.681233625758878	-0.227764423239874	-1.51178150189155	-0.56353643077988	-0.278022348191101	-0.0139489926048519	0.651622824991393	-0.871802702656476	0.714559563789913	-2.25497305552343	0.500706470648237	0.779823307463864	-0.00775620043925272	0.747250619565917	1.00562079557307	0.305367189706236	-0.312098846176177	-0.459370007910999	-0.192531148264699	0.746707203398475	0.00197686735185839	-0.978717143421604	-0.541132619678616	0.608633763824463	0.394740317997085	-0.241226079189769	0.235686172037535	0.60675332867079	-1.20169263371078	-2.25497305552343	-0.058350397771322	0.260481552311352	-0.751795160470857	-0.75717955383291	0.070692110742779	-0.158392776161549	-0.0824651627463136	0.082060807394309	-0.224051976155371	0.391140858432545	-0.702166737416568	-0.940223371441779	-0.229249402073675	-0.746192862606018	0.305429063824311	-0.637403367045311	0.42819000426427	0.139665611322187	-0.747189573942835	-0.0593269327652892	-0.0341038140230399	-0.0705503597482951	-2.25497305552343	-0.573334062868113	-0.148412211898137	-0.0654470900966263	-0.737531831165033	-0.60589060969178	0.388477581176271	1
