MSH4	RMI1	LMO4
spl	-3.99951342946319	-0.0574683209567839	0.128852386976198
degree_centrality	-0.534913928958064	-0.166189554497346	-0.387539766751978
average_neighbor_degree	-1.0361961592743	-0.0981760366241502	-0.296735029893727
betweenness	-0.250839860020807	-0.244057943447716	-0.238760898271155
eigenvector	-0.142410898032641	-0.132128230489428	-0.140086121022871
cluster_coefficient	-0.559328249783801	0.860987597910154	-0.559328249783801
harmonic_centrality	-4.01682377427474	0.298355578741801	0.0878086882622155
markovcent	-2.06317627905331	0.723881627237271	0.0961854349727336
closeness_latora	-4.01679873303718	0.298384299636187	0.0878372306118763
closeness_residual	-2.25497305552343	0.253070109037579	-0.0716640938736461
communitycent	-0.463477648784388	0.126907633049567	-0.463477648784388
diffusion_degree	-0.487008017568129	-0.209782275254785	-0.377626432165585
dmnc	-0.214905655225139	-0.0421713591969668	-0.214905655225139
geokpath	-1.03823379600608	0.004636789155366	-0.38948216627818
lincent	-4.13266281217124	0.309609203707535	0.10901280939951
semilocal	-0.406965915339512	-0.175525741866983	-0.348162464352031
coreness	-0.664177921120116	0.24429079708331	-0.300790433838746
hub_score	-0.141895056461185	-0.131666641425334	-0.139590595673862
eccentricity	-4.78240978063309	-0.104393651028562	0.415385918927497
subgraph_centrality	-0.0893274202022177	-0.0893182650588462	-0.0893269549980308
pc	-1.0058833769485	0.82219311336655	0.619073503331543
gilschmidt	5.30506371721646	-0.132739061248333	-0.217956822111725
spl_n	-0.0276576158721474	0.555829664052175	2.06525359716812
degree_centrality_n	-0.223181851688905	-0.41352654203081	-0.540244776893258
average_neighbor_degree_n	0.091208932133612	-0.679196043486534	-1.10382873272079
betweenness_n	-0.0884034003968207	-0.258856673457416	-0.259264592921767
eigenvector_n	-0.152163716554493	-0.170898797322282	-0.1777030803872
cluster_coefficient_n	0.818445195841505	-0.590894368992731	-0.590894368992731
harmonic_centrality_n	0.209631210983792	-0.364662115705757	-1.36837865814161
markovcent_n	0.284687864657047	-0.237133545080494	-1.35809208213343
closeness_latora_n	0.209657843146047	-0.364638350611824	-1.36835990131829
closeness_residual_n	0.152879783129042	-0.649005182184264	-1.79786182098334
communitycent_n	-0.51642647910199	-0.51642647910199	-0.51642647910199
diffusion_degree_n	-0.195988791430476	-0.447799277718568	-0.508174891389983
dmnc_n	-0.123265764231294	-0.123265764231294	-0.123265764231294
geokpath_n	-0.0515273369814117	-0.796778859372571	-1.13287268319604
lincent_n	0.211760189943784	-0.3466827627214	-1.33798944141533
semilocal_n	-0.173319830807875	-0.393901739102042	-0.429599446322214
coreness_n	-0.215698910844319	-0.383256959912077	-0.718373058047594
hub_score_n	-0.151722173454673	-0.170283340108276	-0.177122556081861
eccentricity_n	0.186549824460118	0.186549824460118	1.71357525830616
subgraph_centrality_n	-0.0941687033774699	-0.09422352157129	-0.0942277797589775
pc_n	0.649598100337655	0.455580601333342	-1.09655939070115
gilschmidt_n	-0.124661544500137	-0.370632674608211	-0.800526737680079
