ADGRB2	ARHGAP1	BAG1	CDK19	DDX3X	EPB41L1	FXR2	HBEGF	MED1	MED12	MED24	MED29	NLGN4X	NONO	NR1I2	NR4A1	NRXN3	PCBD1	RPS6KA2	RPS6KA3	SHANK1	SHANK2	SLC9A3	SORBS2	VDR	KIF1B	TAX1BP1	RB1CC1	MED18	GKAP1	FMR1	LTBP3	ESRRG	TMLHE	DIMT1	ZNRD1	DLGAP2	PSPC1	POU1F1	HR	if_health
spl	0.420008897936749	-0.446163479281732	-0.394596912595317	-0.0731572056326093	-0.0366714273167462	-0.150263817140117	0.308362416290221	0.123865997273028	-0.599160509686231	0.0879883152624383	-0.427069255296432	-0.349962643788924	1.22962831876564	-0.337435859900478	-0.0810624576010431	-0.103562020895819	0.154027574014142	0.0885964115677021	0.356037166622941	-0.314936296605693	0.170324554995221	-0.242451217018187	0.103433961416149	-0.453947111989114	-0.330746800542571	-0.234059488005542	0.0684076142329273	0.151351950270974	0.0428675694118253	-0.0446982985462333	-0.159871738763298	-0.0650087151420698	0.463426974132615	0.13298744185199	-0.140899134039051	0.183459435188931	-0.12995340054429	0.385347408536676	0.331713314412365	0.151230331009922	1
degree_centrality	-0.387539766751978	0.275932932120911	-0.166189554497346	0.202534819963371	-0.461515816800523	-0.0927914423398056	-0.314141654594437	-0.240165604545892	1.16133378113944	-0.240165604545892	0.0551606577572846	0.644657306581628	-0.534913928958064	-0.240165604545892	-0.166189554497346	-0.314141654594437	-0.314141654594437	-0.240165604545892	-0.534913928958064	-0.461515816800523	-0.166189554497346	-0.240165604545892	-0.387539766751978	-0.0927914423398056	0.0551606577572846	-0.314141654594437	-0.387539766751978	-0.461515816800523	-0.0188153922912605	-0.387539766751978	-0.387539766751978	-0.314141654594437	-0.461515816800523	-0.387539766751978	-0.534913928958064	-0.461515816800523	-0.314141654594437	-0.534913928958064	-0.387539766751978	-0.534913928958064	1
average_neighbor_degree	-0.817096579077482	-0.0605182802304891	0.148311006502706	-0.382632026036615	0.565969621050271	-0.331947470494874	-0.728087355365726	-0.477492194853421	-0.0690768444231137	-0.296735029893727	0.561405050742127	-0.272569645591439	-0.707546768438488	0.483807273341319	-0.20772580618197	-0.122140041012203	-0.738357648829345	-0.666465594584011	-0.132410334475822	2.80489359611922	-0.871871463856392	0.237320230214463	-0.680159305508445	0.618788261411405	-0.20087897126034	0.206509349823605	-0.433672262381589	-0.111869747548584	-0.358356790675441	-0.351509914672637	0.127770419575468	0.0627252413329392	-0.851330876929154	-0.310428740818161	3.68813883399045	-0.440519138384393	0.216779643287225	-0.666465594584011	-0.762321653217398	0.237320230214463	1
betweenness	-0.0987949414730807	0.387669399018295	-0.203730044218555	-0.231711165155637	-0.243150156396105	0.041363090565168	-0.0658331130063967	-0.223249231337167	0.773333854499005	0.0150628627392354	-0.212494876785521	0.0253108903165862	-0.250839860020807	-0.153220059037622	-0.0982468814077948	-0.210959200633988	-0.249383504860666	-0.0789025542804844	-0.250839860020807	-0.247917533514354	-0.0464087828259394	-0.215683093125407	-0.231558531469178	-0.178332240906881	-0.0515329245256566	-0.132343736371609	-0.192127040982122	-0.246156449847657	-0.248323245029051	-0.189597634925321	-0.244966221927443	-0.202184889440018	-0.250548197932472	-0.248341765671165	-0.250839860020807	-0.246316053903087	-0.234060589710772	-0.250839860020807	-0.0704080092326842	-0.250839860020807	1
eigenvector	-0.141963825530762	-0.12130907594396	-0.130339940481912	-0.13355886249544	-0.124796241458615	-0.134095349497695	-0.140890851526253	-0.141069680527004	-0.104230906372189	-0.139102561518737	-0.123455023952979	-0.0766018257560779	-0.142410898032641	-0.118626640932687	-0.136956613509719	-0.137046028010095	-0.139728463021368	-0.140712022525501	-0.141963825530762	-0.129803453479658	-0.141337924028132	-0.122560878949221	-0.135973054005586	-0.10253203086505	-0.127121018468385	-0.135436567003331	-0.139281390519489	-0.139728463021368	-0.135078909001828	-0.135704810504458	-0.130161111481161	-0.132307059490179	-0.141874411030386	-0.133916520496943	-0.134810665500701	-0.136956613509719	-0.135078909001828	-0.139370805019865	-0.141695582029635	-0.14053319352475	1
cluster_coefficient	-0.559328249783801	-0.430208627266169	0.00879723710342026	1.14505247182967	-0.559328249783801	-0.356425985827522	-0.559328249783801	0.292862111022933	-0.142496378602403	-0.133233069380434	0.742631139649511	-0.308682020863325	-0.559328249783801	-0.133233069380434	0.292862111022933	-0.559328249783801	1.57114765223303	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.133233069380434	-0.559328249783801	-0.153523721871242	-0.204250353098263	-0.559328249783801	-0.559328249783801	-0.559328249783801	1.72332328496229	-0.559328249783801	-0.559328249783801	0.150831804539079	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.150831804539079	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	-0.207568191103731	0.817565220461393	0.719287847583266	0.324253166012028	0.268420694873419	0.411411145533668	-0.0907819487426492	0.0984794933694735	1.07142436902097	0.145403655086337	0.794869437825519	0.700006946409532	-0.825071095498156	0.661645136006122	0.331046479198108	0.351485303088204	0.0497122942214961	0.121755638642473	-0.149830239660153	0.626871101335735	0.0405226833505329	0.528418964244738	0.100761771694973	0.825107118055604	0.64906783083964	0.515693064632839	0.147643030725218	0.0620269031550042	0.190604573413778	0.258952669894392	0.413384935243331	0.300786369084543	-0.247935653238391	0.0919889741900063	0.411510292495512	0.0198464828071854	0.386412604703885	-0.1848014660718	-0.12048225851567	0.0512589058111522	1
markovcent	-0.419365069852464	1.05857927815272	0.721191768252816	1.07107522762286	-0.266927959522475	0.699649185548691	0.0274222866929846	0.530193057484506	1.4322434194851	0.42746911114139	1.01309905433175	1.3134325908485	-1.0596627993042	0.530029025848896	0.568581632269588	0.389266576083355	0.226173160671599	0.411691831714145	-0.946827345108266	-0.244452644385674	0.353687679902727	0.529324743375222	0.0277632141608074	0.80665081292876	0.96713077772985	0.333188880502594	-0.0930105667050856	-0.279763420789021	0.884808766031196	0.0889109167190989	0.0978193103090032	0.362357974691539	-0.464009796529731	0.104393147941711	-0.906939331101597	-0.323556351357621	0.333490186649351	-1.00619917989517	-0.220544247591541	-0.931403501560108	1
closeness_latora	-0.207539902628155	0.817594385083721	0.719316928623869	0.32428190798126	0.268449389567961	0.411439962611884	-0.0907535587608957	0.0985080433607661	1.07145374933665	0.145432245326679	0.794898581299652	0.700036009213979	-0.825043332065456	0.661674166359211	0.33107522886683	0.351514068840363	0.0497408029629877	0.12178420926752	-0.149801900143976	0.626900101586693	0.0405511837798081	0.528447882297612	0.100790325267101	0.825136288997136	0.649096850018858	0.515721970824381	0.147671622406219	0.0619376681856057	0.19063320253565	0.258981356290778	0.413413754565444	0.300815091715338	-0.247907397456374	0.0920175201044058	0.411421356360257	0.0198749654179315	0.386441401548693	-0.184773157199756	-0.120532397211606	0.0512874157695645	1
closeness_residual	-0.511107531337933	1.09467648273641	0.931818423604765	0.294111480574669	0.206992722324989	0.431568869146978	-0.336114074526439	-0.0542801568736019	1.51801919860595	0.0221020968005323	1.06327133254475	0.902231834448701	-1.29753026225095	0.845119333286376	0.307126566802805	0.338682367021084	-0.13534063191002	-0.0267273430768745	-0.427564021041373	0.787942267826931	-0.146798104470092	0.622038926014376	-0.058651697824557	1.11171607681847	0.8184327571427	0.603810272793655	0.0179323192780828	-0.110426883758146	0.0873981226230444	0.181877210744609	0.436427332505393	0.254038573494406	-0.567146651060607	-0.0592892702586348	0.444678111641749	-0.178628302951139	0.394299128633419	-0.482153134257853	-0.382648791676975	-0.131367237457982	1
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	1.12602118692241	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.569696594425033	-0.463477648784388	-0.463477648784388	0.717292914883521	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	0.126907633049567	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	1
diffusion_degree	-0.449290229498287	0.0919600293039579	-0.141890256729068	-0.119259583887162	-0.336136865288758	-0.238070616307167	-0.419115999042412	-0.343680422902727	0.665270407965569	-0.3021908560259	0.203227504109994	0.169281494847136	-0.471920902340192	-0.123031362694146	-0.239956505710659	-0.307848524236376	-0.421001888445904	-0.387055879183046	-0.445518450691302	-0.130574920308115	-0.422887777849397	-0.17960804479891	-0.430431335463365	0.0674434670585601	-0.111716026273193	-0.247500063324627	-0.396485326200507	-0.398371215603999	-0.211668164658277	-0.385169989779554	-0.319163860657329	-0.273902514973517	-0.466263234129716	-0.379512321569077	-0.270130736166533	-0.428545446059873	-0.245614173921135	-0.4700350129367	-0.441746671884318	-0.428545446059873	1
