BLK	CD2	CD247	CD48	CD5	CD8A	DDX20	DNAAF5	DYNC1I1	DYNLT3	EFNA4	EFNA5	EPHA8	GEMIN5	GOLM1	HLA-G	KLRC3	LGALS1	NIPSNAP3A	PIK3CG	SH2D1A	SLA	SPNS1	EPHA6	CD79B	CD53	SEPSECS	TRAT1	SH2B3	PTPN22	CD8B	CD244	CD6	CD72	CD3G	PNKP	SCAF11	DNAH2	EPHA10	GEMIN7	SLC40A1	LILRB2	KLRD1	VPREB1	PTPRJ	PIK3R5	SLAMF1	SLAMF6	SLAMF7	if_health
spl	-0.446285098542785	-0.364070478071055	-0.434609649481708	-0.387421376193199	-0.518648558869238	-0.257167147605591	-0.302409512717247	0.679301162501448	-3.99866209463582	-3.99902695241898	-0.204141149786543	-0.532026677585053	-0.0832516042999916	-0.123021102664277	0.077285820289783	0.548073979825409	0.796055653112199	-0.412718182492196	0.151473569532026	-0.644038017014739	-0.544675080734551	-0.378543170136343	-0.380002601268975	-0.391556431069	-0.364556955115265	0.316632526041813	-0.317733539609914	-0.295233976315129	-0.270545266321405	-0.307395902420417	-0.0298607486977858	0.198905081342641	-0.247315987460304	-0.5128108343387	0.024867918775999	-0.334273759113099	-0.0695086278010192	-3.99866209463582	-0.155006968321182	0.125203809144608	1.50801480731564	0.132014487763568	1.40378710059334	-0.249261895637147	0.536641769286437	0.272606353540674	-0.216789552936042	-0.0200095885525092	0.371969289820861	1
degree_centrality	0.275932932120911	0.497283144375542	1.23473189329698	0.0551606577572846	0.571259194424088	0.275932932120911	0.0551606577572846	-0.534913928958064	-0.534913928958064	-0.387539766751978	-0.314141654594437	0.497283144375542	-0.314141654594437	0.128558769914825	-0.240165604545892	-0.240165604545892	-0.461515816800523	0.644657306581628	-0.387539766751978	0.792609406678719	0.202534819963371	0.275932932120911	0.202534819963371	-0.0927914423398056	0.128558769914825	-0.314141654594437	-0.0188153922912605	-0.166189554497346	-0.240165604545892	-0.0927914423398056	-0.314141654594437	-0.314141654594437	-0.387539766751978	-0.166189554497346	-0.387539766751978	0.0551606577572846	-0.240165604545892	-0.534913928958064	-0.387539766751978	-0.387539766751978	-0.534913928958064	-0.461515816800523	-0.461515816800523	-0.461515816800523	-0.534913928958064	-0.534913928958064	-0.314141654594437	-0.387539766751978	-0.534913928958064	1
average_neighbor_degree	0.302365408456992	0.0538243066374113	0.00562240967521738	0.328611718539704	0.519753300463986	-0.221419558187578	-0.132410334475822	-0.748627942292964	-0.954033811565344	-1.02250244834986	0.781645783786271	0.519410971042256	0.0935361217237962	0.586510207977509	-0.658249359813116	-0.871871463856392	-0.810249703074678	-0.277402722451896	-0.228266393109209	0.269752748862051	0.812456664177128	0.22020306074804	0.110342060217098	1.03546873320949	1.09180864638757	-0.491870605702488	0.483807273341319	1.37389938721536	0.927483950969661	0.777244223575981	0.298941990996177	-0.625384420729535	0.74398802739261	2.12705422752036	0.401644925632367	-0.168926938022154	0.237320230214463	-0.954033811565344	1.04524999637955	0.552275910125837	-0.99511498541982	0.298941990996177	-0.933493224638106	1.94218894517522	-0.625384420729535	-0.296735029893727	0.668672555686461	0.593357083980313	-0.625384420729535	1
betweenness	-0.0818632737871482	-0.0835663206171471	0.279771512576277	0.173248260581488	-0.0744724606141326	0.0723324953491776	-0.122275736677377	-0.250839860020807	-0.250839860020807	-0.250742008856597	-0.250736095945587	-0.145219049253254	-0.247468930703146	-0.220838885058171	-0.176344344719293	-0.128015039819526	-0.208333965565997	0.271266296800309	-0.101063607916345	0.504950001375974	0.308380149487222	-0.123369647465652	0.067526211159842	-0.229594797278165	-0.238980100182906	-0.243474455957453	-0.244282760822508	-0.246734658600304	-0.238962931217634	-0.247215132024951	-0.223873008222344	-0.225231960239616	-0.0958147058844093	-0.213327085378787	-0.250839860020807	-0.117422116674231	-0.228692295461486	-0.250839860020807	-0.245276603824152	-0.250839009146223	-0.250839860020807	-0.210658959894946	-0.24949951111461	-0.241818070433619	-0.250839860020807	-0.250839860020807	-0.138090886590021	-0.249454228335647	-0.250839860020807	1
eigenvector	-0.103873248370686	-0.123276194952227	-0.111920553404505	-0.130161111481161	-0.109774605395487	-0.125600971961997	-0.128104577972518	-0.141874411030386	-0.142410898032641	-0.142410898032641	-0.135078909001828	-0.10485680787482	-0.136867199009343	0.0769228713891101	-0.140890851526253	-0.141963825530762	-0.142232069031889	-0.0789266027658477	-0.135525981503707	-0.0146375769956729	-0.0411936836072751	-0.113351185410517	-0.127746919971015	-0.124706826958239	-0.122203220947718	-0.141069680527004	-0.119431371436069	-0.131412914486422	-0.126316287965003	-0.123991510955233	-0.13883431801761	-0.137761344013101	-0.13418476399807	-0.0402101241031416	-0.139281390519489	-0.123723267454106	-0.102800274366177	-0.142410898032641	-0.137314271511222	-0.105572123877826	-0.142410898032641	-0.140622608025125	-0.142410898032641	-0.132754131992058	-0.142142654531513	-0.139907292022119	-0.135347152502955	-0.135525981503707	-0.140443779024374	1
cluster_coefficient	-0.171969382230904	0.252280806041316	0.193441322579415	-0.322606811358907	0.434892417506787	0.215389485321993	-0.440967530571354	-0.559328249783801	-0.559328249783801	-0.559328249783801	2.99146349992699	0.171122457029887	0.860987597910154	0.860987597910154	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.21469394596995	-0.559328249783801	-0.135725726185794	-0.249442007931844	0.731867975392522	-0.326914633632785	0.455183069997596	1.71317795871689	0.150831804539079	1.87550317864335	1.42911734574918	1.14505247182967	2.07840544259963	1.57114765223303	-0.559328249783801	-0.559328249783801	0.860987597910154	3.70162355424987	-0.440967530571354	-0.133233069380434	-0.559328249783801	-0.559328249783801	2.28130770655591	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.150831804539079	0.860987597910154	-0.559328249783801	1
harmonic_centrality	0.8235763091243	0.714392624427652	0.826245413446378	0.736283752656874	0.943585000844494	0.557541716293613	0.624702072254973	-0.421505835141607	-4.01368365417505	-4.01093604761588	0.481020981837276	0.961539764596128	0.32604199632134	0.398519826708652	0.135077703549851	-0.314448272128921	-0.517619616843314	0.776480103324283	0.0822807676447494	1.13969022338052	0.977733815465886	0.726602648494973	0.717095371219858	0.741400467379213	0.715222513630762	-0.0950977442321301	0.633618622138951	0.607370576182172	0.569102222841564	0.616589074595214	0.261436727677763	0.0136466124317783	0.537837459312019	0.923524675350387	0.199077292331668	0.649709873301244	0.316293520080827	-4.01368365417505	0.416839153784824	0.102455110143149	-0.996840379607501	0.085293788211515	-0.930088511766643	0.535346856731695	-0.316582806196734	-0.0696300552116254	0.493497354883191	0.257749974549424	-0.163247714000493	1
markovcent	1.16990920317746	1.25668007263609	1.4094584933462	0.874908947323215	1.29981483229947	1.12607741759573	0.983035054293631	-1.04297000646875	-2.06311781465451	-2.06311781399356	0.372394264481969	1.24853615223195	0.346180796327911	1.06042760765793	0.441867940831965	0.144812885566464	-0.709190517428969	1.2849563345445	-0.291543343848279	1.31795096958718	0.889202165069952	1.1733150898617	1.06687816357358	0.833232303601325	1.07630983964238	0.32672972579655	0.94053846080243	0.739961403864274	0.603612685224638	0.854655172380719	0.363515681028662	0.220345048250311	-0.270400297987935	0.71064233660645	0.0903134759668945	0.978629153557617	0.568601400319309	-2.06311781465451	0.0675335373745994	0.109013678532853	-1.44362700726313	-0.402077154321025	-0.754656570997581	-0.271668215155373	-0.987077685601254	-0.953507526326013	0.257774469854034	0.107842095661832	-1.01284364984776	1
closeness_latora	0.823605478760435	0.714421700284531	0.826274583788522	0.736312847405688	0.943614272481585	0.557570659218287	0.624613316797525	-0.421477727371554	-4.01365860947472	-4.01091100135756	0.481049858115554	0.961569050422673	0.326070741899216	0.398548633915269	0.135106285433337	-0.314420074224384	-0.517591591119232	0.776509232686982	0.0823093047571275	1.13971966176036	0.977763116223378	0.726631734315352	0.717124449493654	0.741429566603455	0.71525159008318	-0.095069359538116	0.633647629003655	0.607399560439557	0.569013419009598	0.616618066040776	0.261465418323222	0.013675090503233	0.537748629230251	0.923553929544613	0.1991059287908	0.649738893140114	0.316322255486769	-4.01365860947472	0.416867975444201	0.102483664085373	-0.996812763735146	0.0853223280801699	-0.930060839457609	0.535375779907305	-0.316554610598394	-0.0696016490617152	0.493526241912846	0.257778661779133	-0.163219386449415	1
closeness_residual	1.10577616148326	0.923252893519939	1.10233273230343	0.962545648676647	1.30553809677811	0.665393851531664	0.782607642777242	-0.795397582460445	-2.2515296263436	-2.24808619716377	0.54628617423718	1.33687330231455	0.296702122996681	0.414954323354301	-0.00594032958270214	-0.65796171532051	-0.926066304208301	1.0224451753314	-0.0682798486328452	1.63469764422122	1.36575506456037	0.945613661756456	0.925448079622081	0.972773709412359	0.928116737236448	-0.340698139622086	0.793435613440377	0.750521877286755	0.688916777116372	0.764295594006072	0.191943860737516	-0.18415931107124	0.642973899356119	1.27710828461214	0.0963456581325069	0.816565772884261	0.281263185447431	-2.2515296263436	0.442079398682597	-0.0449882784461564	-1.48358977057122	-0.0744457390079769	-1.40973359502197	0.636614316089622	-0.664762487950673	-0.310137705651102	0.564708520349266	0.191892747335628	-0.444608995481527	1
communitycent	-0.463477648784388	10.0045127897904	7.63689493824737	3.4723413310764	9.52282818365243	6.15384688782979	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.422100273966544	-0.463477648784388	1.87940589584606	4.86667061473175	3.90833633824296	-0.463477648784388	0.126907633049567	3.40896941355016	1.60287083763445	0.126907633049567	9.02144746444886	0.126907633049567	3.44603349744803	5.91029563068031	0.953447027617103	7.11097247543508	1.92518587931944	7.16745191520026	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	1.08464375691354	2.13763016065279	-0.463477648784388	-0.463477648784388	2.28302230267123	2.35359939487559	5.61209845191354	3.03827518037308	1
diffusion_degree	0.291864306074125	0.316380868319523	0.799168555613511	0.107047144531895	0.712417643052872	0.00332322733982727	-0.0834276852208112	-0.473806791743684	-0.483236238761145	-0.477578570550669	-0.141890256729068	0.636982066913187	-0.268244846763041	0.291864306074125	-0.385169989779554	-0.434203114270349	-0.462491455322731	0.165509716040151	-0.368196985148124	0.719961200666841	0.486110914633815	0.246602960390313	0.129677817373801	0.201341614706502	0.523828702703658	-0.375740542762093	0.0976176975144343	0.195683946496026	-0.0211933349055706	0.118362480952848	-0.230527058693198	-0.400257105007491	-0.234298837500182	0.403131780880161	-0.281446072587486	-0.0985148004487483	-0.17960804479891	-0.483236238761145	-0.192809270623355	-0.260701289149072	-0.485122128164637	-0.360653427534156	-0.473806791743684	-0.209782275254785	-0.468149123533208	-0.453062008305271	-0.162635040167481	-0.255043620938596	-0.468149123533208	1
dmnc	-0.0421713591969668	-0.15974669452328	-0.117416782835495	0.0643656176745642	-0.118390980162149	-0.125726415657563	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.108306209963663	-0.214905655225139	-0.106340995052126	1.53421093839464	1.53421093839464	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.0701336426306539	-0.214905655225139	-0.0811367958737757	-0.0421713591969668	-0.127143723936473	-0.102719306206787	-0.214905655225139	-0.147062656942307	-0.127143723936473	-0.0421713591969668	-0.0792196586594759	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.095907877060657	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1
geokpath	1.20665279575079	0.864958214436669	1.09244255213347	0.997891448810929	1.47532771311285	0.504540642365612	0.776024008341213	-0.841642393058233	-1.03542534739254	-1.03542534739254	0.372543557529198	1.55958117151907	0.043018920207089	0.169399107816421	-0.356716932453538	-0.801387962930816	-0.913725907472445	1.0372097294005	-0.305228707871959	2.00893294968558	1.57830416227601	0.978232308516144	0.906148794101932	1.00912524326509	0.854660569520353	-0.585137419688182	0.765726363424897	0.602836343839536	0.588794100771833	0.690834400397145	-0.166678576270617	-0.454076484389616	0.62904853089925	1.43694558206113	-0.248123586063298	0.798491597249539	-0.0318730428206632	-1.03542534739254	0.19373899580044	-0.343610838923681	-1.01389390802206	-0.382929119513251	-1.00640471171929	0.578496455855517	-0.822919402301295	-0.586073569226029	0.387521950134749	-0.100211959083487	-0.661901681791628	1
lincent	0.795971588946031	0.684458161338239	0.77982201995106	0.715614487852458	0.898481760314119	0.546785013994924	0.604077705390436	-0.390293173986414	-4.13012725547794	-4.12708458744597	0.481374069527902	0.917901822540881	0.338871336661556	0.38477002822883	0.162695332506242	-0.282231432342952	-0.481465546351076	0.749824947086744	0.085884270809406	1.08657658156681	0.936400922087004	0.703721247490387	0.705672293636342	0.721173783943342	0.685103168736306	-0.0756325008073034	0.623802511671597	0.594897584953739	0.563581640833176	0.610478124345087	0.278698039252601	0.0381980930250133	0.534493157319349	0.890054252598702	0.218674063438839	0.645277862383429	0.323226284001031	-4.13012725547794	0.422374472377761	0.112766976616983	-0.953773808131625	0.105764561117554	-0.892406663956689	0.536916060468783	-0.272521282150396	-0.0337979857698215	0.496810139923751	0.2677718853177	-0.127019410529557	1
semilocal	0.374756756135124	0.322322533695336	0.853249959248877	0.0966429386935013	0.695432884445081	-0.00673725857844513	-0.101478551531697	-0.397533802533373	-0.406930574367299	-0.406914867268538	-0.0765081912759779	0.688792708443757	-0.202247443634583	0.345828206991567	-0.346434683488292	-0.386538833400488	-0.398507642656571	0.0828795934039441	-0.332510340436432	0.819672108871986	0.580445141188561	0.331165630297928	0.153015716147676	0.264265169899016	0.534980943824084	-0.332781287890064	0.215282582412015	0.223218594061144	0.0318511563032891	0.206494460655088	-0.202066811998829	-0.324574328787304	-0.178753550662423	0.512456964200432	-0.230653731744328	-0.117385915802166	-0.146341952368556	-0.406930574367299	-0.127085049287247	-0.18753774564466	-0.406211974598971	-0.300805561586822	-0.405191013179489	-0.158986166871373	-0.389464280544774	-0.368495303698487	-0.101506038954529	-0.193855926121378	-0.385914476224728	1
coreness	0.60767828436468	0.60767828436468	0.971065771646051	0.0625970534426247	0.789372028005366	0.425984540723995	0.24429079708331	-0.664177921120116	-0.664177921120116	-0.664177921120116	-0.119096690198061	0.789372028005366	-0.119096690198061	0.425984540723995	-0.119096690198061	-0.482484177479431	-0.482484177479431	0.425984540723995	-0.482484177479431	0.789372028005366	0.0625970534426247	0.789372028005366	0.425984540723995	0.24429079708331	0.60767828436468	-0.119096690198061	0.425984540723995	0.24429079708331	0.0625970534426247	0.425984540723995	-0.119096690198061	-0.300790433838746	-0.482484177479431	0.0625970534426247	-0.300790433838746	0.24429079708331	0.0625970534426247	-0.664177921120116	-0.300790433838746	-0.300790433838746	-0.664177921120116	-0.482484177479431	-0.482484177479431	-0.482484177479431	-0.664177921120116	-0.664177921120116	-0.300790433838746	-0.300790433838746	-0.664177921120116	1
hub_score	-0.10348787180841	-0.122797983098828	-0.111417664255375	-0.129703281083546	-0.109261524788783	-0.125137261089378	-0.127691418239669	-0.14136357288574	-0.141895056461185	-0.141895056461182	-0.134589105485195	-0.104395827684175	-0.136318503362419	0.0763826386110707	-0.140407886243573	-0.141477960772409	-0.141728516429965	-0.0784127425197476	-0.135021944101585	-0.0142165879841409	-0.0406772398347827	-0.112815976340472	-0.127215904528082	-0.124222385102046	-0.121699794619285	-0.140595015131952	-0.118911353639633	-0.130941076101278	-0.12579491389593	-0.123486283822161	-0.138354023986833	-0.137203281914339	-0.133715325338446	-0.0397557470585364	-0.138731343795387	-0.123242307404184	-0.102639416343321	-0.141895056461185	-0.136809195587452	-0.105409404061913	-0.141891653395201	-0.140126734696577	-0.141883779375396	-0.132237779007892	-0.141611423965836	-0.13942803637845	-0.134821029748093	-0.134995774422827	-0.139939312557562	1
