ASIC3	CDC42EP1	CEP72	CEP76	CEP89	CSPG4	DDX17	GRIA1	GRIA2	HAUS2	KHDRBS3	LASP1	LNX1	PHC2	PPP1CB	PPP2R3A	PPP3R1	PRKACA	PRKAR2B	SF1	TAF15	TK1	USP8	ZNF384	CCDC90B	STOM	UNC13D	CEP152	GRIA3	CXCR2	GRIK2	HNRNPUL1	RYR2	PPP2R2C	PKIA	GYS1	MGMT	LIPE	WT1	RASGRF1	RASGRP3	ADD2	if_health
spl	-0.165831082554889	0.262755193395397	0.323929681704984	0.234417905570082	0.34192933234081	-0.137007317685355	-0.300463604540404	0.66300418152036	0.776961429126898	0.196837553904745	0.725638100962589	0.299119352450198	-0.294625880009866	-0.395326628161633	-0.347408639306808	0.106474442942466	-0.217640887763411	-0.54735070447771	0.149527661355184	-0.285382816169852	-0.19173598515915	-0.338287194727847	-0.400313017864803	-0.0854407509989494	0.00966551114439429	0.333902461111323	-0.137007317685355	0.26153900078487	0.289876288610184	0.123136281706712	0.123136281706712	-0.158898784674877	0.268592917925935	-0.074738256026294	0.586627285579168	2.60368273014088	-0.296936645969876	-0.103562020895819	-3.99951342946319	0.357861455538731	-0.0170907262872352	-0.287207105085642	1
degree_centrality	-0.314141654594437	-0.461515816800523	-0.387539766751978	-0.166189554497346	-0.0927914423398056	-0.0927914423398056	-0.240165604545892	-0.461515816800523	-0.534913928958064	-0.166189554497346	-0.461515816800523	-0.240165604545892	0.202534819963371	0.423885032218002	-0.0927914423398056	-0.314141654594437	0.275932932120911	1.60345626775769	-0.0188153922912605	0.423885032218002	-0.240165604545892	0.0551606577572846	-0.461515816800523	-0.314141654594437	-0.0188153922912605	-0.314141654594437	0.128558769914825	0.128558769914825	-0.534913928958064	0.349908982169457	-0.387539766751978	-0.0188153922912605	-0.461515816800523	-0.240165604545892	-0.534913928958064	-0.534913928958064	-0.461515816800523	-0.461515816800523	-0.534913928958064	-0.534913928958064	-0.387539766751978	-0.461515816800523	1
average_neighbor_degree	-0.0707885736941081	-0.440519138384393	-0.502140899166107	-0.680159305508445	-0.830790290001916	-0.355422403508189	0.574185855821167	-0.625384420729535	-0.419978551457155	-0.714393644441291	-0.912952637710868	-0.477492194853421	-0.401305309287472	-0.36422552392877	0.114076708651034	-0.604843833802297	-0.649348425117588	-0.589780723028598	-0.794844262879249	-0.0443792535135412	0.237320230214463	0.0866892457209923	3.91408529019007	-0.173491508330298	-0.57916810014325	-0.861601170392773	-0.641816890271326	-0.728087355365726	0.0319143609420821	-0.353616639430242	-0.324122492823769	-0.199167241989346	-0.378897377602679	-0.321383734206412	-0.461059725311631	-0.912952637710868	1.69570190204836	0.586510207977509	-1.0361961592743	-0.419978551457155	0.0593018238721241	2.70219066148303	1
betweenness	-0.123507775147562	-0.246457374448915	-0.247465518985314	-0.0750685448565986	0.132339894136099	-0.104663017941114	-0.22501788412411	-0.237883250689326	-0.250839860020807	-0.205103552731577	-0.248843949920722	-0.166518269268777	0.133127098160832	0.318298564067587	-0.189447250484864	-0.102694124586607	-0.144255756207027	1.80642035612742	0.101245609719732	0.0169494673939608	-0.218370588168922	-0.0513837548878324	-0.248262021414777	-0.225753116616558	-0.218388804807039	-0.0919708769396332	0.121304509025109	0.00414582759370461	-0.250839860020807	0.23804254714771	-0.220871078913146	-0.186374496757424	-0.239149361639418	-0.229817871336616	-0.250839860020807	-0.250839860020807	-0.248406507406627	0.0441226893721864	-0.250839860020807	-0.250839860020807	-0.23732775638184	-0.248005263384683	1
eigenvector	-0.135168323502204	-0.141069680527004	-0.139549634020616	-0.140354364523998	-0.141337924028132	-0.137314271511222	-0.106734512382711	-0.142142654531513	-0.142321483532265	-0.139102561518737	-0.140712022525501	-0.141606167529259	-0.127389261969512	-0.111831138904129	-0.130339940481912	-0.138297831015356	-0.127478676469888	-0.10780748638722	-0.133916520496943	-0.0466479681301967	-0.105750952878577	-0.115944205921414	-0.043876118618548	-0.130876427484167	-0.0791948462669751	-0.136777784508967	-0.135078909001828	-0.140354364523998	-0.141606167529259	-0.140354364523998	-0.141248509527756	-0.104230906372189	-0.141606167529259	-0.136956613509719	-0.141069680527004	-0.142410898032641	-0.134542421999573	-0.137046028010095	-0.142410898032641	-0.141427338528507	-0.138476660016107	-0.136330712007089	1
cluster_coefficient	-0.559328249783801	-0.559328249783801	0.860987597910154	-0.559328249783801	-0.356425985827522	-0.356425985827522	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.00879723710342026	-0.559328249783801	-0.133233069380434	-0.481855624082861	-0.418857451660223	-0.356425985827522	0.860987597910154	-0.0428497597132719	-0.520148797945712	-0.407152617054543	-0.278386653536645	-0.133233069380434	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.10348836904446	0.387548982012169	-0.559328249783801	-0.0130529237476644	-0.559328249783801	-0.407152617054543	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	0.422892212518446	-0.0591527066718335	-0.103621780575579	-0.0127332079128987	-0.117728109514642	0.39129941783074	0.603781865478156	-0.419194669274029	-0.510694529269338	0.0196213384948407	-0.468076733258939	-0.0808886980137766	0.59825394486069	0.745873272053051	0.676318657915322	0.106479239429403	0.495638346609603	0.98486730972286	0.0734267477729784	0.600679127732563	0.46999309081834	0.681499857375119	0.737494942813866	0.334090342032203	0.234912987742637	-0.123552286407038	0.385168707047759	-0.0316560882039601	-0.079913016923139	0.136086094494714	0.0914618837036889	0.438023670031719	-0.0682179357844925	0.316436507055373	-0.355865073169811	-1.5129214293962	0.590555042792303	0.340046290957405	-4.01682377427474	-0.154025478058568	0.240530625538931	0.584739275928667	1
markovcent	0.231775067876535	-0.333460598995064	0.0125072721868264	0.548158988479475	0.582110395055069	0.806399437153904	0.592309676144392	-0.415805754812619	-0.974730195489189	0.575450608029668	-0.654394713583702	0.496873855928842	1.0473249690268	1.13346620055147	0.781699636108702	0.0630440245537841	1.07825527518176	1.4407360352819	0.579228712715558	1.23700987528989	0.557633807851083	0.977818490577047	-0.324113759901448	0.357712218757482	0.845562617697266	-0.187291290549835	0.846419536713695	0.891728874520112	-0.93755521452865	0.982928260567577	0.0897984797144597	0.900471141548041	-0.342104179901211	0.518451744720451	-0.96308957669578	-1.59948982037117	-0.249885124472028	-0.91091584661987	-2.06317627905331	-0.964445856480311	0.117987784729466	-0.247827528524342	1
closeness_latora	0.422921039387142	-0.0591242903537436	-0.103593401665338	-0.0128225057368054	-0.117699744081295	0.390739445674816	0.60381084779674	-0.419166559047156	-0.510666497191313	0.0196498212772216	-0.46804866543669	-0.0808603004179754	0.598086664219322	0.745902373558806	0.676347702089652	0.106507797000301	0.495667235250887	0.984896617161562	0.0734552777836896	0.60070810665764	0.470021958263529	0.681528905967717	0.737524037922648	0.334119092689135	0.234941654386833	-0.123523925641207	0.38507974677772	-0.031627648849353	-0.0798846191682	0.136114676303534	0.0914904279349913	0.437934755170171	-0.0681895280191977	0.316465243256121	-0.355836910668421	-1.51289425404588	0.590584011850445	0.340075047291395	-4.01679873303718	-0.153997142605853	0.240559298057663	0.58476824133581	1
closeness_residual	0.450744465392152	-0.296277903202289	-0.352505335458235	-0.221100849741095	-0.375051726048977	0.395660359231071	0.744070827932669	-0.803123776682687	-0.922355202213321	-0.175257508605572	-0.865866822589841	-0.324761518949189	0.730071136173425	0.977438479879409	0.867469340806706	-0.0456150901640472	0.564797296257808	1.36570664133753	-0.093798887070236	0.7361186586705	0.530250016939553	0.879349171477117	0.965133600919613	0.313857394777752	0.159026829921586	-0.388561805221713	0.382155660416428	-0.248408857244569	-0.32119434153321	0.0115727360115857	-0.0674781752769162	0.479949049123578	-0.311999309551447	0.281629049797788	-0.716777099819422	-1.9132806364463	0.725072783504579	0.316644420270176	-2.25497305552343	-0.434483161549592	0.158682487003603	0.714968471005018	1
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	1.03519268202488	0.867572804804889	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	1.72768838000727	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.762707167332289	0.126907633049567	-0.463477648784388	3.29213767565894	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	1
diffusion_degree	-0.298419077218915	-0.428545446059873	-0.405914773217967	-0.370082874551617	-0.398371215603999	-0.247500063324627	-0.102286579255733	-0.445518450691302	-0.458719676515747	-0.379512321569077	-0.471920902340192	-0.343680422902727	-0.128689030904623	-0.00610621967763343	-0.094743021641764	-0.396485326200507	-0.23241294809669	0.237173513372853	-0.371968763955109	0.19945572530301	-0.17960804479891	0.00709500614681156	-0.0287368925195391	-0.317277971253837	-0.292761409008439	-0.44363256128781	-0.272016625570025	-0.31162030304336	-0.437974893077334	-0.0343945607300155	-0.381398210972569	-0.15320559315002	-0.422887777849397	-0.307848524236376	-0.460605565919239	-0.481350349357653	-0.23241294809669	-0.334250975885266	-0.487008017568129	-0.458719676515747	-0.32859330767479	-0.140004367325575	1
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	0.334760082719393	-0.214905655225139	-0.214905655225139	-0.147062656942307	-0.214905655225139	-0.214905655225139	-0.147062656942307	-0.214905655225139	3.28332753201443	-0.214905655225139	-0.214905655225139	3.28332753201443	-0.214905655225139	-0.0792196586594759	-0.106340995052126	-0.214905655225139	-0.119227183346157	-0.214905655225139	-0.214905655225139	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1
geokpath	0.265822510214652	-0.623519550739905	-0.599179662755886	-0.530840746493062	-0.644114840572537	0.129144677689004	0.665558362875279	-0.877216075496416	-0.922151253313067	-0.469054876995166	-0.925895851464455	-0.669390878094403	0.624367783210015	1.1289523841095	0.952020121456431	-0.331440894931672	0.475520006692358	1.67472756467424	-0.405396708421577	0.614070138293699	0.37816045475628	0.947339373767196	0.992274551583847	0.12727237861331	-0.090850463705018	-0.671263177170097	0.1151024346213	-0.551436036325694	-0.586073569226029	-0.284633418039327	-0.401652110270189	0.307949239417762	-0.654412485488853	0.0289766771393854	-0.893130617639813	-1.03168074924115	0.736705727751643	0.0608057614261801	-1.03823379600608	-0.674071625783638	-0.168550875346311	0.621559334596474	1
lincent	0.435242028856218	-0.0243189025093233	-0.0824840887702806	0.00319402090254953	-0.0992861985090291	0.401136412538204	0.601584661690138	-0.377203881479934	-0.466859918008994	0.0402542512586672	-0.427016435491287	-0.0590937839793545	0.594121243049557	0.726253671132469	0.662470384294019	0.132143395762883	0.497852814765757	0.940331563403181	0.0878639085815704	0.582352143818881	0.466334453152422	0.650518045596556	0.732988576813838	0.341373612783217	0.235183013691776	-0.0918106090601099	0.401136412538204	-0.0231456058611083	-0.0503105702438502	0.114897287566359	0.114897287566359	0.426992658917316	-0.0299414189471387	0.329166797761366	-0.314620467582349	-1.4816576624026	0.597072698875679	0.362194877814138	-4.13266281217124	-0.114042527022696	0.264544887024767	0.584670350459017	1
semilocal	-0.250397554887236	-0.376556972137705	-0.350769842746401	-0.362934990737	-0.367446854856173	-0.28090074068161	-0.0598822272371804	-0.397035102147703	-0.399885940572872	-0.342386178782577	-0.399371533088441	-0.365911485952259	-0.198544495101615	-0.00670977115561292	-0.00705532732836072	-0.333177892133786	-0.203193796334949	0.211960531024008	-0.348201732098934	0.220454144679161	-0.145917860702002	-0.0516124397393751	0.114957415849135	-0.289551425324376	-0.258160788449991	-0.385651382320477	-0.275191210281891	-0.339488219061123	-0.365562003004821	-0.213285607289061	-0.346560340278382	-0.106528383783443	-0.376643361180892	-0.27567027679411	-0.379831902229429	-0.406867745972254	-0.152055409542965	-0.262562702877835	-0.406965915339512	-0.37649021696797	-0.299588261432824	-0.0734806479897443	1
coreness	-0.300790433838746	-0.482484177479431	-0.300790433838746	-0.119096690198061	-0.119096690198061	0.24429079708331	0.0625970534426247	-0.482484177479431	-0.664177921120116	-0.119096690198061	-0.482484177479431	-0.119096690198061	0.24429079708331	0.24429079708331	0.0625970534426247	-0.300790433838746	0.24429079708331	0.60767828436468	-0.119096690198061	0.789372028005366	-0.119096690198061	0.24429079708331	-0.482484177479431	-0.119096690198061	0.24429079708331	-0.482484177479431	0.0625970534426247	0.0625970534426247	-0.664177921120116	0.0625970534426247	-0.300790433838746	0.24429079708331	-0.482484177479431	-0.119096690198061	-0.664177921120116	-0.664177921120116	-0.482484177479431	-0.664177921120116	-0.664177921120116	-0.664177921120116	-0.300790433838746	-0.482484177479431	1
hub_score	-0.134701869959073	-0.140589398522629	-0.139024939629507	-0.139840532868625	-0.140789107264	-0.136801694700315	-0.106471308003158	-0.141666497318477	-0.141798096397346	-0.138559004678258	-0.140200056903272	-0.141110474394441	-0.126906840025177	-0.111363964014825	-0.129843610569557	-0.137744301476017	-0.12698311748449	-0.107360893320092	-0.133418336917145	-0.0468556314575264	-0.105358228932907	-0.11548642798481	-0.0433861053463438	-0.130445967397559	-0.0786976410016657	-0.136278746297684	-0.134539532966453	-0.139812360941116	-0.141124309616224	-0.139813753078377	-0.140739219115302	-0.104019385601496	-0.141123875514962	-0.136463969391747	-0.140525449575767	-0.14189485615269	-0.134103678205449	-0.136561917173175	-0.141895056461185	-0.140914801568327	-0.137972046114529	-0.1357851892092	1
eccentricity	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	1.45494505883962	-0.104393651028562	-0.104393651028562	-4.78240978063309	0.415385918927497	-0.104393651028562	-0.104393651028562	1
