genename	p_value	fdr
10170	ZWINT	7.48226855930685e-97	6.18838358161208e-95
4296	ITGA6	8.15826895589053e-97	6.69307016840922e-95
2857	EZH2	2.63200120098083e-96	2.14202785740624e-94
981	C1QTNF1	4.25378091558281e-96	3.43442168684317e-94
6891	PRIMA1	2.07569098317989e-95	1.66267750959756e-93
4021	ID1	1.35856535664519e-94	1.07974104477746e-92
595	ASF1B	6.54822330493574e-94	5.16395935512491e-92
3230	GABRD	1.7316458359219e-93	1.3550794683718e-91
713	AURKB	4.03451259074924e-93	3.13306080806809e-91
9246	TPX2	8.38762662322827e-93	6.46419133621979e-91
7165	RAB25	9.89302025955403e-93	7.56704474439422e-91
2972	FBXL18	4.05461485215188e-92	3.07817887245829e-90
4711	LCAT	4.16605102809533e-92	3.13935089694917e-90
1390	CDC37L1	6.22974710127772e-92	4.65994244568369e-90
1736	CNDP1	6.9916640832353e-92	5.19169333713523e-90
2681	EME1	1.44238455348115e-91	1.06328826540317e-89
5732	NECAB3	3.5504502914626e-91	2.59846984280928e-89
2274	DHX57	7.5296063446384e-91	5.47133466742903e-89
2508	E2F2	2.27744567459503e-90	1.64315282607484e-88
324	ANGPTL1	3.79742400151617e-90	2.72050664559324e-88
2418	DPT	3.91427012957524e-90	2.78460629567615e-88
4528	KIF24	1.49225787520906e-89	1.05421801142373e-87
8415	SOX13	1.5537643205299e-89	1.09009961605177e-87
9259	TRAIP	1.71785047304679e-89	1.19696526454144e-87
1403	CDC45	3.89926313783368e-89	2.69844924497837e-87
9990	ZFP36	1.04391653437586e-88	7.1755154758146e-87
6497	PIGC	1.47207116513643e-88	1.00505905791496e-86
2944	FANCI	1.928539269788e-88	1.30793533277022e-86
5653	NCAPG2	2.20746779479267e-88	1.48719005804145e-86
1009	C7	2.28483048990023e-88	1.52918293248388e-86
3703	HDAC11	5.20368737062591e-88	3.45994193603774e-86
1468	CDKN2C	9.58817777052201e-88	6.33380080905977e-86
7076	PTPN13	1.4090782324845e-87	9.24809861875151e-86
6030	NTN4	2.00187106222139e-87	1.30094624489746e-85
4484	KDM8	2.00775150347883e-87	1.30094624489746e-85
5109	MCM8	4.03209241891699e-87	2.59610608719257e-85
1405	CDC6	4.21950089604639e-87	2.69968444122515e-85
7406	RFC4	6.67442099400776e-87	4.24368029825256e-85
4514	KIF14	1.10239510524521e-86	6.96563068674503e-85
5429	MSH2	1.65156344207552e-86	1.03712067260705e-84
4299	ITGA9	2.11829648536039e-86	1.32205092917615e-84
7370	RDH5	5.0004886299487e-86	3.10182748978464e-84
2071	CXCL12	6.14571448062618e-86	3.78911232796425e-84
2511	E2F7	7.3126857073983e-86	4.48144287357608e-84
2458	DTYMK	1.70993861476658e-85	1.04162907353416e-83
3031	FEZ1	1.75218562536296e-85	1.06101097421532e-83
811	BCL9	2.59633897298006e-85	1.56287315811397e-83
6149	ORC6	3.33460037896916e-85	1.99546409736784e-83
4143	IL1RL1	3.39646422051594e-85	2.02059827574904e-83
1329	CD244	3.47040809132196e-85	2.05258497168711e-83
5124	MDK	3.64844331450956e-85	2.1454112045379e-83
1866	COX4I2	4.31793694122177e-85	2.5245041668419e-83
10007	ZIC2	9.74620301250915e-85	5.66560704264318e-83
1661	CKAP2	1.00179230052851e-84	5.79047333708892e-83
4784	LIN9	1.28200927905573e-84	7.36829400894572e-83
5451	MTBP	1.96326656558612e-84	1.12203993099481e-82
4515	KIF15	1.97677062074332e-84	1.12344623043697e-82
7505	RNASEH2A	2.26694532460915e-84	1.28120193262494e-82
2930	FAM83F	3.1029944923115e-84	1.7440200536069e-82
2107	CYP1A2	6.5451985706951e-84	3.65847829998249e-82
3240	GADD45B	7.01600895580401e-84	3.90021088018548e-82
4447	KCNN2	8.25388818408714e-84	4.56341328786514e-82
3413	GMNN	1.77807994182534e-83	9.77751743145359e-82
4254	IQGAP3	1.83399111392283e-83	1.00307481730844e-81
6118	OLFML3	1.88008993241916e-83	1.02278903114974e-81
1515	CENPP	2.42690716232158e-83	1.31324077459029e-81
9189	TNXB	3.67228725914355e-83	1.9766231898025e-81
2507	E2F1	4.49049623149421e-83	2.40430621910477e-81
1663	CKAP5	6.01336846590287e-83	3.20282708919528e-81
7132	PYGO2	6.89981479201819e-83	3.65582374370839e-81
4134	IL18R1	7.00141169807841e-83	3.69043322303376e-81
6803	PPOX	7.14917025148993e-83	3.74889221486635e-81
7849	SCN7A	1.18581696282251e-82	6.18631587835561e-81
3123	FOS	2.00503569695474e-82	1.0406749053633e-80
2280	DIAPH3	3.24523174725244e-82	1.66778422095277e-80
1146	CASC3	3.24605598887889e-82	1.66778422095277e-80
2377	DNMT3B	4.5131339121959e-82	2.30714127079241e-80
1499	CELSR3	5.92028047082603e-82	3.01135066148566e-80
8445	SPART	6.07255956214283e-82	3.07344022018304e-80
4759	LHX2	8.61444083551252e-82	4.33835181285489e-80
7257	RAMP3	1.49291963733279e-81	7.48151303969775e-80
2563	EFNA4	1.51714376886285e-81	7.56563900031458e-80
8248	SLC7A8	1.54982029525465e-81	7.69088871396367e-80
3625	GTSE1	1.84767216665883e-81	9.12445094729137e-80
6641	PLP1	2.1572413623798e-81	1.06017470432317e-79
2146	DBF4B	3.86730926089768e-81	1.8914488995727e-79
1702	CLIC6	8.59489679690703e-81	4.18353517296341e-79
5989	NRG1	1.02972159890105e-80	4.98826563124779e-79
175	ADRA2B	1.21937014788129e-80	5.87898223431108e-79
1174	CBFA2T2	1.89197141398537e-80	9.07878546909111e-79
8900	TDRKH	1.98248496902435e-80	9.45684564105191e-79
1510	CENPK	1.98934922558253e-80	9.45684564105191e-79
5967	NR2C2AP	2.26116344543609e-80	1.06989840606611e-78
5101	MCM10	3.6664067428523e-80	1.72677573125169e-78
8215	SLC38A2	5.23647568200723e-80	2.45486945221472e-78
8354	SNRPC	6.9468398029749e-80	3.24175235392952e-78
473	ARHGAP10	7.84344496770498e-80	3.64344135417638e-78
2582	EHD3	2.13396712191642e-79	9.86765796875259e-78
5102	MCM2	2.61922432816847e-79	1.20567280952298e-77
3017	FDPS	7.7219443030496e-79	3.53852880157313e-77
7090	PTPRB	8.6231013512532e-79	3.93375829804031e-77
4119	IL13RA2	2.18763788835631e-78	9.93519653493246e-77
4900	LTK	4.00915485931901e-78	1.81267255039343e-76
5445	MT1F	4.69686019028331e-78	2.1142105626439e-76
6034	NTRK2	4.94823201750879e-78	2.21754908872762e-76
1691	CLEC3B	1.36518572594181e-77	6.0912431535114e-76
4616	KNL1	1.54041634234154e-77	6.84308098281245e-76
8758	SYTL5	2.34813106506466e-77	1.0385885793436e-75
4237	IP6K1	2.69306791897993e-77	1.18599913159233e-75
4861	LRRC4C	3.35645096231229e-77	1.47177481205185e-75
9749	VPS45	7.17858977953996e-77	3.13424007842318e-75
1512	CENPM	9.0695340288585e-77	3.94292178100759e-75
4141	IL1RAP	9.29461353760029e-77	4.02357887310671e-75
2439	DSCC1	1.23141213697607e-76	5.30811680909217e-75
7110	PTS	1.24684214900074e-76	5.35195155349558e-75
1357	CD5L	2.58512902607752e-76	1.10497973034818e-74
7415	RFX5	3.20950602895368e-76	1.3661215411107e-74
4931	MAD2L1	3.33400777128208e-76	1.41320254405219e-74
2728	EPHA2	5.25012699363581e-76	2.21616356457498e-74
7041	PTCD1	8.61249641638354e-76	3.6204514894161e-74
7356	RCAN1	1.00550599743805e-75	4.20947016952153e-74
4256	IRAK1	1.06024567675173e-75	4.42044232360467e-74
5991	NRG3	2.85295040274269e-75	1.18461487539189e-73
6168	OTUB2	3.21732126744497e-75	1.33048005096413e-73
1511	CENPL	3.47739854359471e-75	1.43220952971615e-73
1278	CCNE1	3.51253983838148e-75	1.44084950709092e-73
8390	SOCS2	6.42862596674183e-75	2.62644224737609e-73
9638	USP21	6.96276048125378e-75	2.83328649503179e-73
4352	JDP2	1.06654248757059e-74	4.32268395460382e-73
7980	SERTAD1	1.18017706865636e-74	4.76426242834967e-73
1824	COLEC11	1.20521959592638e-74	4.84612606694035e-73
6633	PLK1	1.27386153092746e-74	5.1019658874508e-73
4422	KCNH7	1.41756905152474e-74	5.65526665143576e-73
8498	SPRY2	1.57512562510031e-74	6.25927850943181e-73
6113	OIP5	2.30028322004326e-74	9.10536233365763e-73
3600	GSTZ1	3.2111687065734e-74	1.26617128883609e-72
7002	PSMB4	3.90861452196998e-74	1.53522531011585e-72
8066	SHBG	7.11507076746256e-74	2.78390826605372e-72
3834	HK3	8.77693799469326e-74	3.42098813103504e-72
5201	MFAP4	1.18637133356127e-73	4.6064715940148e-72
8983	THBD	1.93505958566732e-73	7.48492819961738e-72
8843	TBCE	2.08287913615519e-73	8.0261853985253e-72
8090	SIGLEC11	2.25927881050893e-73	8.67307295822918e-72
2201	DDX19B	3.08768895934565e-73	1.18086690915125e-71
8706	SUV39H1	3.11690242597835e-73	1.18757484567332e-71
5103	MCM3	3.13053378786942e-73	1.18831791880581e-71
5953	NPY5R	3.75654632294437e-73	1.42064482317149e-71
9340	TROAP	3.80261373304227e-73	1.43274035208293e-71
1095	CAMK4	6.47858489238866e-73	2.43197948746383e-71
497	ARHGEF11	7.46106183286615e-73	2.79049198624071e-71
2533	EDC3	8.01339824602626e-73	2.98609158816209e-71
4830	LPL	8.60393937324905e-73	3.19444800160813e-71
4972	MAN1C1	8.8046955482602e-73	3.25709701136185e-71
7137	QKI	9.23322211481019e-73	3.4032452381871e-71
8908	TEK	1.36625774746085e-72	5.01766789347263e-71
3050	FGF23	2.69544080824341e-72	9.86356810872671e-71
1279	CCNE2	3.31528924940522e-72	1.20883288653044e-70
8227	SLC4A4	3.36500704180714e-72	1.22257916558229e-70
9436	TUBG1	6.36295806931338e-72	2.3035719729226e-70
8002	SF3B4	7.88367507712885e-72	2.84399384963233e-70
2798	ESR1	1.06536848954398e-71	3.82967973290844e-70
6562	PKHD1	1.29876402634895e-71	4.65222761973518e-70
8094	SIGLEC7	1.33938374539895e-71	4.78089503226087e-70
6402	PELI2	1.39376430959127e-71	4.95760990261258e-70
4086	IGHG1	1.64037142864256e-71	5.81445942285042e-70
4505	KIAA1522	1.83390964870907e-71	6.47790376955464e-70
7787	SAP130	2.45295226790965e-71	8.63456173752418e-70
144	ADCY6	2.52699690986473e-71	8.86453088415652e-70
328	ANK3	2.595394139132e-71	9.07317683071815e-70
7405	RFC3	2.81280907368225e-71	9.79955709129095e-70
3755	HGS	2.87183028008715e-71	9.97103393833671e-70
901	BRCA1	3.02967172615243e-71	1.04832824728397e-69
3124	FOSB	5.60850556636055e-71	1.93407888564698e-69
6636	PLK4	7.59444619350647e-71	2.61007774076153e-69
5100	MCL1	9.0762095886453e-71	3.10883098132285e-69
7034	PSPH	9.69223955375624e-71	3.30869640873699e-69
7057	PTGIR	1.25748659175243e-70	4.27839836050083e-69
2772	ERCC6L	1.34546078369507e-70	4.56245751750998e-69
6688	PNRC1	1.5265597534997e-70	5.15936623666194e-69
3484	GPC3	1.56145601676425e-70	5.25983180746448e-69
9041	TK1	1.89588124838773e-70	6.36528050820078e-69
3754	HGFAC	2.06740424354995e-70	6.91832347685318e-69
4246	IPO9	2.24009158242048e-70	7.47162349769298e-69
6640	PLOD3	2.39517334531704e-70	7.96277726859811e-69
9954	ZC2HC1C	3.05770137632376e-70	1.0132246287082e-68
3730	HELLS	3.63134450133468e-70	1.19940479259993e-68
132	ADAR	3.67710893723282e-70	1.21058994234529e-68
127	ADAMTS1	4.50806372201633e-70	1.47937200787329e-68
1113	CAPN11	5.9890631792944e-70	1.95905915507916e-68
7059	PTGS2	6.5001924150959e-70	2.11943773842213e-68
172	ADRA1B	6.71343061046752e-70	2.18197219170243e-68
8799	TAF6	7.07312044953353e-70	2.29155587048104e-68
1175	CBFA2T3	8.494667583202e-70	2.74337312139409e-68
1591	CHIC2	9.13331485692803e-70	2.94029152023825e-68
1240	CCHCR1	9.26129722580918e-70	2.97208759237088e-68
6144	ORC1	1.03561652965286e-69	3.31299589816305e-68
8314	SMPD3	1.20747227328923e-69	3.85066314613523e-68
7968	SERPINB8	1.24646531076177e-69	3.96259112699357e-68
5650	NCAPD2	1.26820073345112e-69	4.01912961414275e-68
7732	RUSC1	1.28243547295909e-69	4.0516198964015e-68
4166	IL33	1.42700730894526e-69	4.49441032628486e-68
9536	UBQLN4	2.00831103651391e-69	6.30572474520248e-68
4351	JCHAIN	2.15731227149115e-69	6.75271930396293e-68
9997	ZFPM2	2.26357153789964e-69	7.0635930230224e-68
3251	GALNT14	2.62106169421026e-69	8.1541469771257e-68
3024	FEN1	4.83951091590024e-69	1.50098611425162e-67
6395	PEA15	5.45049564774059e-69	1.68534626822082e-67
5931	NPLOC4	8.68135434764916e-69	2.67622478117076e-67
1416	CDH13	9.51233180235512e-69	2.92353327569059e-67
9784	WDCP	1.29692586269298e-68	3.97398397625772e-67
8302	SMG5	1.53329113770796e-68	4.68413535852945e-67
8869	TCF21	1.56781361588967e-68	4.77525985462442e-67
1586	CHEK1	2.01660954372886e-68	6.12387130995634e-67
9058	TLR4	2.22416095928887e-68	6.73404447584693e-67
1232	CCDC88A	2.44787557923184e-68	7.38938820994821e-67
10128	ZNF687	2.6350504811887e-68	7.93087826779073e-67
7851	SCNM1	2.82382850271395e-68	8.47398447141859e-67
7991	SETDB1	2.98218572110891e-68	8.92287510024734e-67
8712	SVEP1	3.50149434418511e-68	1.04459536549546e-66
7154	RAB11FIP4	5.04998891482726e-68	1.50215021141923e-66
3743	HES6	6.35587511738767e-68	1.88508214487419e-66
7933	SEMA6D	7.90250418144804e-68	2.33698183249625e-66
5759	NELFE	1.3313652428954e-67	3.92579090318113e-66
2576	EGR1	2.45714088893178e-67	7.22442030725522e-66
4824	LPA	2.65088969863562e-67	7.77161409343522e-66
6630	PLIN1	3.40479487995967e-67	9.9531546878821e-66
8280	SMAD9	4.53655818309226e-67	1.32236121480222e-65
2827	EXD3	5.59498284817595e-67	1.62622172898554e-65
1328	CD226	6.00835059289694e-67	1.7413946034627e-65
60	ACADVL	6.99011948094855e-67	2.02018424658209e-65
1191	CBX4	9.30008828113792e-67	2.68016425167184e-65
2117	CYR61	1.10397568872552e-66	3.17252674615954e-65
5291	MMRN1	1.14106934977146e-66	3.2698869000634e-65
5402	MRPS21	1.19958705770161e-66	3.42792110617936e-65
257	AKIP1	1.31935298539284e-66	3.75960165837572e-65
1465	CDKN2A	1.89858516309212e-66	5.39505778327825e-65
9209	TOPBP1	2.1332819493515e-66	6.04509116176958e-65
4909	LY6E	2.94064339310125e-66	8.30976812167196e-65
7068	PTN	3.99690806153549e-66	1.1263309060942e-64
5674	NCOR1	5.87003755785762e-66	1.6496102783449e-64
1781	COG2	6.6778824681269e-66	1.87146276441474e-64
5912	NOX4	1.05756900620431e-65	2.95567293959242e-64
8877	TCHH	1.39552592671099e-65	3.88950280888518e-64
9492	UBAP2L	1.41876786412627e-65	3.94347690758374e-64
8050	SH3BP5L	1.73621964425981e-65	4.81268731363897e-64
9416	TTF2	1.90749625511832e-65	5.27308679438006e-64
2478	DUSP5	2.77278705770485e-65	7.64432594526597e-64
4606	KLRD1	3.30996567541136e-65	9.10061643674589e-64
8481	SPNS1	4.02229723347483e-65	1.10293341660753e-63
9953	ZBTB9	4.04730792163208e-65	1.10680815824632e-63
2432	DROSHA	4.39473046359902e-65	1.1985949867612e-63
11	AARS2	5.48004082006498e-65	1.4906004080888e-63
6653	PLSCR4	6.63731233558103e-65	1.80057009039642e-63
7374	RECQL4	7.31384022118943e-65	1.97882171729149e-63
1322	CD1D	8.43190088537672e-65	2.2752712919612e-63
2542	EDNRB	9.79868446869387e-65	2.6370903994715e-63
6864	PRAM1	1.32114746639353e-64	3.54618289594231e-63
2484	DVL2	1.57060424344516e-64	4.20467288646516e-63
7134	PZP	1.57885611044386e-64	4.21567013426388e-63
5293	MMS22L	1.76058513586455e-64	4.6885949181021e-63
3722	HEATR6	1.84120419944728e-64	4.89048833445879e-63
5151	MED24	1.99424422792208e-64	5.28318920069045e-63
10061	ZNF330	2.13126349052416e-64	5.63151778937722e-63
1899	CPSF3	3.10324585207384e-64	8.17858032464951e-63
3451	GNPAT	3.14239792522205e-64	8.26036539878139e-63
4364	JUNB	3.64141652409893e-64	9.54745626279855e-63
9288	TRIM11	5.91534703779587e-64	1.54696209294338e-62
9293	TRIM24	8.40300973759325e-64	2.19189277078298e-62
4088	IGHM	8.63490689556303e-64	2.24662168410646e-62
507	ARHGEF39	9.76218829110521e-64	2.53343728279115e-62
6651	PLSCR1	1.16172072476514e-63	3.00717173868595e-62
4675	LAGE3	1.19173425987783e-63	3.0770336613546e-62
7917	SELP	1.23137022222692e-63	3.17132386600365e-62
3805	HIST1H3C	1.4436118089953e-63	3.70855124568413e-62
1251	CCL19	1.49765826813385e-63	3.83770215660597e-62
6039	NUAK1	1.68107968010896e-63	4.29689034817799e-62
171	ADRA1A	1.77907956993907e-63	4.53180032193218e-62
8906	TEDC2	1.78189337341283e-63	4.53180032193218e-62
474	ARHGAP11A	1.79045677987749e-63	4.54222364630767e-62
9014	TIMELESS	1.79623505742835e-63	4.5455470744325e-62
6066	NUP205	1.83667792115828e-63	4.63635843472536e-62
9895	XRCC2	2.04336657646417e-63	5.14533865900247e-62
9765	VTCN1	2.14340947788396e-63	5.38392706629963e-62
1508	CENPH	3.76750048463202e-63	9.44009419462107e-62
3090	FLAD1	3.96513233070648e-63	9.91088235879042e-62
8250	SLC8A1	4.07224319128474e-63	1.01536593100342e-61
8324	SMYD3	4.16644879666772e-63	1.03631500265283e-61
9646	USP39	5.02955866567836e-63	1.24794390990112e-61
1518	CENPU	5.50030625497426e-63	1.36142616865823e-61
2376	DNMT3A	5.67125801360319e-63	1.40033271292197e-61
7812	SCAMP3	6.1484395931989e-63	1.51448125863468e-61
3229	GABRB3	9.24365802866117e-63	2.27139451994131e-61
5318	MPC1	1.06980449297705e-62	2.62243882097724e-61
5902	NOSTRIN	1.15757531913429e-62	2.83077252921951e-61
5865	NME5	1.16197539514859e-62	2.83471839204955e-61
9382	TSPAN17	1.32633379589689e-62	3.22794107790887e-61
1305	CCT3	1.34613118686794e-62	3.26830371456026e-61
912	BRINP1	1.4421405407995e-62	3.49307040989365e-61
8310	SMO	1.67578839013049e-62	4.04935755173337e-61
2914	FAM208A	1.93410472369325e-62	4.66247567633446e-61
8438	SPAG5	2.00181116133183e-62	4.81428485679166e-61
6085	NVL	2.52722322169752e-62	6.06354760243605e-61
3374	GJC1	3.75449284358806e-62	8.98693075242856e-61
973	C1orf35	4.93976080789376e-62	1.17962879574421e-60
9358	TRPV6	5.14897144623281e-62	1.22670928624183e-60
3214	GABARAPL1	5.16603102504033e-62	1.22789798172279e-60
434	APOF	5.67223905238373e-62	1.34507430955477e-60
1313	CD14	6.3672210648186e-62	1.50636604400929e-60
1772	CNTN1	6.49243502143315e-62	1.53242555621901e-60
5545	MYL3	6.70792528795321e-62	1.57962323968398e-60
1344	CD4	7.33520472304101e-62	1.72334959924933e-60
8564	SSR2	7.93175141029996e-62	1.85920984094427e-60
6356	PDGFRA	8.29701280678988e-62	1.94035658122928e-60
4376	KAT7	1.12460247261602e-61	2.62398645732173e-60
2135	DAP3	1.17342798903276e-61	2.73164369163165e-60
3533	GRASP	1.44486835834222e-61	3.35585520762908e-60
2169	DCN	1.50269918965609e-61	3.4822229741165e-60
6832	PPP2R2A	1.62268773754418e-61	3.75172780773566e-60
3753	HGF	2.43759372397317e-61	5.62304783536939e-60
4429	KCNJ10	2.52082527082663e-61	5.8018903801175e-60
3525	GPSM2	2.69139567365374e-61	6.18048943297506e-60
7209	RABIF	2.71577473406694e-61	6.22242711028445e-60
1516	CENPQ	3.5305668664827e-61	8.07111387252326e-60
6535	PIP4K2B	5.03585818884431e-61	1.14864989585455e-59
3541	GRHL2	6.26991346928202e-61	1.42693131371378e-59
9377	TSLP	8.97232791926314e-61	2.03739937327375e-59
6448	PGM5	1.0332105622982e-60	2.340946781795e-59
3296	GCH1	1.21469693783412e-60	2.74602487746367e-59
871	BMP6	1.4662463499878e-60	3.307344593886e-59
4618	KNTC1	1.84774015148785e-60	4.15864171705441e-59
6895	PRKAB2	2.36579067602879e-60	5.31284515391632e-59
7293	RASGRF2	2.63522929956853e-60	5.90488715077327e-59
1571	CHAF1A	2.80627538988409e-60	6.27046991720151e-59
9888	XPO1	2.81070901626255e-60	6.27046991720151e-59
5053	MARK4	2.853363969895e-60	6.35170058331332e-59
