genename	p_value	fdr
1694	CLEC4M	2.67505836486886e-248	2.72133687458109e-244
1688	CLEC1B	2.42664144616762e-195	1.23431117159316e-191
8591	STAB2	9.79500659556622e-186	3.32148673655651e-182
874	BMPER	2.26587989064878e-184	5.76269903189252e-181
5049	MARCO	2.11959093166298e-178	4.31251970956149e-175
2147	DBH	9.85645251907816e-178	1.6711615246097e-174
3757	HHIP	4.75154609288734e-172	6.90535405756327e-169
7061	PTH1R	4.89354760857649e-169	6.22275747775608e-166
1636	CHST4	2.56271898613115e-165	2.89672669399024e-162
1565	CFP	6.22879747360772e-162	6.33655566990113e-159
128	ADAMTS13	2.60695690565834e-160	2.4109611455693e-157
1930	CRHBP	2.85344257063232e-159	2.41900593925355e-156
3014	FCN3	8.78225159121586e-156	6.87244964903376e-153
3013	FCN2	2.36955990741066e-155	1.72182378129204e-152
6087	NXF3	7.99880869182209e-155	5.42479205479374e-152
3509	GPR182	4.86342303720929e-150	3.09222515984563e-147
351	ANLN	3.87267776378715e-148	2.3174559347651e-145
608	ASPM	1.3708063812598e-144	7.74734073142e-142
5750	NEK2	2.88424426673224e-144	1.54428510134037e-141
2526	ECM1	1.22839693842246e-143	6.24824102728582e-141
1470	CDKN3	2.74197309587323e-143	1.32829010972945e-140
4832	LRAT	5.73285267173937e-142	2.65092319225476e-139
1410	CDCA8	1.79631437006876e-141	7.94517655943891e-139
9722	VIPR1	6.08695706976613e-141	2.58010892794712e-138
4536	KIF4A	2.35169901738508e-140	9.56953364154335e-138
5174	MELK	9.68814517716758e-140	3.79067311105099e-137
870	BMP5	9.14238407508157e-137	3.44464715540018e-134
3495	GPM6A	1.68425458273854e-136	6.11925781078541e-134
8232	SLC5A1	2.0535968194067e-136	7.20387601511184e-134
6049	NUDT10	3.34784801631443e-136	1.13525526233222e-133
8753	SYT9	5.00724712041059e-136	1.64318467599796e-133
1409	CDCA5	1.08996967722224e-135	3.46508172699434e-133
7214	RACGAP1	3.00485603070607e-135	9.26315163647662e-133
4524	KIF20A	2.01399341724542e-134	6.0259867745993e-132
1502	CENPA	2.26784848036162e-134	6.59166359734821e-132
8126	SKA1	6.35234608898661e-134	1.7950671323128e-131
8010	SFRP1	9.51078362626645e-134	2.61495140081104e-131
9497	UBE2C	1.19309498140897e-133	3.19404085417722e-131
3859	HMMR	1.33247229708108e-133	3.4757027380015e-131
9206	TOP2A	1.98640075053334e-131	5.05191370879393e-129
7702	RSPO3	2.35483734145721e-131	5.84286835966932e-129
6868	PRC1	7.86202152015215e-131	1.904293926774e-128
6590	PLAC8	1.56515395453187e-130	3.702863064989e-128
2310	DLGAP5	2.25370446210928e-129	5.21066715750856e-127
4322	ITLN1	2.89319791103027e-129	6.54055607753576e-127
1507	CENPF	1.62404276211574e-128	3.5916058736964e-126
6055	NUF2	1.74572653486754e-128	3.74125003459165e-126
6274	PBK	1.76526100128182e-128	3.74125003459165e-126
6024	NTF3	3.0793744553877e-127	6.3516273743751e-125
4519	KIF18B	3.12180643584739e-127	6.3516273743751e-125
1256	CCL23	3.28413972640894e-127	6.5508928307369e-125
2127	DACH1	1.51744372600696e-126	2.9686451970517e-124
7111	PTTG1	1.02897178877989e-125	1.97504339759581e-123
1408	CDCA3	1.20809988742142e-125	2.27592595458112e-123
9518	UBE2T	6.92453268109017e-125	1.28078674481328e-122
1421	CDH19	6.69652979749471e-123	1.21649638624846e-120
4432	KCNJ16	5.97377604796141e-122	1.06616181992827e-119
3418	GNA14	5.83165989073079e-121	1.02285303566214e-118
942	BUB1	7.87677342211046e-121	1.35814264445983e-118
1434	CDK1	2.24167654488429e-120	3.80076258185132e-118
9418	TTK	9.51879130486637e-120	1.58745350728534e-117
8617	STIL	3.07406978944817e-119	5.04395354323488e-117
1271	CCNB2	1.16472482769288e-118	1.88075328128883e-116
3140	FOXM1	5.03505345560081e-118	8.00337481309798e-116
1109	CAP2	2.43623495505171e-117	3.81289510734478e-115
5652	NCAPG	1.82019554648841e-116	2.80558322642827e-114
8194	SLC26A6	3.35108223927042e-115	5.0881432268803e-113
3831	HJURP	3.97702577967349e-115	5.949747537738e-113
4764	LIFR	1.55305002996563e-114	2.28973593548411e-112
1520	CENPW	1.05327277603457e-113	1.5307062786571e-111
4077	IGFALS	1.74746093972199e-113	2.50379156898476e-111
2828	EXO1	9.19033151046438e-113	1.2985172563327e-110
1550	CETP	1.21696263742576e-112	1.69591245349757e-110
4383	KAZN	5.14047528456033e-112	7.06676419862598e-110
6394	PDZRN4	3.1176757530939e-111	4.22881539149656e-109
5244	MKI67	1.00859907766847e-110	1.35006294962123e-108
8452	SPC25	1.49504884427483e-110	1.97521193413089e-108
2529	ECT2	2.10156407409066e-110	2.74092452893901e-108
5056	MASP1	3.87261837256687e-110	4.9868540131801e-108
6905	PRKAR2B	6.89711528169804e-110	8.77054422008927e-108
943	BUB1B	7.42815420012817e-110	9.32921144171653e-108
1533	CEP55	2.81016141494276e-109	3.48631366758691e-107
5682	NDC80	1.13094760588314e-108	1.38616024031918e-106
364	ANXA3	1.59630095112057e-107	1.93323447330352e-105
2796	ESM1	1.64233653895583e-106	1.96558701303502e-104
9329	TRIP13	2.56866255707224e-106	3.03848885966231e-104
1269	CCNB1	6.70578372168751e-106	7.84114227594563e-104
1566	CFTR	1.51372852987917e-105	1.74990458346145e-103
8027	SGO2	3.18508342298156e-105	3.6406577148305e-103
1506	CENPE	4.08935646588025e-105	4.62233592526665e-103
8949	TFPI2	8.82190422912822e-105	9.86211337614521e-103
8456	SPDL1	5.41630305997516e-104	5.98913598142688e-102
7684	RRM2	1.93993708002146e-103	2.12204085108154e-101
3667	HAMP	6.22378844352725e-103	6.73559572723434e-101
5581	MYOM2	1.12647072320852e-102	1.20627228075792e-100
4511	KIF11	1.185461489104e-102	1.2562187217349e-100
3669	HAND2	1.3000974281379e-102	1.36349393159246e-100
1385	CDC25C	1.39716472828249e-102	1.45034252865488e-100
1509	CENPI	2.55515675934491e-102	2.62561714270866e-100
6003	NRXN1	5.5828371105166e-102	5.67942019252853e-100
2449	DTL	6.03059063145465e-102	6.07417806869189e-100
8128	SKA3	2.44268802863637e-101	2.42436517721856e-99
3766	HIGD1B	2.45463101595903e-101	2.42436517721856e-99
5647	NCAM1	2.65694426973741e-101	2.59895135154218e-99
5950	NPY1R	3.30640539733428e-101	3.20343448638872e-99
5813	NGFR	4.31760117324504e-101	4.14367516371903e-99
2567	EFNB3	6.8048468475221e-101	6.46969224110676e-99
6715	POLQ	8.00206888923886e-101	7.53750433428027e-99
1432	CDHR2	4.04557448622138e-100	3.7757458025991e-98
4527	KIF23	5.98840365273727e-100	5.53818457811784e-98
1381	CDC20	9.60898536153597e-100	8.80650523269418e-98
7223	RAD51AP1	1.63772767969499e-99	1.48755390049439e-97
712	AURKA	2.10263669991196e-99	1.89293125205349e-97
4518	KIF18A	2.14357995287322e-99	1.91286305794555e-97
4532	KIF2C	2.62371117151595e-99	2.32095771720276e-97
7511	RND3	6.55544475644235e-99	5.74901202649035e-97
7222	RAD51	1.18226916547468e-98	1.02796788208324e-96
1268	CCNA2	1.69355384779192e-98	1.46004434691417e-96
5654	NCAPH	2.66689651781e-97	2.27986035930093e-95
418	APLN	4.49137731439593e-97	3.80756511827915e-95
3389	GLP2R	5.13987105709649e-97	4.32131473254897e-95
8859	TBXA2R	6.59127783213178e-97	5.49615322838333e-95
