CRHR1	CNR1	PLCB3	LPAR3	GPSM2	NPY2R	GNAT3	ADRB2	GHSR	TSHR	AGTR1	RGS16	TTC1	GNGT1	GNAS
spl	-3.99829723685266	0.947958110167224	0.256066134037489	0.213134534885824	-0.0367930465777986	0.300092306538628	-0.0225635930346157	-0.672740162623211	0.301673356932314	0.135541446334105	-0.277355944940365	-0.232964914656068	-0.00505041944300927	0.172756940216275	0.353118304357676
degree_centrality	-0.461515816800523	-0.461515816800523	-0.166189554497346	-0.0188153922912605	-0.387539766751978	-0.0188153922912605	1.75140836785478	0.792609406678719	0.0551606577572846	-0.461515816800523	0.275932932120911	-0.0927914423398056	-0.314141654594437	0.423885032218002	-0.387539766751978
average_neighbor_degree	-0.99511498541982	0.257860817141701	0.141464171581076	0.797051223981699	0.716600605543741	1.31570104389446	-0.115721107597441	0.767051162719208	1.51083661970322	-0.132410334475822	0.336599747389838	-0.0267730126723807	-0.204302388721155	-0.56963139320115	-0.912952637710868
betweenness	-0.250830074904386	-0.250725996394235	-0.244049004900427	-0.247505923570618	-0.231729765370318	0.342041622212774	-0.0698921548036532	1.76000882102806	-0.102981704265661	-0.246835862067119	0.373423504293239	-0.0241925254968489	-0.056726646740046	-0.156654171282558	-0.237230141900026
eigenvector	-0.142410898032641	-0.142232069031889	-0.141427338528507	-0.139817877521743	-0.138029587514228	-0.140086121022871	-0.132754131992058	-0.0298380420595529	-0.139281390519489	-0.140622608025125	-0.130787012983791	-0.12828340697327	-0.139281390519489	-0.13946021952024	-0.14053319352475
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.275263375864288	1.26679212582271	-0.559328249783801	0.505909701224616	0.385640075603962	-0.0360535415858382	1.09770903633505	-0.559328249783801	-0.107407440496186	-0.153523721871242	-0.559328249783801	-0.231563054162119	-0.559328249783801
harmonic_centrality	-4.01191733617739	-0.607379411036592	-0.0159462227788119	0.0463356453011891	0.283368978145061	-0.0399980548433008	0.317378543320791	1.1973824672245	-0.0364224290230118	0.0711874592724515	0.604084664194949	0.517689284225982	0.23408122859754	0.0633035130204477	-0.141843491345595
markovcent	-2.06309831640414	-0.298869432791785	0.706494132653656	0.925413795725214	0.135332001052287	0.843918039773355	1.48193803165951	1.34260889767028	0.933447573105543	-0.435392850019249	1.11118482407287	0.710285577369645	0.107473837109591	1.16491988847172	-0.302729652528579
closeness_latora	-4.01189228997083	-0.607351462415917	-0.015917770391244	0.0463641506127167	0.2833976861101	-0.0399696215827853	0.31740728032486	1.19741195573597	-0.0363939927881322	0.0712159856642127	0.604113645425975	0.517718192231949	0.234109895467001	0.0633320325770245	-0.141815145392543
closeness_residual	-2.24980791175368	-1.02052521598702	-0.217372261582311	-0.118040090460425	0.235826061347965	-0.246065711294857	0.280509935314343	1.73357786526326	-0.238430983160205	-0.100898269574587	0.746093842575818	0.602820286904454	0.151596555394486	-0.108307022669313	-0.413198464931772
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.479464459954161	-0.36442520634114	-0.14377614613256	0.212656951127455	-0.238070616307167	0.403131780880161	0.982099827752248	1.15371576347003	0.595492500036359	-0.400257105007491	0.310723200109046	-0.140004367325575	-0.322935639464313	-0.138118477922083	-0.462491455322731
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.106340995052126	-0.214905655225139	-0.0393817926478076	-0.107507126442882	-0.100907556637132	-0.106340995052126	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.106340995052126	-0.214905655225139
geokpath	-1.03542534739254	-0.880960673647803	-0.511181606198277	-0.433481194556984	0.0102536863824474	-0.543946840022918	-0.0945950618564056	2.09973945485673	-0.524287699728134	-0.427864297329903	0.57756030631767	0.453052417784032	-0.140466389210904	-0.388546016740333	-0.609477307672202
lincent	-4.12943574001613	-0.59364352367018	-0.0178574721638396	0.0241016299042344	0.286419377801031	-0.0600161360945278	0.270599394425603	1.13162644039707	-0.0615140683202098	0.102147375594488	0.572179029598231	0.516701558724226	0.251283368305537	0.0643525291257119	-0.109660714286397
semilocal	-0.406907013719157	-0.363154890119657	-0.253366196553115	-0.0827242756107479	-0.258408175255481	-0.0167230466159184	0.315431044113832	0.937235816325353	0.0701921843795335	-0.325167271765541	0.056487740710331	-0.153441561008647	-0.305152501169001	-0.229672038071749	-0.388105616501924
coreness	-0.482484177479431	-0.482484177479431	0.24429079708331	0.60767828436468	-0.300790433838746	0.425984540723995	1.15275951528674	1.15275951528674	0.60767828436468	-0.482484177479431	0.60767828436468	0.0625970534426247	-0.300790433838746	0.60767828436468	-0.482484177479431
hub_score	-0.141895056461183	-0.141715762205707	-0.140872277345282	-0.13927810231599	-0.137485009864994	-0.139551000791405	-0.132261437677373	-0.0293866396991162	-0.138800481862634	-0.14012492398881	-0.130318970635597	-0.127741041689819	-0.138795066583923	-0.138962794722761	-0.14002175755702
eccentricity	-3.22307107076492	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497
subgraph_centrality	-0.0893274202022177	-0.0893274173893615	-0.0893273286532403	-0.0893268204536775	-0.089325717486472	-0.0893269393762406	-0.0893193001001761	-0.0882200243892166	-0.08932658224639	-0.0893271460567052	-0.0893156959163184	-0.0893098939815574	-0.0893265792850765	-0.0893266679173106	-0.0893271131935276
pc	-1.0058833769485	-1.0058833769485	-1.0058833769485	-1.0058833769485	0.619073503331543	-0.206099912435663	-0.570287025740614	0.938663360671939	-1.0058833769485	-1.0058833769485	0.872973015875301	1.38180836550381	1.27921223594531	-1.0058833769485	0.619073503331543
gilschmidt	2.55069778256174	-0.49933059792306	-0.259951084510319	-0.234742821698476	-0.138804810125939	-0.269685938159238	-0.125039615101897	0.231137406669969	-0.268238722194797	-0.224684179009954	-0.00899680067363438	-0.0439648821771947	-0.158753770593413	-0.227875165386315	-0.31090735023233
spl_n	-0.218192342086721	0.0728086040454023	1.12203243302294	1.0215662131054	0.545431950431673	0.738397310999107	0.459954642356678	-0.422770733451066	0.685463496203842	-0.113269959188976	-0.638016908919561	-0.195776491943838	-0.466252081318613	-0.333107332879501	-0.0302232854668088
degree_centrality_n	-0.159555396209448	-0.349900086551353	-0.540244776893258	-0.540244776893258	-0.540244776893258	-0.477152997510267	0.158042205091372	0.538731585775182	-0.477152997510267	-0.159555396209448	0.856329187076001	-0.41352654203081	-0.0959289407299908	4.41139055247861	0.348386895433277
average_neighbor_degree_n	0.112873861172421	0.82521685754211	-0.594269520198517	0.46124599145477	1.15279063702072	0.297459101715467	-0.418350280388665	0.271172325030734	1.04359937719451	0.5808364084843	0.966057749985237	0.873746294221394	0.716025597715908	-0.507192948210349	-0.545740083519234
betweenness_n	0.612131158861416	-0.240586861912389	-0.259264592921767	-0.259264592921767	-0.259264592921767	0.065868711732065	-0.241662421540349	0.594627603674144	-0.259216815930259	-0.170504534905282	1.43791869611534	-0.250317055764733	0.0368750104976606	1.7003287271264	-0.0115775825344958
eigenvector_n	-0.16223032711629	-0.172856193820409	-0.177609871030147	-0.177516661673093	-0.177143824244878	-0.177237033601932	-0.175186427746751	-0.157942696691821	-0.176864196173717	-0.169780285037638	-0.124294118795444	-0.168382144681833	-0.148621760986453	-0.148714970343507	-0.170525959894067
cluster_coefficient_n	-0.389560145444983	0.818445195841505	-0.590894368992731	-0.590894368992731	-0.590894368992731	-0.590894368992731	0.434079859977623	-0.204017587512868	-0.590894368992731	-0.188225921897235	0.445220700378478	-0.590894368992731	-0.590894368992731	-0.195675698286725	-0.309024764816714
harmonic_centrality_n	0.432213578014689	0.108451895894211	-0.807284750656368	-0.730362884000283	-0.356059793775425	-0.507332021594959	-0.263748405297458	0.72351803087146	-0.457586510394386	0.311968533487314	1.01989565079403	0.389031016702442	0.752639103032273	0.6585704881384	0.223218471571512
markovcent_n	0.207807529586613	0.0942647833633975	-1.06378533163974	-1.03654325245952	-1.03062772717853	-1.02918167013444	1.00234742024829	1.31234770380725	-0.546610435683624	0.628191322774184	1.50279392915826	-0.219214814933862	0.643759940879233	1.86865960448728	1.11072128048402
closeness_latora_n	0.432241319351969	0.108478021442232	-0.807263193434007	-0.730340942413067	-0.356035984104605	-0.507308966756793	-0.263724136164478	0.723547226709404	-0.457563209071211	0.311995675725857	1.01992632457109	0.389058542353155	0.752668443071392	0.658599359579788	0.223245170757479
closeness_residual_n	0.480355858999059	0.00796474949628617	-1.20588362033926	-1.11181664120753	-0.637744048420997	-0.831739176987854	-0.517042374074446	0.918387058657597	-0.764364543926398	0.301407603702914	1.37040819923705	0.414826053311789	0.966621607711863	0.786020694559676	0.167407798700765
communitycent_n	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.947953039903361	-0.51642647910199	0.0625142609698936	0.0625142609698936	-0.51642647910199
diffusion_degree_n	-0.137085753702267	-0.182735607941629	-0.487558828185109	-0.444854125832158	-0.416875182911259	-0.390368815933565	-0.12677772209983	0.568278123093035	-0.329993202262151	-0.00455391881379667	1.51514445457399	-0.2593095569883	0.111779580699416	1.74486630171401	-0.107634234838162
dmnc_n	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.05292051984288	-0.0852461362139246	-0.123265764231294	-0.123265764231294	-0.0170079568701045	-0.123265764231294	1.80572670124689	-0.0178122261375507	-0.0990689632820077
geokpath_n	0.348862696616976	-0.263412573739683	-1.02766070356434	-1.01012537362573	-0.820889938038168	-0.913681058963342	-0.790203110645591	0.872730678533115	-0.873495927854014	0.0748731663261085	1.55076343615958	0.276529460620187	1.07365633407975	0.610431368201324	-0.0836754418688735
lincent_n	0.426297734131647	0.105675945578451	-0.779783875419945	-0.709296978410534	-0.337838791262591	-0.496360520147429	-0.263758029135603	0.678414084876912	-0.454026360345954	0.305905526343096	0.971754950013713	0.400095501523609	0.735211450013239	0.564942620801238	0.214530354839795
semilocal_n	-0.202598641434963	-0.265001095791403	-0.419570355988394	-0.408414532086841	-0.388377259877158	-0.385366441931216	-0.261381609402686	0.198860013491261	-0.357586070791113	-0.175294518503902	0.657714708673999	-0.19376365636674	-0.00221430352815675	0.700024134932868	-0.243748809858165
coreness_n	-0.215698910844319	-0.215698910844319	-0.718373058047594	-0.718373058047594	-0.718373058047594	-0.718373058047594	0.454533285426713	0.789649383562229	-0.550815008979835	0.286975236358955	1.2923235307655	-0.383256959912077	0.286975236358955	1.45988157983326	0.119417187291197
hub_score_n	-0.161711695605825	-0.172297599359286	-0.176997287144697	-0.176963838716768	-0.176574463998255	-0.176660467257308	-0.174613489668343	-0.157383240729213	-0.176257969436522	-0.169256403318835	-0.123854115260421	-0.16784324379025	-0.148136036199499	-0.148214763592518	-0.169952060169189
eccentricity_n	0.186549824460118	0.186549824460118	0.950062541383136	0.950062541383136	0.186549824460118	0.950062541383136	0.950062541383136	-0.576962892462901	0.186549824460118	-0.576962892462901	-0.576962892462901	-0.576962892462901	0.186549824460118	0.186549824460118	0.186549824460118
subgraph_centrality_n	-0.0942061601087225	-0.0942256591202735	-0.0942277782727148	-0.0942277773842205	-0.0942277520411353	-0.0942277600331645	-0.0942272036368084	-0.094192294474949	-0.0942277111630339	-0.0942221230427584	-0.0939691726831052	-0.0942199398079409	-0.0941512764432994	-0.0941515077634709	-0.0942230922885293
pc_n	1.32667957645474	0.213058727577955	-1.09655939070115	-1.09655939070115	-1.09655939070115	0.649598100337655	-1.09655939070115	0.99451809856754	-1.09655939070115	0.47141876451737	0.778331828410457	1.23165059735059	1.19527231628728	-0.92309077278029	1.04539379830645
gilschmidt_n	-0.0293290143861528	-0.167996874525175	-0.560208948987577	-0.527263139456317	-0.366948279979812	-0.431738516972854	-0.32741110420362	0.0954373414050074	-0.410432402864838	-0.080830238275096	0.222376545310346	-0.0478242030623977	0.107909961938703	0.0676201619606339	-0.118842090420405
