SVIL	HAP1	PTCD3	NAP1L5	LUC7L2	MRPS21	MRPL32	MRPL4	MRPL55
spl	0.0821505907318997	-0.487878885822861	0.479845574374757	0.374036817258767	-0.542607553296655	0.320037865351298	0.0324083129612748	0.259349854085912	0.187229632281573
degree_centrality	-0.461515816800523	0.349908982169457	0.275932932120911	-0.534913928958064	0.275932932120911	0.128558769914825	3.15232981564911	0.644657306581628	1.82480648001232
average_neighbor_degree	-0.378897377602679	0.237320230214463	0.285248280071742	-0.584303246875059	0.165428175969129	0.487915390726767	0.871259147240731	0.556303467329356	0.715355722732429
betweenness	-0.249519723251089	0.402591244614871	-0.217269127263097	-0.250839860020807	0.591463392430744	-0.246554824403781	-0.232694033894801	-0.135642019380202	-0.233869676688015
eigenvector	-0.139728463021368	0.154802901216401	-0.122292635448094	-0.140443779024374	-0.0404783676042689	-0.126673945966506	-0.0366335440881111	-0.113887672412772	-0.081877281278248
cluster_coefficient	-0.559328249783801	-0.286188456289831	0.925549539644872	-0.559328249783801	-0.494766308049083	1.33442621380814	2.58542035871341	1.72780154530833	2.02306846152065
harmonic_centrality	0.12269291762475	0.915979975198286	-0.218044607027619	-0.171385859318357	0.960594923417731	-0.0885623676407949	0.254598554724725	-0.00957533042959975	0.0756471767074722
markovcent	-0.300934441941271	1.1586572923597	1.05038248538766	-0.991728924731218	1.03388878530815	0.947782214313553	1.43333473551049	1.19379255068502	1.35946031078079
closeness_latora	0.122721488573287	0.916009221949424	-0.218016326775534	-0.171357540015477	0.960624209672183	-0.0886124804628153	0.254627238529611	-0.00966462552325186	0.0755972056822991
closeness_residual	-0.0249867972336327	1.27003311371921	-0.508428113007378	-0.460997566234277	1.33297792305487	-0.334074918809009	0.168081972592918	-0.213589869842593	-0.0941889630320135
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.867572804804889	-0.463477648784388	0.126907633049567
diffusion_degree	-0.422887777849397	0.318266757723015	0.282434859056664	-0.466263234129716	0.216428729934439	0.246602960390313	4.16736703025047	0.81614156024494	2.28713529496881
dmnc	-0.214905655225139	-0.0421713591969668	-0.177510205552355	-0.214905655225139	-0.214905655225139	-0.102719306206787	-0.067223569875275	-0.0784384253872448	-0.102878537837121
geokpath	-0.353908483839997	1.49873145155902	-0.735857495281533	-0.710581457759667	1.56238962013261	-0.679688523010719	-0.194763062406024	-0.539266092333684	-0.435353493632678
lincent	0.157572999270589	0.854377134420364	-0.223545657707087	-0.128914161719451	0.933367775633317	-0.0788327892330409	0.210531811129764	-0.0210319832638229	0.0498359847446813
semilocal	-0.33832589375279	0.272075524758054	-0.199321996490298	-0.390866139109217	0.252783280704532	-0.203130967939904	0.839537662030294	-0.0641741919736957	0.332638170806796
coreness	-0.482484177479431	0.789372028005366	0.971065771646051	-0.664177921120116	0.0625970534426247	0.971065771646051	4.42324690081907	1.87953448984948	4.0598594135377
hub_score	-0.139200191329456	0.15525382886861	-0.130455799910673	-0.139927047550272	-0.0400424751008026	-0.13456391614106	-0.0925584112516699	-0.128406570415683	-0.114713418743934
eccentricity	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562
subgraph_centrality	-0.0893267847723332	-0.081602850323695	-0.0889664828027324	-0.0893270813660127	-0.0884198583546284	-0.0889966585874813	-0.0744392006082572	-0.0882716713903434	-0.0841348061841069
pc	0.82219311336655	1.4603973318789	-0.447304449352231	-1.0058833769485	0.060494575735282	-1.0058833769485	-1.0058833769485	-0.60104982892025	-1.0058833769485
gilschmidt	-0.203837611777296	0.117241207661992	-0.341749356643026	-0.32286447094636	0.135298877010234	-0.289373866065151	-0.150449489547055	-0.25742015873456	-0.222910904456541
spl_n	-0.704994388864598	-0.163232998664087	-0.0710039284978595	0.0264915160995482	-0.820314485382847	0.10116600482858	0.205683282000857	0.0391848288310545	0.56136610896699
degree_centrality_n	-0.159555396209448	-0.349900086551353	0.856329187076001	-0.349900086551353	1.30064502323927	0.919955642555458	0.792702731596544	1.42789793419818	0.665984496734096
average_neighbor_degree_n	2.0991148888478	-0.112008122632791	0.263435723904095	-0.403184815502663	-0.0907765009100583	0.556788343802697	0.413268007034696	0.427123722759082	0.368433420602498
betweenness_n	-0.108435849929851	-0.221399587453816	-0.0457900017960393	-0.233625534819335	2.26375464683372	-0.255792189630765	-0.251215510704934	-0.0717654906625771	-0.256443484452813
eigenvector_n	-0.0514044015794697	-0.166051910755491	-0.145639061560736	-0.172949403177463	-0.0308051336706074	-0.142749571492072	-0.149274226485829	-0.137343428782959	-0.156358137621909
cluster_coefficient_n	0.0131083016505133	0.113777527435848	1.71530187421349	-0.590894368992731	-0.483980353350825	2.73331254943044	1.97154543145607	1.82999122400992	1.81240264865221
harmonic_centrality_n	1.09709598988404	0.340863519048819	0.273321491369958	0.132698315487155	1.30998695666612	0.0872879723874583	-0.0208752181795057	0.166864980296374	-0.343408127194508
markovcent_n	0.652147997908382	-0.118101513927859	1.36767370573411	0.0190698715690624	1.60640315095532	1.3641603123752	1.31994774700149	1.48837606534598	1.26124055470085
closeness_latora_n	1.09712704963602	0.340890804250152	0.2733484413246	0.132724563450125	1.31001907767753	0.0873139940994255	-0.0208497360540193	0.166891398628851	-0.343384255756463
closeness_residual_n	1.50062226473176	0.340418015886245	0.237088465979955	0.036367404278041	1.81950836314072	-0.0337744698446959	-0.187548518263913	0.0791443390170033	-0.624080795680924
communitycent_n	0.0625142609698936	-0.51642647910199	0.0625142609698936	0.0625142609698936	0.0625142609698936	0.0625142609698936	-0.51642647910199	-0.51642647910199	0.0625142609698936
