TNNC2	ING3	TNNT1	TCAP	TNNT2	OBSCN
spl	0.154757289580458	0.70253044136254	-0.120345478921118	1.01642975413998	0.110123020774056	0.42183318685254
degree_centrality	-0.314141654594437	-0.461515816800523	-0.240165604545892	-0.461515816800523	-0.240165604545892	-0.461515816800523
average_neighbor_degree	-0.389167671066298	-0.707546768438488	-0.165275273559403	-0.769168529220202	-0.510357133937002	-0.563762659947821
betweenness	-0.103254548577036	-0.250698463757748	-0.167701492983086	-0.250439548990143	-0.160882092525381	-0.240353506226189
eigenvector	-0.139549634020616	-0.142142654531513	-0.138029587514228	-0.142232069031889	-0.140622608025125	-0.141963825530762
cluster_coefficient	0.860987597910154	-0.559328249783801	0.292862111022933	-0.559328249783801	-0.133233069380434	-0.559328249783801
harmonic_centrality	0.0544075230779619	-0.444124985482379	0.370428830459114	-0.682878759157784	0.104778425923461	-0.214772799678382
markovcent	0.0946931328134089	-0.403169451460962	0.513564410890736	-0.459402441864956	0.393512452269078	-0.352525248139314
closeness_latora	0.0544360353373362	-0.444096897187706	0.370457611879414	-0.682850873760305	0.104728478608314	-0.21474451513077
closeness_residual	-0.126952653642279	-0.830601265466105	0.365863936109361	-1.13449061603365	-0.0504708633434158	-0.524426607798351
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.356881648727172	-0.453062008305271	-0.272016625570025	-0.458719676515747	-0.351223980516695	-0.439860782480826
dmnc	-0.214905655225139	-0.214905655225139	0.0643656176745642	-0.214905655225139	-0.214905655225139	-0.214905655225139
geokpath	-0.450331886238228	-0.910917458858904	0.128208528151157	-0.982064823735269	-0.399779811194496	-0.783601121711725
lincent	0.0825478373285977	-0.40879346864079	0.381652515461621	-0.641987413153364	0.128354917633773	-0.172222363986217
semilocal	-0.33882066736377	-0.391663274371351	-0.278214826793434	-0.400702709708458	-0.334049636115036	-0.383845065962932
coreness	-0.300790433838746	-0.482484177479431	-0.119096690198061	-0.482484177479431	-0.119096690198061	-0.482484177479431
hub_score	-0.139053349836236	-0.141646137484749	-0.137566603821216	-0.141699929708975	-0.140093661102268	-0.14144144609092
eccentricity	0.415385918927497	0.415385918927497	-0.104393651028562	0.935165488883556	0.415385918927497	0.415385918927497
subgraph_centrality	-0.089326713682006	-0.0893274147784371	-0.0893257797306605	-0.0893274168712524	-0.0893271362029583	-0.0893274021996087
pc	0.365173990787788	-1.0058833769485	1.04156229220436	-1.0058833769485	0.164085576853133	-1.0058833769485
gilschmidt	-0.23147577103201	-0.433254216219213	-0.103567787025243	-0.529888566794792	-0.211120182973911	-0.340425108988458
spl_n	1.31472772310671	-0.0892336861441814	0.675740958792466	0.0597101855884032	0.706258923444837	-0.169579655029852
degree_centrality_n	-0.540244776893258	-0.0323024852505337	-0.477152997510267	-0.349900086551353	-0.540244776893258	-0.349900086551353
average_neighbor_degree_n	-0.994637472894591	-0.307136944018828	-0.75805640993782	-0.184802295850259	-0.485078260372315	0.443047448150403
betweenness_n	-0.259264592921767	-0.24257736940429	-0.256542057975941	-0.0409921360842497	-0.259264592921767	-0.232893654332333
eigenvector_n	-0.177609871030147	-0.164840189113793	-0.177143824244878	-0.170898797322282	-0.177237033601932	-0.152256925911547
cluster_coefficient_n	-0.590894368992731	0.935891216583422	-0.590894368992731	0.113777527435848	-0.590894368992731	0.818445195841505
harmonic_centrality_n	-0.951329555998342	0.285513631419884	-0.485262832234919	0.104156248191317	-0.513352728648148	0.357516734777909
markovcent_n	-1.15270922743057	0.81654903271887	-0.670355846153362	-0.294855336718824	-1.06145127316562	0.0786027079133073
closeness_latora_n	-0.95130871773013	0.285424840459763	-0.485239669006982	0.104182352526125	-0.513329704255598	0.35754410351414
closeness_residual_n	-1.38346747205658	0.264760876592761	-0.818825385368545	-0.00356542159238291	-0.856106271888575	0.367859823077277
communitycent_n	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	1.05498410109312
diffusion_degree_n	-0.503757163560367	-0.182735607941629	-0.475778220639468	-0.346191537637408	-0.483141100355494	-0.244583797556248
dmnc_n	-0.123265764231294	-0.0933334526497168	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294
geokpath_n	-1.11899054699463	0.118711491172647	-0.945098525103361	-0.278025348688529	-0.96701768752663	0.241458800742956
lincent_n	-0.908282461520934	0.279113075831613	-0.446158426860823	0.119247735368094	-0.470758286937655	0.369809289503827
semilocal_n	-0.427294869622851	-0.213645276722736	-0.416329545004915	-0.351020814992323	-0.418882700037778	-0.211296559945462
coreness_n	-0.718373058047594	0.286975236358955	-0.550815008979835	-0.383256959912077	-0.718373058047594	-0.215698910844319
hub_score_n	-0.177019238712787	-0.164303377980897	-0.176568407321429	-0.17035091304194	-0.176648292898449	-0.151682484971227
eccentricity_n	0.950062541383136	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118
subgraph_centrality_n	-0.0942277787470957	-0.0942127436123753	-0.0942277515406594	-0.094223582843419	-0.0942277590549448	-0.0941688916796376
pc_n	-1.09655939070115	0.110660603103457	0.649598100337655	1.08613747309735	-1.09655939070115	1.08613747309735
gilschmidt_n	-0.621903664681736	-0.0922105302731344	-0.42228623404427	-0.169836710047955	-0.434317199580826	-0.0613218410760398
