HAP1	LUC7L2	MRPL32	MRPL4	MRPL55	MRPS21	MRPS5	MTIF2	NAP1L5	PTCD3	SVIL	MRPL41	if_health
spl	-0.487878885822861	-0.542607553296655	0.0324083129612748	0.259349854085912	0.187229632281573	0.320037865351298	0.0344758403991708	0.0533268258623657	0.374036817258767	0.479845574374757	0.0821505907318997	0.245242019803782	1
degree_centrality	0.349908982169457	0.275932932120911	3.15232981564911	0.644657306581628	1.82480648001232	0.128558769914825	3.22630586569765	-0.0927914423398056	-0.534913928958064	0.275932932120911	-0.461515816800523	1.67743231780624	1
average_neighbor_degree	0.237320230214463	0.165428175969129	0.871259147240731	0.556303467329356	0.715355722732429	0.487915390726767	0.728714252359385	0.507282247435809	-0.584303246875059	0.285248280071742	-0.378897377602679	1.0244885159805	1
betweenness	0.402591244614871	0.591463392430744	-0.232694033894801	-0.135642019380202	-0.233869676688015	-0.246554824403781	-0.213592110971168	-0.199445993395216	-0.250839860020807	-0.217269127263097	-0.249519723251089	-0.248113535110773	1
eigenvector	0.154802901216401	-0.0404783676042689	-0.0366335440881111	-0.113887672412772	-0.081877281278248	-0.126673945966506	-0.0460220666275663	-0.129803453479658	-0.140443779024374	-0.122292635448094	-0.139728463021368	-0.076154753254199	1
cluster_coefficient	-0.286188456289831	-0.494766308049083	2.58542035871341	1.72780154530833	2.02306846152065	1.33442621380814	2.1656228650764	1.06388986186643	-0.559328249783801	0.925549539644872	-0.559328249783801	3.12433276003217	1
harmonic_centrality	0.915979975198286	0.960594923417731	0.254598554724725	-0.00957533042959975	0.0756471767074722	-0.0885623676407949	0.254589209724972	0.19350077441836	-0.171385859318357	-0.218044607027619	0.12269291762475	0.0142363200686578	1
markovcent	1.1586572923597	1.03388878530815	1.43333473551049	1.19379255068502	1.35946031078079	0.947782214313553	1.43623487994242	0.759396056348818	-0.991728924731218	1.05038248538766	-0.300934441941271	1.3471260828906	1
closeness_latora	0.916009221949424	0.960624209672183	0.254627238529611	-0.00966462552325186	0.0755972056822991	-0.0886124804628153	0.254617892923766	0.193529405785668	-0.171357540015477	-0.218016326775534	0.122721488573287	0.0141862951427089	1
closeness_residual	1.27003311371921	1.33297792305487	0.168081972592918	-0.213589869842593	-0.0941889630320135	-0.334074918809009	0.168372511929966	0.0981373173776368	-0.460997566234277	-0.508428113007378	-0.0249867972336327	-0.185536682743171	1
communitycent	-0.463477648784388	-0.463477648784388	0.867572804804889	-0.463477648784388	0.126907633049567	-0.463477648784388	1.79714786602663	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.569696594425033	1
diffusion_degree	0.318266757723015	0.216428729934439	4.16736703025047	0.81614156024494	2.28713529496881	0.246602960390313	3.91842962898951	0.0316115683922094	-0.466263234129716	0.282434859056664	-0.422887777849397	2.55870336907168	1
dmnc	-0.0421713591969668	-0.214905655225139	-0.067223569875275	-0.0784384253872448	-0.102878537837121	-0.102719306206787	-0.0695529861454275	-0.127143723936473	-0.214905655225139	-0.177510205552355	-0.214905655225139	-0.113159680589316	1
geokpath	1.49873145155902	1.56238962013261	-0.194763062406024	-0.539266092333684	-0.435353493632678	-0.679688523010719	-0.196635361481718	-0.182593118414014	-0.710581457759667	-0.735857495281533	-0.353908483839997	-0.519606952038899	1
lincent	0.854377134420364	0.933367775633317	0.210531811129764	-0.0210319832638229	0.0498359847446813	-0.0788327892330409	0.208304575282327	0.18810223600722	-0.128914161719451	-0.223545657707087	0.157572999270589	-0.00735856548514559	1
semilocal	0.272075524758054	0.252783280704532	0.839537662030294	-0.0641741919736957	0.332638170806796	-0.203130967939904	0.776457953405059	-0.22918119123546	-0.390866139109217	-0.199321996490298	-0.33832589375279	0.399346219245882	1
coreness	0.789372028005366	0.0625970534426247	4.42324690081907	1.87953448984948	4.0598594135377	0.971065771646051	4.42324690081907	0.425984540723995	-0.664177921120116	0.971065771646051	-0.482484177479431	4.42324690081907	1
