HAP1	LUC7L2	MRPL32	MRPL4	MRPL55	MRPS21	MRPS5	MTIF2	NAP1L5	PTCD3	SVIL	MRPL41	if_health
hub_score	0.15525382886861	-0.0400424751008026	-0.0925584112516699	-0.128406570415683	-0.114713418743934	-0.13456391614106	-0.0988678346278943	-0.134619416443072	-0.139927047550272	-0.130455799910673	-0.139200191329456	-0.112331334781834	1
eccentricity	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	1
subgraph_centrality	-0.081602850323695	-0.0884198583546284	-0.0744392006082572	-0.0882716713903434	-0.0841348061841069	-0.0889966585874813	-0.0760495041385133	-0.0891917245603127	-0.0893270813660127	-0.0889664828027324	-0.0893267847723332	-0.0830321370538498	1
pc	1.4603973318789	0.060494575735282	-1.0058833769485	-0.60104982892025	-1.0058833769485	-1.0058833769485	-1.0058833769485	-0.11049897352888	-1.0058833769485	-0.447304449352231	0.82219311336655	-1.0058833769485	1
gilschmidt	0.117241207661992	0.135298877010234	-0.150449489547055	-0.25742015873456	-0.222910904456541	-0.289373866065151	-0.150453272129292	-0.175178499189298	-0.32286447094636	-0.341749356643026	-0.203837611777296	-0.247766630603754	1
spl_n	-0.163232998664087	-0.820314485382847	0.205683282000857	0.0391848288310545	0.56136610896699	0.10116600482858	0.231880118914832	0.00475084216576855	0.0264915160995482	-0.0710039284978595	-0.704994388864598	0.349090708818638	0
degree_centrality_n	-0.349900086551353	1.30064502323927	0.792702731596544	1.42789793419818	0.665984496734096	0.919955642555458	0.856329187076001	-0.159555396209448	-0.349900086551353	0.856329187076001	-0.159555396209448	0.538731585775182	0
average_neighbor_degree_n	-0.112008122632791	-0.0907765009100583	0.413268007034696	0.427123722759082	0.368433420602498	0.556788343802697	0.0893627263124705	0.497643078063504	-0.403184815502663	0.263435723904095	2.0991148888478	0.511797504677688	0
betweenness_n	-0.221399587453816	2.26375464683372	-0.251215510704934	-0.0717654906625771	-0.256443484452813	-0.255792189630765	-0.18838744651075	-0.221443577065066	-0.233625534819335	-0.0457900017960393	-0.108435849929851	-0.257179238356753	0
eigenvector_n	-0.166051910755491	-0.0308051336706074	-0.149274226485829	-0.137343428782959	-0.156358137621909	-0.142749571492072	-0.131005192503309	-0.163442048757988	-0.172949403177463	-0.145639061560736	-0.0514044015794697	-0.15486678790905	0
cluster_coefficient_n	0.113777527435848	-0.483980353350825	1.97154543145607	1.82999122400992	1.81240264865221	2.73331254943044	1.03012539148067	0.818445195841505	-0.590894368992731	1.71530187421349	0.0131083016505133	2.36595654978388	0
harmonic_centrality_n	0.340863519048819	1.30998695666612	-0.0208752181795057	0.166864980296374	-0.343408127194508	0.0872879723874583	-0.0354605679931513	0.165569117007545	0.132698315487155	0.273321491369958	1.09709598988404	-0.158639223891275	0
markovcent_n	-0.118101513927859	1.60640315095532	1.31994774700149	1.48837606534598	1.26124055470085	1.3641603123752	1.34185489432997	0.569695359937586	0.0190698715690624	1.36767370573411	0.652147997908382	1.21318434544335	0
closeness_latora_n	0.340890804250152	1.31001907767753	-0.0208497360540193	0.166891398628851	-0.343384255756463	0.0873139940994255	-0.0354351587537858	0.165595529315247	0.132724563450125	0.2733484413246	1.09712704963602	-0.158614429932349	0
closeness_residual_n	0.340418015886245	1.81950836314072	-0.187548518263913	0.0791443390170033	-0.624080795680924	-0.0337744698446959	-0.203537022173534	0.082987729379893	0.036367404278041	0.237088465979955	1.50062226473176	-0.375336571394703	0
communitycent_n	-0.51642647910199	0.0625142609698936	-0.51642647910199	-0.51642647910199	0.0625142609698936	0.0625142609698936	0.0625142609698936	-0.51642647910199	0.0625142609698936	0.0625142609698936	0.0625142609698936	0.0625142609698936	0
diffusion_degree_n	-0.334410930091766	0.849540128245232	0.934949532951135	1.61086189088233	0.76707587542574	1.2059035065009	0.699337382038299	-0.0281151339050802	-0.381533360274333	0.861320735790874	0.425438256602128	0.743514660334456	0
dmnc_n	-0.123265764231294	0.0242596338728878	-0.0265510156044651	0.00141128015731955	-0.01310438510564	-0.0109564890876745	-0.023208261164919	-0.0990689632820077	-0.123265764231294	-0.0325446284807555	-0.123265764231294	-0.0305450649819874	0
geokpath_n	0.196889837148975	2.16449998401113	-0.517674857849608	-0.204961473944298	-0.814314189311187	-0.323324951029952	-0.496486334173781	-0.204961473944298	-0.185964866510797	0.0251897315000312	1.85178660010581	-0.651381748631551	0
lincent_n	0.362525675842992	1.2462939204307	-0.0278225380671897	0.140668867513553	-0.351377364395399	0.076552583348921	-0.0532766450996593	0.177034155838646	0.154011175637316	0.258982413954146	1.06963946747526	-0.163866877266018	0
semilocal_n	-0.305145335070629	0.590956325576324	-0.0650209880717833	0.0995262528951309	-0.122217236396699	0.0189543485732498	-0.111725836825808	-0.266325298128739	-0.355943595260417	-0.0506940480466106	0.426116366197998	-0.116374483978455	0
coreness_n	-0.383256959912077	0.789649383562229	2.46522987423981	3.47057816864636	2.13011377610429	2.96790402144308	2.13011377610429	0.286975236358955	-0.215698910844319	2.13011377610429	0.286975236358955	2.13011377610429	0
hub_score_n	-0.165461750873788	-0.0307457157042845	-0.14894410434562	-0.137189598090884	-0.156005067881246	-0.142525700057105	-0.130627989459332	-0.162923207879917	-0.172371546113743	-0.145269135372534	-0.0511806976194995	-0.154550826848194	0
eccentricity_n	0.186549824460118	-0.576962892462901	0.186549824460118	0.186549824460118	0.950062541383136	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	0.186549824460118	0
subgraph_centrality_n	-0.0942154015159523	-0.0922748476606308	-0.0940314236907417	-0.0938188026599785	-0.0940840440279339	-0.0939478623490635	-0.0939494618902134	-0.0941997883805483	-0.094225717413601	-0.0940383948016989	-0.0927823329064086	-0.0940882729846966	0
pc_n	0.213058727577955	1.72057469484145	-1.09655939070115	-0.885110632020665	-1.09655939070115	-1.09655939070115	-0.806083286331742	-0.241298578763772	1.08613747309735	-0.528810641251857	0.899049170486053	-1.09655939070115	0
gilschmidt_n	-0.068454451189974	0.346623306987265	-0.223387968896768	-0.142978417923531	-0.361529543179112	-0.177061430027599	-0.229634907225039	-0.143533438909219	-0.157612077614269	-0.0973828535014443	0.255441625308771	-0.282392604153907	0
