PPFIA2	TMF1	FER	RAB6B	UNC13B	COG5
spl	0.788393639665861	0.679666020284606	-0.236978350270816	0.0252327765591571	0.810771583699592	0.447373231673642
degree_centrality	-0.534913928958064	-0.534913928958064	-0.387539766751978	0.0551606577572846	-0.534913928958064	-0.240165604545892
average_neighbor_degree	-0.707546768438488	-0.954033811565344	0.497500984265753	-0.506705469474252	-0.830790290001916	-0.452843490540736
betweenness	-0.250839860020807	-0.250839860020807	-0.0980536799594307	-0.07930026497517	-0.250839860020807	-0.236583049626549
eigenvector	-0.142321483532265	-0.142142654531513	-0.129177551977028	-0.14053319352475	-0.142142654531513	-0.141874411030386
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.269188262799722	-0.559328249783801	0.7189572914263
harmonic_centrality	-0.524045648930232	-0.443524997874753	0.500480299969498	0.206539837501062	-0.53640146488508	-0.215255030397739
markovcent	-1.05918473434009	-1.23418765878508	-0.253114112748258	0.925434699221774	-1.07169422278318	0.51720126011781
closeness_latora	-0.524096132784348	-0.443575412381793	0.500391439003338	0.206568480014632	-0.536373455177218	-0.215226748392144
closeness_residual	-0.943279414838877	-0.842303544319431	0.570365966884564	0.105785496407523	-0.954712675787529	-0.513213941531532
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.471920902340192	-0.483236238761145	-0.268244846763041	-0.238070616307167	-0.477578570550669	-0.33802275469225
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.127143723936473	-0.214905655225139	-0.214905655225139
geokpath	-0.958661085289096	-0.934321197305077	0.409053389505228	-0.250932034676838	-0.955852636675555	-0.693730766078423
lincent	-0.475618682884424	-0.39058517439147	0.52166350512058	0.218279381100751	-0.492642996140557	-0.194982516072222
semilocal	-0.400926535865806	-0.399815258628446	-0.221496493166512	-0.317133090749155	-0.400502444199252	-0.356707126078159
coreness	-0.664177921120116	-0.664177921120116	-0.482484177479431	0.0625970534426247	-0.664177921120116	0.0625970534426247
hub_score	-0.141793647751035	-0.141639901279826	-0.12868972302757	-0.139995541462659	-0.141653216720036	-0.141365677367577
eccentricity	0.415385918927497	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497
subgraph_centrality	-0.0893274193024328	-0.0893274145066018	-0.0893121646310969	-0.0893271042205613	-0.0893274150855631	-0.0893273956823273
pc	-1.0058833769485	-1.0058833769485	1.43155194347157	0.257971974380424	-1.0058833769485	0.749070053753948
gilschmidt	-0.465633464051628	-0.433043148130303	-0.0509777896473206	-0.16990100606307	-0.470602642338309	-0.340620290231962
spl_n	-0.173495677042767	-0.359709275518956	-0.748745807215779	0.481965386774093	0.237821669555127	-0.208604839917179
degree_centrality_n	-0.159555396209448	-0.223181851688905	0.158042205091372	-0.349900086551353	-0.223181851688905	0.221668660570829
average_neighbor_degree_n	-0.162704059495372	0.261062015106733	1.05876484208052	-0.867247669764022	-0.570004783660332	-0.135106259750993
betweenness_n	-0.204088111782177	-0.119634276797893	-0.103407251369822	-0.245175407390113	-0.245481540719757	-0.0615089372291523
eigenvector_n	-0.159061208976465	-0.155705672122533	-0.0826295361924511	-0.176864196173717	-0.17211051896398	-0.139766872066354
cluster_coefficient_n	0.818445195841505	-0.0271593886636208	0.370021084678437	-0.590894368992731	0.254710215512395	1.90255678142922
harmonic_centrality_n	0.373828063397896	0.594692722094859	1.15873494761559	-0.312960865907361	-0.0774630665263624	0.417424196966828
markovcent_n	0.544025349939589	0.432321404849332	1.10351748375588	-0.126838170127209	0.386112302588568	1.09181518874496
closeness_latora_n	0.373855513852862	0.594721273926082	1.15876631426283	-0.312936841224609	-0.0774378675265932	0.41745186616452
closeness_residual_n	0.393610538508638	0.72491078778973	1.59270989782659	-0.58851021787238	-0.264108854292675	0.453721163784233
communitycent_n	-0.51642647910199	-0.51642647910199	0.0625142609698936	-0.51642647910199	0.0625142609698936	-0.51642647910199
diffusion_degree_n	-0.215132278692143	-0.154756665020729	0.590366762241113	-0.4566347333778	-0.356499569239845	0.0543491189144122
dmnc_n	-0.0858558417022882	-0.123265764231294	-0.0717143547046969	-0.123265764231294	-0.123265764231294	-0.0776422106104507
geokpath_n	0.272876266882975	0.779939557607941	2.01179648579568	-0.817236744300956	-0.568088931423127	0.329866089183476
lincent_n	0.374313843556617	0.598107932410841	1.1354165069339	-0.283072151247289	-0.0590114238158762	0.41505804859335
semilocal_n	-0.230241946017342	-0.0718278527180872	0.640586035282464	-0.403482459170764	-0.342060379176352	-0.155475623521779
coreness_n	-0.0481408617765611	-0.0481408617765611	0.789649383562229	-0.383256959912077	-0.0481408617765611	0.622091334494471
hub_score_n	-0.158529100335426	-0.155289814203389	-0.082285116042969	-0.176290056398691	-0.171511610813676	-0.139147877941743
eccentricity_n	0.186549824460118	0.186549824460118	-0.576962892462901	0.950062541383136	0.186549824460118	0.186549824460118
subgraph_centrality_n	-0.0941962816824686	-0.0941839998880019	-0.09340875163073	-0.0942277161723543	-0.0942249128351832	-0.0940965965314982
pc_n	0.328875295861139	1.03763309834628	1.03763309834628	-1.09655939070115	-0.126471895679589	0.887240835804475
gilschmidt_n	-0.0543356620306615	0.040261170053392	0.281841729896097	-0.348488911806897	-0.247624672535603	-0.0356633389972694
