ARL15	CDC34	CUL2	DERL1	DERL2	DET1	EPAS1	FBXW11	FBXW7	GLI2	HECTD2	HERC6	HMGA1	KLHL12	RBPJ	RNF111	RNF19A	RNF217	SEL1L	SUFU	TFE3	TRIM11	TRIM4	TRIM41	UBE2E2	UBE2U	UBR1	UBR5	UBXN1	GRIPAP1	B4GALT3	GANAB	HERC4	UBR2	ASB7	RBBP6	KCTD5	TIMM13	MRM3	PFKFB3	HIF3A	NGLY1	SYVN1	BBS1	ZNF764	UBOX5	PAIP1	if_health
spl	0.230890946999545	-0.0664681462747021	-0.379151266441607	-0.191127888853887	-0.322841548574127	-0.178601104965441	0.293281627919669	-0.113048323257947	-0.436433938397508	0.141135932342538	-0.242207978496082	-0.404083214957446	-0.608160335004149	-0.119859001876908	-0.515243219559763	-0.170939091519112	-0.268842596666658	0.0496782480307849	0.380239399572463	-0.343395203692069	-0.234181107266595	-0.284409862081431	-0.0631844262262701	-0.0179420611146038	-0.106602502422146	0.0602591237423785	-0.161939266201195	-0.358232753540516	-0.236127015443438	0.300335545060734	0.427306053599919	0.12800105214883	0.083245164081374	-0.130926354632711	-0.423907154509062	0.116082364565647	0.970700911984104	0.183824292972089	-3.99939181020214	-0.341327676254164	-0.271396601148774	0.304713838458631	1.29688377012788	0.844095261228077	0.200607750997388	0.643788338274016	0.558411617014906	1
degree_centrality	-0.314141654594437	0.349908982169457	0.571259194424088	0.0551606577572846	-0.166189554497346	0.202534819963371	-0.387539766751978	-0.387539766751978	0.792609406678719	-0.387539766751978	0.128558769914825	-0.0927914423398056	0.423885032218002	-0.240165604545892	0.423885032218002	0.128558769914825	-0.166189554497346	-0.314141654594437	-0.0188153922912605	0.497283144375542	-0.314141654594437	0.128558769914825	0.0551606577572846	-0.240165604545892	0.202534819963371	-0.314141654594437	0.202534819963371	-0.240165604545892	0.423885032218002	-0.461515816800523	-0.387539766751978	-0.387539766751978	-0.240165604545892	0.202534819963371	-0.240165604545892	-0.461515816800523	-0.534913928958064	-0.387539766751978	-0.461515816800523	-0.387539766751978	-0.387539766751978	-0.387539766751978	-0.534913928958064	-0.387539766751978	-0.387539766751978	-0.461515816800523	-0.534913928958064	1
average_neighbor_degree	-0.697276474974869	-0.574822985465836	0.165428175969129	-0.310428740818161	0.422185512559605	0.386706331896621	-0.803402827071874	0.209932767284421	-0.0394371472176738	-0.652771883659577	0.672780673071909	1.68103004837445	0.557166500629691	-0.189923977872089	0.149289149252182	0.356455634392443	0.456419810411277	0.165428175969129	-0.866736317124582	-0.461059725311631	0.298941990996177	0.70564561215549	0.214497337592565	0.656348203530119	-0.479732967481314	-0.163221214866679	-0.259388504473187	0.574185855821167	-0.499206511998856	-0.481600312238869	-0.680159305508445	-0.556915783945017	0.278401404068939	0.0655262379286851	2.38997374018901	0.545429034123033	-0.78970911614744	-0.474753436236065	-1.0361961592743	1.56561150448213	1.79840483668455	-0.597996957799493	-0.748627942292964	-0.912952637710868	0.223626519290028	-0.769168529220202	-0.871871463856392	1
betweenness	-0.211895168507767	-0.188403976480282	-0.0333050460300018	-0.071050222823246	0.0802956047943756	-0.236287564728071	-0.235471953531857	-0.248987911078067	0.395182839524711	-0.101346596086079	-0.2439125508844	-0.247970766896112	0.268152814287088	-0.163974705988117	0.215378425118314	-0.229168695420448	-0.224736471299408	-0.250454295101879	-0.0976467729187793	1.45078649732905	-0.218320141999296	-0.227007849687688	-0.230735871446929	-0.249697823661975	-0.136373926694388	-0.248408057329927	-0.105720243564688	-0.0838956286511943	-0.0549217072970535	-0.242446067345954	-0.100496105705391	-0.225665882871202	-0.25007862945254	-0.15342408893066	-0.241651414264354	-0.250630498433103	-0.250839860020807	-0.11139718899757	-0.250820289787965	-0.232743654435445	-0.235012186940035	-0.250500928207338	-0.250839860020807	-0.128318522935174	-0.166937570490151	-0.249854841706838	-0.250839860020807	1
eigenvector	-0.141695582029635	-0.103694419369935	-0.0230425400309948	0.0679814213515336	0.135131711133733	-0.0577353661767915	-0.137582515012349	-0.115675962420287	-0.0433396316162934	-0.140980266026628	-0.0611331171910706	0.376997934650176	-0.101011984358662	-0.139102561518737	-0.0975248188440068	-0.077317141759084	-0.102263787363922	-0.107986315387971	-0.131055256484919	-0.108522802390226	-0.12658453146613	-0.0686439352226348	-0.0838444002865148	-0.100564911856783	-0.113887672412772	-0.116838350925172	-0.0938588243286005	-0.10378383387031	-0.11308294190939	-0.13946021952024	-0.141963825530762	-0.126852774967258	-0.105125051375947	-0.0705216397305259	0.347938222028053	-0.12068317444133	-0.142321483532265	-0.139728463021368	-0.142410898032641	-0.0483468436373362	0.0985611804800451	-0.135436567003331	-0.142232069031889	-0.138119002014604	-0.13946021952024	-0.141516753028883	-0.141695582029635	1
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.417297943299947	0.269188262799722	1.14505247182967	-0.481855624082861	-0.559328249783801	-0.559328249783801	-0.459656065183846	-0.559328249783801	-0.275263375864288	1.06388986186643	-0.137915855413067	-0.559328249783801	-0.137915855413067	-0.369954507805329	-0.559328249783801	-0.559328249783801	0.962440860364196	-0.518746944802184	-0.559328249783801	-0.180576504875052	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.404382998381921	-0.133233069380434	-0.418857451660223	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.326914633632785	0.292862111022933	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.860987597910154	2.28130770655591	-0.559328249783801	0.860987597910154	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	-0.0243384847343632	0.308675922807417	0.747474170837593	0.475506993936176	0.645933315855723	0.466509052118865	-0.0879324750919233	0.358941221032472	0.82164550923961	0.0697950495990816	0.548090513727196	0.769665292870628	1.08683152286768	0.370204533979409	0.934157163132549	0.453642968090309	0.575221718682805	0.181810365779589	-0.157917835312015	0.681654994262399	0.515007097375269	0.607766829606676	0.322301803830754	0.263069403700628	0.369218575273116	0.17259755962068	0.442217973459139	0.685796030249191	0.535431901410646	-0.0960826855392563	-0.203980502509063	0.0794985836444621	0.150277383329465	0.409299973965238	0.794634861375068	0.111443622177443	-0.652232673235372	0.0308098867335728	-4.0144686836112	0.642504416893954	0.585805609169125	-0.08576794894451	-0.867585069691743	-0.554873039152287	0.0254697280743489	-0.390031729958071	-0.3333974069707	1
markovcent	0.0967852917689842	1.15706194857069	1.29547842307747	0.871373985715454	0.334198332515622	1.13270613087439	-0.086196528714926	0.115880086871116	1.31971858243476	-0.328468049903765	1.08514834000987	0.861400567217542	1.23824484580106	0.544211748530001	1.21642380559555	1.08153609857834	0.737921367533101	0.396732910727181	0.408359461948794	1.0840021491546	0.383508459307196	1.08694194964405	1.0061157977781	0.599210393108704	1.0728512497034	0.299941535506116	1.06345115648559	0.39793390676365	1.17627400637299	-0.424067637809137	-0.434631215117141	-0.0140547460484181	0.590308592504357	1.09838379835754	0.607897091123159	-0.263147220493249	-1.04763648632211	-0.180504819120402	-2.06315679563459	0.137405471092609	0.124567805544275	0.02625166607212	-1.09258231074671	-0.491566241647663	0.103767651314829	-0.431043987038486	-1.0944967379272	1
closeness_latora	-0.0243100394760946	0.308704652166027	0.747503275839307	0.475535865709523	0.645962333819905	0.466537916406118	-0.0879825866291556	0.358969993180063	0.821674676593756	0.0698235753539918	0.548119448031634	0.769694416907971	1.08686091512557	0.370233317339233	0.934186425309533	0.453671820845286	0.575250676347676	0.181838987439576	-0.157889502478433	0.681684043024665	0.515036003355675	0.607795814127192	0.322330545481732	0.263098095663577	0.369247355923045	0.172626174161898	0.442246817705073	0.685825080972679	0.535460824920453	-0.0960543014336738	-0.203952209505968	0.0795271178983595	0.1503059787726	0.409328790252475	0.794664006593059	0.111472182822871	-0.652204763087613	0.0308383805896581	-4.01444364036533	0.642415676403354	0.585834574962212	-0.0857395562673355	-0.86755734263518	-0.554845045121308	0.0253804618186711	-0.39000359602135	-0.333369224626914	1
closeness_residual	-0.244739453024814	0.261786289149022	0.983270788052744	0.538670277355854	0.817663365935332	0.525875785809551	-0.33797029806869	0.349749763619379	1.10200453045973	-0.100309120363351	0.657242609020037	1.0239247738071	1.55414292284559	0.36560029856278	1.29264137842803	0.503988489085261	0.70547213897002	0.075356881209829	-0.436099959156684	0.870450059190495	0.601711933137197	0.756607062290484	0.295402766517105	0.203129625213868	0.365820893244613	0.0630977352938275	0.484683764245844	0.882308368428532	0.632342311763397	-0.35050384224746	-0.49878382112481	-0.0888059147594836	0.0282464657432901	0.434861648300189	1.06662329563699	-0.0283764228325271	-1.09719531881915	-0.156845923209672	-2.25221831217956	0.802571461483111	0.72593902115763	-0.326372936198187	-1.34553650734005	-0.97460924001723	-0.16085159981027	-0.752887373163834	-0.686332343547447	1
communitycent	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	0.126907633049567	0.126907633049567	0.422100273966544	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	0.126907633049567	-0.463477648784388	0.126907633049567	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	1
diffusion_degree	-0.413458330831936	-0.166406818974465	0.452164905370957	-0.156977371957005	-0.0664546805893819	0.269233633232219	-0.447404340094794	-0.307848524236376	0.450279015967465	-0.426659556656381	0.33146798354746	0.408789449090638	0.586063053018899	-0.277674293780502	0.323924425933491	0.186254499478565	-0.0570252335719212	-0.255043620938596	-0.398371215603999	-0.0381663395369998	-0.230527058693198	0.346555098775397	0.0598999094445915	-0.0834276852208112	-0.168292708377958	-0.315392081850345	-0.0570252335719212	-0.102286579255733	-0.0928571322382719	-0.432317224866857	-0.430431335463365	-0.413458330831936	-0.17017859778145	0.107047144531895	0.314494978916031	-0.33802275469225	-0.475692681147176	-0.402142994410983	-0.483236238761145	-0.121145473290654	-0.0890853534312876	-0.419115999042412	-0.473806791743684	-0.462491455322731	-0.305962634832884	-0.458719676515747	-0.479464459954161	1
dmnc	-0.214905655225139	6.78156071925399	-0.214905655225139	-0.127143723936473	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.0421713591969668	-0.127143723936473	-0.125726415657563	1.53421093839464	-0.160623325138632	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.147062656942307	0.334760082719393	-0.214905655225139	-0.095907877060657	3.28332753201443	1.53421093839464	5.03244412563421	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1
