HAUS6	KIF2B	RAB10	TPX2
spl	-0.00456394239878946	0.560600763713855	0.206810333311084	-0.537986021376644
degree_centrality	-0.240165604545892	-0.534913928958064	-0.387539766751978	0.128558769914825
average_neighbor_degree	0.245536464985358	-0.707546768438488	-0.461059725311631	1.27667392873271
betweenness	-0.247382347687602	-0.250839860020807	-0.0972479799902175	-0.06905427734018
eigenvector	-0.125064484959742	-0.141874411030386	-0.140175535523247	-0.0910869748169517
cluster_coefficient	2.42333801303977	-0.559328249783801	-0.559328249783801	1.2397393428189
harmonic_centrality	0.260987291595895	-0.327552585353548	0.0122830903004873	0.966715356585056
markovcent	0.547568263873969	-1.00606559990686	-0.297512925925452	1.07949129986131
closeness_latora	0.261015979642332	-0.327524397774113	0.0123115666110757	0.966744646937236
closeness_residual	0.206037708763396	-0.672539795574803	-0.181221635552198	1.34789227569001
communitycent	0.126907633049567	-0.463477648784388	-0.463477648784388	4.35441454812858
diffusion_degree	-0.177722155395418	-0.471920902340192	-0.400257105007491	0.608693725860804
dmnc	-0.095907877060657	-0.214905655225139	-0.214905655225139	-0.102719306206787
geokpath	-0.0412345381991322	-0.807941009695745	-0.456884933003157	1.55396427429199
lincent	0.250749229459641	-0.292815377149399	0.0303549505141705	0.926600902377111
semilocal	-0.161401133305917	-0.390363511948856	-0.342998755634266	0.584607522360296
coreness	0.0625970534426247	-0.664177921120116	-0.482484177479431	0.789372028005366
hub_score	-0.124522859106006	-0.141352457278048	-0.139625317484476	-0.0906291985655432
eccentricity	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562
subgraph_centrality	-0.0893010179510653	-0.0893273944309938	-0.0893269694816447	-0.0890974912497661
pc	0.164085576853133	-1.0058833769485	1.43155194347157	1.40717759026736
gilschmidt	-0.147863681941745	-0.386072142280546	-0.248525416600813	0.137776090118217
spl_n	1.08449263579569	0.0137982033680297	1.97059389264904	0.072133427836275
degree_centrality_n	-0.540244776893258	-0.0959289407299908	-0.540244776893258	-0.286273631071896
average_neighbor_degree_n	-0.703460780024719	-0.0119161344587723	-1.10382873272079	-0.252136906076417
betweenness_n	-0.259264592921767	-0.252850166503172	-0.259264592921767	-0.25771684949121
eigenvector_n	-0.177609871030147	-0.153282228839137	-0.1777030803872	-0.171271634750497
cluster_coefficient_n	-0.590894368992731	1.52311709227008	-0.590894368992731	2.36872167677521
harmonic_centrality_n	-0.791409971430218	0.169238890747132	-1.32482755707492	0.089193166378767
markovcent_n	-1.07853771083083	0.728585431416787	-1.38516764222695	0.237898327576595
closeness_latora_n	-0.791388334814397	0.169149519836999	-1.32480858276291	0.0892191977072797
closeness_residual_n	-1.19563137654625	0.0948061547457788	-1.7626947991629	-0.0266834146251644
communitycent_n	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199
diffusion_degree_n	-0.491976556014725	-0.12383257021342	-0.508174891389983	-0.318212594716509
dmnc_n	-0.123265764231294	-0.0748721623327209	-0.123265764231294	-0.0904569425773752
geokpath_n	-1.07296030590577	-0.0990188555651621	-1.15186929062954	-0.292638123637375
lincent_n	-0.753737366282295	0.167426829587791	-1.2891991620741	0.10637366389046
semilocal_n	-0.425464217970535	-0.199741152180713	-0.429590153674233	-0.297432437246148
coreness_n	-0.718373058047594	0.454533285426713	-0.718373058047594	-0.0481408617765611
hub_score_n	-0.176998690984412	-0.152750078043464	-0.177111801453149	-0.17071602630634
eccentricity_n	0.950062541383136	0.186549824460118	1.71357525830616	0.186549824460118
subgraph_centrality_n	-0.0942277783008031	-0.0941737365261564	-0.094227779744222	-0.094224040349826
pc_n	-1.09655939070115	0.32219357076788	-1.09655939070115	0.0209814035636869
gilschmidt_n	-0.553409745096956	-0.14201126433359	-0.781873702609984	-0.17624543108907
