TFAP2A	SERPINB8	LDLRAP1	MAP3K2	SORL1	ACAN	FGF13	STYXL1	DPP4	GPC3	ZNF8	ECM1	SRPRB	SDC4	MATN2
harmonic_centrality_n	1.20035695809777	-0.969611332196907	0.157305923818173	0.755655430707168	0.174857973840237	-1.12222353635147	0.573324769669903	-0.0538756051023758	-0.026629398779356	-0.329293332752407	0.465409723383353	-0.856488938477852	0.62198304146408	0.37107090884397	0.350645903758185
markovcent_n	0.930122838252406	-1.13382242147747	-0.229730377229684	0.825829302241087	0.0445756841990379	-1.1126783270733	0.997288529779775	-0.00959157216300789	0.378104066202608	-0.247264030724088	-0.030152578384453	-1.09962546156937	0.834756251291199	0.283570666832215	0.279785865596256
closeness_latora_n	1.20038853374784	-0.970572136746326	0.157332294564566	0.755684785686425	0.174884430841821	-1.12525022280763	0.573353216095617	-0.0538502888505188	-0.0267969490527534	-0.329269389857082	0.465437631129874	-0.856467626987884	0.622011730236521	0.371098345100558	0.350673238983378
closeness_residual_n	1.66008453088805	-1.40082037954502	0.0696703817724802	0.969888489520319	0.0944986835167477	-1.56334774951572	0.689320993029371	-0.227269957664378	-0.189796901626203	-0.61045597684448	0.530243065909367	-1.26945329694145	0.768187363275868	0.384732306770363	0.358174479362795
communitycent_n	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.0625142609698936	0.0625142609698936	-0.51642647910199	0.351984631005835	-0.51642647910199	0.0625142609698936	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.0625142609698936	-0.51642647910199	0.0625142609698936
diffusion_degree_n	0.581531306581882	-0.502284587617162	-0.406567151308822	0.247256567474296	-0.35797214518305	-0.499339435730751	-0.0384231655075168	-0.371225328671897	-0.384478512160744	-0.449271853661774	-0.184208183884834	-0.497866859787546	-0.0325328617346959	-0.266672436704326	-0.218077430578554
dmnc_n	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.063401141068139	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	1.80572670124689	0.35898235213825	0.0282823187973247
geokpath_n	2.04175267444082	-1.1029164945509	-0.151624845381009	1.02251162175879	-0.169890814067066	-1.11752926949975	0.657192248037632	-0.510368470375185	-0.428536930661645	-0.833310796744687	0.452613398753785	-1.05396369847227	0.790168500072133	0.209310695855494	0.186660894684783
lincent_n	1.16057295471249	-0.932434241267489	0.187400580511795	0.733964035425171	0.199695273746286	-1.09133202736159	0.565109929386645	-0.0395342743218848	-0.0132662387209017	-0.298239467383755	0.465784925147666	-0.820773564213006	0.603874005566719	0.386469144121984	0.355571484496034
semilocal_n	0.59706624162403	-0.427668898704099	-0.333866586818839	0.194297323332442	-0.33912390241426	-0.428407664218612	-0.00581288145891605	-0.300759205223454	-0.36316862906588	-0.400847993468065	-0.14959570051161	-0.42639115960667	-0.0637920353762561	-0.252593087574369	-0.276770234459722
coreness_n	0.622091334494471	-0.718373058047594	-0.383256959912077	0.454533285426713	-0.215698910844319	-0.718373058047594	0.286975236358955	-0.215698910844319	-0.0481408617765611	-0.383256959912077	-0.383256959912077	-0.718373058047594	0.286975236358955	-0.0481408617765611	-0.0481408617765611
hub_score_n	-0.027761911863133	-0.177018673652619	-0.165849740599707	-0.12462745576144	-0.162981813083873	-0.177112670385053	0.296009956657739	0.0308505685827556	-0.173966887208433	-0.16360211301325	-0.146529649211903	-0.177068343799816	-0.0764969448639468	-0.169510880324796	-0.165720244916536
eccentricity_n	-0.576962892462901	0.950062541383136	0.186549824460118	-0.576962892462901	0.186549824460118	1.71357525830616	-0.576962892462901	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	0.950062541383136	0.186549824460118	-0.576962892462901	0.186549824460118
subgraph_centrality_n	-0.0921970965208695	-0.0942277787267535	-0.0942162143876789	-0.0939736491956515	-0.0942095860071743	-0.0942277797461746	-0.0738593611295514	-0.0902916931249712	-0.0942268723318647	-0.0942111412492823	-0.0941422668387501	-0.094227779470232	-0.0933063353357435	-0.0942224945005023	-0.0942158937674693
pc_n	1.61647869454922	-1.09655939070115	0.455580601333342	0.196890602660928	1.08613747309735	-1.09655939070115	1.61968559535921	1.08613747309735	1.46922304511097	1.23165059735059	1.03763309834628	-1.09655939070115	0.196890602660928	0.0209814035636869	0.859136999262311
gilschmidt_n	0.299668531598089	-0.630154189405165	-0.147072583364775	0.109201861850066	-0.139555001247988	-0.696402832605407	0.0311092282681068	-0.237522109700377	-0.225935160952376	-0.35548414438608	-0.0151110299868266	-0.581283213903701	0.0519496758328131	-0.0555165577448841	-0.0642646331959007
