ATF6	BEX3	CAPNS1	CHMP1A	DACH1	DRG1	ELF4	GATA3	IKZF1	KIF5B	MXI1	NCOR1	NFE2	RCOR1	REST	RFX5	RUNX1	SIN3B	TAL1	TEAD3	TP53BP2	VPS4B	VTA1	YAP1	CREBZF	LYL1	FBXO4	KTN1	KIF5A	BCAR3	KIF11	CBFA2T2	PHF21A	CTDSP1	SAP30L	NAE1	if_health
spl	0.186499916715248	0.185162104843669	-0.0461577296788749	-0.105386309811618	1.26830324378046	0.320645961656561	0.125203809144608	0.0208544831612508	-0.0879947554810559	-0.31663896626044	-0.212897736582346	-0.539931929553487	0.425116906900972	-0.049198211205192	-0.218370603329727	-0.0724274900662931	-0.327827938277297	-0.25485638164558	-0.572161033732496	0.416238700844106	0.0658536097508114	1.1641971563192	-0.0574683209567839	-0.0691437700178611	0.901377933183968	0.0760696276792563	0.236607052269031	0.459656777039982	-0.11499423143479	-0.329287369409929	-0.38790785323741	0.184675627799457	-0.248288941548726	-0.0555224127799411	0.661787988909832	-0.0881163747421083	1
degree_centrality	-0.314141654594437	-0.387539766751978	-0.0188153922912605	-0.314141654594437	-0.534913928958064	-0.387539766751978	-0.240165604545892	-0.0927914423398056	-0.314141654594437	-0.166189554497346	-0.314141654594437	0.86600751883626	-0.461515816800523	-0.387539766751978	-0.314141654594437	-0.387539766751978	0.275932932120911	0.349908982169457	0.349908982169457	-0.461515816800523	-0.387539766751978	-0.534913928958064	0.128558769914825	-0.314141654594437	-0.461515816800523	-0.240165604545892	-0.461515816800523	-0.534913928958064	-0.166189554497346	0.202534819963371	-0.387539766751978	-0.461515816800523	-0.314141654594437	-0.461515816800523	-0.534913928958064	-0.387539766751978	1
average_neighbor_degree	-0.697276474974869	-0.419978551457155	-0.594573540338678	-0.173491508330298	-0.871871463856392	-0.78970911614744	-0.60073571641685	-0.642990620489522	0.0113737740148441	0.257860817141701	0.596780501441128	-0.159113097481232	-0.563762659947821	-0.0639416976913041	0.596780501441128	0.0319143609420821	-0.190608677796721	-0.385217551875495	0.370044013187114	-0.728087355365726	-0.543222073020583	-0.584303246875059	-0.682898064125802	-0.255653856039251	-0.912952637710868	-0.535005838249688	-0.255653856039251	-0.419978551457155	-0.440519138384393	-0.195899440015092	2.83912789397089	-0.111869747548584	0.781645783786271	1.2848901635036	-0.543222073020583	0.333176288847849	1
betweenness	-0.0220266845012972	-0.246897593744207	0.108425883118316	-0.0964815647584447	-0.250839860020807	-0.183047614456374	-0.234022992925484	-0.1320209966361	-0.0945367529277144	-0.0644208046475938	-0.230021826764918	0.356020606301482	-0.188055975351229	-0.19749746944358	-0.24484178057045	-0.0752267461568794	0.0941508499213173	-0.0255124459959234	0.22486565098948	-0.249124377071076	-0.101380958675117	-0.250839860020807	0.208860163516776	-0.185530239202342	-0.2493815451954	-0.161183840681177	-0.247985544926897	-0.250839860020807	-0.183722304887477	-0.192622709166092	-0.218964989214802	-0.250297064778701	-0.250839860020807	-0.225504529667501	-0.250839860020807	-0.168578699471437	1
eigenvector	-0.139817877521743	-0.140622608025125	-0.137671929512725	-0.129624624478906	-0.142410898032641	-0.141516753028883	-0.129892867980034	-0.140086121022871	-0.136777784508967	-0.0950212128334854	-0.133380033494688	-0.0995813523526494	-0.137314271511222	-0.137940173013852	-0.131770572487925	-0.136420126507464	-0.130876427484167	-0.132038815989052	-0.104320320872565	-0.141337924028132	-0.134542421999573	-0.142142654531513	-0.137493100511974	-0.129892867980034	-0.142321483532265	-0.135168323502204	-0.133380033494688	-0.142053240031138	-0.139102561518737	-0.117553666928178	-0.106555683381959	-0.140622608025125	-0.131502328986797	-0.121487904944712	-0.142232069031889	-0.138655489016859	1
cluster_coefficient	-0.559328249783801	0.860987597910154	-0.559328249783801	0.150831804539079	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.356425985827522	0.150831804539079	-0.275263375864288	0.150831804539079	-0.312640445089272	-0.559328249783801	-0.559328249783801	0.860987597910154	-0.559328249783801	-0.301089004748537	-0.231563054162119	-0.176933391082603	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.464641378794565	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.576926984942446	-0.481855624082861	0.860987597910154	-0.559328249783801	3.70162355424987	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	0.018565200441865	0.0209896179092724	0.289143622770622	0.356874909231001	-0.847759318292999	-0.109040441471891	0.102373802993081	0.213928381011626	0.339522003028978	0.632369114656864	0.510578304635751	0.980677678795317	-0.208134621024492	0.292581018899504	0.510350185843898	0.320496233537007	0.660150774457927	0.565707901320917	1.02238801598142	-0.195202182316491	0.150856895778861	-0.780379425490165	0.309273105502063	0.309657209013833	-0.60167205370638	0.14726071001708	-0.0145489710390377	-0.248628160582734	0.36353271285539	0.654526594219771	0.747827434437124	0.031543431532728	0.541262620744905	0.315864641585361	-0.411164931134499	0.322855148867789	1
markovcent	-0.122809492494002	0.072884669896613	0.757156758109304	0.102417202631403	-1.14162599877233	-0.167872770866552	0.437991720208457	0.708120434260866	0.132186898315139	0.667070505145966	0.378729529906042	1.37735895344735	-0.682181921712228	-0.0446331548051706	0.39397625764223	-0.538356765705492	1.08712405400676	1.11369257417449	1.18911183667052	-0.44619967576115	-0.439652815929042	-1.01724077205987	0.883344880558122	0.129290446472584	-0.628414658783774	0.380010044733185	-0.367617789337878	-0.965967215640396	0.659404008617302	1.09249750184953	0.149894106618117	-0.358527264476989	0.390799569149336	-0.38294067722538	-0.980576738317384	0.0241042645228678	1
closeness_latora	0.0185936828571702	0.0210181029323521	0.289172335959038	0.356903679728694	-0.847731574404801	-0.10901206889181	0.102323854225491	0.213957031032196	0.339550758803731	0.632398121502748	0.510489451074243	0.980589227429595	-0.208106331302147	0.292609734747289	0.510379087965274	0.320524974433307	0.660179803985298	0.56573684960186	1.02241735549068	-0.195173881939833	0.150885491294779	-0.780351625414763	0.309301836379266	0.309685940779306	-0.601644100929029	0.147289302167277	-0.0145205173580117	-0.248599906849173	0.363561489329574	0.654555618390374	0.747856539740084	0.0315719256880928	0.541291548404435	0.315893377138728	-0.411136814508841	0.322883890307537	1
closeness_residual	-0.181921082104351	-0.176879686570757	0.2377791313359	0.3498143279165	-1.32066849223198	-0.365205670737902	-0.0445255676501169	0.123521846862691	0.322342219491175	0.793516318811779	0.604254152336367	1.3682945935805	-0.508011135255133	0.250743104162147	0.601862583163814	0.294794786052541	0.838124867764848	0.68488150854626	1.44450198561659	-0.485424391978691	0.0236758515428761	-1.24574431560118	0.272224183850379	0.272245705282753	-1.035891518702	0.0187044006644976	-0.217875325064052	-0.570837576712737	0.35579190575836	0.827843003448202	0.992132237832711	-0.153410564566983	0.648359637807696	0.294555360117381	-0.785045773488583	0.286899110550355	1
