AURKA	AURKB	BUB1	CDCA5	CDCA8	CENPH	CENPI	CENPK	CENPM	CENPP	CENPT	CENPW	DNAJB9	DSN1	INCENP	KIF20A	KIF23	KIF2A	KIF2B	KIF2C	MAPRE1	MIS18A	MTNR1A	NDE1	NUF2	PLK1	PLK4	RACGAP1	RND2	SEPT1	SKA1	SPC25	SPDL1	STAG1	TPX2	TUBGCP3	ZWILCH	RAB10	HAUS6	CENPN	PDS5A	SKA2	ZWINT	TUBGCP2	GTSE1	SKA3	if_health
spl	-0.635767907263147	-0.623970838941017	-0.540904883641908	-0.124602153057972	-0.152939440883286	-0.214113929192873	-0.33208461241415	-0.0592926098725836	-0.00979357062406431	-0.137007317685355	0.0701102838876653	0.430224915865184	-0.227492047908688	-0.00955033210195864	-0.305693232765679	-0.0776571182915586	-0.416245141062733	-0.416731618106944	0.560600763713855	-0.561701777281956	-0.646227163713687	0.0176923823738805	-0.223356993032887	-0.273828986369828	-0.392042908113211	-0.816007652143485	-0.409556081704826	-0.574106941909339	0.235877336702715	-0.121683290792698	-0.181155109447547	-0.078021976074726	-0.149169243790643	-0.399096825254276	-0.537986021376644	-0.361273235066833	-0.128737207933764	0.206810333311084	-0.00456394239878946	-0.153182679405391	-0.229924433129741	0.40006333912408	0.182364861839456	-0.35251664827103	0.100636718411937	0.36552346898506	1
degree_centrality	1.67743231780624	3.07893170349157	2.85758149123693	1.53005815560015	1.53005815560015	1.23473189329698	1.97275858010941	0.792609406678719	0.718633356630174	1.60345626775769	0.128558769914825	-0.0927914423398056	-0.240165604545892	0.644657306581628	1.23473189329698	-0.387539766751978	-0.0188153922912605	1.38268399339407	-0.534913928958064	1.97275858010941	1.30870794334552	-0.166189554497346	-0.166189554497346	0.202534819963371	1.97275858010941	6.32405296148048	0.939983568884805	0.571259194424088	-0.461515816800523	-0.387539766751978	1.89878253006087	1.23473189329698	1.38268399339407	1.75140836785478	0.128558769914825	0.275932932120911	1.53005815560015	-0.387539766751978	-0.240165604545892	1.89878253006087	0.202534819963371	-0.387539766751978	-0.387539766751978	-0.0188153922912605	-0.534913928958064	-0.387539766751978	1
average_neighbor_degree	0.0729955347965582	0.370423233502965	0.307245646505034	0.383229221341578	0.429976762586976	0.243893218031179	0.256100201273819	0.403807109974676	0.305788866998981	0.240058988831819	-0.436411020998945	-0.255653856039251	0.32769881269431	0.0826616885174733	0.611980535767284	0.798762953252694	0.612185941636557	0.479242703033174	-0.707546768438488	0.462679800764396	0.660772317304855	0.10722983264823	0.901465887888884	-0.263123152907124	0.347652513971863	0.0576993705235825	-0.14414780098248	0.00367105391712979	-0.543222073020583	0.401644925632367	0.298941990996177	0.472304544662066	0.383386644399788	0.0704279614306534	1.27667392873271	0.196239056359986	0.298233710477752	-0.461059725311631	0.245536464985358	0.220404440662274	0.330686523225225	0.333176288847849	0.223626519290028	0.108941561919225	2.78435300919198	0.387951214707933	1
betweenness	0.597602359866072	0.785784564015662	0.300768044008034	-0.2431582818785	-0.241360800631674	-0.184560817268014	-0.0561081561074542	-0.218501018721693	-0.236087054463129	-0.206586911603522	-0.016055940693463	-0.250613634959166	-0.145156619740803	-0.0586576292853087	-0.216713812727769	-0.247834301431499	-0.106853556727074	-0.0952174362533698	-0.250839860020807	0.24212263686738	0.446394478612153	-0.24297438419711	-0.175483381289359	-0.0103045165710414	-0.115412996666978	3.81568553566157	0.140852122689733	0.769247093521803	-0.246457564554157	-0.084307447644157	-0.0614337232936231	-0.246411895282665	-0.221621598086301	0.0990832713653134	-0.06905427734018	0.114920365477895	-0.221393569040597	-0.0972479799902175	-0.247382347687602	-0.126711121097467	-0.235788068371714	-0.250839860020807	-0.250455304788902	-0.147674452979553	-0.250839860020807	-0.250839860020807	1
eigenvector	-0.0400312951023901	0.472582035551869	0.0188928606452388	-0.0478997711354574	-0.0372594455907414	-0.0578247806771673	-0.0278709230512861	-0.063636723201592	-0.0755288517515687	-0.0392265645990082	-0.1230079514511	-0.134005934997319	-0.114155915913899	-0.0808937217741146	-0.0343087670783412	-0.125153899460118	-0.113887672412772	-0.0385112485960021	-0.141874411030386	0.0206811506527541	-0.00811031846824211	-0.133022375493185	-0.133290618994313	-0.118805469933439	-0.0265297055456496	0.577733487993768	-0.0980613058462614	-0.0316263320670682	-0.140175535523247	-0.135973054005586	-0.0329675495727047	-0.0470950406320755	-0.0538011281602579	-0.0629214071985859	-0.0910869748169517	-0.0996707668530252	-0.0416407561091539	-0.140175535523247	-0.125064484959742	-0.0371700310903656	-0.105840367378953	-0.135973054005586	-0.127746919971015	-0.108701631390977	-0.128462235974021	-0.135347152502955	1
cluster_coefficient	0.0271235908125691	0.971137462996229	1.04493288729029	2.53668359197887	2.67311926874403	2.09666362107992	1.61053589070952	2.530483907104	2.67119757948041	2.06581006906691	-0.085889633885816	2.28130770655591	-0.559328249783801	1.22651334841918	2.48014928344295	-0.559328249783801	0.049378542085037	1.79572963896824	-0.559328249783801	1.43866613874202	0.751732532702927	2.56536831952362	0.576926984942446	-0.404382998381921	1.77524298269444	-0.0514440995020078	0.434892417506787	-0.488310966065972	-0.559328249783801	-0.559328249783801	2.09901992742755	2.69319687364463	2.29344715824561	0.797989425487517	1.2397393428189	0.538190672091976	2.11688609834186	-0.559328249783801	2.42333801303977	1.87875854582164	1.84229758123452	3.70162355424987	2.28130770655591	-0.25497272337348	-0.559328249783801	3.70162355424987	1
harmonic_centrality	1.1517189431482	1.16023091200709	1.03539708933961	0.443895594032227	0.480032218218003	0.537344011295831	0.711266521827585	0.350454567043126	0.280833602936132	0.449903877782155	0.166374241962627	-0.19155272675899	0.514892147755072	0.293177181839893	0.670978584039361	0.337148220010836	0.784322929693302	0.81723999421621	-0.327552585353548	1.0416016322149	1.16592238189569	0.231616795784669	0.520877066650526	0.589422354872399	0.784212652572981	1.53636973324245	0.788656482566386	1.02206559464922	-0.0330271725313717	0.366500873655196	0.517901513221127	0.387855651181612	0.473617398717734	0.79059943236381	0.966715356585056	0.711101104969559	0.448526253367971	0.0122830903004873	0.260987291595895	0.482118154989973	0.53341512187601	-0.170070934482908	0.0466338539462788	0.692527663610792	0.133551651901687	-0.132839007086422	1
markovcent	1.50801543221477	1.6075999925698	1.60229884396436	1.49231888860383	1.49306810629862	1.44749586541073	1.53479120671653	1.35288799269561	1.33774184360339	1.49506652405688	0.931885569218841	0.794161936009285	0.479718832660042	1.29013520918552	1.45859868136177	0.122406608212052	0.916839516116185	1.48431279792456	-1.00606559990686	1.54691666410704	1.48031836659073	0.705927539625837	0.698841791395176	1.05802388929878	1.54089675973111	1.69336329430041	1.36670035404848	1.18536721057201	-0.336191190766106	-0.328359965373763	1.52170314396342	1.45383448599136	1.47278361170786	1.52017942663557	1.07949129986131	1.11600375391531	1.49241368370418	-0.297512925925452	0.547568263873969	1.52219637959779	1.12279990684581	0.122405316861119	0.11913919766742	0.912546430836505	-0.908666777846468	0.127570533425599	1
closeness_latora	1.15174839103788	1.16026036883757	1.03542643882088	0.443924438913508	0.480061093017615	0.537372935875442	0.711295595130807	0.350483333476196	0.280862308205584	0.44993272890847	0.16640285027256	-0.191524422859037	0.514921052403834	0.293127396350819	0.671007622912296	0.337176974920217	0.784234310474879	0.817269158000455	-0.327524397774113	1.04163098653849	1.16595184279454	0.231645459206837	0.520788223750605	0.589451324422562	0.784241786959541	1.53639950903092	0.78868562253679	1.02209493208916	-0.0329987341862341	0.366411899110983	0.517930422444572	0.387884448050535	0.473646269168581	0.790628573991064	0.966744646937236	0.711130177907446	0.448555101647519	0.0123115666110757	0.261015979642332	0.482147032241242	0.533444043180035	-0.170042613273703	0.0466623603990792	0.69243896622611	0.133580232959608	-0.132810654165068	1
closeness_residual	1.65289401529338	1.65642353020271	1.45117362965251	0.488468846164609	0.547114749383576	0.635952532044124	0.916731899510638	0.34345743482905	0.230857300648634	0.493009868395509	0.0491330158621919	-0.475836593856104	0.60182492065716	0.257046193668663	0.856676342471178	0.323692689372639	1.04570446336952	1.09570413113226	-0.672539795574803	1.46621711088189	1.67958059143706	0.158069126180946	0.614038333529367	0.724604692350446	1.0335071915716	2.27023630293964	1.04571522408571	1.43703404858284	-0.257396745439733	0.358277631197549	0.603264166447167	0.403459188287575	0.538118790651272	1.04693656537293	1.34789227569001	0.92351653106652	0.495353014345221	-0.181221635552198	0.206037708763396	0.546167806359123	0.633746585225796	-0.446169299328638	-0.125736692713152	0.896152029803065	0.00763162370810923	-0.388400394478908	1
