Gene1	Gene2
1	A1BG	CRISP3
2	A1CF	CELF2
3	A1CF	SYNCRIP
4	A1CF	APOBEC1
5	A1CF	KHSRP
6	A2M	ATF7IP
7	A2M	ADAMTS1
8	A2M	CTSE
9	A2M	CTSB
10	A2M	PAEP
11	A2M	ANXA6
12	A2M	ADAM19
13	A2M	B2M
14	A2M	HSPA5
15	AAAS	NUP160
16	AAAS	NUP54
17	AAAS	NUP107
18	AAAS	NCBP1
19	AAAS	RAE1
20	AAAS	RANGAP1
21	AAGAB	UNC119
22	AAK1	CLTCL1
23	AAK1	GAK
24	AAK1	EPS15
25	AAK1	HIP1R
26	AAK1	AP2M1
27	AAK1	EPN1
28	AAK1	ITSN1
29	AAK1	NECAP2
30	AAK1	DNM3
31	AAK1	PICALM
32	AAK1	CLTC
33	AAK1	AP2A1
34	AAK1	ITSN2
35	AAK1	WASL
36	AAK1	AP2B1
37	AAK1	HSPA8
38	AAK1	EPN2
39	AAK1	DNM2
40	AAK1	SYNJ2
41	AAK1	SNAP91
42	AAK1	NECAP1
43	AAK1	DNAJC6
44	AAK1	ACTR2
45	AAK1	DNM1
46	AAK1	STON2
47	AAK1	AP2A2
48	AAK1	AMPH
49	AAK1	AP2S1
50	AAK1	PIK3C2A
51	AAMP	NELFCD
52	AANAT	F2
53	AAR2	GJA5
54	AARS	EEF1B2
55	AARS2	MEGF10
56	AASDHPPT	MDFI
57	AASDHPPT	TRAF2
58	AASS	MYC
59	AASS	PXN
60	AATF	TSG101
61	AATF	RELA
62	AATF	ATM
63	AATF	DAPK3
64	AATF	RB1
65	AATF	ATR
66	AATF	POLR2J
67	AATF	MPHOSPH6
68	AATF	RBL1
69	AATF	PAWR
70	AATF	RBL2
71	AATF	SP1
72	AATF	DAZAP2
73	AATF	LDOC1
74	AATF	CHEK1
75	AATK	STK39
76	ABAT	CRK
77	ABCA1	SNTB1
78	ABCA1	SNTB2
79	ABCA1	DTNB
80	ABCA1	GOPC
81	ABCA1	CSNK2A1
82	ABCA1	CREBBP
83	ABCA1	SNTA1
84	ABCA1	ARHGEF11
85	ABCA1	XPC
86	ABCA1	FADD
87	ABCA1	PRKACA
88	ABCA1	PDLIM4
89	ABCA2	ABCB6
90	ABCA2	ATP1A4
91	ABCA2	CDK5RAP2
92	ABCA2	ABCD4
93	ABCA6	APOA1
94	ABCA7	APOA1
95	ABCB1	CAV1
96	ABCB1	HAX1
97	ABCB4	HAX1
98	ABCB6	ABCD4
99	ABCB7	MYC
100	ABCB8	SAT1
101	ABCC2	SLC9A3R1
102	ABCC2	CANX
103	ABCC6	VCL
104	ABCC8	RAPGEF4
105	ABCC8	CRYBB1
106	ABCC8	KCNJ11
107	ABCC8	ENSA
108	ABCC8	KCNJ8
109	ABCC9	STX1A
110	ABCC9	KCNJ11
111	ABCC9	KCNJ8
112	ABCD2	PEX19
113	ABCD2	ABCD3
114	ABCD2	ABCD1
115	ABCD3	ABCD1
116	ABCD3	PHYH
117	ABCD3	PEX19
118	ABCF3	TOE1
119	ABCF3	ACIN1
120	ABCF3	TBPL1
121	ABCF3	MOCS2
122	ABCF3	SPP1
123	ABCG1	ABCG4
124	ABCG5	NCK1
125	ABCG5	PIK3R1
126	ABCG8	ABCG5
127	ABHD16A	UPF1
128	ABHD16A	RNF5
129	ABHD16A	SAFB
130	ABHD16A	HNRNPA1
131	ABHD16A	PTGS2
132	ABI1	SOS1
133	ABI1	NCK1
134	ABI1	ABL1
135	ABI2	NCKAP1
136	ABI2	NCK2
137	ABI2	MBD1
138	ABI2	PCM1
139	ABI2	WASF1
140	ABI2	KRT19
141	ABI2	SH3KBP1
142	ABI2	SNAP23
143	ABI2	ABL1
144	ABI2	RAC1
145	ABI2	ABL2
146	ABI2	VCL
147	ABI2	ADAM19
148	ABI2	KRT15
149	ABI3	PAK1
150	ABI3	KRT15
151	ABI3	RUNX1T1
152	ABI3	PKN2
153	ABI3	SOS1
154	ABI3	SNAP23
155	ABI3	PAK2
156	ABI3	PKN1
157	ABI3BP	ABI3
158	ABL2	ABL1
159	ABLIM1	VIM
160	ABLIM1	GRB2
161	ABLIM1	KRT15
162	ABLIM1	TRAF2
163	ABLIM3	ACTC1
164	ABLIM3	GRB2
165	ABR	ADRA1A
166	ABR	ABL1
167	ABRA	ACTC1
168	ABRAXAS1	BRCA1
169	ABRAXAS1	RAD51
170	ABRAXAS2	SMURF2
171	ABT1	TBP
172	ABTB1	SMAD2
173	ABTB1	SMAD9
174	ACACA	CSNK2A2
175	ACACA	MCC
176	ACACA	CSNK2A1
177	ACACA	BRCA1
178	ACACA	ARRB1
179	ACACB	ACACA
180	ACACB	PRKAA2
181	ACAD9	NDUFAB1
182	ACAD9	NDUFB3
183	ACAD9	NDUFA6
184	ACAD9	NDUFS1
185	ACAD9	NDUFA5
186	ACADM	ETFB
187	ACADM	SUMO4
188	ACADVL	CDH1
189	ACAN	ADAMTS1
190	ACAN	CTSB
191	ACAP1	ABL1
192	ACAP1	TFRC
193	ACAP1	VAMP3
194	ACAP1	NCK1
195	ACAP1	CLTC
196	ACAP3	SLC35G2
197	ACAT1	MCC
198	ACAT2	CSNK2A1
199	ACAT2	CCNA1
200	ACAT2	MCC
201	ACBD3	SMURF2
202	ACBD3	GOLGB1
203	ACBD3	GOLGA3
204	ACD	TINF2
205	ACD	TERF1
206	ACE	BDKRB2
207	ACE	COMT
208	ACE2	NTS
209	ACE2	AGT
210	ACE2	GHRL
211	ACHE	APP
212	ACHE	COL4A1
213	ACIN1	CASP7
214	ACIN1	SAP18
215	ACIN1	PAFAH1B2
216	ACIN1	YWHAB
217	ACIN1	YWHAG
218	ACIN1	CASP8
219	ACIN1	CASP3
220	ACKR1	CCL5
221	ACKR1	CCL8
222	ACKR1	CCL7
223	ACKR1	CCL2
224	ACKR1	CXCL1
225	ACKR1	CXCL5
226	ACKR1	CCL17
227	ACKR1	CXCL8
228	ACKR2	PRRC2A
229	ACKR2	CXCL13
230	ACKR2	CCL7
231	ACKR4	CCL7
232	ACKR4	CXCL13
233	ACKR4	PRRC2A
234	ACLY	PRKAB1
235	ACLY	CS
236	ACLY	VHL
237	ACLY	PRKACA
238	ACLY	CDKN2A
239	ACLY	IKBKE
240	ACLY	TFE3
241	ACLY	GSK3B
242	ACLY	CCNA1
243	ACMSD	MAGEA11
244	ACOT13	IKBKE
245	ACOT13	MCC
246	ACOT7	ATXN1
247	ACOT8	MYC
248	ACOX1	SLC2A4
249	ACOX3	SMURF2
250	ACP1	IKBKE
251	ACP1	FYN
252	ACP1	FABP4
253	ACP1	INSR
254	ACP1	ZAP70
255	ACP1	EPHB1
256	ACP1	EPHB2
257	ACP1	SPTAN1
258	ACP1	LCK
259	ACP1	CTNNB1
260	ACP1	VHL
261	ACP5	RPA2
262	ACP5	MAPK9
263	ACP5	SPP1
264	ACP5	EGR2
265	ACP5	TNFSF10
266	ACP5	PDCD5
267	ACP6	ERH
268	ACP6	LIMS1
269	ACPP	ERBB2
270	ACPP	SHBG
271	ACPP	IGHM
272	ACSL6	PHYH
273	ACSS2	UPF1
274	ACTA1	PRKCD
275	ACTA1	PRKCA
276	ACTA1	LASP1
277	ACTA1	SRC
278	ACTA1	KLHL20
279	ACTA1	PAK4
280	ACTA1	PAK2
281	ACTA1	GSN
282	ACTA1	TTN
283	ACTA1	DMD
284	ACTA1	EPS8
285	ACTA1	DLG1
286	ACTA1	TLN1
287	ACTA1	SORBS1
288	ACTA1	SPTA1
289	ACTA1	TSC1
290	ACTA1	TPM3
291	ACTA1	PAK1
292	ACTA1	FHOD1
293	ACTA1	CSK
294	ACTA1	ABL1
295	ACTA1	CCT5
296	ACTA1	TNNI3K
297	ACTA1	TES
298	ACTA1	CTTN
299	ACTA1	PXN
300	ACTA1	SPTAN1
301	ACTA1	GRB2
302	ACTA1	ARRB1
303	ACTA1	EGFR
304	ACTA1	TJP1
305	ACTA1	TRAF3
306	ACTA1	VAV1
307	ACTA1	XPO6
308	ACTA1	GC
309	ACTA1	RAC1
310	ACTA1	IQGAP1
311	ACTA1	MARK4
312	ACTA1	S100A1
313	ACTA2	PRKCD
314	ACTA2	CREBBP
315	ACTA2	MYL6
316	ACTA2	SNTA1
317	ACTA2	GC
318	ACTA2	TPM1
319	ACTA2	MINK1
320	ACTA2	TPM3
321	ACTA2	PXN
322	ACTA2	CCT5
323	ACTA2	EP300
324	ACTA2	TLN1
325	ACTA2	TTN
326	ACTBL2	ARRB2
327	ACTBL2	ARRB1
328	ACTC1	LASP1
329	ACTC1	DYNLL1
330	ACTC1	PPP1R9B
331	ACTC1	GC
332	ACTC1	TNNI3K
333	ACTC1	WIPF1
334	ACTC1	TLN1
335	ACTC1	ARRB2
336	ACTC1	CAPN1
337	ACTC1	DMD
338	ACTC1	ACTR2
339	ACTC1	GRB2
340	ACTG2	MYL10
341	ACTG2	ARRB2
342	ACTG2	TPM1
343	ACTG2	TPM3
344	ACTG2	PXN
345	ACTG2	SHBG
346	ACTG2	TLN1
347	ACTG2	LMOD1
348	ACTG2	GRB2
349	ACTG2	MYL6
350	ACTG2	EMD
351	ACTG2	MYL7
352	ACTG2	TPM2
353	ACTG2	MYL12A
354	ACTG2	VCL
355	ACTG2	MYL9
356	ACTL6A	NOL3
357	ACTL6A	RELA
358	ACTL6A	ARHGDIA
359	ACTL6A	MYC
360	ACTL6B	SMARCA4
361	ACTL6B	PRMT5
362	ACTL6B	CTBP1
363	ACTL6B	SMARCA2
364	ACTL6B	SMARCB1
365	ACTL7A	TES
366	ACTN2	NCOA2
367	ACTN2	PDLIM1
368	ACTN2	ACTA1
369	ACTN2	ITGB1
370	ACTN2	TNNT2
371	ACTN2	CSK
372	ACTN2	MYOZ2
373	ACTN2	DLG1
374	ACTN2	TPM1
375	ACTN2	TTN
376	ACTN2	NCOA1
377	ACTN2	DISC1
378	ACTN2	LDB3
379	ACTN2	CAPN1
380	ACTN2	LRRC7
381	ACTN2	NR1I2
382	ACTN2	PTK2
383	ACTN2	DLG4
384	ACTN2	MYOZ1
385	ACTN2	SNW1
386	ACTN2	DMD
387	ACTN2	PXN
388	ACTN2	MYOZ3
389	ACTN2	GRIN1
390	ACTN2	ACTA2
391	ACTN2	TPM3
392	ACTN2	NCOR1
393	ACTN3	MYPN
394	ACTN3	NRAP
395	ACTN3	ACTN2
396	ACTR10	ACTA1
397	ACTR10	DCTN2
398	ACTR1A	SPTBN2
399	ACTR1A	DCTN1
400	ACTR1A	PRKACA
401	ACTR1A	PLK1
402	ACTR1A	CDK1
403	ACTR1A	PRKAR2B
404	ACTR1A	MARK4
405	ACTR1A	TUBA4A
406	ACTR1A	CSNK1E
