spl	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	dmnc	geokpath	lincent	semilocal	coreness	hub_score	eccentricity	subgraph_centrality	pc	gilschmidt
A1CF	5.32359321168815	0.000128	3	0	2e-06	0	1398.457612	6.39095106973785e-06	1398.45761183261	195.414306640625	1	4	0	33	1361.93868795091	699	1	1.249841557219e-05	12	119913296899.931	0	0.185521041633424
A2M	4.28212326145209	0.001404	8.727273	14433.731412	2.2e-05	0	1768.225397	2.63817935535946e-05	1768.2253968254	412.5166015625	0	107	3	723	1693.18048809559	15456	5	0.000140203768149307	10	14999796680789.3	0.793388429752066	0.234574873550725
AAAS	4.31708561949726	0.000638	22	129.619545	0.000119	0.6	1753.650794	2.27819218252975e-05	1753.65079365079	404.73046875	1	115	0.068033073723357	790	1679.46809328171	35868	5	0.000743438158023424	10	422026102712555	0	0.232641389446903
AAGAB	4.57279571264514	0.000128	21	0	8e-06	0	1646.455195	1.04268144781189e-05	1646.45519480519	336.86474609375	0	22	0	440	1585.55247370037	6349	1	4.59093487190312e-05	11	1805035881267.61	0	0.218420694455456
AAK1	3.82072221513334	0.002042	25.1875	891.380846	0.00082	0.475	1999.061508	2.8908124726061e-05	1999.06150793651	570.1806640625	3.83305183247975	419	0.0975258241329384	2094	1897.65367531643	193688	11	0.00513833021462242	10	20146491444284364	0.21875	0.265197865207794
AAMP	4.7385479137425	0.000128	15	0	6.2e-05	0	1582.921898	1.02485482693611e-05	1582.9218975469	297.4755859375	0	16	0	233	1530.09058595433	4563	1	0.000389680929542915	11	115869204963985	0	0.209992292059826
AAR2	5.01811917825699	0.000128	6	0	3e-06	0	1487.981385	9.47991925191888e-06	1487.94805194805	242.60009765625	0	7	0	117	1444.84562768581	1917	1	1.66068241401039e-05	11	210450039121.955	0	0.197392949316555
AARS	4.63047084343499	0.000128	8	0	6.6e-05	0	1622.466703	9.83589280129137e-06	1622.4667027417	321.53857421875	0	9	0	358	1565.80352172835	5570	1	0.00041265272108677	11	129934483448579	0	0.215238352711826
AASDHPPT	4.93900727319127	0.000128	25	0	2e-06	0	1514.852417	1.02360154945888e-05	1514.85241702742	257.95849609375	0	26	0	136	1467.98883922805	2856	1	1.03874943521753e-05	11	82409091225.3136	0	0.200962114224933
AASS	3.79405384713538	0.000255	96.5	958.502967	0.00044	0	2010.115079	1.62193664328124e-05	2010.06507936508	579.794921875	0	195	0	2241	1910.99226474743	81726	2	0.00275366455968092	10	5786214319311245	0.5	0.266657612014449
AATF	3.79367104759474	0.001276	24.5	7989.889307	0.000534	0.022222	2017.438095	2.69733390601822e-05	2017.4380952381	584.5849609375	0	255	0	2236	1911.18509300057	109306	7	0.0033426892603249	10	8526489585878712	0.46	0.267635725024931
AATK	5.58785249457701	0.000128	5	0	0	0	1327.516342	7.95419679544452e-06	1327.51634199134	160.4912109375	0	6	0	16	1297.53023383266	292	1	6.65800844852304e-07	11	338935737.295026	0	0.17610988882879
ABAT	4.14648462421845	0.000255	42	7537	6.6e-05	0	1826.136147	1.07311101489377e-05	1826.13614718615	452.10888671875	0	86	0	1069	1748.56733136386	36523	1	0.000410777830496152	11	128767828230386	0.5	0.242257382221552
ABCA1	3.84254178894985	0.000766	20.666667	11222.016428	0.000105	0	1975.750794	2.26394769137612e-05	1975.75079365079	553.841796875	0	130	1	1966	1886.87799694494	54941	4	0.000659190760589548	10	331664903723553	0.666666666666667	0.262105438266204
ABCA2	6.58198290162052	0.000255	1.5	7537	0	0	1122.413575	4.54559989546039e-06	1122.41357531358	80.9549560546875	1	5	0	4	1101.55369016924	32	1	1.23556416132008e-08	13	116900.958024885	0.5	0.148900713095453
ABCA6	4.94870486155417	0.000128	27	0	1e-06	0	1514.269877	1.03336348139107e-05	1514.26987734488	258.548583984375	0	28	0	198	1465.11213676095	3101	1	7.23067025034118e-06	12	39897887585.7046	0	0.200884833821306
ABCB6	7.54370294755646	0.000128	2	0	0	0	974.881094	3.54764313400218e-06	974.881093906094	41.2274780273438	0	3	0	3	961.12050067659	6	1	2.38737426491857e-10	14	45.3123846707108	0	0.129328879531177
ABCB7	0.000127599846880184	0.000128	1	0	0	0	1	1.25595213047773e-06	1	1.5	0	2	0	1	1	1	1	1.05980442412014e-16	1	1.54308063481525	0	1
