gene	cluster
SDC4	1
NFKBIB	1
TRAT1	1
CCNA2	1
FLT3	1
PLK4	1
UBR1	1
CD72	1
ELN	1
HCLS1	1
PHC2	1
BRIP1	1
CDC26	1
CLU	1
CTLA4	1
DSCC1	1
GRIN2A	1
PF4	1
CD79B	1
DOK3	1
MCC	1
PIK3CG	1
TSR1	1
XAB2	1
ADAM12	1
CCNA1	1
CENPM	1
F2RL1	1
GNB2	1
LYL1	1
RFC4	1
TAL1	1
TYRO3	1
BRCA2	1
CDCA8	1
SCAF11	1
SMC4	1
CENPW	1
GINS3	1
HEXIM1	1
HIPK2	1
PDCD5	1
RGS3	1
SET	1
TRMT112	1
TUBGCP3	1
CCNE1	1
CUL4A	1
NCAPD2	1
UBR2	1
ADRB2	1
AMBP	1
CHEK1	1
DBF4	1
DDX19B	1
GSPT1	1
NDUFA13	1
PAFAH1B3	1
DAXX	1
EIF1AX	1
FBLN1	1
GAB3	1
TTF2	1
CDCA5	1
CENPP	1
DET1	1
ERBB2	1
ESR2	1
FGB	1
GNGT1	1
HERC6	1
HLA-DRA	1
MED1	1
NFKB2	1
ORC1	1
POLR2H	1
RAD1	1
RPL27A	1
SNRPN	1
DAPK1	1
FIP1L1	1
HERC2	1
HNRNPH1	1
KIF23	1
NKX2-1	1
PPWD1	1
RAD23A	1
SH2B2	1
SKA1	1
SRP54	1
TJP1	1
TRIB3	1
AQR	1
CD8A	1
CD8B	1
CUX1	1
GH1	1
HIST1H2AA	1
MAPRE1	1
MXI1	1
MYBL2	1
MYO1B	1
SERPINB13	1
SHANK2	1
SHBG	1
SLC25A23	1
SLC9A3R2	1
TXNL4A	1
CARM1	1
CD3G	1
CDC6	1
CSF3R	1
EPHA8	1
GHSR	1
HIST1H4C	1
LASP1	1
MAP3K7	1
MCM8	1
MMP1	1
MMP9	1
NFYB	1
PLK1	1
RIC8B	1
RNF111	1
SENP1	1
TRADD	1
TUBB3	1
CD53	1
CDC7	1
CHST15	1
COL2A1	1
EFNA4	1
EPAS1	1
FBXW11	1
ORC6	1
PAK3	1
PI4KB	1
PRKACA	1
RAD9B	1
TCEAL9	1
TIPIN	1
TOP2A	1
TRIM11	1
CD5	1
CDC37	1
CUL2	1
EPB41L1	1
EPN2	1
GTF2H5	1
IDH3G	1
INTS7	1
MASP1	1
MYL4	1
PNPLA2	1
POLA1	1
POLDIP2	1
POLR2J	1
RCOR1	1
REV1	1
RHOU	1
SPART	1
TFAP2A	1
UPF3A	1
ARHGAP32	1
BAG1	1
CENPH	1
EIF5B	1
GALR3	1
HAP1	1
HTR1A	1
ID1	1
LIMS1	1
LRP2	1
MAD2L1BP	1
MGMT	1
PAPOLA	1
PRLR	1
PRPF8	1
RAB7A	1
RMI1	1
RPL10L	1
SEPT2	1
SLAMF6	1
SNX18	1
STX11	1
SYT4	1
THAP11	1
TPD52L1	1
VPS25	1
XRCC1	1
AGTR1	1
AURKB	1
CCNB2	1
CDC25C	1
CDH1	1
CDK14	1
CDKN3	1
DCLRE1C	1
DDX3X	1
DERL2	1
ERG	1
FANCD2	1
GTSE1	1
IFITM1	1
IGHG1	1
MGA	1
MSH2	1
PAFAH1B2	1
QARS	1
SLA	1
SLC25A11	1
SVIL	1
TERT	1
TFE3	1
TGFBR1	1
TNNT2	1
TREM2	1
TTN	1
WIPF1	1
ABCD3	1
ABI1	1
ACTN2	1
AES	1
ASIC3	1
CD300LF	1
CD48	1
CLIC4	1
COL5A2	1
CSF1	1
EIF2AK3	1
GPR84	1
GRIN3A	1
HIST3H2A	1
HSH2D	1
KTN1	1
MED18	1
MED29	1
MRPL32	1
MTA1	1
NEU1	1
OGG1	1
PACSIN1	1
PCBD1	1
PLA2G15	1
RALGDS	1
SIK1	1
SIRPA	1
STRAP	1
TAAR5	1
TAX1BP1	1
TNNT1	1
UBAC1	1
UPF1	1
ATF7IP	1
CLEC4A	1
CRHR1	1
DEK	1
DHX37	1
DYNC1I1	1
ECH1	1
ERCC6	1
EXOC1	1
GRIK2	1
HSPA2	1
INCA1	1
INTS4	1
IQGAP3	1
KCNB1	1
