gene	gene.y
ABI1	NCKAP1
ABI1	EPS8
ABI1	WASF2
ACAN	TNFAIP6
ACAN	FBLN1
ACAN	MMP1
ACAN	VCAN
ACKR2	CCL2
ACKR2	CCL13
ACKR2	CCL5
ACTN2	TNNC2
ACTN2	CAMK2A
ACTN2	RAVER1
ADAM12	SH3D19
ADAM15	SH3D19
ADGRB2	SHANK1
ADRB2	GNG7
ADRB2	GNG3
AGTR1	GNGT1
AGTR1	GNG7
AKT2	TRIB3
ANAPC4	SLC25A23
ANXA5	IFNGR2
AQR	PPWD1
ARHGAP1	TAX1BP1
ARHGAP1	KIF1B
ARHGAP1	EPB41L1
ARHGAP1	ADGRB2
ARL15	B4GALT3
ARL15	GRIPAP1
ARL6IP5	PRAF2
ASIC3	STOM
ATF6	CREBZF
ATP2B4	CD22
AURKA	MAPRE1
AURKA	RAB10
AURKA	PLK4
AURKA	HAUS6
AURKB	CENPN
AURKB	SPC25
AURKB	KIF2A
AURKB	MAPRE1
AURKB	CENPT
AURKB	ZWILCH
AURKB	NUF2
AURKB	CENPP
AURKB	CENPM
AURKB	INCENP
AURKB	DSN1
AURKB	CENPK
AURKB	CDCA5
AURKB	RACGAP1
AURKB	KIF2C
AURKB	SPDL1
AURKB	CENPI
AURKB	CENPH
AURKB	CDCA8
AURKB	SKA1
BAAT	SLC7A11
BCL11B	RLF
BCL6	ZBTB7A
BCL6	MAPK8IP3
BID	FADD
BID	CASP8
BIN1	CLTB
BIN1	ASAP2
BLK	EPHA6
BMP2	CHRD
BRCA1	E2F1
BRCA1	NBN
BRCA1	DCLRE1C
BRCA1	MSH3
BRCA1	CCNE1
BRCA1	AURKA
BRCA1	ORC3
BRCA1	CCNA2
BRCA1	NELFB
BRCA1	BAP1
BRCA1	TOP2A
BRCA1	MSH2
BRCA1	CHEK1
BRCA1	BRIP1
BRCA1	KIF1B
BRCA1	RAD51
BRCA1	MED1
BRCA1	CLSPN
BRCA1	MED24
BRCA1	FANCD2
BRCA1	PPP1CB
BRCA1	XRCC1
BRCA1	BRCA2
BRCA1	GTF2H4
BRCA2	PLK1
BRCA2	BRIP1
BRCA2	FANCD2
BRCA2	RAD51
BRCA2	FANCE
BRCA2	DMC1
BRIP1	TOP3A
BRIP1	TIMELESS
BRIP1	CLSPN
BRIP1	TIPIN
BRIP1	RFC4
BRIP1	RAD9B
BUB1	KIF2C
BUB1	CENPI
BUB1	INCENP
BUB1	SPC25
BUB1	SKA1
BUB1	CDCA8
BUB1	NUF2
BUB1	MAPRE1
BUB1	PDS5A
BUB1	PLK1
BUB1	CDCA5
BUB1	ZWILCH
BUB1	SPDL1
BUB1	CENPN
BUB1	STAG1
BUB1	AURKB
BUB1	KIF2A
BUB1	CENPP
BVES	PYDC1
BYSL	RIOK1
BYSL	TSR1
C1D	EXOSC4
CAPNS1	CD3EAP
CASP8	PLEC
CASP8	PICALM
CCL7	MMP1
CCL7	ACKR2
